num_hes,num_nodes,egonet density
2,7,0.285714
20,93,0.215054
37,134,0.276119
5,38,0.131579
52,154,0.337662
58,153,0.379085
109,186,0.586022
62,150,0.413333
20,74,0.270270
8,50,0.160000
26,105,0.247619
34,125,0.272000
39,115,0.339130
14,65,0.215385
22,94,0.234043
2,19,0.105263
59,152,0.388158
45,148,0.304054
50,145,0.344828
4,21,0.190476
7,47,0.148936
11,53,0.207547
19,80,0.237500
23,101,0.227723
30,125,0.240000
42,154,0.272727
62,178,0.348315
5,29,0.172414
54,164,0.329268
51,146,0.349315
25,100,0.250000
49,153,0.320261
51,161,0.316770
68,182,0.373626
3,17,0.176471
21,94,0.223404
4,29,0.137931
43,127,0.338583
50,134,0.373134
5,26,0.192308
12,57,0.210526
4,25,0.160000
24,110,0.218182
120,198,0.606061
1,11,0.090909
66,163,0.404908
8,39,0.205128
4,25,0.160000
127,194,0.654639
28,114,0.245614
53,153,0.346405
58,139,0.417266
122,203,0.600985
49,130,0.376923
10,61,0.163934
2,13,0.153846
2,22,0.090909
24,104,0.230769
26,113,0.230088
4,35,0.114286
24,107,0.224299
6,40,0.150000
1,5,0.200000
3,24,0.125000
3,41,0.073171
16,77,0.207792
15,82,0.182927
2,27,0.074074
47,137,0.343066
53,160,0.331250
7,41,0.170732
9,62,0.145161
20,92,0.217391
47,153,0.307190
38,150,0.253333
2,17,0.117647
21,101,0.207921
10,65,0.153846
5,32,0.156250
22,93,0.236559
42,129,0.325581
15,78,0.192308
9,57,0.157895
6,33,0.181818
8,47,0.170213
51,116,0.439655
58,158,0.367089
3,27,0.111111
11,65,0.169231
4,20,0.200000
7,67,0.104478
9,39,0.230769
3,18,0.166667
1,14,0.071429
3,37,0.081081
2,16,0.125000
3,29,0.103448
60,140,0.428571
14,65,0.215385
9,47,0.191489
3,34,0.088235
23,95,0.242105
4,34,0.117647
4,30,0.133333
39,127,0.307087
7,42,0.166667
2,15,0.133333
3,32,0.093750
5,49,0.102041
4,28,0.142857
2,17,0.117647
2,29,0.068966
5,23,0.217391
4,30,0.133333
11,72,0.152778
20,84,0.238095
17,77,0.220779
6,39,0.153846
35,113,0.309735
47,147,0.319728
9,66,0.136364
9,61,0.147541
9,56,0.160714
7,52,0.134615
2,21,0.095238
70,160,0.437500
5,29,0.172414
1,4,0.250000
6,61,0.098361
7,75,0.093333
18,103,0.174757
22,111,0.198198
20,84,0.238095
13,68,0.191176
14,82,0.170732
3,55,0.054545
2,24,0.083333
