num_hes,num_nodes,egonet density
1,2,0.500000
1,2,0.500000
220,163,1.349693
222,171,1.298246
220,163,1.349693
69,87,0.793103
61,51,1.196078
70,87,0.804598
61,51,1.196078
42,29,1.448276
45,28,1.607143
1,10,0.100000
45,28,1.607143
10,31,0.322581
6,17,0.352941
166,121,1.371901
1,2,0.500000
1,2,0.500000
23,61,0.377049
2,7,0.285714
14,54,0.259259
25,60,0.416667
1,5,0.200000
1,5,0.200000
25,60,0.416667
8,26,0.307692
6,34,0.176471
1,2,0.500000
9,14,0.642857
9,14,0.642857
4,11,0.363636
4,11,0.363636
25,92,0.271739
4,14,0.285714
18,54,0.333333
4,14,0.285714
1,2,0.500000
1,2,0.500000
5,16,0.312500
5,16,0.312500
7,9,0.777778
7,9,0.777778
4,14,0.285714
4,14,0.285714
3,13,0.230769
3,13,0.230769
1,5,0.200000
5,15,0.333333
12,32,0.375000
5,15,0.333333
12,32,0.375000
2,4,0.500000
2,4,0.500000
1,3,0.333333
3,8,0.375000
6,13,0.461538
74,104,0.711538
45,79,0.569620
72,111,0.648649
34,22,1.545455
59,24,2.458333
1,7,0.142857
1,7,0.142857
22,63,0.349206
1,6,0.166667
22,26,0.846154
22,26,0.846154
2,14,0.142857
2,14,0.142857
4,23,0.173913
5,16,0.312500
1,2,0.500000
1,2,0.500000
1,7,0.142857
6,20,0.300000
1,7,0.142857
1,7,0.142857
6,20,0.300000
43,28,1.535714
2,5,0.400000
2,5,0.400000
10,49,0.204082
12,53,0.226415
9,46,0.195652
9,44,0.204545
39,88,0.443182
34,89,0.382022
65,107,0.607477
33,81,0.407407
69,112,0.616071
63,107,0.588785
33,81,0.407407
22,77,0.285714
34,89,0.382022
63,107,0.588785
34,89,0.382022
47,90,0.522222
36,81,0.444444
36,92,0.391304
22,77,0.285714
3,13,0.230769
3,6,0.500000
3,6,0.500000
3,13,0.230769
24,68,0.352941
27,74,0.364865
24,68,0.352941
76,87,0.873563
26,47,0.553191
19,41,0.463415
24,68,0.352941
54,53,1.018868
51,54,0.944444
69,70,0.985714
56,56,1.000000
24,68,0.352941
51,54,0.944444
19,41,0.463415
26,47,0.553191
69,70,0.985714
2,5,0.400000
6,14,0.428571
2,5,0.400000
23,71,0.323944
23,71,0.323944
1,5,0.200000
1,5,0.200000
2,13,0.153846
2,13,0.153846
2,13,0.153846
2,13,0.153846
2,13,0.153846
2,13,0.153846
2,3,0.666667
3,4,0.750000
1,2,0.500000
1,2,0.500000
21,43,0.488372
1,2,0.500000
7,8,0.875000
7,11,0.636364
7,11,0.636364
7,8,0.875000
1,7,0.142857
7,38,0.184211
3,8,0.375000
3,13,0.230769
2,4,0.500000
2,4,0.500000
2,8,0.250000
2,8,0.250000
2,23,0.086957
2,23,0.086957
3,3,1.000000
2,3,0.666667
3,4,0.750000
1,2,0.500000
3,13,0.230769
2,12,0.166667
64,45,1.422222
59,45,1.311111
4,7,0.571429
4,7,0.571429
4,7,0.571429
2,5,0.400000
1,2,0.500000
1,2,0.500000
1,2,0.500000
1,2,0.500000
17,31,0.548387
11,27,0.407407
11,27,0.407407
3,7,0.428571
3,7,0.428571
1,3,0.333333
12,35,0.342857
13,39,0.333333
12,35,0.342857
5,14,0.357143
12,28,0.428571
13,26,0.500000
14,40,0.350000
24,43,0.558140
5,14,0.357143
24,43,0.558140
24,43,0.558140
10,19,0.526316
3,7,0.428571
1,2,0.500000
1,2,0.500000
1,2,0.500000
4,6,0.666667
1,2,0.500000
1,2,0.500000
2,7,0.285714
1,6,0.166667
1,6,0.166667
1,6,0.166667
6,13,0.461538
1,5,0.200000
2,6,0.333333
1,5,0.200000
1,5,0.200000
6,44,0.136364
6,44,0.136364
3,16,0.187500
3,16,0.187500
3,16,0.187500
3,16,0.187500
4,18,0.222222
1,2,0.500000
1,2,0.500000
1,2,0.500000
1,2,0.500000
2,6,0.333333
15,32,0.468750
2,6,0.333333
7,10,0.700000
7,10,0.700000
38,83,0.457831
3,7,0.428571
11,20,0.550000
23,52,0.442308
31,75,0.413333
13,47,0.276596
13,47,0.276596
23,53,0.433962
23,53,0.433962
13,36,0.361111
1,2,0.500000
1,2,0.500000
1,4,0.250000
1,4,0.250000
2,4,0.500000
2,4,0.500000
4,7,0.571429
