num_hes,num_nodes,egonet density
0,1,0.000000
3,34,0.088235
223,499,0.446894
220,478,0.460251
236,518,0.455598
75,286,0.262238
63,257,0.245136
67,257,0.260700
47,206,0.228155
44,185,0.237838
52,196,0.265306
1,9,0.111111
38,170,0.223529
11,78,0.141026
6,50,0.120000
171,432,0.395833
1,6,0.166667
0,1,0.000000
17,115,0.147826
1,2,0.500000
21,127,0.165354
28,122,0.229508
4,32,0.125000
0,1,0.000000
28,170,0.164706
11,91,0.120879
2,11,0.181818
0,1,0.000000
8,76,0.105263
11,69,0.159420
3,27,0.111111
3,16,0.187500
18,125,0.144000
2,24,0.083333
19,88,0.215909
4,38,0.105263
0,1,0.000000
2,18,0.111111
4,51,0.078431
2,8,0.250000
6,50,0.120000
8,80,0.100000
7,67,0.104478
4,36,0.111111
1,5,0.200000
1,7,0.142857
0,1,0.000000
3,29,0.103448
13,104,0.125000
5,45,0.111111
10,75,0.133333
4,28,0.142857
2,9,0.222222
1,4,0.250000
4,27,0.148148
2,28,0.071429
72,261,0.275862
57,273,0.208791
85,337,0.252226
35,171,0.204678
59,270,0.218519
1,3,0.333333
1,7,0.142857
29,170,0.170588
0,1,0.000000
15,96,0.156250
18,92,0.195652
2,25,0.080000
2,22,0.090909
5,52,0.096154
6,44,0.136364
0,1,0.000000
2,28,0.071429
3,19,0.157895
4,41,0.097561
0,1,0.000000
1,4,0.250000
4,50,0.080000
37,192,0.192708
0,1,0.000000
3,39,0.076923
9,58,0.155172
17,99,0.171717
10,87,0.114943
13,102,0.127451
31,171,0.181287
38,165,0.230303
65,268,0.242537
27,138,0.195652
75,288,0.260417
74,317,0.233438
31,186,0.166667
23,116,0.198276
31,160,0.193750
73,272,0.268382
29,154,0.188312
38,145,0.262069
38,192,0.197917
28,142,0.197183
26,141,0.184397
5,47,0.106383
8,46,0.173913
3,24,0.125000
3,23,0.130435
26,153,0.169935
32,200,0.160000
21,132,0.159091
78,274,0.284672
26,150,0.173333
13,92,0.141304
22,137,0.160584
55,243,0.226337
58,248,0.233871
64,282,0.226950
59,238,0.247899
26,155,0.167742
40,173,0.231214
20,106,0.188679
26,157,0.165605
74,296,0.250000
3,34,0.088235
6,53,0.113208
3,22,0.136364
26,121,0.214876
27,145,0.186207
0,1,0.000000
2,13,0.153846
2,23,0.086957
3,26,0.115385
2,23,0.086957
3,39,0.076923
1,16,0.062500
1,5,0.200000
1,2,0.500000
1,16,0.062500
3,28,0.107143
0,1,0.000000
31,169,0.183432
1,2,0.500000
4,36,0.111111
9,58,0.155172
8,61,0.131148
7,50,0.140000
2,26,0.076923
4,17,0.235294
2,4,0.500000
3,37,0.081081
2,9,0.222222
0,1,0.000000
1,3,0.333333
5,43,0.116279
3,9,0.333333
2,24,0.083333
11,85,0.129412
3,28,0.107143
1,9,0.111111
0,1,0.000000
5,24,0.208333
5,60,0.083333
64,242,0.264463
43,230,0.186957
1,7,0.142857
4,45,0.088889
3,21,0.142857
2,17,0.117647
0,1,0.000000
0,1,0.000000
0,1,0.000000
0,1,0.000000
17,113,0.150442
14,106,0.132075
12,81,0.148148
2,47,0.042553
2,18,0.111111
1,18,0.055556
10,67,0.149254
16,121,0.132231
7,78,0.089744
3,28,0.107143
12,84,0.142857
9,56,0.160714
13,82,0.158537
20,125,0.160000
10,88,0.113636
23,158,0.145570
30,150,0.200000
9,83,0.108434
7,63,0.111111
0,1,0.000000
2,34,0.058824
2,44,0.045455
2,29,0.068966
2,18,0.111111
1,5,0.200000
2,13,0.153846
0,1,0.000000
2,37,0.054054
1,10,0.100000
8,56,0.142857
2,24,0.083333
2,28,0.071429
1,13,0.076923
1,16,0.062500
4,9,0.444444
8,49,0.163265
4,38,0.105263
4,30,0.133333
5,48,0.104167
7,56,0.125000
2,17,0.117647
0,1,0.000000
2,22,0.090909
0,1,0.000000
1,8,0.125000
4,39,0.102564
20,98,0.204082
0,1,0.000000
4,33,0.121212
11,80,0.137500
52,215,0.241860
4,34,0.117647
12,108,0.111111
26,118,0.220339
