num_hes,num_nodes,egonet density
2,16,0.125000
17,90,0.188889
16,102,0.156863
10,73,0.136986
7,48,0.145833
39,178,0.219101
24,136,0.176471
41,199,0.206030
18,96,0.187500
4,22,0.181818
3,21,0.142857
10,87,0.114943
9,71,0.126761
24,116,0.206897
40,228,0.175439
21,130,0.161538
8,46,0.173913
53,230,0.230435
24,145,0.165517
5,47,0.106383
120,386,0.310881
5,29,0.172414
52,226,0.230088
3,25,0.120000
40,198,0.202020
20,121,0.165289
3,42,0.071429
2,22,0.090909
139,425,0.327059
11,65,0.169231
3,25,0.120000
25,176,0.142045
1,9,0.111111
60,242,0.247934
3,28,0.107143
3,21,0.142857
11,60,0.183333
14,79,0.177215
2,16,0.125000
51,204,0.250000
41,183,0.224044
12,75,0.160000
3,16,0.187500
115,351,0.327635
28,142,0.197183
34,167,0.203593
39,206,0.189320
18,95,0.189474
5,42,0.119048
46,220,0.209091
39,202,0.193069
53,271,0.195572
23,159,0.144654
2,13,0.153846
2,19,0.105263
25,122,0.204918
49,229,0.213974
2,14,0.142857
4,13,0.307692
2,14,0.142857
1,5,0.200000
2,7,0.285714
7,38,0.184211
7,41,0.170732
3,18,0.166667
2,17,0.117647
1,17,0.058824
4,34,0.117647
5,22,0.227273
10,64,0.156250
3,18,0.166667
7,59,0.118644
7,47,0.148936
3,17,0.176471
4,29,0.137931
4,32,0.125000
7,44,0.159091
2,17,0.117647
5,56,0.089286
104,348,0.298851
2,8,0.250000
8,46,0.173913
3,10,0.300000
17,96,0.177083
3,38,0.078947
9,70,0.128571
10,85,0.117647
7,59,0.118644
46,231,0.199134
18,100,0.180000
3,31,0.096774
13,100,0.130000
7,55,0.127273
3,7,0.428571
22,145,0.151724
10,68,0.147059
5,62,0.080645
3,8,0.375000
5,13,0.384615
5,35,0.142857
6,35,0.171429
37,169,0.218935
5,16,0.312500
4,13,0.307692
5,27,0.185185
5,33,0.151515
5,25,0.200000
3,29,0.103448
8,93,0.086022
4,24,0.166667
2,29,0.068966
44,221,0.199095
21,132,0.159091
4,24,0.166667
6,53,0.113208
5,36,0.138889
4,36,0.111111
8,57,0.140351
19,157,0.121019
5,31,0.161290
4,51,0.078431
3,24,0.125000
1,14,0.071429
10,85,0.117647
1,14,0.071429
25,130,0.192308
3,29,0.103448
16,89,0.179775
57,231,0.246753
6,48,0.125000
2,19,0.105263
25,127,0.196850
2,16,0.125000
22,142,0.154930
23,127,0.181102
1,13,0.076923
2,16,0.125000
12,94,0.127660
8,79,0.101266
5,41,0.121951
5,41,0.121951
17,104,0.163462
46,212,0.216981
2,10,0.200000
3,55,0.054545
24,126,0.190476
2,29,0.068966
49,255,0.192157
21,93,0.225806
7,63,0.111111
1,23,0.043478
8,87,0.091954
49,202,0.242574
4,35,0.114286
16,101,0.158416
4,29,0.137931
11,87,0.126437
25,149,0.167785
3,15,0.200000
5,49,0.102041
5,34,0.147059
4,37,0.108108
6,21,0.285714
3,20,0.150000
2,27,0.074074
7,59,0.118644
16,91,0.175824
3,17,0.176471
8,45,0.177778
5,32,0.156250
4,39,0.102564
4,42,0.095238
9,76,0.118421
17,111,0.153153
5,37,0.135135
24,134,0.179104
52,229,0.227074
3,15,0.200000
3,16,0.187500
40,187,0.213904
20,110,0.181818
17,120,0.141667
36,178,0.202247
12,59,0.203390
26,141,0.184397
7,36,0.194444
34,195,0.174359
26,156,0.166667
2,10,0.200000
8,81,0.098765
51,240,0.212500
6,40,0.150000
7,32,0.218750
9,89,0.101124
1,13,0.076923
7,41,0.170732
6,41,0.146341
7,50,0.140000
16,98,0.163265
2,20,0.100000
2,15,0.133333
4,48,0.083333
1,13,0.076923
8,57,0.140351
30,181,0.165746
15,98,0.153061
59,287,0.205575
51,218,0.233945
4,34,0.117647
24,109,0.220183
5,44,0.113636
35,180,0.194444
3,9,0.333333
9,61,0.147541
2,7,0.285714
1,4,0.250000
2,10,0.200000
35,214,0.163551
3,48,0.062500
2,19,0.105263
6,56,0.107143
24,164,0.146341
30,159,0.188679
2,29,0.068966
23,128,0.179688
3,13,0.230769
3,10,0.300000
32,130,0.246154
6,57,0.105263
12,94,0.127660
21,116,0.181034
1,9,0.111111
3,34,0.088235
8,27,0.296296
8,33,0.242424
5,23,0.217391
4,28,0.142857
3,19,0.157895
9,50,0.180000
17,106,0.160377
4,42,0.095238
9,45,0.200000
4,48,0.083333
4,19,0.210526
1,13,0.076923
5,36,0.138889
8,31,0.258065
21,138,0.152174
3,21,0.142857
15,97,0.154639
3,23,0.130435
19,149,0.127517
3,32,0.093750
14,105,0.133333
58,245,0.236735
7,58,0.120690
6,64,0.093750
4,13,0.307692
4,48,0.083333
3,25,0.120000
1,9,0.111111
1,9,0.111111
4,43,0.093023
2,22,0.090909
2,29,0.068966
10,72,0.138889
3,35,0.085714
9,71,0.126761
3,32,0.093750
9,53,0.169811
8,48,0.166667
8,77,0.103896
10,76,0.131579
2,22,0.090909
11,89,0.123596
1,13,0.076923
3,38,0.078947
14,85,0.164706
5,34,0.147059
3,17,0.176471
13,91,0.142857
8,84,0.095238
2,26,0.076923
6,48,0.125000
62,220,0.281818
3,28,0.107143
5,50,0.100000
3,27,0.111111
13,114,0.114035
11,78,0.141026
6,38,0.157895
6,32,0.187500
2,24,0.083333
16,86,0.186047
3,16,0.187500
2,20,0.100000
17,143,0.118881
3,22,0.136364
13,104,0.125000
10,85,0.117647
15,97,0.154639
9,69,0.130435
15,86,0.174419
11,77,0.142857
2,8,0.250000
4,39,0.102564
12,99,0.121212
5,27,0.185185
3,29,0.103448
1,16,0.062500
1,16,0.062500
2,22,0.090909
5,58,0.086207
2,27,0.074074
3,26,0.115385
2,26,0.076923
2,14,0.142857
11,100,0.110000
4,19,0.210526
4,39,0.102564
5,33,0.151515
16,111,0.144144
7,55,0.127273
14,77,0.181818
31,194,0.159794
4,28,0.142857
7,40,0.175000
10,75,0.133333
4,32,0.125000
2,6,0.333333
3,31,0.096774
10,70,0.142857
5,44,0.113636
3,54,0.055556
2,14,0.142857
2,27,0.074074
5,39,0.128205
1,19,0.052632
6,37,0.162162
6,59,0.101695
2,30,0.066667
2,32,0.062500
3,29,0.103448
8,53,0.150943
12,85,0.141176
5,56,0.089286
3,35,0.085714
5,53,0.094340
4,37,0.108108
3,28,0.107143
2,23,0.086957
4,37,0.108108
2,6,0.333333
3,31,0.096774
4,36,0.111111
16,111,0.144144
14,105,0.133333
11,63,0.174603
2,26,0.076923
4,37,0.108108
2,13,0.153846
5,66,0.075758
14,90,0.155556
8,56,0.142857
2,17,0.117647
7,60,0.116667
4,32,0.125000
3,41,0.073171
9,64,0.140625
4,33,0.121212
2,29,0.068966
1,16,0.062500
10,66,0.151515
3,44,0.068182
22,142,0.154930
3,27,0.111111
7,45,0.155556
11,80,0.137500
4,21,0.190476
2,16,0.125000
8,56,0.142857
3,30,0.100000
2,18,0.111111
9,76,0.118421
17,105,0.161905
5,37,0.135135
1,8,0.125000
2,20,0.100000
4,23,0.173913
4,49,0.081633
4,30,0.133333
17,132,0.128788
7,63,0.111111
3,23,0.130435
2,8,0.250000
1,4,0.250000
8,40,0.200000
3,9,0.333333
3,35,0.085714
1,7,0.142857
3,36,0.083333
8,61,0.131148
4,65,0.061538
3,28,0.107143
3,21,0.142857
11,51,0.215686
2,18,0.111111
5,46,0.108696
11,81,0.135802
4,29,0.137931
18,102,0.176471
3,9,0.333333
1,6,0.166667
3,18,0.166667
3,30,0.100000
4,27,0.148148
5,24,0.208333
2,15,0.133333
8,57,0.140351
3,14,0.214286
17,87,0.195402
12,71,0.169014
4,40,0.100000
9,84,0.107143
5,16,0.312500
3,33,0.090909
3,35,0.085714
6,58,0.103448
1,3,0.333333
3,39,0.076923
3,17,0.176471
14,99,0.141414
4,33,0.121212
2,21,0.095238
1,8,0.125000
8,57,0.140351
2,17,0.117647
4,47,0.085106
2,22,0.090909
3,11,0.272727
4,22,0.181818
5,29,0.172414
4,65,0.061538
11,59,0.186441
6,34,0.176471
3,12,0.250000
2,14,0.142857
9,53,0.169811
1,8,0.125000
2,10,0.200000
3,16,0.187500
11,71,0.154930
2,19,0.105263
10,69,0.144928
1,3,0.333333
4,33,0.121212
4,46,0.086957
1,13,0.076923
2,14,0.142857
4,40,0.100000
1,13,0.076923
5,46,0.108696
9,46,0.195652
1,13,0.076923
3,25,0.120000
1,13,0.076923
3,19,0.157895
1,2,0.500000
5,45,0.111111
5,55,0.090909
5,41,0.121951
1,22,0.045455
9,64,0.140625
1,22,0.045455
1,22,0.045455
5,47,0.106383
4,30,0.133333
3,15,0.200000
2,18,0.111111
3,36,0.083333
2,13,0.153846
2,19,0.105263
1,15,0.066667
3,27,0.111111
9,55,0.163636
1,15,0.066667
5,47,0.106383
3,24,0.125000
2,22,0.090909
2,8,0.250000
18,101,0.178218
7,100,0.070000
6,54,0.111111
2,16,0.125000
3,22,0.136364
5,38,0.131579
2,13,0.153846
10,55,0.181818
7,43,0.162791
1,5,0.200000
2,17,0.117647
1,2,0.500000
1,6,0.166667
2,6,0.333333
3,47,0.063830
2,19,0.105263
1,2,0.500000
3,35,0.085714
7,51,0.137255
3,28,0.107143
4,20,0.200000
1,5,0.200000
4,22,0.181818
3,34,0.088235
4,51,0.078431
2,21,0.095238
3,41,0.073171
2,21,0.095238
4,34,0.117647
3,33,0.090909
2,23,0.086957
2,25,0.080000
4,27,0.148148
1,2,0.500000
5,37,0.135135
4,17,0.235294
4,32,0.125000
3,26,0.115385
4,22,0.181818
1,14,0.071429
2,19,0.105263
2,14,0.142857
10,85,0.117647
3,31,0.096774
6,22,0.272727
2,9,0.222222
1,3,0.333333
6,44,0.136364
2,16,0.125000
4,19,0.210526
2,18,0.111111
3,28,0.107143
2,18,0.111111
1,13,0.076923
1,13,0.076923
1,13,0.076923
2,32,0.062500
4,43,0.093023
2,19,0.105263
3,18,0.166667
7,28,0.250000
2,5,0.400000
2,9,0.222222
3,31,0.096774
1,5,0.200000
1,2,0.500000
4,36,0.111111
3,33,0.090909
4,25,0.160000
6,52,0.115385
2,8,0.250000
1,2,0.500000
3,23,0.130435
2,3,0.666667
3,13,0.230769
2,7,0.285714
3,24,0.125000
4,20,0.200000
3,9,0.333333
2,17,0.117647
3,31,0.096774
9,64,0.140625
9,50,0.180000
1,12,0.083333
4,27,0.148148
6,65,0.092308
2,19,0.105263
13,98,0.132653
2,34,0.058824
6,47,0.127660
2,9,0.222222
1,14,0.071429
1,14,0.071429
4,25,0.160000
3,23,0.130435
1,2,0.500000
5,52,0.096154
3,31,0.096774
6,42,0.142857
5,16,0.312500
1,8,0.125000
2,17,0.117647
4,36,0.111111
4,54,0.074074
13,96,0.135417
6,84,0.071429
1,8,0.125000
1,8,0.125000
4,35,0.114286
4,31,0.129032
6,51,0.117647
8,58,0.137931
2,34,0.058824
2,26,0.076923
5,73,0.068493
7,74,0.094595
2,21,0.095238
2,10,0.200000
4,40,0.100000
3,13,0.230769
1,4,0.250000
1,4,0.250000
3,28,0.107143
4,16,0.250000
8,84,0.095238
1,8,0.125000
2,12,0.166667
3,12,0.250000
3,37,0.081081
2,35,0.057143
3,49,0.061224
5,39,0.128205
6,57,0.105263
2,14,0.142857
1,6,0.166667
1,6,0.166667
3,30,0.100000
2,14,0.142857
5,49,0.102041
3,13,0.230769
4,41,0.097561
3,23,0.130435
1,4,0.250000
6,38,0.157895
2,22,0.090909
1,10,0.100000
5,18,0.277778
2,8,0.250000
4,15,0.266667
2,17,0.117647
5,51,0.098039
4,35,0.114286
5,22,0.227273
4,32,0.125000
6,40,0.150000
1,10,0.100000
7,62,0.112903
4,28,0.142857
3,31,0.096774
1,39,0.025641
1,39,0.025641
3,50,0.060000
5,73,0.068493
5,51,0.098039
6,66,0.090909
2,43,0.046512
2,42,0.047619
2,39,0.051282
3,68,0.044118
1,39,0.025641
6,45,0.133333
6,47,0.127660
3,37,0.081081
2,5,0.400000
2,36,0.055556
1,9,0.111111
2,19,0.105263
2,19,0.105263
2,20,0.100000
2,16,0.125000
2,5,0.400000
2,8,0.250000
3,35,0.085714
7,49,0.142857
2,16,0.125000
3,23,0.130435
2,14,0.142857
3,23,0.130435
3,19,0.157895
4,31,0.129032
3,37,0.081081
2,15,0.133333
3,22,0.136364
4,15,0.266667
3,20,0.150000
3,18,0.166667
3,16,0.187500
1,5,0.200000
1,5,0.200000
2,19,0.105263
2,19,0.105263
3,23,0.130435
6,53,0.113208
1,2,0.500000
2,9,0.222222
1,17,0.058824
1,17,0.058824
1,17,0.058824
3,21,0.142857
5,29,0.172414
2,29,0.068966
6,76,0.078947
2,14,0.142857
6,47,0.127660
1,10,0.100000
3,29,0.103448
2,6,0.333333
2,6,0.333333
6,58,0.103448
3,36,0.083333
2,37,0.054054
2,30,0.066667
2,10,0.200000
2,18,0.111111
4,39,0.102564
3,46,0.065217
3,18,0.166667
1,9,0.111111
1,9,0.111111
4,27,0.148148
2,10,0.200000
5,36,0.138889
9,55,0.163636
3,18,0.166667
3,15,0.200000
1,3,0.333333
5,33,0.151515
1,24,0.041667
1,2,0.500000
2,6,0.333333
1,4,0.250000
2,26,0.076923
2,19,0.105263
8,85,0.094118
2,10,0.200000
4,38,0.105263
2,7,0.285714
3,36,0.083333
2,25,0.080000
2,13,0.153846
1,11,0.090909
2,16,0.125000
1,11,0.090909
3,47,0.063830
1,18,0.055556
4,51,0.078431
4,37,0.108108
2,16,0.125000
3,25,0.120000
2,6,0.333333
2,16,0.125000
1,15,0.066667
1,17,0.058824
3,25,0.120000
3,32,0.093750
4,32,0.125000
10,80,0.125000
2,21,0.095238
4,20,0.200000
2,16,0.125000
3,18,0.166667
2,16,0.125000
3,30,0.100000
3,36,0.083333
8,61,0.131148
1,13,0.076923
2,12,0.166667
2,5,0.400000
3,13,0.230769
4,20,0.200000
4,26,0.153846
1,21,0.047619
7,49,0.142857
