num_hes,num_nodes,egonet density
5,52,0.096154
68,240,0.283333
33,123,0.268293
37,172,0.215116
63,223,0.282511
3,28,0.107143
19,109,0.174312
24,134,0.179104
8,65,0.123077
4,37,0.108108
19,113,0.168142
3,17,0.176471
18,99,0.181818
12,111,0.108108
24,160,0.150000
9,85,0.105882
19,108,0.175926
2,7,0.285714
30,118,0.254237
66,219,0.301370
11,91,0.120879
45,185,0.243243
21,120,0.175000
45,182,0.247253
3,20,0.150000
104,326,0.319018
7,71,0.098592
2,6,0.333333
3,18,0.166667
6,46,0.130435
2,44,0.045455
2,16,0.125000
3,18,0.166667
17,128,0.132812
6,65,0.092308
3,34,0.088235
2,28,0.071429
24,159,0.150943
16,123,0.130081
35,143,0.244755
26,114,0.228070
36,162,0.222222
11,78,0.141026
1,11,0.090909
9,67,0.134328
4,27,0.148148
5,49,0.102041
3,27,0.111111
2,25,0.080000
19,128,0.148438
51,203,0.251232
52,204,0.254902
3,26,0.115385
10,64,0.156250
43,180,0.238889
58,246,0.235772
1,6,0.166667
9,62,0.145161
109,307,0.355049
118,358,0.329609
5,48,0.104167
1,6,0.166667
20,158,0.126582
8,53,0.150943
1,5,0.200000
16,122,0.131148
65,218,0.298165
31,167,0.185629
5,73,0.068493
66,213,0.309859
31,180,0.172222
49,226,0.216814
2,35,0.057143
5,47,0.106383
27,122,0.221311
25,135,0.185185
5,54,0.092593
5,39,0.128205
3,28,0.107143
16,104,0.153846
37,191,0.193717
28,119,0.235294
7,40,0.175000
4,38,0.105263
17,123,0.138211
20,146,0.136986
3,12,0.250000
16,72,0.222222
33,138,0.239130
10,70,0.142857
4,27,0.148148
40,148,0.270270
50,196,0.255102
125,346,0.361272
68,261,0.260536
5,33,0.151515
61,243,0.251029
13,58,0.224138
4,35,0.114286
2,5,0.400000
30,148,0.202703
2,12,0.166667
29,126,0.230159
17,80,0.212500
42,177,0.237288
9,53,0.169811
3,26,0.115385
10,76,0.131579
2,25,0.080000
63,248,0.254032
2,18,0.111111
5,39,0.128205
5,43,0.116279
1,14,0.071429
8,48,0.166667
2,28,0.071429
1,11,0.090909
25,130,0.192308
29,143,0.202797
5,32,0.156250
7,64,0.109375
2,26,0.076923
3,29,0.103448
8,62,0.129032
8,42,0.190476
2,24,0.083333
2,33,0.060606
3,37,0.081081
9,66,0.136364
5,43,0.116279
41,196,0.209184
23,128,0.179688
15,104,0.144231
17,89,0.191011
25,137,0.182482
45,202,0.222772
12,73,0.164384
3,26,0.115385
9,67,0.134328
1,13,0.076923
4,37,0.108108
3,26,0.115385
2,17,0.117647
19,115,0.165217
19,132,0.143939
22,118,0.186441
3,49,0.061224
1,23,0.043478
60,215,0.279070
3,47,0.063830
10,100,0.100000
5,52,0.096154
33,153,0.215686
6,41,0.146341
10,88,0.113636
22,105,0.209524
6,45,0.133333
3,33,0.090909
10,55,0.181818
39,179,0.217877
5,35,0.142857
15,79,0.189873
4,35,0.114286
4,22,0.181818
3,16,0.187500
27,125,0.216000
7,52,0.134615
31,157,0.197452
8,51,0.156863
7,44,0.159091
2,13,0.153846
16,93,0.172043
1,3,0.333333
46,178,0.258427
11,54,0.203704
25,170,0.147059
1,2,0.500000
17,65,0.261538
3,10,0.300000
3,15,0.200000
3,24,0.125000
2,13,0.153846
14,97,0.144330
4,25,0.160000
7,43,0.162791
4,54,0.074074
2,24,0.083333
8,58,0.137931
3,34,0.088235
5,59,0.084746
4,40,0.100000
8,60,0.133333
4,52,0.076923
10,80,0.125000
4,38,0.105263
12,67,0.179104
10,101,0.099010
7,66,0.106061
4,43,0.093023
3,31,0.096774
27,148,0.182432
1,19,0.052632
1,19,0.052632
3,33,0.090909
8,66,0.121212
3,26,0.115385
6,40,0.150000
3,21,0.142857
1,3,0.333333
3,14,0.214286
2,25,0.080000
9,65,0.138462
2,19,0.105263
9,50,0.180000
11,72,0.152778
3,29,0.103448
9,60,0.150000
21,91,0.230769
3,15,0.200000
3,35,0.085714
5,76,0.065789
6,41,0.146341
6,36,0.166667
4,35,0.114286
31,139,0.223022
16,78,0.205128
33,146,0.226027
9,62,0.145161
7,48,0.145833
4,42,0.095238
5,47,0.106383
6,52,0.115385
5,40,0.125000
18,117,0.153846
19,107,0.177570
5,62,0.080645
20,119,0.168067
4,29,0.137931
12,114,0.105263
1,15,0.066667
36,170,0.211765
12,89,0.134831
7,63,0.111111
3,37,0.081081
1,9,0.111111
5,41,0.121951
1,9,0.111111
10,71,0.140845
4,40,0.100000
7,55,0.127273
2,20,0.100000
9,47,0.191489
15,84,0.178571
3,45,0.066667
4,39,0.102564
4,25,0.160000
9,61,0.147541
3,29,0.103448
8,44,0.181818
7,39,0.179487
2,25,0.080000
2,14,0.142857
1,12,0.083333
17,88,0.193182
3,29,0.103448
2,23,0.086957
3,21,0.142857
1,7,0.142857
26,153,0.169935
5,44,0.113636
21,92,0.228261
50,201,0.248756
2,21,0.095238
1,13,0.076923
5,34,0.147059
23,124,0.185484
2,22,0.090909
4,24,0.166667
51,229,0.222707
3,35,0.085714
2,21,0.095238
3,35,0.085714
23,163,0.141104
2,20,0.100000
46,230,0.200000
5,42,0.119048
40,170,0.235294
2,9,0.222222
8,39,0.205128
4,23,0.173913
1,14,0.071429
4,47,0.085106
7,46,0.152174
4,25,0.160000
2,24,0.083333
12,69,0.173913
2,25,0.080000
2,19,0.105263
1,13,0.076923
3,33,0.090909
2,19,0.105263
10,74,0.135135
2,13,0.153846
17,93,0.182796
3,17,0.176471
19,98,0.193878
28,131,0.213740
23,121,0.190083
1,12,0.083333
2,17,0.117647
9,77,0.116883
21,98,0.214286
4,28,0.142857
1,19,0.052632
22,161,0.136646
9,98,0.091837
2,19,0.105263
2,36,0.055556
5,40,0.125000
22,134,0.164179
3,29,0.103448
14,71,0.197183
9,75,0.120000
1,7,0.142857
39,160,0.243750
2,21,0.095238
1,7,0.142857
7,70,0.100000
5,44,0.113636
2,16,0.125000
4,22,0.181818
9,48,0.187500
3,19,0.157895
1,17,0.058824
2,24,0.083333
3,36,0.083333
3,61,0.049180
3,24,0.125000
2,21,0.095238
12,64,0.187500
41,163,0.251534
32,131,0.244275
3,20,0.150000
4,26,0.153846
4,26,0.153846
3,28,0.107143
4,33,0.121212
1,18,0.055556
2,19,0.105263
11,84,0.130952
2,19,0.105263
1,16,0.062500
1,16,0.062500
2,29,0.068966
3,21,0.142857
6,57,0.105263
3,22,0.136364
2,18,0.111111
9,70,0.128571
2,22,0.090909
7,41,0.170732
4,30,0.133333
8,53,0.150943
5,58,0.086207
1,13,0.076923
4,24,0.166667
5,37,0.135135
4,24,0.166667
6,39,0.153846
4,29,0.137931
4,22,0.181818
18,93,0.193548
2,16,0.125000
5,41,0.121951
7,49,0.142857
2,23,0.086957
11,59,0.186441
3,25,0.120000
3,30,0.100000
2,21,0.095238
2,20,0.100000
3,21,0.142857
4,35,0.114286
2,17,0.117647
3,22,0.136364
3,30,0.100000
1,12,0.083333
5,20,0.250000
2,7,0.285714
3,45,0.066667
3,23,0.130435
1,3,0.333333
3,17,0.176471
2,5,0.400000
7,40,0.175000
3,29,0.103448
8,64,0.125000
2,20,0.100000
2,22,0.090909
9,55,0.163636
7,62,0.112903
4,21,0.190476
7,61,0.114754
2,23,0.086957
3,27,0.111111
1,7,0.142857
2,11,0.181818
4,32,0.125000
1,2,0.500000
4,40,0.100000
4,26,0.153846
1,2,0.500000
3,44,0.068182
3,22,0.136364
2,12,0.166667
3,16,0.187500
9,56,0.160714
2,11,0.181818
1,6,0.166667
1,6,0.166667
2,19,0.105263
5,46,0.108696
9,63,0.142857
8,59,0.135593
3,23,0.130435
3,39,0.076923
4,42,0.095238
5,44,0.113636
5,28,0.178571
7,63,0.111111
2,25,0.080000
3,44,0.068182
1,22,0.045455
7,76,0.092105
2,32,0.062500
1,22,0.045455
2,25,0.080000
2,14,0.142857
2,14,0.142857
1,6,0.166667
3,31,0.096774
1,6,0.166667
1,2,0.500000
5,41,0.121951
1,6,0.166667
5,12,0.416667
2,29,0.068966
7,48,0.145833
6,46,0.130435
7,47,0.148936
3,25,0.120000
4,26,0.153846
2,11,0.181818
6,58,0.103448
2,21,0.095238
3,28,0.107143
3,28,0.107143
9,59,0.152542
4,33,0.121212
16,77,0.207792
1,6,0.166667
7,43,0.162791
2,21,0.095238
3,11,0.272727
10,71,0.140845
9,81,0.111111
10,83,0.120482
2,27,0.074074
6,61,0.098361
2,21,0.095238
1,3,0.333333
1,3,0.333333
2,39,0.051282
1,20,0.050000
5,35,0.142857
2,53,0.037736
2,37,0.054054
5,56,0.089286
3,40,0.075000
4,47,0.085106
2,19,0.105263
9,93,0.096774
5,45,0.111111
2,30,0.066667
1,6,0.166667
3,28,0.107143
1,14,0.071429
4,29,0.137931
4,17,0.235294
2,11,0.181818
17,118,0.144068
1,12,0.083333
3,25,0.120000
1,4,0.250000
2,19,0.105263
3,13,0.230769
2,17,0.117647
5,34,0.147059
1,13,0.076923
1,13,0.076923
3,29,0.103448
2,15,0.133333
3,20,0.150000
2,25,0.080000
3,20,0.150000
3,20,0.150000
1,14,0.071429
3,23,0.130435
2,17,0.117647
2,8,0.250000
4,37,0.108108
1,7,0.142857
7,38,0.184211
6,33,0.181818
11,44,0.250000
1,5,0.200000
1,5,0.200000
2,18,0.111111
2,18,0.111111
2,27,0.074074
1,6,0.166667
1,6,0.166667
2,7,0.285714
4,19,0.210526
6,57,0.105263
1,12,0.083333
6,53,0.113208
2,18,0.111111
9,60,0.150000
3,34,0.088235
1,14,0.071429
7,36,0.194444
3,24,0.125000
2,37,0.054054
2,11,0.181818
3,26,0.115385
2,14,0.142857
2,14,0.142857
10,77,0.129870
1,11,0.090909
3,22,0.136364
4,14,0.285714
4,45,0.088889
2,22,0.090909
1,21,0.047619
2,22,0.090909
3,40,0.075000
1,9,0.111111
1,9,0.111111
4,25,0.160000
2,16,0.125000
1,9,0.111111
2,26,0.076923
13,79,0.164557
5,37,0.135135
2,21,0.095238
2,24,0.083333
3,27,0.111111
2,20,0.100000
6,52,0.115385
3,34,0.088235
3,27,0.111111
3,17,0.176471
1,7,0.142857
3,8,0.375000
2,13,0.153846
3,19,0.157895
2,22,0.090909
2,27,0.074074
7,35,0.200000
4,28,0.142857
4,25,0.160000
1,6,0.166667
2,19,0.105263
2,24,0.083333
7,49,0.142857
1,16,0.062500
2,27,0.074074
4,23,0.173913
2,9,0.222222
1,11,0.090909
3,26,0.115385
1,10,0.100000
3,30,0.100000
8,74,0.108108
10,67,0.149254
4,13,0.307692
1,7,0.142857
4,29,0.137931
4,26,0.153846
4,48,0.083333
1,3,0.333333
5,48,0.104167
1,39,0.025641
10,66,0.151515
1,39,0.025641
3,40,0.075000
4,46,0.086957
4,55,0.072727
1,39,0.025641
3,52,0.057692
3,62,0.048387
2,44,0.045455
5,47,0.106383
2,18,0.111111
3,36,0.083333
3,28,0.107143
4,18,0.222222
9,57,0.157895
1,4,0.250000
1,22,0.045455
3,38,0.078947
4,35,0.114286
2,23,0.086957
1,22,0.045455
2,23,0.086957
4,40,0.100000
1,9,0.111111
3,22,0.136364
2,16,0.125000
1,13,0.076923
6,34,0.176471
5,30,0.166667
4,22,0.181818
6,45,0.133333
2,21,0.095238
2,17,0.117647
1,2,0.500000
2,34,0.058824
6,41,0.146341
3,36,0.083333
2,20,0.100000
1,17,0.058824
5,47,0.106383
3,19,0.157895
2,15,0.133333
5,42,0.119048
5,43,0.116279
3,21,0.142857
3,15,0.200000
4,49,0.081633
4,28,0.142857
3,29,0.103448
1,6,0.166667
3,27,0.111111
3,22,0.136364
6,44,0.136364
3,26,0.115385
4,36,0.111111
1,13,0.076923
1,13,0.076923
1,13,0.076923
3,36,0.083333
2,22,0.090909
2,19,0.105263
2,9,0.222222
4,45,0.088889
2,33,0.060606
2,7,0.285714
1,6,0.166667
1,9,0.111111
1,8,0.125000
2,14,0.142857
4,23,0.173913
1,6,0.166667
11,91,0.120879
2,25,0.080000
3,19,0.157895
4,39,0.102564
1,6,0.166667
3,37,0.081081
2,7,0.285714
3,24,0.125000
2,17,0.117647
6,22,0.272727
5,33,0.151515
1,18,0.055556
1,20,0.050000
2,31,0.064516
1,7,0.142857
1,2,0.500000
3,44,0.068182
1,7,0.142857
1,3,0.333333
5,35,0.142857
1,4,0.250000
2,32,0.062500
2,20,0.100000
1,17,0.058824
2,22,0.090909
8,23,0.347826
1,6,0.166667
1,4,0.250000
9,66,0.136364
3,25,0.120000
5,47,0.106383
1,13,0.076923
5,38,0.131579
3,37,0.081081
2,16,0.125000
3,19,0.157895
2,22,0.090909
3,17,0.176471
2,15,0.133333
1,12,0.083333
1,12,0.083333
2,21,0.095238
1,3,0.333333
2,12,0.166667
5,22,0.227273
2,26,0.076923
