sum_hyperedge_size,num_nodes,egonet overlapness
8,7,1.142857
208,93,2.236559
412,134,3.074627
51,38,1.342105
517,154,3.357143
606,153,3.960784
961,186,5.166667
628,150,4.186667
181,74,2.445946
79,50,1.580000
243,105,2.314286
309,125,2.472000
333,115,2.895652
115,65,1.769231
211,94,2.244681
22,19,1.157895
501,152,3.296053
434,148,2.932432
546,145,3.765517
27,21,1.285714
64,47,1.361702
88,53,1.660377
170,80,2.125000
275,101,2.722772
331,125,2.648000
468,154,3.038961
717,178,4.028090
39,29,1.344828
515,164,3.140244
434,146,2.972603
251,100,2.510000
484,153,3.163399
515,161,3.198758
681,182,3.741758
21,17,1.235294
234,94,2.489362
42,29,1.448276
385,127,3.031496
487,134,3.634328
36,26,1.384615
107,57,1.877193
29,25,1.160000
300,110,2.727273
991,198,5.005051
11,11,1.000000
596,163,3.656442
66,39,1.692308
35,25,1.400000
1002,194,5.164948
342,114,3.000000
514,153,3.359477
469,139,3.374101
1000,203,4.926108
452,130,3.476923
117,61,1.918033
15,13,1.153846
23,22,1.045455
239,104,2.298077
273,113,2.415929
49,35,1.400000
260,107,2.429907
53,40,1.325000
5,5,1.000000
29,24,1.208333
48,41,1.170732
158,77,2.051948
179,82,2.182927
35,27,1.296296
455,137,3.321168
519,160,3.243750
57,41,1.390244
105,62,1.693548
228,92,2.478261
448,153,2.928105
448,150,2.986667
20,17,1.176471
261,101,2.584158
107,65,1.646154
40,32,1.250000
249,93,2.677419
453,129,3.511628
169,78,2.166667
90,57,1.578947
44,33,1.333333
72,47,1.531915
347,116,2.991379
522,158,3.303797
34,27,1.259259
128,65,1.969231
24,20,1.200000
101,67,1.507463
69,39,1.769231
23,18,1.277778
14,14,1.000000
44,37,1.189189
18,16,1.125000
32,29,1.103448
585,140,4.178571
140,65,2.153846
84,47,1.787234
40,34,1.176471
226,95,2.378947
46,34,1.352941
42,30,1.400000
363,127,2.858268
58,42,1.380952
19,15,1.266667
39,32,1.218750
62,49,1.265306
39,28,1.392857
20,17,1.176471
33,29,1.137931
30,23,1.304348
41,30,1.366667
123,72,1.708333
168,84,2.000000
167,77,2.168831
60,39,1.538462
344,113,3.044248
437,147,2.972789
108,66,1.636364
104,61,1.704918
100,56,1.785714
76,52,1.461538
27,21,1.285714
645,160,4.031250
36,29,1.241379
4,4,1.000000
93,61,1.524590
130,75,1.733333
246,103,2.388350
255,111,2.297297
212,84,2.523810
138,68,2.029412
162,82,1.975610
78,55,1.418182
25,24,1.041667
38,30,1.266667
96,58,1.655172
551,158,3.487342
329,110,2.990909
23,23,1.000000
326,116,2.810345
50,35,1.428571
15,14,1.071429
156,77,2.025974
55,37,1.486486
35,29,1.206897
32,27,1.185185
72,44,1.636364
9,9,1.000000
9,9,1.000000
33,26,1.269231
42,31,1.354839
17,14,1.214286
