sum_hyperedge_size,num_nodes,egonet overlapness
2,2,1.000000
2,2,1.000000
2573,163,15.785276
2583,171,15.105263
2573,163,15.785276
802,87,9.218391
822,51,16.117647
810,87,9.310345
820,51,16.078431
609,29,21.000000
618,28,22.071429
10,10,1.000000
620,28,22.142857
87,31,2.806452
64,17,3.764706
2034,121,16.809917
2,2,1.000000
2,2,1.000000
150,61,2.459016
10,7,1.428571
108,54,2.000000
158,60,2.633333
5,5,1.000000
5,5,1.000000
158,60,2.633333
57,26,2.192308
53,34,1.558824
2,2,1.000000
48,14,3.428571
48,14,3.428571
23,11,2.090909
23,11,2.090909
365,92,3.967391
23,14,1.642857
132,54,2.444444
23,14,1.642857
2,2,1.000000
2,2,1.000000
26,16,1.625000
26,16,1.625000
34,9,3.777778
34,9,3.777778
32,14,2.285714
32,14,2.285714
20,13,1.538462
20,13,1.538462
5,5,1.000000
29,15,1.933333
62,32,1.937500
29,15,1.933333
62,32,1.937500
6,4,1.500000
6,4,1.500000
3,3,1.000000
10,8,1.250000
24,13,1.846154
944,104,9.076923
581,79,7.354430
938,111,8.450450
471,22,21.409091
820,24,34.166667
7,7,1.000000
7,7,1.000000
277,63,4.396825
6,6,1.000000
336,26,12.923077
336,26,12.923077
20,14,1.428571
20,14,1.428571
54,23,2.347826
54,16,3.375000
2,2,1.000000
2,2,1.000000
7,7,1.000000
33,20,1.650000
7,7,1.000000
7,7,1.000000
33,20,1.650000
616,28,22.000000
7,5,1.400000
7,5,1.400000
103,49,2.102041
109,53,2.056604
99,46,2.152174
98,44,2.227273
656,88,7.454545
585,89,6.573034
1005,107,9.392523
593,81,7.320988
1020,112,9.107143
998,107,9.327103
593,81,7.320988
374,77,4.857143
585,89,6.573034
998,107,9.327103
585,89,6.573034
771,90,8.566667
607,81,7.493827
592,92,6.434783
374,77,4.857143
17,13,1.307692
10,6,1.666667
10,6,1.666667
17,13,1.307692
396,68,5.823529
413,74,5.581081
396,68,5.823529
989,87,11.367816
388,47,8.255319
252,41,6.146341
396,68,5.823529
786,53,14.830189
734,54,13.592593
952,70,13.600000
792,56,14.142857
396,68,5.823529
734,54,13.592593
252,41,6.146341
388,47,8.255319
952,70,13.600000
8,5,1.600000
25,14,1.785714
8,5,1.600000
137,71,1.929577
137,71,1.929577
5,5,1.000000
5,5,1.000000
22,13,1.692308
22,13,1.692308
22,13,1.692308
22,13,1.692308
22,13,1.692308
22,13,1.692308
5,3,1.666667
7,4,1.750000
2,2,1.000000
2,2,1.000000
112,43,2.604651
2,2,1.000000
31,8,3.875000
33,11,3.000000
33,11,3.000000
31,8,3.875000
7,7,1.000000
92,38,2.421053
19,8,2.375000
27,13,2.076923
6,4,1.500000
6,4,1.500000
14,8,1.750000
14,8,1.750000
29,23,1.260870
29,23,1.260870
7,3,2.333333
5,3,1.666667
6,4,1.500000
2,2,1.000000
16,13,1.230769
14,12,1.166667
848,45,18.844444
795,45,17.666667
20,7,2.857143
20,7,2.857143
20,7,2.857143
6,5,1.200000
2,2,1.000000
2,2,1.000000
2,2,1.000000
2,2,1.000000
86,31,2.774194
65,27,2.407407
65,27,2.407407
12,7,1.714286
12,7,1.714286
3,3,1.000000
122,35,3.485714
128,39,3.282051
122,35,3.485714
42,14,3.000000
112,28,4.000000
107,26,4.115385
131,40,3.275000
180,43,4.186047
42,14,3.000000
180,43,4.186047
180,43,4.186047
93,19,4.894737
15,7,2.142857
2,2,1.000000
2,2,1.000000
2,2,1.000000
11,6,1.833333
2,2,1.000000
2,2,1.000000
10,7,1.428571
6,6,1.000000
6,6,1.000000
6,6,1.000000
26,13,2.000000
5,5,1.000000
8,6,1.333333
5,5,1.000000
5,5,1.000000
110,44,2.500000
110,44,2.500000
31,16,1.937500
31,16,1.937500
31,16,1.937500
31,16,1.937500
34,18,1.888889
2,2,1.000000
2,2,1.000000
2,2,1.000000
2,2,1.000000
11,6,1.833333
89,32,2.781250
11,6,1.833333
28,10,2.800000
28,10,2.800000
243,83,2.927711
14,7,2.000000
57,20,2.850000
162,52,3.115385
209,75,2.786667
109,47,2.319149
109,47,2.319149
303,53,5.716981
303,53,5.716981
186,36,5.166667
2,2,1.000000
2,2,1.000000
4,4,1.000000
4,4,1.000000
6,4,1.500000
6,4,1.500000
14,7,2.000000
14,7,2.000000
3,3,1.000000
7,4,1.750000
5,3,1.666667
17,11,1.545455
4,4,1.000000
4,4,1.000000
4,4,1.000000
5,5,1.000000
5,5,1.000000
30,16,1.875000
32,18,1.777778
5,5,1.000000
11,6,1.833333
8,5,1.600000
5,5,1.000000
11,6,1.833333
677,29,23.344828
599,28,21.392857
665,21,31.666667
674,25,26.960000
665,21,31.666667
6,5,1.200000
10,7,1.428571
10,7,1.428571
10,7,1.428571
2,2,1.000000
2,2,1.000000
6,4,1.500000
27,19,1.421053
262,67,3.910448
260,66,3.939394
60,37,1.621622
94,38,2.473684
53,29,1.827586
74,32,2.312500
45,26,1.730769
93,40,2.325000
51,23,2.217391
9,5,1.800000
34,13,2.615385
34,13,2.615385
10,6,1.666667
17,9,1.888889
13,11,1.181818
19,10,1.900000
3,3,1.000000
7,5,1.400000
10,6,1.666667
3,3,1.000000
5,4,1.250000
3,3,1.000000
2,2,1.000000
2,2,1.000000
25,11,2.272727
25,11,2.272727
125,34,3.676471
100,32,3.125000
6,4,1.500000
