sum_hyperedge_size,num_nodes,egonet overlapness
0,1,0.000000
38,34,1.117647
2419,499,4.847695
2137,478,4.470711
2328,518,4.494208
753,286,2.632867
534,257,2.077821
655,257,2.548638
446,206,2.165049
399,185,2.156757
517,196,2.637755
9,9,1.000000
345,170,2.029412
108,78,1.384615
62,50,1.240000
1722,432,3.986111
6,6,1.000000
0,1,0.000000
176,115,1.530435
2,2,1.000000
222,127,1.748031
244,122,2.000000
38,32,1.187500
0,1,0.000000
303,170,1.782353
134,91,1.472527
15,11,1.363636
0,1,0.000000
107,76,1.407895
100,69,1.449275
33,27,1.222222
20,16,1.250000
197,125,1.576000
25,24,1.041667
174,88,1.977273
49,38,1.289474
0,1,0.000000
19,18,1.055556
62,51,1.215686
9,8,1.125000
70,50,1.400000
96,80,1.200000
92,67,1.373134
48,36,1.333333
5,5,1.000000
7,7,1.000000
0,1,0.000000
37,29,1.275862
159,104,1.528846
60,45,1.333333
102,75,1.360000
34,28,1.214286
11,9,1.222222
4,4,1.000000
34,27,1.259259
34,28,1.214286
694,261,2.659004
634,273,2.322344
904,337,2.682493
339,171,1.982456
715,270,2.648148
3,3,1.000000
7,7,1.000000
302,170,1.776471
0,1,0.000000
156,96,1.625000
150,92,1.630435
27,25,1.080000
25,22,1.136364
64,52,1.230769
54,44,1.227273
0,1,0.000000
29,28,1.035714
21,19,1.105263
47,41,1.146341
0,1,0.000000
4,4,1.000000
57,50,1.140000
385,192,2.005208
0,1,0.000000
47,39,1.205128
72,58,1.241379
144,99,1.454545
129,87,1.482759
154,102,1.509804
317,171,1.853801
360,165,2.181818
652,268,2.432836
257,138,1.862319
816,288,2.833333
823,317,2.596215
373,186,2.005376
209,116,1.801724
298,160,1.862500
681,272,2.503676
265,154,1.720779
292,145,2.013793
471,192,2.453125
253,142,1.781690
251,141,1.780142
63,47,1.340426
63,46,1.369565
27,24,1.125000
27,23,1.173913
261,153,1.705882
397,200,1.985000
220,132,1.666667
747,274,2.726277
299,150,1.993333
147,92,1.597826
239,137,1.744526
609,243,2.506173
591,248,2.383065
714,282,2.531915
622,238,2.613445
277,155,1.787097
342,173,1.976879
173,106,1.632075
280,157,1.783439
829,296,2.800676
39,34,1.147059
61,53,1.150943
25,22,1.136364
227,121,1.876033
262,145,1.806897
0,1,0.000000
15,13,1.153846
30,23,1.304348
31,26,1.192308
26,23,1.130435
48,39,1.230769
16,16,1.000000
5,5,1.000000
2,2,1.000000
16,16,1.000000
33,28,1.178571
0,1,0.000000
308,169,1.822485
2,2,1.000000
46,36,1.277778
81,58,1.396552
90,61,1.475410
67,50,1.340000
30,26,1.153846
22,17,1.294118
5,4,1.250000
44,37,1.189189
10,9,1.111111
0,1,0.000000
3,3,1.000000
52,43,1.209302
12,9,1.333333
27,24,1.125000
116,85,1.364706
31,28,1.107143
9,9,1.000000
0,1,0.000000
30,24,1.250000
76,60,1.266667
614,242,2.537190
533,230,2.317391
7,7,1.000000
52,45,1.155556
25,21,1.190476
18,17,1.058824
0,1,0.000000
0,1,0.000000
0,1,0.000000
0,1,0.000000
196,113,1.734513
165,106,1.556604
112,81,1.382716
54,47,1.148936
21,18,1.166667
19,18,1.055556
