sum_hyperedge_size,num_nodes,egonet overlapness
17,16,1.062500
145,90,1.611111
153,102,1.500000
108,73,1.479452
63,48,1.312500
396,178,2.224719
250,136,1.838235
420,199,2.110553
165,96,1.718750
27,22,1.227273
24,21,1.142857
135,87,1.551724
98,71,1.380282
220,116,1.896552
472,228,2.070175
236,130,1.815385
61,46,1.326087
482,230,2.095652
262,145,1.806897
56,47,1.191489
1121,386,2.904145
35,29,1.206897
514,226,2.274336
32,25,1.280000
417,198,2.106061
195,121,1.611570
49,42,1.166667
24,22,1.090909
1301,425,3.061176
91,65,1.400000
37,25,1.480000
302,176,1.715909
9,9,1.000000
555,242,2.293388
36,28,1.285714
35,21,1.666667
104,60,1.733333
144,79,1.822785
17,16,1.062500
453,204,2.220588
361,183,1.972678
124,75,1.653333
23,16,1.437500
1046,351,2.980057
299,142,2.105634
343,167,2.053892
459,206,2.228155
157,95,1.652632
56,42,1.333333
503,220,2.286364
423,202,2.094059
553,271,2.040590
278,159,1.748428
14,13,1.076923
21,19,1.105263
231,122,1.893443
503,229,2.196507
15,14,1.071429
23,13,1.769231
15,14,1.071429
5,5,1.000000
9,7,1.285714
50,38,1.315789
50,41,1.219512
35,18,1.944444
21,17,1.235294
17,17,1.000000
57,34,1.676471
51,22,2.318182
105,64,1.640625
28,18,1.555556
94,59,1.593220
73,47,1.553191
39,17,2.294118
48,29,1.655172
50,32,1.562500
78,44,1.772727
28,17,1.647059
72,56,1.285714
963,348,2.767241
9,8,1.125000
58,46,1.260870
12,10,1.200000
153,96,1.593750
40,38,1.052632
107,70,1.528571
111,85,1.305882
77,59,1.305085
512,231,2.216450
156,100,1.560000
42,31,1.354839
147,100,1.470000
71,55,1.290909
9,7,1.285714
250,145,1.724138
88,68,1.294118
68,62,1.096774
12,8,1.500000
21,13,1.615385
40,35,1.142857
45,35,1.285714
336,169,1.988166
23,16,1.437500
16,13,1.230769
35,27,1.296296
42,33,1.272727
32,25,1.280000
31,29,1.068966
122,93,1.311828
29,24,1.208333
33,29,1.137931
467,221,2.113122
212,132,1.606061
34,24,1.416667
69,53,1.301887
46,36,1.277778
42,36,1.166667
73,57,1.280702
256,157,1.630573
39,31,1.258065
66,51,1.294118
28,24,1.166667
14,14,1.000000
122,85,1.435294
14,14,1.000000
237,130,1.823077
32,29,1.103448
151,89,1.696629
506,231,2.190476
63,48,1.312500
23,19,1.210526
225,127,1.771654
17,16,1.062500
259,142,1.823944
209,127,1.645669
13,13,1.000000
17,16,1.062500
145,94,1.542553
101,79,1.278481
47,41,1.146341
54,41,1.317073
172,104,1.653846
459,212,2.165094
11,10,1.100000
62,55,1.127273
223,126,1.769841
32,29,1.103448
537,255,2.105882
156,93,1.677419
88,63,1.396825
23,23,1.000000
123,87,1.413793
456,202,2.257426
48,35,1.371429
169,101,1.673267
39,29,1.344828
122,87,1.402299
274,149,1.838926
26,15,1.733333
70,49,1.428571
53,34,1.558824
47,37,1.270270
37,21,1.761905
23,20,1.150000
29,27,1.074074
78,59,1.322034
165,91,1.813187
19,17,1.117647
63,45,1.400000
40,32,1.250000
43,39,1.102564
51,42,1.214286
103,76,1.355263
195,111,1.756757
48,37,1.297297
234,134,1.746269
472,229,2.061135
20,15,1.333333
19,16,1.187500
403,187,2.155080
197,110,1.790909
203,120,1.691667
356,178,2.000000
93,59,1.576271
271,141,1.921986
56,36,1.555556
382,195,1.958974
281,156,1.801282
11,10,1.100000
109,81,1.345679
478,240,1.991667
58,40,1.450000
47,32,1.468750
119,89,1.337079
13,13,1.000000
58,41,1.414634
55,41,1.341463
62,50,1.240000
146,98,1.489796
23,20,1.150000
16,15,1.066667
55,48,1.145833
13,13,1.000000
76,57,1.333333
343,181,1.895028
154,98,1.571429
693,287,2.414634
473,218,2.169725
42,34,1.235294
184,109,1.688073
62,44,1.409091
343,180,1.905556
11,9,1.222222
82,61,1.344262
8,7,1.142857
4,4,1.000000
11,10,1.100000
434,214,2.028037
54,48,1.125000
20,19,1.052632
70,56,1.250000
302,164,1.841463
294,159,1.849057
31,29,1.068966
218,128,1.703125
15,13,1.153846
12,10,1.200000
267,130,2.053846
76,57,1.333333
137,94,1.457447
200,116,1.724138
9,9,1.000000
41,34,1.205882
40,27,1.481481
48,33,1.454545
31,23,1.347826
39,28,1.392857
21,19,1.105263
61,50,1.220000
180,106,1.698113
47,42,1.119048
68,45,1.511111
62,48,1.291667
23,19,1.210526
13,13,1.000000
44,36,1.222222
49,31,1.580645
252,138,1.826087
26,21,1.238095
150,97,1.546392
25,23,1.086957
252,149,1.691275
36,32,1.125000
160,105,1.523810
587,245,2.395918
91,58,1.568966
80,64,1.250000
16,13,1.230769
56,48,1.166667
29,25,1.160000
9,9,1.000000
9,9,1.000000
53,43,1.232558
25,22,1.136364
31,29,1.068966
97,72,1.347222
38,35,1.085714
92,71,1.295775
34,32,1.062500
73,53,1.377358
70,48,1.458333
102,77,1.324675
115,76,1.513158
23,22,1.045455
126,89,1.415730
13,13,1.000000
45,38,1.184211
132,85,1.552941
43,34,1.264706
21,17,1.235294
148,91,1.626374
103,84,1.226190
28,26,1.076923
67,48,1.395833
527,220,2.395455
35,28,1.250000
60,50,1.200000
32,27,1.185185
175,114,1.535088
112,78,1.435897
48,38,1.263158
49,32,1.531250
27,24,1.125000
128,86,1.488372
19,16,1.187500
21,20,1.050000
224,143,1.566434
26,22,1.181818
164,104,1.576923
125,85,1.470588
152,97,1.567010
92,69,1.333333
126,86,1.465116
110,77,1.428571
9,8,1.125000
43,39,1.102564
146,99,1.474747
34,27,1.259259
46,29,1.586207
16,16,1.000000
16,16,1.000000
24,22,1.090909
74,58,1.275862
29,27,1.074074
34,26,1.307692
28,26,1.076923
16,14,1.142857
143,100,1.430000
28,19,1.473684
52,39,1.333333
44,33,1.333333
193,111,1.738739
76,55,1.381818
126,77,1.636364
364,194,1.876289
35,28,1.250000
51,40,1.275000
96,75,1.280000
44,32,1.375000
7,6,1.166667
39,31,1.258065
93,70,1.328571
53,44,1.204545
59,54,1.092593
16,14,1.142857
28,27,1.037037
53,39,1.358974
19,19,1.000000
49,37,1.324324
78,59,1.322034
32,30,1.066667
34,32,1.062500
33,29,1.137931
81,53,1.528302
123,85,1.447059
72,56,1.285714
50,35,1.428571
73,53,1.377358
46,37,1.243243
31,28,1.107143
25,23,1.086957
45,37,1.216216
7,6,1.166667
33,31,1.064516
43,36,1.194444
184,111,1.657658
163,105,1.552381
100,63,1.587302
33,26,1.269231
47,37,1.270270
14,13,1.076923
78,66,1.181818
161,90,1.788889
69,56,1.232143
19,17,1.117647
80,60,1.333333
40,32,1.250000
44,41,1.073171
96,64,1.500000
42,33,1.272727
36,29,1.241379
16,16,1.000000
106,66,1.606061
51,44,1.159091
255,142,1.795775
31,27,1.148148
76,45,1.688889
126,80,1.575000
25,21,1.190476
17,16,1.062500
75,56,1.339286
32,30,1.066667
20,18,1.111111
108,76,1.421053
190,105,1.809524
45,37,1.216216
8,8,1.000000
21,20,1.050000
29,23,1.260870
57,49,1.163265
36,30,1.200000
223,132,1.689394
72,63,1.142857
27,23,1.173913
10,8,1.250000
4,4,1.000000
65,40,1.625000
14,9,1.555556
42,35,1.200000
7,7,1.000000
40,36,1.111111
83,61,1.360656
78,65,1.200000
30,28,1.071429
23,21,1.095238
70,51,1.372549
21,18,1.166667
57,46,1.239130
121,81,1.493827
37,29,1.275862
162,102,1.588235
11,9,1.222222
6,6,1.000000
21,18,1.166667
33,30,1.100000
38,27,1.407407
40,24,1.666667
18,15,1.200000
74,57,1.298246
19,14,1.357143
147,87,1.689655
103,71,1.450704
53,40,1.325000
119,84,1.416667
23,16,1.437500
40,33,1.212121
45,35,1.285714
74,58,1.275862
3,3,1.000000
44,39,1.128205
19,17,1.117647
132,99,1.333333
40,33,1.212121
22,21,1.047619
8,8,1.000000
81,57,1.421053
18,17,1.058824
52,47,1.106383
23,22,1.045455
14,11,1.272727
27,22,1.227273
53,29,1.827586
74,65,1.138462
83,59,1.406780
47,34,1.382353
15,12,1.250000
20,14,1.428571
78,53,1.471698
8,8,1.000000
14,10,1.400000
21,16,1.312500
111,71,1.563380
21,19,1.105263
89,69,1.289855
3,3,1.000000
40,33,1.212121
52,46,1.130435
13,13,1.000000
16,14,1.142857
45,40,1.125000
13,13,1.000000
52,46,1.130435
61,46,1.326087
13,13,1.000000
28,25,1.120000
13,13,1.000000
22,19,1.157895
2,2,1.000000
51,45,1.133333
71,55,1.290909
48,41,1.170732
22,22,1.000000
87,64,1.359375
22,22,1.000000
22,22,1.000000
57,47,1.212766
36,30,1.200000
17,15,1.133333
20,18,1.111111
40,36,1.111111
15,13,1.153846
20,19,1.052632
15,15,1.000000
30,27,1.111111
71,55,1.290909
15,15,1.000000
60,47,1.276596
31,24,1.291667
28,22,1.272727
10,8,1.250000
161,101,1.594059
134,100,1.340000
78,54,1.444444
21,16,1.312500
28,22,1.272727
49,38,1.289474
14,13,1.076923
86,55,1.563636
56,43,1.302326
5,5,1.000000
18,17,1.058824
2,2,1.000000
6,6,1.000000
8,6,1.333333
61,47,1.297872
20,19,1.052632
2,2,1.000000
38,35,1.085714
65,51,1.274510
32,28,1.142857
25,20,1.250000
5,5,1.000000
26,22,1.181818
38,34,1.117647
57,51,1.117647
22,21,1.047619
52,41,1.268293
22,21,1.047619
40,34,1.176471
37,33,1.121212
24,23,1.043478
27,25,1.080000
33,27,1.222222
2,2,1.000000
42,37,1.135135
25,17,1.470588
38,32,1.187500
28,26,1.076923
27,22,1.227273
14,14,1.000000
20,19,1.052632
15,14,1.071429
124,85,1.458824
35,31,1.129032
30,22,1.363636
10,9,1.111111
3,3,1.000000
50,44,1.136364
17,16,1.062500
22,19,1.157895
19,18,1.055556
32,28,1.142857
20,18,1.111111
13,13,1.000000
13,13,1.000000
13,13,1.000000
34,32,1.062500
51,43,1.186047
20,19,1.052632
20,18,1.111111
57,28,2.035714
6,5,1.200000
10,9,1.111111
38,31,1.225806
5,5,1.000000
2,2,1.000000
40,36,1.111111
37,33,1.121212
29,25,1.160000
69,52,1.326923
9,8,1.125000
2,2,1.000000
25,23,1.086957
4,3,1.333333
16,13,1.230769
9,7,1.285714
27,24,1.125000
24,20,1.200000
18,9,2.000000
20,17,1.176471
36,31,1.161290
78,64,1.218750
64,50,1.280000
12,12,1.000000
31,27,1.148148
89,65,1.369231
20,19,1.052632
136,98,1.387755
39,34,1.147059
63,47,1.340426
10,9,1.111111
14,14,1.000000
14,14,1.000000
32,25,1.280000
28,23,1.217391
2,2,1.000000
61,52,1.173077
33,31,1.064516
52,42,1.238095
21,16,1.312500
8,8,1.000000
18,17,1.058824
46,36,1.277778
60,54,1.111111
160,96,1.666667
105,84,1.250000
8,8,1.000000
8,8,1.000000
40,35,1.142857
37,31,1.193548
64,51,1.254902
80,58,1.379310
36,34,1.058824
27,26,1.038462
85,73,1.164384
104,74,1.405405
23,21,1.095238
11,10,1.100000
47,40,1.175000
15,13,1.153846
4,4,1.000000
4,4,1.000000
42,28,1.500000
21,16,1.312500
109,84,1.297619
8,8,1.000000
14,12,1.166667
14,12,1.166667
44,37,1.189189
38,35,1.085714
53,49,1.081633
49,39,1.256410
74,57,1.298246
15,14,1.071429
6,6,1.000000
6,6,1.000000
32,30,1.066667
15,14,1.071429
57,49,1.163265
21,13,1.615385
50,41,1.219512
32,23,1.391304
4,4,1.000000
44,38,1.157895
24,22,1.090909
10,10,1.000000
26,18,1.444444
9,8,1.125000
20,15,1.333333
19,17,1.117647
61,51,1.196078
40,35,1.142857
30,22,1.363636
40,32,1.250000
53,40,1.325000
10,10,1.000000
89,62,1.435484
33,28,1.178571
33,31,1.064516
39,39,1.000000
39,39,1.000000
56,50,1.120000
84,73,1.150685
76,51,1.490196
88,66,1.333333
47,43,1.093023
45,42,1.071429
41,39,1.051282
71,68,1.044118
39,39,1.000000
52,45,1.155556
70,47,1.489362
42,37,1.135135
7,5,1.400000
38,36,1.055556
9,9,1.000000
24,19,1.263158
24,19,1.263158
21,20,1.050000
20,16,1.250000
6,5,1.200000
9,8,1.125000
42,35,1.200000
81,49,1.653061
17,16,1.062500
43,23,1.869565
16,14,1.142857
43,23,1.869565
33,19,1.736842
42,31,1.354839
45,37,1.216216
22,15,1.466667
30,22,1.363636
26,15,1.733333
24,20,1.200000
26,18,1.444444
18,16,1.125000
5,5,1.000000
5,5,1.000000
20,19,1.052632
20,19,1.052632
27,23,1.173913
68,53,1.283019
2,2,1.000000
12,9,1.333333
17,17,1.000000
17,17,1.000000
17,17,1.000000
27,21,1.285714
36,29,1.241379
33,29,1.137931
96,76,1.263158
16,14,1.142857
61,47,1.297872
10,10,1.000000
34,29,1.172414
7,6,1.166667
7,6,1.166667
78,58,1.344828
43,36,1.194444
41,37,1.108108
33,30,1.100000
12,10,1.200000
19,18,1.055556
46,39,1.179487
49,46,1.065217
21,18,1.166667
9,9,1.000000
9,9,1.000000
34,27,1.259259
11,10,1.100000
51,36,1.416667
76,55,1.381818
20,18,1.111111
17,15,1.133333
3,3,1.000000
43,33,1.303030
24,24,1.000000
2,2,1.000000
7,6,1.166667
4,4,1.000000
29,26,1.115385
20,19,1.052632
111,85,1.305882
17,10,1.700000
51,38,1.342105
10,7,1.428571
38,36,1.055556
26,25,1.040000
14,13,1.076923
11,11,1.000000
17,16,1.062500
11,11,1.000000
49,47,1.042553
18,18,1.000000
57,51,1.117647
43,37,1.162162
17,16,1.062500
27,25,1.080000
7,6,1.166667
19,16,1.187500
15,15,1.000000
17,17,1.000000
28,25,1.120000
34,32,1.062500
40,32,1.250000
124,80,1.550000
22,21,1.047619
25,20,1.250000
30,16,1.875000
33,18,1.833333
30,16,1.875000
46,30,1.533333
52,36,1.444444
78,61,1.278689
13,13,1.000000
13,12,1.083333
6,5,1.200000
17,13,1.307692
24,20,1.200000
31,26,1.192308
21,21,1.000000
64,49,1.306122
29,21,1.380952
28,26,1.076923
36,29,1.241379
51,45,1.133333
43,38,1.131579
42,39,1.076923
24,17,1.411765
27,26,1.038462
28,24,1.166667
27,20,1.350000
23,22,1.045455
38,36,1.055556
28,27,1.037037
21,21,1.000000
36,34,1.058824
39,32,1.218750
8,8,1.000000
18,17,1.058824
20,20,1.000000
12,10,1.200000
15,11,1.363636
29,27,1.074074
6,5,1.200000
5,5,1.000000
5,5,1.000000
5,5,1.000000
31,21,1.476190
2,2,1.000000
9,9,1.000000
26,20,1.300000
23,18,1.277778
21,16,1.312500
63,48,1.312500
47,34,1.382353
35,32,1.093750
18,15,1.200000
19,17,1.117647
64,47,1.361702
38,30,1.266667
16,16,1.000000
28,24,1.166667
16,16,1.000000
16,16,1.000000
16,16,1.000000
16,16,1.000000
16,16,1.000000
39,36,1.083333
21,20,1.050000
23,22,1.045455
8,8,1.000000
8,8,1.000000
15,15,1.000000
4,4,1.000000
4,4,1.000000
17,16,1.062500
6,6,1.000000
21,20,1.050000
6,6,1.000000
2,2,1.000000
2,2,1.000000
43,37,1.162162
50,46,1.086957
2,2,1.000000
6,5,1.200000
5,5,1.000000
28,19,1.473684
3,3,1.000000
26,25,1.040000
25,22,1.136364
16,16,1.000000
21,21,1.000000
38,31,1.225806
2,2,1.000000
7,7,1.000000
21,19,1.105263
10,8,1.250000
44,35,1.257143
3,3,1.000000
17,17,1.000000
58,49,1.183673
31,27,1.148148
19,19,1.000000
2,2,1.000000
4,4,1.000000
2,2,1.000000
12,12,1.000000
17,16,1.062500
45,41,1.097561
14,14,1.000000
15,15,1.000000
15,15,1.000000
17,17,1.000000
5,5,1.000000
24,16,1.500000
20,20,1.000000
20,20,1.000000
44,42,1.047619
2,2,1.000000
8,8,1.000000
13,13,1.000000
21,21,1.000000
21,21,1.000000
21,21,1.000000
28,27,1.037037
27,23,1.173913
13,11,1.181818
21,20,1.050000
29,26,1.115385
45,40,1.125000
38,34,1.117647
27,27,1.000000
30,29,1.034483
32,31,1.032258
31,25,1.240000
20,17,1.176471
26,25,1.040000
15,15,1.000000
15,15,1.000000
24,24,1.000000
24,24,1.000000
12,11,1.090909
51,35,1.457143
13,11,1.181818
14,14,1.000000
15,15,1.000000
15,15,1.000000
15,15,1.000000
15,15,1.000000
19,18,1.055556
15,15,1.000000
5,5,1.000000
9,9,1.000000
2,2,1.000000
13,11,1.181818
43,39,1.102564
10,9,1.111111
18,17,1.058824
22,20,1.100000
2,2,1.000000
7,6,1.166667
8,6,1.333333
15,15,1.000000
15,15,1.000000
15,15,1.000000
21,18,1.166667
10,10,1.000000
12,11,1.090909
4,4,1.000000
24,23,1.043478
19,19,1.000000
19,19,1.000000
29,27,1.074074
26,25,1.040000
14,14,1.000000
5,5,1.000000
7,7,1.000000
15,15,1.000000
16,15,1.066667
8,8,1.000000
19,17,1.117647
29,28,1.035714
5,3,1.666667
11,11,1.000000
13,12,1.083333
6,3,2.000000
9,9,1.000000
4,4,1.000000
3,3,1.000000
8,8,1.000000
14,13,1.076923
4,4,1.000000
4,4,1.000000
15,15,1.000000
29,28,1.035714
19,17,1.117647
14,14,1.000000
22,22,1.000000
7,7,1.000000
3,3,1.000000
35,30,1.166667
19,17,1.117647
12,12,1.000000
23,20,1.150000
7,6,1.166667
4,4,1.000000
23,23,1.000000
11,10,1.100000
16,16,1.000000
11,11,1.000000
31,27,1.148148
7,7,1.000000
13,12,1.083333
5,5,1.000000
8,8,1.000000
13,12,1.083333
8,8,1.000000
44,34,1.294118
27,23,1.173913
30,27,1.111111
37,34,1.088235
7,7,1.000000
21,19,1.105263
7,7,1.000000
14,14,1.000000
29,28,1.035714
14,14,1.000000
14,14,1.000000
17,17,1.000000
17,17,1.000000
2,2,1.000000
16,16,1.000000
18,14,1.285714
2,2,1.000000
19,19,1.000000
6,6,1.000000
6,6,1.000000
11,10,1.100000
7,7,1.000000
7,7,1.000000
5,5,1.000000
15,15,1.000000
2,2,1.000000
13,13,1.000000
4,4,1.000000
4,4,1.000000
2,2,1.000000
2,2,1.000000
6,6,1.000000
9,9,1.000000
4,4,1.000000
2,2,1.000000
14,14,1.000000
15,13,1.153846
3,3,1.000000
15,15,1.000000
15,15,1.000000
6,6,1.000000
4,4,1.000000
8,8,1.000000
13,13,1.000000
13,13,1.000000
2,2,1.000000
9,9,1.000000
2,2,1.000000
15,15,1.000000
6,6,1.000000
20,20,1.000000
20,20,1.000000
18,18,1.000000
18,18,1.000000
4,4,1.000000
4,4,1.000000
26,24,1.083333
5,5,1.000000
14,14,1.000000
9,9,1.000000
