sum_hyperedge_size,num_nodes,egonet overlapness
66,52,1.269231
558,240,2.325000
289,123,2.349593
414,172,2.406977
539,223,2.417040
31,28,1.107143
161,109,1.477064
242,134,1.805970
84,65,1.292308
43,37,1.162162
183,113,1.619469
20,17,1.176471
198,99,2.000000
174,111,1.567568
321,160,2.006250
140,85,1.647059
214,108,1.981481
8,7,1.142857
259,118,2.194915
538,219,2.456621
147,91,1.615385
444,185,2.400000
227,120,1.891667
460,182,2.527473
23,20,1.150000
944,326,2.895706
86,71,1.211268
8,6,1.333333
23,18,1.277778
66,46,1.434783
48,44,1.090909
18,16,1.125000
21,18,1.166667
245,128,1.914062
94,65,1.446154
39,34,1.147059
29,28,1.035714
313,159,1.968553
234,123,1.902439
313,143,2.188811
223,114,1.956140
390,162,2.407407
114,78,1.461538
11,11,1.000000
97,67,1.447761
30,27,1.111111
81,49,1.653061
33,27,1.222222
30,25,1.200000
204,128,1.593750
484,203,2.384236
490,204,2.401961
28,26,1.076923
102,64,1.593750
390,180,2.166667
547,246,2.223577
6,6,1.000000
93,62,1.500000
967,307,3.149837
1067,358,2.980447
59,48,1.229167
6,6,1.000000
273,158,1.727848
69,53,1.301887
5,5,1.000000
195,122,1.598361
622,218,2.853211
338,167,2.023952
93,73,1.273973
544,213,2.553991
381,180,2.116667
517,226,2.287611
38,35,1.085714
58,47,1.234043
230,122,1.885246
274,135,2.029630
69,54,1.277778
52,39,1.333333
33,28,1.178571
180,104,1.730769
435,191,2.277487
252,119,2.117647
57,40,1.425000
41,38,1.078947
214,123,1.739837
235,146,1.609589
16,12,1.333333
145,72,2.013889
284,138,2.057971
92,70,1.314286
35,27,1.296296
346,148,2.337838
445,196,2.270408
1069,346,3.089595
652,261,2.498084
43,33,1.303030
606,243,2.493827
92,58,1.586207
44,35,1.257143
6,5,1.200000
306,148,2.067568
13,12,1.083333
264,126,2.095238
157,80,1.962500
395,177,2.231638
83,53,1.566038
31,26,1.192308
109,76,1.434211
27,25,1.080000
643,248,2.592742
19,18,1.055556
49,39,1.256410
67,43,1.558140
14,14,1.000000
72,48,1.500000
30,28,1.071429
11,11,1.000000
237,130,1.823077
292,143,2.041958
39,32,1.218750
93,64,1.453125
28,26,1.076923
42,29,1.448276
111,62,1.790323
64,42,1.523810
33,24,1.375000
41,33,1.242424
60,37,1.621622
96,66,1.454545
73,43,1.697674
425,196,2.168367
255,128,1.992188
182,104,1.750000
167,89,1.876404
