num_hes,num_nodes,egonet density
48,45,1.066667
32,38,0.842105
62,53,1.169811
29,31,0.935484
33,36,0.916667
76,52,1.461538
72,51,1.411765
119,65,1.830769
28,36,0.777778
38,43,0.883721
149,71,2.098592
81,56,1.446429
108,73,1.479452
89,57,1.561404
93,58,1.603448
78,53,1.471698
90,58,1.551724
77,52,1.480769
97,61,1.590164
93,60,1.550000
68,50,1.360000
159,76,2.092105
80,52,1.538462
55,49,1.122449
18,21,0.857143
65,47,1.382979
65,53,1.226415
66,56,1.178571
60,45,1.333333
115,67,1.716418
52,43,1.209302
75,55,1.363636
86,61,1.409836
33,31,1.064516
80,56,1.428571
62,53,1.169811
42,40,1.050000
26,29,0.896552
98,65,1.507692
34,39,0.871795
70,52,1.346154
89,65,1.369231
49,45,1.088889
27,30,0.900000
49,41,1.195122
52,41,1.268293
76,53,1.433962
109,59,1.847458
61,51,1.196078
83,55,1.509091
76,58,1.310345
64,56,1.142857
36,38,0.947368
80,59,1.355932
36,38,0.947368
119,65,1.830769
41,33,1.242424
55,53,1.037736
40,36,1.111111
17,22,0.772727
45,47,0.957447
28,33,0.848485
95,57,1.666667
60,51,1.176471
98,64,1.531250
37,34,1.088235
41,39,1.051282
82,54,1.518519
84,57,1.473684
63,48,1.312500
34,34,1.000000
75,59,1.271186
41,43,0.953488
7,10,0.700000
52,47,1.106383
67,52,1.288462
82,54,1.518519
95,57,1.666667
132,69,1.913043
66,54,1.222222
73,58,1.258621
32,35,0.914286
60,50,1.200000
89,59,1.508475
104,63,1.650794
30,30,1.000000
127,76,1.671053
70,58,1.206897
39,37,1.054054
96,60,1.600000
109,60,1.816667
25,26,0.961538
106,63,1.682540
58,51,1.137255
93,62,1.500000
76,48,1.583333
70,55,1.272727
69,53,1.301887
76,51,1.490196
59,52,1.134615
69,57,1.210526
41,39,1.051282
86,63,1.365079
32,33,0.969697
57,39,1.461538
68,50,1.360000
89,59,1.508475
96,63,1.523810
45,41,1.097561
84,60,1.400000
86,68,1.264706
83,59,1.406780
75,55,1.363636
42,40,1.050000
54,43,1.255814
39,34,1.147059
55,48,1.145833
42,42,1.000000
62,48,1.291667
91,55,1.654545
113,66,1.712121
79,51,1.549020
146,66,2.212121
75,51,1.470588
63,51,1.235294
32,35,0.914286
108,66,1.636364
50,40,1.250000
64,44,1.454545
58,42,1.380952
32,37,0.864865
76,56,1.357143
59,45,1.311111
51,42,1.214286
52,47,1.106383
85,53,1.603774
66,50,1.320000
68,54,1.259259
54,40,1.350000
64,56,1.142857
71,57,1.245614
44,49,0.897959
36,33,1.090909
53,37,1.432432
79,56,1.410714
43,40,1.075000
33,36,0.916667
69,52,1.326923
32,25,1.280000
129,67,1.925373
18,22,0.818182
28,30,0.933333
106,69,1.536232
52,52,1.000000
92,54,1.703704
70,50,1.400000
76,57,1.333333
9,13,0.692308
59,45,1.311111
69,56,1.232143
31,31,1.000000
41,42,0.976190
42,39,1.076923
40,36,1.111111
49,50,0.980000
48,47,1.021277
47,41,1.146341
82,54,1.518519
18,20,0.900000
52,54,0.962963
55,50,1.100000
43,44,0.977273
58,54,1.074074
77,54,1.425926
53,42,1.261905
74,56,1.321429
56,48,1.166667
60,46,1.304348
79,57,1.385965
57,48,1.187500
100,62,1.612903
55,48,1.145833
36,32,1.125000
33,37,0.891892
17,21,0.809524
50,40,1.250000
88,65,1.353846
54,43,1.255814
49,47,1.042553
54,47,1.148936
53,46,1.152174
58,52,1.115385
76,60,1.266667
83,59,1.406780
43,41,1.048780
46,40,1.150000
32,35,0.914286
65,49,1.326531
33,36,0.916667
42,46,0.913043
4,7,0.571429
18,25,0.720000
74,60,1.233333
37,40,0.925000
55,45,1.222222
68,44,1.545455
41,37,1.108108
33,36,0.916667
109,61,1.786885
30,34,0.882353
34,31,1.096774
42,43,0.976744
81,56,1.446429
46,38,1.210526
102,65,1.569231
26,28,0.928571
109,65,1.676923
27,30,0.900000
26,30,0.866667
57,46,1.239130
108,63,1.714286
39,39,1.000000
106,59,1.796610
87,60,1.450000
68,51,1.333333
52,46,1.130435
73,55,1.327273
35,32,1.093750
51,42,1.214286
47,38,1.236842
38,39,0.974359
39,41,0.951220
68,52,1.307692
23,28,0.821429
15,21,0.714286
67,63,1.063492
86,59,1.457627
49,38,1.289474
56,46,1.217391
72,54,1.333333
61,50,1.220000
38,40,0.950000
48,41,1.170732
68,50,1.360000
94,54,1.740741
86,62,1.387097
45,44,1.022727
47,40,1.175000
33,37,0.891892
59,48,1.229167
68,46,1.478261
54,44,1.227273
62,50,1.240000
43,45,0.955556
56,45,1.244444
52,46,1.130435
28,31,0.903226
33,31,1.064516
33,37,0.891892
60,46,1.304348
60,52,1.153846
41,34,1.205882
18,20,0.900000
49,43,1.139535
92,56,1.642857
21,22,0.954545
14,23,0.608696
29,26,1.115385
20,22,0.909091
71,53,1.339623
58,47,1.234043
58,49,1.183673
64,57,1.122807
45,45,1.000000
15,16,0.937500
46,46,1.000000
56,51,1.098039
60,53,1.132075
42,44,0.954545
60,53,1.132075
9,12,0.750000
72,51,1.411765
6,9,0.666667
42,40,1.050000
12,15,0.800000
20,24,0.833333
38,35,1.085714
11,14,0.785714
17,20,0.850000
28,30,0.933333
26,31,0.838710
5,7,0.714286
23,29,0.793103
13,17,0.764706
36,29,1.241379
23,28,0.821429
9,14,0.642857
30,30,1.000000
26,24,1.083333
17,22,0.772727
33,41,0.804878
15,19,0.789474
42,39,1.076923
49,46,1.065217
23,26,0.884615
21,27,0.777778
31,37,0.837838
27,26,1.038462
18,24,0.750000
35,36,0.972222
76,58,1.310345
23,30,0.766667
49,45,1.088889
25,35,0.714286
32,34,0.941176
16,20,0.800000
24,25,0.960000
48,40,1.200000
17,21,0.809524
35,43,0.813953
14,20,0.700000
23,23,1.000000
26,33,0.787879
14,19,0.736842
23,25,0.920000
1,3,0.333333
11,17,0.647059
