num_hes,num_nodes,egonet density
36,27,1.333333
44,30,1.466667
33,24,1.375000
72,37,1.945946
66,35,1.885714
74,44,1.681818
63,34,1.852941
53,29,1.827586
35,28,1.250000
117,70,1.671429
96,63,1.523810
58,39,1.487179
74,49,1.510204
42,27,1.555556
40,21,1.904762
46,34,1.352941
48,31,1.548387
98,53,1.849057
100,68,1.470588
60,40,1.500000
98,62,1.580645
23,23,1.000000
121,52,2.326923
73,40,1.825000
58,42,1.380952
27,25,1.080000
29,30,0.966667
53,38,1.394737
47,30,1.566667
99,42,2.357143
65,37,1.756757
54,35,1.542857
71,39,1.820513
59,33,1.787879
93,46,2.021739
16,16,1.000000
50,36,1.388889
70,60,1.166667
66,50,1.320000
59,48,1.229167
28,25,1.120000
23,18,1.277778
80,38,2.105263
57,31,1.838710
38,34,1.117647
19,19,1.000000
21,20,1.050000
60,34,1.764706
83,40,2.075000
114,70,1.628571
22,17,1.294118
44,28,1.571429
89,68,1.308824
41,34,1.205882
26,22,1.181818
62,41,1.512195
67,41,1.634146
49,30,1.633333
91,45,2.022222
56,33,1.696970
116,85,1.364706
83,44,1.886364
34,26,1.307692
51,36,1.416667
73,44,1.659091
73,38,1.921053
55,38,1.447368
44,39,1.128205
25,23,1.086957
16,15,1.066667
56,40,1.400000
86,46,1.869565
122,78,1.564103
41,35,1.171429
105,73,1.438356
99,42,2.357143
78,52,1.500000
98,57,1.719298
41,30,1.366667
72,40,1.800000
63,42,1.500000
75,48,1.562500
64,42,1.523810
69,44,1.568182
101,41,2.463415
46,30,1.533333
50,37,1.351351
68,39,1.743590
44,36,1.222222
81,44,1.840909
57,36,1.583333
83,39,2.128205
48,43,1.116279
53,31,1.709677
85,57,1.491228
20,20,1.000000
47,31,1.516129
40,30,1.333333
74,39,1.897436
67,42,1.595238
93,52,1.788462
74,61,1.213115
58,34,1.705882
39,30,1.300000
41,33,1.242424
58,43,1.348837
68,46,1.478261
148,77,1.922078
147,88,1.670455
50,30,1.666667
25,21,1.190476
69,42,1.642857
109,54,2.018519
75,43,1.744186
99,42,2.357143
73,41,1.780488
58,40,1.450000
51,38,1.342105
28,27,1.037037
23,21,1.095238
78,62,1.258065
65,39,1.666667
28,25,1.120000
56,31,1.806452
100,52,1.923077
52,43,1.209302
48,34,1.411765
113,56,2.017857
17,17,1.000000
66,37,1.783784
46,36,1.277778
63,41,1.536585
50,33,1.515152
110,53,2.075472
89,48,1.854167
13,11,1.181818
62,40,1.550000
