num_hes,num_nodes,egonet density
0,1,0.000000
75,88,0.852273
30,41,0.731707
96,114,0.842105
69,87,0.793103
82,93,0.881720
59,64,0.921875
53,62,0.854839
38,51,0.745098
110,121,0.909091
84,93,0.903226
57,75,0.760000
80,92,0.869565
41,51,0.803922
40,51,0.784314
55,68,0.808824
46,62,0.741935
101,109,0.926606
109,120,0.908333
48,68,0.705882
97,113,0.858407
21,30,0.700000
121,122,0.991803
74,81,0.913580
54,68,0.794118
28,38,0.736842
36,51,0.705882
45,58,0.775862
41,60,0.683333
87,99,0.878788
84,106,0.792453
59,75,0.786667
71,84,0.845238
57,67,0.850746
122,124,0.983871
21,26,0.807692
38,47,0.808511
80,102,0.784314
68,93,0.731183
65,83,0.783133
28,39,0.717949
26,41,0.634146
85,92,0.923913
61,70,0.871429
27,32,0.843750
15,23,0.652174
19,29,0.655172
62,85,0.729412
80,93,0.860215
110,121,0.909091
29,37,0.783784
59,71,0.830986
102,115,0.886957
41,45,0.911111
27,33,0.818182
64,76,0.842105
53,72,0.736111
57,74,0.770270
81,100,0.810000
41,54,0.759259
99,111,0.891892
84,85,0.988235
33,45,0.733333
51,65,0.784615
67,85,0.788235
80,96,0.833333
54,71,0.760563
44,60,0.733333
26,35,0.742857
18,21,0.857143
53,65,0.815385
101,118,0.855932
115,130,0.884615
50,67,0.746269
95,108,0.879630
96,109,0.880734
75,93,0.806452
98,110,0.890909
42,63,0.666667
89,99,0.898990
58,66,0.878788
85,96,0.885417
51,68,0.750000
59,78,0.756410
101,120,0.841667
51,68,0.750000
44,53,0.830189
64,79,0.810127
51,67,0.761194
74,97,0.762887
50,53,0.943396
73,82,0.890244
41,51,0.803922
48,54,0.888889
98,100,0.980000
14,23,0.608696
45,58,0.775862
43,51,0.843137
82,102,0.803922
68,79,0.860759
73,91,0.802198
74,89,0.831461
61,76,0.802632
39,55,0.709091
30,41,0.731707
56,70,0.800000
65,78,0.833333
159,161,0.987578
156,149,1.046980
48,60,0.800000
21,26,0.807692
68,79,0.860759
124,131,0.946565
68,81,0.839506
126,132,0.954545
70,83,0.843373
70,78,0.897436
47,61,0.770492
28,44,0.636364
21,29,0.724138
86,94,0.914894
52,64,0.812500
15,23,0.652174
70,95,0.736842
90,102,0.882353
39,50,0.780000
51,58,0.879310
116,123,0.943089
18,31,0.580645
72,83,0.867470
35,45,0.777778
58,62,0.935484
45,63,0.714286
110,109,1.009174
96,112,0.857143
10,12,0.833333
66,77,0.857143
47,62,0.758065
56,71,0.788732
32,45,0.711111
91,101,0.900990
22,33,0.666667
90,105,0.857143
67,82,0.817073
28,39,0.717949
65,81,0.802469
90,95,0.947368
64,77,0.831169
48,61,0.786885
57,66,0.863636
36,50,0.720000
24,32,0.750000
63,78,0.807692
41,63,0.650794
62,81,0.765432
12,15,0.800000
19,26,0.730769
76,84,0.904762
24,34,0.705882
53,62,0.854839
88,96,0.916667
125,136,0.919118
27,37,0.729730
86,94,0.914894
22,28,0.785714
18,33,0.545455
89,106,0.839623
25,36,0.694444
86,102,0.843137
90,109,0.825688
51,73,0.698630
69,84,0.821429
104,119,0.873950
81,89,0.910112
87,99,0.878788
76,85,0.894118
92,107,0.859813
75,85,0.882353
92,103,0.893204
28,38,0.736842
18,26,0.692308
28,36,0.777778
51,54,0.944444
53,67,0.791045
105,114,0.921053
72,82,0.878049
88,109,0.807339
52,67,0.776119
45,58,0.775862
65,77,0.844156
6,9,0.666667
26,40,0.650000
35,38,0.921053
48,65,0.738462
32,39,0.820513
83,91,0.912088
40,52,0.769231
46,60,0.766667
54,65,0.830769
20,29,0.689655
42,59,0.711864
91,99,0.919192
72,86,0.837209
17,26,0.653846
44,58,0.758621
121,121,1.000000
66,77,0.857143
30,44,0.681818
54,70,0.771429
39,54,0.722222
32,53,0.603774
28,33,0.848485
56,70,0.800000
56,73,0.767123
46,63,0.730159
61,74,0.824324
82,100,0.820000
76,89,0.853933
70,91,0.769231
45,57,0.789474
42,50,0.840000
49,64,0.765625
46,51,0.901961
31,42,0.738095
52,69,0.753623
60,80,0.750000
45,57,0.789474
63,76,0.828947
49,59,0.830508
25,30,0.833333
22,27,0.814815
49,64,0.765625
63,80,0.787500
20,25,0.800000
78,97,0.804124
37,52,0.711538
43,53,0.811321
22,31,0.709677
49,66,0.742424
4,7,0.571429
43,57,0.754386
79,88,0.897727
19,29,0.655172
42,63,0.666667
45,54,0.833333
49,55,0.890909
34,49,0.693878
22,36,0.611111
83,100,0.830000
36,49,0.734694
45,62,0.725806
21,30,0.700000
31,41,0.756098
26,38,0.684211
41,47,0.872340
54,65,0.830769
22,29,0.758621
93,102,0.911765
89,99,0.898990
30,39,0.769231
66,74,0.891892
61,76,0.802632
47,67,0.701493
60,74,0.810811
88,101,0.871287
44,59,0.745763
42,53,0.792453
70,87,0.804598
85,105,0.809524
26,36,0.722222
42,61,0.688525
64,77,0.831169
48,61,0.786885
25,33,0.757576
42,51,0.823529
87,102,0.852941
60,75,0.800000
33,53,0.622642
33,48,0.687500
76,88,0.863636
94,100,0.940000
18,24,0.750000
14,23,0.608696
23,38,0.605263
102,120,0.850000
55,69,0.797101
110,119,0.924370
53,67,0.791045
8,13,0.615385
30,38,0.789474
43,62,0.693548
69,90,0.766667
80,93,0.860215
34,45,0.755556
27,35,0.771429
55,65,0.846154
33,44,0.750000
80,98,0.816327
79,94,0.840426
25,34,0.735294
65,81,0.802469
93,105,0.885714
99,116,0.853448
9,14,0.642857
87,96,0.906250
26,36,0.722222
18,22,0.818182
7,10,0.700000
19,25,0.760000
31,40,0.775000
21,26,0.807692
40,52,0.769231
41,50,0.820000
44,55,0.800000
8,14,0.571429
49,62,0.790323
72,81,0.888889
48,61,0.786885
8,15,0.533333
41,58,0.706897
48,63,0.761905
10,16,0.625000
63,77,0.818182
10,12,0.833333
5,7,0.714286
49,61,0.803279
12,17,0.705882
