num_hes,num_nodes,egonet density
79,73,1.082192
61,72,0.847222
52,71,0.732394
55,61,0.901639
90,86,1.046512
71,69,1.028986
40,44,0.909091
44,50,0.880000
91,82,1.109756
48,58,0.827586
82,83,0.987952
64,72,0.888889
36,37,0.972973
68,62,1.096774
50,54,0.925926
149,125,1.192000
27,27,1.000000
80,83,0.963855
47,52,0.903846
90,82,1.097561
79,89,0.887640
53,58,0.913793
43,53,0.811321
51,59,0.864407
109,104,1.048077
70,71,0.985915
123,120,1.025000
16,22,0.727273
73,83,0.879518
79,84,0.940476
58,50,1.160000
23,30,0.766667
95,83,1.144578
66,64,1.031250
47,58,0.810345
76,75,1.013333
91,85,1.070588
71,71,1.000000
64,64,1.000000
21,32,0.656250
39,53,0.735849
40,47,0.851064
10,14,0.714286
60,55,1.090909
43,51,0.843137
120,103,1.165049
105,93,1.129032
85,89,0.955056
68,80,0.850000
55,52,1.057692
45,48,0.937500
64,67,0.955224
146,130,1.123077
42,49,0.857143
110,103,1.067961
51,60,0.850000
122,97,1.257732
75,72,1.041667
48,54,0.888889
68,65,1.046154
73,83,0.879518
81,73,1.109589
29,36,0.805556
56,48,1.166667
74,74,1.000000
45,63,0.714286
145,120,1.208333
66,77,0.857143
63,63,1.000000
113,108,1.046296
59,67,0.880597
33,48,0.687500
82,74,1.108108
24,34,0.705882
118,106,1.113208
92,92,1.000000
91,83,1.096386
98,93,1.053763
85,78,1.089744
86,88,0.977273
102,99,1.030303
45,55,0.818182
75,62,1.209677
39,45,0.866667
19,24,0.791667
17,22,0.772727
74,71,1.042254
87,80,1.087500
68,50,1.360000
86,79,1.088608
83,75,1.106667
53,59,0.898305
64,61,1.049180
55,54,1.018519
101,91,1.109890
109,104,1.048077
22,27,0.814815
91,87,1.045977
110,101,1.089109
48,54,0.888889
66,69,0.956522
61,75,0.813333
46,55,0.836364
102,97,1.051546
28,32,0.875000
87,90,0.966667
12,18,0.666667
38,47,0.808511
49,57,0.859649
128,105,1.219048
85,86,0.988372
27,38,0.710526
48,53,0.905660
26,29,0.896552
49,50,0.980000
43,47,0.914894
77,89,0.865169
41,41,1.000000
39,44,0.886364
74,75,0.986667
68,71,0.957746
68,70,0.971429
25,43,0.581395
23,27,0.851852
99,86,1.151163
75,72,1.041667
125,99,1.262626
78,82,0.951220
38,51,0.745098
74,71,1.042254
51,59,0.864407
36,45,0.800000
74,61,1.213115
32,41,0.780488
2,4,0.500000
31,36,0.861111
96,91,1.054945
56,55,1.018182
104,100,1.040000
106,97,1.092784
105,95,1.105263
93,87,1.068966
104,101,1.029703
70,74,0.945946
50,60,0.833333
98,88,1.113636
55,52,1.057692
100,91,1.098901
61,68,0.897059
44,44,1.000000
48,35,1.371429
70,70,1.000000
67,70,0.957143
50,54,0.925926
56,53,1.056604
27,31,0.870968
51,48,1.062500
112,101,1.108911
106,94,1.127660
87,90,0.966667
44,48,0.916667
52,52,1.000000
126,116,1.086207
58,65,0.892308
46,55,0.836364
72,74,0.972973
21,27,0.777778
89,87,1.022989
56,59,0.949153
61,71,0.859155
109,101,1.079208
20,27,0.740741
32,42,0.761905
79,73,1.082192
76,68,1.117647
17,18,0.944444
63,65,0.969231
21,27,0.777778
37,43,0.860465
20,27,0.740741
85,83,1.024096
53,60,0.883333
81,72,1.125000
67,77,0.870130
25,35,0.714286
52,55,0.945455
15,22,0.681818
73,69,1.057971
57,53,1.075472
88,85,1.035294
90,81,1.111111
35,46,0.760870
94,96,0.979167
36,43,0.837209
46,53,0.867925
67,63,1.063492
46,58,0.793103
48,56,0.857143
38,41,0.926829
20,31,0.645161
28,35,0.800000
27,30,0.900000
35,44,0.795455
25,27,0.925926
52,64,0.812500
42,57,0.736842
40,54,0.740741
16,24,0.666667
53,60,0.883333
47,45,1.044444
30,38,0.789474
36,39,0.923077
62,71,0.873239
50,61,0.819672
72,65,1.107692
78,79,0.987342
62,65,0.953846
39,54,0.722222
23,27,0.851852
57,61,0.934426
11,16,0.687500
21,26,0.807692
71,75,0.946667
54,55,0.981818
59,62,0.951613
12,17,0.705882
17,22,0.772727
46,49,0.938776
73,81,0.901235
68,67,1.014925
65,72,0.902778
40,49,0.816327
73,69,1.057971
66,66,1.000000
26,30,0.866667
74,77,0.961039
50,55,0.909091
32,43,0.744186
29,36,0.805556
68,83,0.819277
82,75,1.093333
40,49,0.816327
31,39,0.794872
55,56,0.982143
43,48,0.895833
22,30,0.733333
41,53,0.773585
59,63,0.936508
41,52,0.788462
