num_hes,num_nodes,egonet density
75,76,0.986842
67,66,1.015152
122,103,1.184466
69,70,0.985714
29,31,0.935484
24,34,0.705882
76,77,0.987013
43,46,0.934783
61,52,1.173077
55,52,1.057692
32,34,0.941176
85,76,1.118421
61,58,1.051724
56,64,0.875000
69,61,1.131148
49,52,0.942308
23,27,0.851852
31,38,0.815789
74,63,1.174603
96,76,1.263158
61,64,0.953125
58,55,1.054545
50,43,1.162791
88,80,1.100000
75,66,1.136364
56,60,0.933333
86,81,1.061728
83,68,1.220588
86,74,1.162162
53,54,0.981481
81,72,1.125000
79,76,1.039474
90,74,1.216216
67,69,0.971014
61,51,1.196078
36,42,0.857143
101,87,1.160920
25,28,0.892857
84,64,1.312500
19,26,0.730769
67,53,1.264151
56,56,1.000000
110,85,1.294118
46,42,1.095238
60,50,1.200000
69,67,1.029851
63,57,1.105263
82,74,1.108108
96,75,1.280000
51,58,0.879310
38,50,0.760000
95,88,1.079545
69,59,1.169492
19,24,0.791667
70,64,1.093750
70,73,0.958904
48,51,0.941176
48,62,0.774194
85,73,1.164384
115,94,1.223404
46,42,1.095238
64,53,1.207547
68,57,1.192982
69,57,1.210526
75,67,1.119403
30,40,0.750000
53,58,0.913793
33,37,0.891892
29,28,1.035714
49,54,0.907407
169,110,1.536364
78,57,1.368421
76,69,1.101449
66,58,1.137931
55,53,1.037736
86,76,1.131579
75,60,1.250000
79,67,1.179104
62,55,1.127273
45,52,0.865385
56,60,0.933333
35,45,0.777778
69,69,1.000000
91,79,1.151899
26,28,0.928571
73,65,1.123077
22,30,0.733333
92,72,1.277778
84,72,1.166667
53,58,0.913793
118,101,1.168317
79,74,1.067568
104,72,1.444444
42,45,0.933333
91,77,1.181818
47,46,1.021739
86,85,1.011765
36,35,1.028571
78,67,1.164179
111,88,1.261364
52,52,1.000000
37,47,0.787234
68,73,0.931507
53,57,0.929825
50,57,0.877193
63,63,1.000000
66,69,0.956522
27,34,0.794118
83,79,1.050633
88,88,1.000000
102,93,1.096774
107,85,1.258824
33,41,0.804878
116,101,1.148515
43,39,1.102564
15,19,0.789474
72,64,1.125000
123,96,1.281250
112,89,1.258427
62,71,0.873239
68,60,1.133333
88,84,1.047619
112,85,1.317647
117,97,1.206186
60,58,1.034483
98,84,1.166667
74,69,1.072464
68,60,1.133333
29,38,0.763158
39,45,0.866667
43,54,0.796296
43,44,0.977273
72,68,1.058824
47,54,0.870370
55,69,0.797101
36,34,1.058824
81,57,1.421053
45,50,0.900000
87,72,1.208333
102,92,1.108696
78,67,1.164179
94,92,1.021739
65,64,1.015625
55,62,0.887097
87,82,1.060976
51,51,1.000000
137,106,1.292453
36,39,0.923077
24,36,0.666667
31,32,0.968750
59,57,1.035088
40,49,0.816327
39,45,0.866667
56,58,0.965517
19,25,0.760000
31,37,0.837838
25,34,0.735294
52,57,0.912281
