sum_hyperedge_size,num_nodes,egonet overlapness
117,45,2.600000
82,38,2.157895
160,53,3.018868
70,31,2.258065
84,36,2.333333
180,52,3.461538
170,51,3.333333
302,65,4.646154
72,36,2.000000
90,43,2.093023
363,71,5.112676
191,56,3.410714
260,73,3.561644
224,57,3.929825
226,58,3.896552
187,53,3.528302
227,58,3.913793
186,52,3.576923
236,61,3.868852
222,60,3.700000
169,50,3.380000
385,76,5.065789
191,52,3.673077
142,49,2.897959
42,21,2.000000
149,47,3.170213
162,53,3.056604
174,56,3.107143
146,45,3.244444
289,67,4.313433
123,43,2.860465
178,55,3.236364
214,61,3.508197
79,31,2.548387
201,56,3.589286
148,53,2.792453
103,40,2.575000
65,29,2.241379
242,65,3.723077
84,39,2.153846
170,52,3.269231
229,65,3.523077
120,45,2.666667
67,30,2.233333
118,41,2.878049
125,41,3.048780
174,53,3.283019
281,59,4.762712
148,51,2.901961
197,55,3.581818
186,58,3.206897
164,56,2.928571
85,38,2.236842
204,59,3.457627
90,38,2.368421
296,65,4.553846
101,33,3.060606
138,53,2.603774
98,36,2.722222
45,22,2.045455
115,47,2.446809
69,33,2.090909
227,57,3.982456
143,51,2.803922
236,64,3.687500
87,34,2.558824
96,39,2.461538
202,54,3.740741
216,57,3.789474
161,48,3.354167
77,34,2.264706
184,59,3.118644
104,43,2.418605
17,10,1.700000
125,47,2.659574
175,52,3.365385
202,54,3.740741
229,57,4.017544
310,69,4.492754
155,54,2.870370
178,58,3.068966
75,35,2.142857
153,50,3.060000
213,59,3.610169
255,63,4.047619
68,30,2.266667
313,76,4.118421
184,58,3.172414
94,37,2.540541
242,60,4.033333
270,60,4.500000
62,26,2.384615
269,63,4.269841
147,51,2.882353
232,62,3.741935
181,48,3.770833
174,55,3.163636
166,53,3.132075
187,51,3.666667
146,52,2.807692
174,57,3.052632
99,39,2.538462
213,63,3.380952
79,33,2.393939
139,39,3.564103
174,50,3.480000
222,59,3.762712
245,63,3.888889
109,41,2.658537
213,60,3.550000
216,68,3.176471
213,59,3.610169
189,55,3.436364
103,40,2.575000
125,43,2.906977
95,34,2.794118
144,48,3.000000
110,42,2.619048
151,48,3.145833
221,55,4.018182
276,66,4.181818
193,51,3.784314
360,66,5.454545
176,51,3.450980
156,51,3.058824
78,35,2.228571
260,66,3.939394
121,40,3.025000
155,44,3.522727
140,42,3.333333
84,37,2.270270
186,56,3.321429
137,45,3.044444
127,42,3.023810
127,47,2.702128
215,53,4.056604
153,50,3.060000
164,54,3.037037
124,40,3.100000
163,56,2.910714
186,57,3.263158
108,49,2.204082
85,33,2.575758
123,37,3.324324
201,56,3.589286
107,40,2.675000
80,36,2.222222
162,52,3.115385
69,25,2.760000
301,67,4.492537
42,22,1.909091
70,30,2.333333
262,69,3.797101
126,52,2.423077
221,54,4.092593
162,50,3.240000
181,57,3.175439
21,13,1.615385
140,45,3.111111
170,56,3.035714
78,31,2.516129
99,42,2.357143
101,39,2.589744
93,36,2.583333
121,50,2.420000
125,47,2.659574
109,41,2.658537
203,54,3.759259
42,20,2.100000
134,54,2.481481
138,50,2.760000
106,44,2.409091
142,54,2.629630
195,54,3.611111
128,42,3.047619
185,56,3.303571
132,48,2.750000
155,46,3.369565
194,57,3.403509
135,48,2.812500
235,62,3.790323
135,48,2.812500
86,32,2.687500
82,37,2.216216
44,21,2.095238
115,40,2.875000
214,65,3.292308
128,43,2.976744
113,47,2.404255
131,47,2.787234
130,46,2.826087
147,52,2.826923
182,60,3.033333
205,59,3.474576
102,41,2.487805
113,40,2.825000
84,35,2.400000
162,49,3.306122
79,36,2.194444
104,46,2.260870
11,7,1.571429
45,25,1.800000
184,60,3.066667
92,40,2.300000
141,45,3.133333
159,44,3.613636
94,37,2.540541
84,36,2.333333
252,61,4.131148
72,34,2.117647
87,31,2.806452
104,43,2.418605
205,56,3.660714
111,38,2.921053
248,65,3.815385
62,28,2.214286
274,65,4.215385
65,30,2.166667
67,30,2.233333
130,46,2.826087
268,63,4.253968
97,39,2.487179
252,59,4.271186
214,60,3.566667
163,51,3.196078
128,46,2.782609
172,55,3.127273
84,32,2.625000
122,42,2.904762
114,38,3.000000
90,39,2.307692
94,41,2.292683
175,52,3.365385
56,28,2.000000
39,21,1.857143
173,63,2.746032
209,59,3.542373
119,38,3.131579
135,46,2.934783
173,54,3.203704
159,50,3.180000
97,40,2.425000
114,41,2.780488
168,50,3.360000
227,54,4.203704
212,62,3.419355
112,44,2.545455
114,40,2.850000
80,37,2.162162
147,48,3.062500
176,46,3.826087
131,44,2.977273
