sum_hyperedge_size,num_nodes,egonet overlapness
86,27,3.185185
104,30,3.466667
78,24,3.250000
187,37,5.054054
170,35,4.857143
183,44,4.159091
160,34,4.705882
134,29,4.620690
81,28,2.892857
292,70,4.171429
234,63,3.714286
139,39,3.564103
179,49,3.653061
108,27,4.000000
110,21,5.238095
106,34,3.117647
116,31,3.741935
252,53,4.754717
244,68,3.588235
145,40,3.625000
237,62,3.822581
50,23,2.173913
325,52,6.250000
189,40,4.725000
137,42,3.261905
59,25,2.360000
62,30,2.066667
124,38,3.263158
115,30,3.833333
272,42,6.476190
168,37,4.540541
134,35,3.828571
186,39,4.769231
150,33,4.545455
248,46,5.391304
33,16,2.062500
121,36,3.361111
159,60,2.650000
158,50,3.160000
134,48,2.791667
62,25,2.480000
55,18,3.055556
215,38,5.657895
149,31,4.806452
82,34,2.411765
39,19,2.052632
44,20,2.200000
150,34,4.411765
224,40,5.600000
278,70,3.971429
51,17,3.000000
109,28,3.892857
209,68,3.073529
91,34,2.676471
58,22,2.636364
154,41,3.756098
167,41,4.073171
121,30,4.033333
237,45,5.266667
136,33,4.121212
268,85,3.152941
213,44,4.840909
78,26,3.000000
118,36,3.277778
181,44,4.113636
190,38,5.000000
131,38,3.447368
96,39,2.461538
56,23,2.434783
34,15,2.266667
137,40,3.425000
217,46,4.717391
301,78,3.858974
90,35,2.571429
248,73,3.397260
271,42,6.452381
187,52,3.596154
251,57,4.403509
96,30,3.200000
185,40,4.625000
155,42,3.690476
193,48,4.020833
162,42,3.857143
170,44,3.863636
278,41,6.780488
111,30,3.700000
118,37,3.189189
173,39,4.435897
98,36,2.722222
207,44,4.704545
144,36,4.000000
219,39,5.615385
106,43,2.465116
134,31,4.322581
201,57,3.526316
41,20,2.050000
112,31,3.612903
94,30,3.133333
185,39,4.743590
166,42,3.952381
233,52,4.480769
171,61,2.803279
144,34,4.235294
90,30,3.000000
93,33,2.818182
136,43,3.162791
162,46,3.521739
387,77,5.025974
369,88,4.193182
129,30,4.300000
60,21,2.857143
171,42,4.071429
284,54,5.259259
191,43,4.441860
273,42,6.500000
187,41,4.560976
138,40,3.450000
116,38,3.052632
58,27,2.148148
50,21,2.380952
182,62,2.935484
161,39,4.128205
61,25,2.440000
147,31,4.741935
262,52,5.038462
118,43,2.744186
115,34,3.382353
302,56,5.392857
37,17,2.176471
166,37,4.486486
105,36,2.916667
153,41,3.731707
119,33,3.606061
294,53,5.547170
229,48,4.770833
29,11,2.636364
151,40,3.775000
129,40,3.225000
102,29,3.517241
68,30,2.266667
209,43,4.860465
30,16,1.875000
234,53,4.415094
178,46,3.869565
53,26,2.038462
211,43,4.906977
268,50,5.360000
133,37,3.594595
116,45,2.577778
121,49,2.469388
71,23,3.086957
50,26,1.923077
168,44,3.818182
108,28,3.857143
171,40,4.275000
26,13,2.000000
42,22,1.909091
174,52,3.346154
45,20,2.250000
123,32,3.843750
158,55,2.872727
292,57,5.122807
56,20,2.800000
234,41,5.707317
60,23,2.608696
32,17,1.882353
258,54,4.777778
62,23,2.695652
