sum_hyperedge_size,num_nodes,egonet overlapness
0,1,0.000000
184,88,2.090909
72,41,1.756098
237,114,2.078947
170,87,1.954023
197,93,2.118280
137,64,2.140625
122,62,1.967742
95,51,1.862745
271,121,2.239669
205,93,2.204301
145,75,1.933333
196,92,2.130435
99,51,1.941176
93,51,1.823529
137,68,2.014706
110,62,1.774194
240,109,2.201835
259,120,2.158333
120,68,1.764706
242,113,2.141593
54,30,1.800000
299,122,2.450820
171,81,2.111111
131,68,1.926471
69,38,1.815789
91,51,1.784314
109,58,1.879310
108,60,1.800000
214,99,2.161616
206,106,1.943396
145,75,1.933333
176,84,2.095238
134,67,2.000000
298,124,2.403226
49,26,1.884615
88,47,1.872340
212,102,2.078431
178,93,1.913978
164,83,1.975904
67,39,1.717949
68,41,1.658537
210,92,2.282609
150,70,2.142857
60,32,1.875000
37,23,1.608696
50,29,1.724138
155,85,1.823529
196,93,2.107527
282,121,2.330579
72,37,1.945946
142,71,2.000000
249,115,2.165217
93,45,2.066667
66,33,2.000000
158,76,2.078947
132,72,1.833333
143,74,1.932432
198,100,1.980000
103,54,1.907407
240,111,2.162162
195,85,2.294118
79,45,1.755556
123,65,1.892308
167,85,1.964706
197,96,2.052083
132,71,1.859155
111,60,1.850000
66,35,1.885714
41,21,1.952381
130,65,2.000000
251,118,2.127119
291,130,2.238462
125,67,1.865672
230,108,2.129630
240,109,2.201835
187,93,2.010753
241,110,2.190909
109,63,1.730159
217,99,2.191919
136,66,2.060606
210,96,2.187500
128,68,1.882353
151,78,1.935897
256,120,2.133333
130,68,1.911765
108,53,2.037736
158,79,2.000000
125,67,1.865672
191,97,1.969072
112,53,2.113208
172,82,2.097561
93,51,1.823529
111,54,2.055556
227,100,2.270000
36,23,1.565217
113,58,1.948276
98,51,1.921569
206,102,2.019608
159,79,2.012658
181,91,1.989011
173,89,1.943820
150,76,1.973684
96,55,1.745455
71,41,1.731707
135,70,1.928571
161,78,2.064103
401,161,2.490683
375,149,2.516779
119,60,1.983333
48,26,1.846154
162,79,2.050633
312,131,2.381679
164,81,2.024691
308,132,2.333333
168,83,2.024096
168,78,2.153846
111,61,1.819672
72,44,1.636364
51,29,1.758621
202,94,2.148936
128,64,2.000000
37,23,1.608696
178,95,1.873684
221,102,2.166667
96,50,1.920000
118,58,2.034483
292,123,2.373984
49,31,1.580645
169,83,2.036145
84,45,1.866667
135,62,2.177419
116,63,1.841270
254,109,2.330275
239,112,2.133929
21,12,1.750000
155,77,2.012987
117,62,1.887097
140,71,1.971831
79,45,1.755556
218,101,2.158416
56,33,1.696970
225,105,2.142857
165,82,2.012195
69,39,1.769231
160,81,1.975309
219,95,2.305263
149,77,1.935065
114,61,1.868852
139,66,2.106061
92,50,1.840000
57,32,1.781250
157,78,2.012821
107,63,1.698413
153,81,1.888889
26,15,1.733333
48,26,1.846154
178,84,2.119048
60,34,1.764706
123,62,1.983871
209,96,2.177083
307,136,2.257353
66,37,1.783784
208,94,2.212766
51,28,1.821429
50,33,1.515152
220,106,2.075472
62,36,1.722222
211,102,2.068627
229,109,2.100917
135,73,1.849315
170,84,2.023810
263,119,2.210084
191,89,2.146067
211,99,2.131313
181,85,2.129412
220,107,2.056075
178,85,2.094118
224,103,2.174757
68,38,1.789474
43,26,1.653846
66,36,1.833333
115,54,2.129630
127,67,1.895522
255,114,2.236842
170,82,2.073171
224,109,2.055046
130,67,1.940299
113,58,1.948276
159,77,2.064935
14,9,1.555556
68,40,1.700000
81,38,2.131579
117,65,1.800000
75,39,1.923077
203,91,2.230769
102,52,1.961538
116,60,1.933333
129,65,1.984615
49,29,1.689655
103,59,1.745763
220,99,2.222222
178,86,2.069767
44,26,1.692308
107,58,1.844828
289,121,2.388430
163,77,2.116883
79,44,1.795455
133,70,1.900000
93,54,1.722222
86,53,1.622642
66,33,2.000000
143,70,2.042857
136,73,1.863014
116,63,1.841270
140,74,1.891892
206,100,2.060000
182,89,2.044944
174,91,1.912088
110,57,1.929825
99,50,1.980000
121,64,1.890625
106,51,2.078431
78,42,1.857143
134,69,1.942029
152,80,1.900000
109,57,1.912281
158,76,2.078947
116,59,1.966102
59,30,1.966667
50,27,1.851852
119,64,1.859375
157,80,1.962500
48,25,1.920000
202,97,2.082474
93,52,1.788462
101,53,1.905660
54,31,1.741935
122,66,1.848485
10,7,1.428571
106,57,1.859649
185,88,2.102273
49,29,1.689655
107,63,1.698413
108,54,2.000000
110,55,2.000000
87,49,1.775510
57,36,1.583333
217,100,2.170000
86,49,1.755102
114,62,1.838710
51,30,1.700000
74,41,1.804878
63,38,1.657895
101,47,2.148936
128,65,1.969231
51,29,1.758621
237,102,2.323529
212,99,2.141414
74,39,1.897436
156,74,2.108108
151,76,1.986842
119,67,1.776119
147,74,1.986486
216,101,2.138614
114,59,1.932203
101,53,1.905660
174,87,2.000000
217,105,2.066667
65,36,1.805556
107,61,1.754098
156,77,2.025974
116,61,1.901639
58,33,1.757576
97,51,1.901961
213,102,2.088235
142,75,1.893333
85,53,1.603774
83,48,1.729167
184,88,2.090909
220,100,2.200000
43,24,1.791667
36,23,1.565217
60,38,1.578947
258,120,2.150000
137,69,1.985507
266,119,2.235294
134,67,2.000000
20,13,1.538462
69,38,1.815789
109,62,1.758065
176,90,1.955556
198,93,2.129032
83,45,1.844444
68,35,1.942857
129,65,1.984615
84,44,1.909091
192,98,1.959184
190,94,2.021277
59,34,1.735294
160,81,1.975309
234,105,2.228571
250,116,2.155172
24,14,1.714286
215,96,2.239583
65,36,1.805556
40,22,1.818182
17,10,1.700000
44,25,1.760000
72,40,1.800000
47,26,1.807692
94,52,1.807692
98,50,1.960000
106,55,1.927273
21,14,1.500000
121,62,1.951613
168,81,2.074074
116,61,1.901639
22,15,1.466667
103,58,1.775862
119,63,1.888889
26,16,1.625000
154,77,2.000000
