sum_hyperedge_size,num_nodes,egonet overlapness
189,73,2.589041
154,72,2.138889
138,71,1.943662
128,61,2.098361
219,86,2.546512
168,69,2.434783
97,44,2.204545
105,50,2.100000
225,82,2.743902
117,58,2.017241
205,83,2.469880
156,72,2.166667
87,37,2.351351
166,62,2.677419
122,54,2.259259
370,125,2.960000
65,27,2.407407
198,83,2.385542
119,52,2.288462
219,82,2.670732
203,89,2.280899
129,58,2.224138
107,53,2.018868
122,59,2.067797
268,104,2.576923
161,71,2.267606
305,120,2.541667
38,22,1.727273
180,83,2.168675
192,84,2.285714
147,50,2.940000
57,30,1.900000
236,83,2.843373
168,64,2.625000
116,58,2.000000
177,75,2.360000
224,85,2.635294
174,71,2.450704
162,64,2.531250
53,32,1.656250
105,53,1.981132
99,47,2.106383
25,14,1.785714
141,55,2.563636
107,51,2.098039
291,103,2.825243
252,93,2.709677
208,89,2.337079
174,80,2.175000
133,52,2.557692
107,48,2.229167
152,67,2.268657
358,130,2.753846
100,49,2.040816
276,103,2.679612
126,60,2.100000
290,97,2.989691
190,72,2.638889
115,54,2.129630
165,65,2.538462
184,83,2.216867
197,73,2.698630
71,36,1.972222
139,48,2.895833
187,74,2.527027
117,63,1.857143
341,120,2.841667
164,77,2.129870
150,63,2.380952
271,108,2.509259
143,67,2.134328
85,48,1.770833
199,74,2.689189
61,34,1.794118
289,106,2.726415
224,92,2.434783
224,83,2.698795
240,93,2.580645
204,78,2.615385
213,88,2.420455
255,99,2.575758
109,55,1.981818
179,62,2.887097
94,45,2.088889
46,24,1.916667
43,22,1.954545
169,71,2.380282
215,80,2.687500
162,50,3.240000
207,79,2.620253
203,75,2.706667
131,59,2.220339
154,61,2.524590
128,54,2.370370
241,91,2.648352
258,104,2.480769
51,27,1.888889
224,87,2.574713
265,101,2.623762
117,54,2.166667
164,69,2.376812
162,75,2.160000
115,55,2.090909
246,97,2.536082
65,32,2.031250
215,90,2.388889
29,18,1.611111
92,47,1.957447
116,57,2.035088
315,105,3.000000
204,86,2.372093
70,38,1.842105
119,53,2.245283
64,29,2.206897
121,50,2.420000
111,47,2.361702
188,89,2.112360
95,41,2.317073
95,44,2.159091
178,75,2.373333
167,71,2.352113
165,70,2.357143
73,43,1.697674
51,27,1.888889
246,86,2.860465
185,72,2.569444
307,99,3.101010
192,82,2.341463
98,51,1.921569
189,71,2.661972
125,59,2.118644
92,45,2.044444
182,61,2.983607
79,41,1.926829
5,4,1.250000
72,36,2.000000
236,91,2.593407
132,55,2.400000
251,100,2.510000
262,97,2.701031
257,95,2.705263
225,87,2.586207
261,101,2.584158
170,74,2.297297
122,60,2.033333
231,88,2.625000
140,52,2.692308
248,91,2.725275
156,68,2.294118
112,44,2.545455
115,35,3.285714
169,70,2.414286
164,70,2.342857
126,54,2.333333
135,53,2.547170
65,31,2.096774
125,48,2.604167
269,101,2.663366
253,94,2.691489
221,90,2.455556
104,48,2.166667
125,52,2.403846
315,116,2.715517
146,65,2.246154
118,55,2.145455
177,74,2.391892
50,27,1.851852
219,87,2.517241
142,59,2.406780
148,71,2.084507
266,101,2.633663
51,27,1.888889
81,42,1.928571
188,73,2.575342
181,68,2.661765
37,18,2.055556
158,65,2.430769
52,27,1.925926
91,43,2.116279
47,27,1.740741
204,83,2.457831
135,60,2.250000
195,72,2.708333
162,77,2.103896
62,35,1.771429
130,55,2.363636
36,22,1.636364
185,69,2.681159
139,53,2.622642
222,85,2.611765
222,81,2.740741
89,46,1.934783
230,96,2.395833
90,43,2.093023
106,53,2.000000
169,63,2.682540
114,58,1.965517
113,56,2.017857
86,41,2.097561
60,31,1.935484
64,35,1.828571
69,30,2.300000
83,44,1.886364
60,27,2.222222
129,64,2.015625
110,57,1.929825
103,54,1.907407
41,24,1.708333
134,60,2.233333
107,45,2.377778
73,38,1.921053
83,39,2.128205
153,71,2.154930
125,61,2.049180
173,65,2.661538
191,79,2.417722
151,65,2.323077
104,54,1.925926
51,27,1.888889
136,61,2.229508
28,16,1.750000
47,26,1.807692
166,75,2.213333
131,55,2.381818
140,62,2.258065
29,17,1.705882
43,22,1.954545
112,49,2.285714
174,81,2.148148
164,67,2.447761
163,72,2.263889
98,49,2.000000
172,69,2.492754
161,66,2.439394
61,30,2.033333
181,77,2.350649
121,55,2.200000
79,43,1.837209
72,36,2.000000
167,83,2.012048
190,75,2.533333
96,49,1.959184
75,39,1.923077
137,56,2.446429
103,48,2.145833
52,30,1.733333
102,53,1.924528
139,63,2.206349
105,52,2.019231
200,81,2.469136
174,72,2.416667
149,66,2.257576
40,23,1.739130
144,59,2.440678
125,55,2.272727
126,52,2.423077
177,76,2.328947
110,57,1.929825
108,47,2.297872
87,46,1.891304
176,81,2.172840
77,40,1.925000
184,79,2.329114
97,46,2.108696
150,64,2.343750
40,22,1.818182
52,24,2.166667
78,37,2.108108
139,60,2.316667
104,47,2.212766
107,44,2.431818
89,41,2.170732
173,70,2.471429
70,38,1.842105
155,68,2.279412
151,55,2.745455
113,55,2.054545
100,42,2.380952
70,33,2.121212
45,25,1.800000
80,37,2.162162
98,50,1.960000
129,61,2.114754
63,35,1.800000
82,37,2.216216
134,59,2.271186
97,47,2.063830
82,44,1.863636
132,55,2.400000
49,29,1.689655
64,30,2.133333
95,41,2.317073
146,71,2.056338
62,32,1.937500
28,18,1.555556
136,64,2.125000
124,50,2.480000
48,22,2.181818
122,52,2.346154
86,48,1.791667
92,39,2.358974
41,19,2.157895
127,57,2.228070
145,64,2.265625
100,44,2.272727
78,37,2.108108
29,15,1.933333
27,18,1.500000
24,13,1.846154
148,52,2.846154
96,49,1.959184
71,32,2.218750
100,48,2.083333
78,38,2.052632
82,43,1.906977
65,35,1.857143
29,16,1.812500
82,44,1.863636
65,34,1.911765
64,35,1.828571
119,53,2.245283
148,55,2.690909
44,26,1.692308
21,12,1.750000
24,14,1.714286
5,4,1.250000
3,3,1.000000
