sum_hyperedge_size,num_nodes,egonet overlapness
187,76,2.460526
161,66,2.439394
305,103,2.961165
171,70,2.442857
75,31,2.419355
60,34,1.764706
189,77,2.454545
105,46,2.282609
150,52,2.884615
133,52,2.557692
79,34,2.323529
206,76,2.710526
151,58,2.603448
141,64,2.203125
166,61,2.721311
115,52,2.211538
58,27,2.148148
79,38,2.078947
176,63,2.793651
238,76,3.131579
152,64,2.375000
158,55,2.872727
117,43,2.720930
212,80,2.650000
177,66,2.681818
139,60,2.316667
205,81,2.530864
199,68,2.926471
204,74,2.756757
128,54,2.370370
208,72,2.888889
193,76,2.539474
218,74,2.945946
169,69,2.449275
142,51,2.784314
90,42,2.142857
246,87,2.827586
60,28,2.142857
203,64,3.171875
48,26,1.846154
163,53,3.075472
137,56,2.446429
261,85,3.070588
105,42,2.500000
138,50,2.760000
174,67,2.597015
151,57,2.649123
206,74,2.783784
232,75,3.093333
126,58,2.172414
96,50,1.920000
229,88,2.602273
166,59,2.813559
46,24,1.916667
178,64,2.781250
181,73,2.479452
110,51,2.156863
125,62,2.016129
210,73,2.876712
278,94,2.957447
104,42,2.476190
149,53,2.811321
170,57,2.982456
167,57,2.929825
181,67,2.701493
77,40,1.925000
133,58,2.293103
75,37,2.027027
63,28,2.250000
122,54,2.259259
417,110,3.790909
174,57,3.052632
186,69,2.695652
157,58,2.706897
138,53,2.603774
218,76,2.868421
176,60,2.933333
192,67,2.865672
158,55,2.872727
113,52,2.173077
140,60,2.333333
96,45,2.133333
164,69,2.376812
225,79,2.848101
65,28,2.321429
179,65,2.753846
56,30,1.866667
230,72,3.194444
200,72,2.777778
130,58,2.241379
287,101,2.841584
192,74,2.594595
243,72,3.375000
97,45,2.155556
223,77,2.896104
111,46,2.413043
205,85,2.411765
84,35,2.400000
196,67,2.925373
269,88,3.056818
133,52,2.557692
91,47,1.936170
161,73,2.205479
124,57,2.175439
127,57,2.228070
148,63,2.349206
166,69,2.405797
68,34,2.000000
211,79,2.670886
221,88,2.511364
256,93,2.752688
264,85,3.105882
81,41,1.975610
281,101,2.782178
104,39,2.666667
36,19,1.894737
181,64,2.828125
292,96,3.041667
266,89,2.988764
157,71,2.211268
167,60,2.783333
220,84,2.619048
276,85,3.247059
284,97,2.927835
149,58,2.568966
236,84,2.809524
181,69,2.623188
163,60,2.716667
75,38,1.973684
95,45,2.111111
109,54,2.018519
108,44,2.454545
173,68,2.544118
114,54,2.111111
140,69,2.028986
86,34,2.529412
193,57,3.385965
111,50,2.220000
220,72,3.055556
255,92,2.771739
193,67,2.880597
231,92,2.510870
159,64,2.484375
136,62,2.193548
209,82,2.548780
124,51,2.431373
336,106,3.169811
88,39,2.256410
67,36,1.861111
77,32,2.406250
140,57,2.456140
104,49,2.122449
98,45,2.177778
134,58,2.310345
46,25,1.840000
75,37,2.027027
62,34,1.823529
128,57,2.245614
152,71,2.140845
142,56,2.535714
214,78,2.743590
74,37,2.000000
91,37,2.459459
103,55,1.872727
214,75,2.853333
129,61,2.114754
75,41,1.829268
85,42,2.023810
65,28,2.321429
98,41,2.390244
125,47,2.659574
71,34,2.088235
187,75,2.493333
144,61,2.360656
217,78,2.782051
88,38,2.315789
155,58,2.672414
187,77,2.428571
115,52,2.211538
225,78,2.884615
136,57,2.385965
191,76,2.513158
165,63,2.619048
152,63,2.412698
96,43,2.232558
208,79,2.632911
159,63,2.523810
70,35,2.000000
235,82,2.865854
95,41,2.317073
164,65,2.523077
157,66,2.378788
237,77,3.077922
204,74,2.756757
176,68,2.588235
94,41,2.292683
89,44,2.022727
94,44,2.136364
145,56,2.589286
128,53,2.415094
92,41,2.243902
189,74,2.554054
118,49,2.408163
147,60,2.450000
134,58,2.310345
136,53,2.566038
100,50,2.000000
197,79,2.493671
168,67,2.507463
29,17,1.705882
54,26,2.076923
210,84,2.500000
67,35,1.914286
156,55,2.836364
52,29,1.793103
199,66,3.015152
51,28,1.821429
89,42,2.119048
351,94,3.734043
101,42,2.404762
77,39,1.974359
150,60,2.500000
69,33,2.090909
210,78,2.692308
217,76,2.855263
264,90,2.933333
109,48,2.270833
83,38,2.184211
130,61,2.131148
71,38,1.868421
139,59,2.355932
103,45,2.288889
111,51,2.176471
147,57,2.578947
103,53,1.943396
155,69,2.246377
139,55,2.527273
199,74,2.689189
94,42,2.238095
161,60,2.683333
213,85,2.505882
81,40,2.025000
108,49,2.204082
117,49,2.387755
56,25,2.240000
127,64,1.984375
120,56,2.142857
15,10,1.500000
98,47,2.085106
69,34,2.029412
140,56,2.500000
140,64,2.187500
205,77,2.662338
129,60,2.150000
97,46,2.108696
18,10,1.800000
132,54,2.444444
192,66,2.909091
243,90,2.700000
112,49,2.285714
184,64,2.875000
73,33,2.212121
138,47,2.936170
101,44,2.295455
48,25,1.920000
121,48,2.520833
192,79,2.430380
63,32,1.968750
97,42,2.309524
141,60,2.350000
188,62,3.032258
130,53,2.452830
120,49,2.448980
253,74,3.418919
147,66,2.227273
87,38,2.289474
82,37,2.216216
66,37,1.783784
61,31,1.967742
197,75,2.626667
42,25,1.680000
110,49,2.244898
94,41,2.292683
133,52,2.557692
50,24,2.083333
147,60,2.450000
88,37,2.378378
108,49,2.204082
18,10,1.800000
24,14,1.714286
22,13,1.692308
52,28,1.857143
114,54,2.111111
96,46,2.086957
111,45,2.466667
148,58,2.551724
114,54,2.111111
166,66,2.515152
130,60,2.166667
83,42,1.976190
70,35,2.000000
79,36,2.194444
53,22,2.409091
81,36,2.250000
82,35,2.342857
29,17,1.705882
17,9,1.888889
29,15,1.933333
36,18,2.000000
70,32,2.187500
90,44,2.045455
26,15,1.733333
72,38,1.894737
61,29,2.103448
20,13,1.538462
94,46,2.043478
53,24,2.208333
27,16,1.687500
53,31,1.709677
28,17,1.647059
18,12,1.500000
26,16,1.625000
40,22,1.818182
54,25,2.160000
32,20,1.600000
8,5,1.600000
