num_hes,num_nodes,egonet density
30,53,0.566038
21,24,0.875000
49,34,1.441176
39,33,1.181818
49,33,1.484848
32,33,0.969697
50,35,1.428571
59,35,1.685714
15,36,0.416667
67,54,1.240741
64,37,1.729730
36,33,1.090909
16,36,0.444444
67,53,1.264151
41,53,0.773585
46,52,0.884615
77,55,1.400000
70,34,2.058824
58,33,1.757576
42,32,1.312500
45,33,1.363636
41,35,1.171429
13,49,0.265306
54,53,1.018868
18,26,0.692308
77,52,1.480769
65,52,1.250000
44,31,1.419355
50,35,1.428571
64,34,1.882353
46,32,1.437500
37,29,1.275862
50,34,1.470588
32,32,1.000000
35,28,1.250000
42,35,1.200000
40,33,1.212121
50,54,0.925926
22,30,0.733333
60,34,1.764706
29,31,0.935484
40,33,1.212121
51,32,1.593750
82,54,1.518519
49,36,1.361111
54,35,1.542857
43,35,1.228571
13,24,0.541667
36,38,0.947368
68,36,1.888889
84,56,1.500000
49,55,0.890909
40,53,0.754717
20,48,0.416667
23,26,0.884615
26,30,0.866667
46,31,1.483871
38,32,1.187500
18,25,0.720000
27,29,0.931034
25,53,0.471698
28,53,0.528302
37,36,1.027778
41,33,1.242424
53,35,1.514286
31,53,0.584906
43,53,0.811321
64,55,1.163636
23,53,0.433962
21,36,0.583333
88,54,1.629630
21,26,0.807692
14,26,0.538462
13,27,0.481481
36,29,1.241379
26,51,0.509804
52,36,1.444444
20,55,0.363636
53,53,1.000000
4,36,0.111111
16,36,0.444444
22,36,0.611111
16,24,0.666667
2,19,0.105263
49,36,1.361111
79,55,1.436364
22,31,0.709677
67,33,2.030303
14,28,0.500000
19,25,0.760000
49,37,1.324324
19,27,0.703704
10,18,0.555556
20,25,0.800000
33,52,0.634615
17,46,0.369565
51,55,0.927273
10,36,0.277778
28,53,0.528302
38,34,1.117647
10,20,0.500000
19,26,0.730769
5,13,0.384615
51,33,1.545455
29,34,0.852941
15,24,0.625000
12,48,0.250000
5,25,0.200000
28,52,0.538462
19,47,0.404255
25,27,0.925926
13,23,0.565217
9,53,0.169811
16,53,0.301887
19,36,0.527778
26,27,0.962963
11,21,0.523810
19,26,0.730769
12,20,0.600000
14,25,0.560000
14,23,0.608696
10,26,0.384615
12,36,0.333333
9,20,0.450000
22,53,0.415094
16,26,0.615385
11,36,0.305556
13,22,0.590909
37,31,1.193548
20,23,0.869565
10,24,0.416667
3,7,0.428571
15,27,0.555556
20,25,0.800000
28,29,0.965517
3,11,0.272727
8,22,0.363636
7,36,0.194444
5,36,0.138889
5,9,0.555556
11,19,0.578947
4,20,0.200000
5,14,0.357143
