num_hes,num_nodes,egonet density
63,30,2.100000
18,22,0.818182
41,18,2.277778
73,31,2.354839
52,24,2.166667
28,23,1.217391
60,54,1.111111
29,17,1.705882
52,28,1.857143
29,24,1.208333
36,31,1.161290
67,48,1.395833
85,80,1.062500
32,17,1.882353
36,43,0.837209
50,74,0.675676
64,46,1.391304
33,47,0.702128
53,50,1.060000
63,56,1.125000
110,86,1.279070
68,42,1.619048
50,27,1.851852
77,77,1.000000
75,47,1.595745
70,44,1.590909
85,40,2.125000
43,25,1.720000
16,14,1.142857
78,57,1.368421
30,25,1.200000
44,60,0.733333
15,69,0.217391
23,53,0.433962
58,83,0.698795
45,31,1.451613
31,70,0.442857
10,20,0.500000
29,55,0.527273
32,69,0.463768
25,22,1.136364
2,14,0.142857
26,37,0.702703
88,85,1.035294
57,42,1.357143
22,46,0.478261
52,17,3.058824
9,12,0.750000
24,19,1.263158
17,23,0.739130
12,13,0.923077
54,73,0.739726
7,17,0.411765
40,19,2.105263
38,36,1.055556
81,25,3.240000
28,17,1.647059
44,47,0.936170
101,70,1.442857
15,63,0.238095
40,52,0.769231
26,21,1.238095
50,66,0.757576
94,57,1.649123
8,13,0.615385
10,45,0.222222
28,66,0.424242
22,51,0.431373
63,19,3.315789
49,38,1.289474
37,53,0.698113
26,34,0.764706
8,45,0.177778
23,30,0.766667
117,77,1.519481
10,13,0.769231
17,34,0.500000
33,17,1.941176
27,51,0.529412
20,14,1.428571
24,43,0.558140
23,50,0.460000
25,54,0.462963
41,53,0.773585
43,53,0.811321
22,13,1.692308
35,68,0.514706
22,47,0.468085
30,48,0.625000
35,21,1.666667
61,30,2.033333
18,53,0.339623
12,45,0.266667
14,60,0.233333
10,42,0.238095
19,17,1.117647
11,19,0.578947
56,32,1.750000
14,72,0.194444
13,48,0.270833
27,56,0.482143
17,31,0.548387
25,66,0.378788
8,9,0.888889
22,21,1.047619
21,26,0.807692
41,15,2.733333
10,46,0.217391
9,45,0.200000
23,51,0.450980
24,53,0.452830
20,10,2.000000
9,38,0.236842
6,7,0.857143
16,20,0.800000
17,14,1.214286
3,37,0.081081
3,4,0.750000
17,44,0.386364
21,22,0.954545
21,22,0.954545
16,24,0.666667
27,49,0.551020
6,21,0.285714
26,22,1.181818
5,38,0.131579
16,15,1.066667
7,39,0.179487
5,36,0.138889
14,10,1.400000
30,32,0.937500
12,62,0.193548
6,5,1.200000
16,11,1.454545
4,9,0.444444
12,11,1.090909
8,52,0.153846
6,9,0.666667
8,40,0.200000
20,11,1.818182
3,36,0.083333
23,12,1.916667
7,10,0.700000
