num_hes,num_nodes,egonet density
0,1,0.000000
62,96,0.645833
52,85,0.611765
61,100,0.610000
58,98,0.591837
30,58,0.517241
65,93,0.698925
31,84,0.369048
46,86,0.534884
29,62,0.467742
32,81,0.395062
82,96,0.854167
83,108,0.768519
26,61,0.426230
37,75,0.493333
63,99,0.636364
57,91,0.626374
34,73,0.465753
47,88,0.534091
67,95,0.705263
107,116,0.922414
67,93,0.720430
50,91,0.549451
79,102,0.774510
72,102,0.705882
69,99,0.696970
73,96,0.760417
39,81,0.481481
14,33,0.424242
76,101,0.752475
24,74,0.324324
35,79,0.443038
10,35,0.285714
30,70,0.428571
53,81,0.654321
57,85,0.670588
32,71,0.450704
10,45,0.222222
33,62,0.532258
40,89,0.449438
25,58,0.431034
1,3,0.333333
27,64,0.421875
81,98,0.826531
67,89,0.752809
23,60,0.383333
43,97,0.443299
8,23,0.347826
20,61,0.327869
27,47,0.574468
11,24,0.458333
45,82,0.548780
4,20,0.200000
42,71,0.591549
38,79,0.481013
86,107,0.803738
30,71,0.422535
43,87,0.494253
94,109,0.862385
16,31,0.516129
36,74,0.486486
20,33,0.606061
47,83,0.566265
101,101,1.000000
10,33,0.303030
13,25,0.520000
29,73,0.397260
21,42,0.500000
54,101,0.534653
57,88,0.647727
38,73,0.520548
31,68,0.455882
4,8,0.500000
28,77,0.363636
142,122,1.163934
11,51,0.215686
20,48,0.416667
31,78,0.397436
29,48,0.604167
17,34,0.500000
21,68,0.308824
20,58,0.344828
21,49,0.428571
35,65,0.538462
38,93,0.408602
22,42,0.523810
33,78,0.423077
15,40,0.375000
32,56,0.571429
31,70,0.442857
76,101,0.752475
19,42,0.452381
10,31,0.322581
14,36,0.388889
5,19,0.263158
24,64,0.375000
16,59,0.271186
56,95,0.589474
19,61,0.311475
10,33,0.303030
32,59,0.542373
15,43,0.348837
25,69,0.362319
8,42,0.190476
26,46,0.565217
24,54,0.444444
46,97,0.474227
8,19,0.421053
6,15,0.400000
17,42,0.404762
32,72,0.444444
22,51,0.431373
9,37,0.243243
3,11,0.272727
23,68,0.338235
17,52,0.326923
3,25,0.120000
3,9,0.333333
22,74,0.297297
21,44,0.477273
20,46,0.434783
16,37,0.432432
27,54,0.500000
4,8,0.500000
27,70,0.385714
7,54,0.129630
17,58,0.293103
8,24,0.333333
9,39,0.230769
11,32,0.343750
24,52,0.461538
10,15,0.666667
7,14,0.500000
8,44,0.181818
6,22,0.272727
13,31,0.419355
10,26,0.384615
4,6,0.666667
8,39,0.205128
17,26,0.653846
7,21,0.333333
16,42,0.380952
11,40,0.275000
