num_hes,num_nodes,egonet density
74,72,1.027778
32,49,0.653061
26,22,1.181818
49,52,0.942308
46,47,0.978723
47,66,0.712121
20,27,0.740741
42,72,0.583333
68,82,0.829268
47,40,1.175000
27,30,0.900000
26,55,0.472727
65,69,0.942029
27,29,0.931034
43,57,0.754386
28,47,0.595745
34,44,0.772727
50,73,0.684932
67,61,1.098361
37,46,0.804348
52,61,0.852459
38,58,0.655172
82,74,1.108108
12,31,0.387097
50,60,0.833333
21,30,0.700000
20,24,0.833333
41,59,0.694915
22,32,0.687500
35,46,0.760870
62,68,0.911765
51,60,0.850000
32,71,0.450704
25,35,0.714286
57,71,0.802817
23,62,0.370968
66,62,1.064516
58,69,0.840580
16,13,1.230769
19,36,0.527778
15,12,1.250000
12,22,0.545455
56,55,1.018182
38,73,0.520548
29,38,0.763158
82,81,1.012346
60,81,0.740741
77,91,0.846154
7,15,0.466667
34,35,0.971429
21,31,0.677419
23,37,0.621622
68,79,0.860759
32,36,0.888889
47,62,0.758065
50,72,0.694444
37,70,0.528571
57,72,0.791667
90,80,1.125000
22,71,0.309859
50,78,0.641026
30,45,0.666667
19,36,0.527778
42,61,0.688525
36,61,0.590164
23,34,0.676471
26,34,0.764706
30,47,0.638298
11,23,0.478261
56,75,0.746667
5,15,0.333333
39,65,0.600000
16,37,0.432432
21,28,0.750000
38,54,0.703704
31,65,0.476923
39,37,1.054054
79,79,1.000000
23,27,0.851852
32,36,0.888889
35,39,0.897436
33,59,0.559322
23,28,0.821429
44,61,0.721311
31,37,0.837838
22,48,0.458333
20,18,1.111111
46,78,0.589744
30,49,0.612245
32,42,0.761905
38,41,0.926829
10,18,0.555556
31,54,0.574074
11,25,0.440000
19,28,0.678571
41,69,0.594203
35,38,0.921053
24,33,0.727273
27,35,0.771429
20,20,1.000000
40,73,0.547945
25,36,0.694444
25,45,0.555556
30,53,0.566038
5,11,0.454545
18,26,0.692308
21,20,1.050000
67,84,0.797619
7,10,0.700000
23,28,0.821429
22,29,0.758621
31,62,0.500000
22,28,0.785714
11,61,0.180328
6,18,0.333333
8,13,0.615385
36,56,0.642857
7,19,0.368421
12,22,0.545455
11,27,0.407407
26,47,0.553191
24,24,1.000000
31,41,0.756098
6,22,0.272727
53,55,0.963636
25,33,0.757576
36,44,0.818182
25,74,0.337838
23,38,0.605263
9,21,0.428571
13,46,0.282609
12,19,0.631579
11,9,1.222222
14,23,0.608696
11,25,0.440000
12,21,0.571429
20,29,0.689655
12,23,0.521739
24,55,0.436364
19,26,0.730769
5,16,0.312500
11,47,0.234043
7,40,0.175000
