num_hes,num_nodes,egonet density
40,63,0.634921
19,35,0.542857
42,64,0.656250
74,98,0.755102
89,86,1.034884
13,75,0.173333
56,82,0.682927
39,73,0.534247
38,52,0.730769
33,77,0.428571
12,54,0.222222
81,79,1.025316
31,77,0.402597
31,70,0.442857
39,49,0.795918
20,61,0.327869
55,67,0.820896
21,76,0.276316
47,57,0.824561
20,57,0.350877
21,60,0.350000
14,29,0.482759
34,51,0.666667
15,31,0.483871
13,35,0.371429
58,95,0.610526
54,77,0.701299
41,62,0.661290
19,34,0.558824
52,75,0.693333
79,88,0.897727
83,102,0.813725
20,40,0.500000
40,52,0.769231
69,78,0.884615
22,38,0.578947
20,52,0.384615
40,74,0.540541
63,103,0.611650
50,77,0.649351
38,48,0.791667
66,84,0.785714
17,38,0.447368
54,55,0.981818
65,90,0.722222
14,25,0.560000
26,58,0.448276
75,97,0.773196
15,53,0.283019
80,90,0.888889
31,70,0.442857
27,43,0.627907
36,61,0.590164
44,75,0.586667
45,65,0.692308
25,48,0.520833
18,55,0.327273
13,24,0.541667
24,42,0.571429
18,41,0.439024
14,50,0.280000
9,23,0.391304
56,68,0.823529
60,84,0.714286
12,29,0.413793
40,68,0.588235
27,66,0.409091
11,30,0.366667
24,39,0.615385
48,87,0.551724
30,63,0.476190
36,73,0.493151
27,64,0.421875
24,51,0.470588
69,86,0.802326
31,50,0.620000
75,81,0.925926
44,91,0.483516
35,48,0.729167
18,48,0.375000
52,70,0.742857
24,61,0.393443
38,61,0.622951
63,78,0.807692
30,55,0.545455
61,96,0.635417
20,64,0.312500
20,36,0.555556
44,86,0.511628
40,46,0.869565
32,89,0.359551
23,46,0.500000
52,83,0.626506
40,75,0.533333
30,72,0.416667
57,60,0.950000
64,69,0.927536
6,23,0.260870
21,38,0.552632
18,46,0.391304
40,61,0.655738
26,71,0.366197
7,20,0.350000
11,31,0.354839
28,38,0.736842
8,47,0.170213
22,39,0.564103
35,50,0.700000
19,36,0.527778
28,59,0.474576
13,56,0.232143
16,36,0.444444
20,40,0.500000
26,49,0.530612
71,100,0.710000
27,58,0.465517
50,76,0.657895
35,87,0.402299
12,15,0.800000
5,7,0.714286
13,67,0.194030
53,53,1.000000
34,57,0.596491
9,47,0.191489
17,36,0.472222
11,29,0.379310
32,51,0.627451
33,79,0.417722
16,58,0.275862
2,4,0.500000
9,8,1.125000
11,25,0.440000
18,54,0.333333
7,23,0.304348
5,25,0.200000
6,20,0.300000
3,7,0.428571
4,8,0.500000
6,15,0.400000
6,15,0.400000
2,10,0.200000
5,14,0.357143
4,22,0.181818
