sum_hyperedge_size,num_nodes,egonet overlapness
194,53,3.660377
82,24,3.416667
180,34,5.294118
178,33,5.393939
230,33,6.969697
152,33,4.606061
240,35,6.857143
239,35,6.828571
84,36,2.333333
336,54,6.222222
299,37,8.081081
151,33,4.575758
110,36,3.055556
350,53,6.603774
245,53,4.622642
239,52,4.596154
346,55,6.290909
269,34,7.911765
227,33,6.878788
163,32,5.093750
198,33,6.000000
210,35,6.000000
100,49,2.040816
279,53,5.264151
105,26,4.038462
345,52,6.634615
327,52,6.288462
202,31,6.516129
238,35,6.800000
282,34,8.294118
201,32,6.281250
172,29,5.931034
229,34,6.735294
157,32,4.906250
149,28,5.321429
196,35,5.600000
216,33,6.545455
236,54,4.370370
102,30,3.400000
242,34,7.117647
123,31,3.967742
175,33,5.303030
212,32,6.625000
369,54,6.833333
210,36,5.833333
226,35,6.457143
187,35,5.342857
75,24,3.125000
203,38,5.342105
286,36,7.944444
408,56,7.285714
265,55,4.818182
223,53,4.207547
148,48,3.083333
104,26,4.000000
114,30,3.800000
191,31,6.161290
120,32,3.750000
63,25,2.520000
110,29,3.793103
168,53,3.169811
183,53,3.452830
157,36,4.361111
193,33,5.848485
234,35,6.685714
189,53,3.566038
239,53,4.509434
296,55,5.381818
162,53,3.056604
129,36,3.583333
396,54,7.333333
74,26,2.846154
67,26,2.576923
62,27,2.296296
138,29,4.758621
160,51,3.137255
238,36,6.611111
166,55,3.018182
255,53,4.811321
48,36,1.333333
90,36,2.500000
127,36,3.527778
70,24,2.916667
24,19,1.263158
209,36,5.805556
337,55,6.127273
89,31,2.870968
259,33,7.848485
82,28,2.928571
89,25,3.560000
229,37,6.189189
87,27,3.222222
32,18,1.777778
83,25,3.320000
171,52,3.288462
121,46,2.630435
280,55,5.090909
74,36,2.055556
168,53,3.169811
177,34,5.205882
36,20,1.800000
97,26,3.730769
23,13,1.769231
233,33,7.060606
152,34,4.470588
63,24,2.625000
105,48,2.187500
51,25,2.040000
175,52,3.365385
110,47,2.340426
113,27,4.185185
52,23,2.260870
95,53,1.792453
124,53,2.339623
104,36,2.888889
107,27,3.962963
52,21,2.476190
73,26,2.807692
52,20,2.600000
66,25,2.640000
48,23,2.086957
62,26,2.384615
90,36,2.500000
43,20,2.150000
179,53,3.377358
61,26,2.346154
75,36,2.083333
58,22,2.636364
143,31,4.612903
76,23,3.304348
48,24,2.000000
9,7,1.285714
62,27,2.296296
105,25,4.200000
125,29,4.310345
14,11,1.272727
38,22,1.727273
72,36,2.000000
62,36,1.722222
16,9,1.777778
46,19,2.421053
27,20,1.350000
22,14,1.571429
