sum_hyperedge_size,num_nodes,egonet overlapness
232,30,7.733333
60,22,2.727273
175,18,9.722222
274,31,8.838710
200,24,8.333333
103,23,4.478261
276,54,5.111111
115,17,6.764706
191,28,6.821429
96,24,4.000000
108,31,3.483871
308,48,6.416667
423,80,5.287500
140,17,8.235294
197,43,4.581395
262,74,3.540541
245,46,5.326087
150,47,3.191489
255,50,5.100000
307,56,5.482143
558,86,6.488372
292,42,6.952381
163,27,6.037037
437,77,5.675325
390,47,8.297872
369,44,8.386364
389,40,9.725000
138,25,5.520000
73,14,5.214286
417,57,7.315789
121,25,4.840000
228,60,3.800000
161,69,2.333333
133,53,2.509434
341,83,4.108434
152,31,4.903226
184,70,2.628571
41,20,2.050000
206,55,3.745455
175,69,2.536232
82,22,3.727273
20,14,1.428571
103,37,2.783784
517,85,6.082353
268,42,6.380952
125,46,2.717391
176,17,10.352941
46,12,3.833333
95,19,5.000000
51,23,2.217391
33,13,2.538462
338,73,4.630137
26,17,1.529412
127,19,6.684211
115,36,3.194444
308,25,12.320000
100,17,5.882353
234,47,4.978723
563,70,8.042857
120,63,1.904762
190,52,3.653846
63,21,3.000000
325,66,4.924242
434,57,7.614035
31,13,2.384615
57,45,1.266667
204,66,3.090909
139,51,2.725490
219,19,11.526316
198,38,5.210526
209,53,3.943396
110,34,3.235294
61,45,1.355556
117,30,3.900000
634,77,8.233766
24,13,1.846154
136,34,4.000000
107,17,6.294118
136,51,2.666667
116,14,8.285714
112,43,2.604651
143,50,2.860000
151,54,2.796296
288,53,5.433962
188,53,3.547170
63,13,4.846154
175,68,2.573529
102,47,2.170213
111,48,2.312500
185,21,8.809524
325,30,10.833333
98,53,1.849057
76,45,1.688889
100,60,1.666667
57,42,1.357143
41,17,2.411765
56,19,2.947368
272,32,8.500000
131,72,1.819444
76,48,1.583333
193,56,3.446429
96,31,3.096774
168,66,2.545455
18,9,2.000000
82,21,3.904762
117,26,4.500000
141,15,9.400000
85,46,1.847826
71,45,1.577778
150,51,2.941176
159,53,3.000000
65,10,6.500000
56,38,1.473684
12,7,1.714286
64,20,3.200000
68,14,4.857143
42,37,1.135135
6,4,1.500000
105,44,2.386364
107,22,4.863636
108,22,4.909091
55,24,2.291667
129,49,2.632653
38,21,1.809524
94,22,4.272727
44,38,1.157895
55,15,3.666667
53,39,1.358974
48,36,1.333333
60,10,6.000000
120,32,3.750000
98,62,1.580645
15,5,3.000000
66,11,6.000000
20,9,2.222222
56,11,5.090909
71,52,1.365385
29,9,3.222222
52,40,1.300000
68,11,6.181818
40,36,1.111111
77,12,6.416667
35,10,3.500000
