sum_hyperedge_size,num_nodes,egonet overlapness
0,1,0.000000
297,96,3.093750
260,85,3.058824
312,100,3.120000
242,98,2.469388
118,58,2.034483
308,93,3.311828
167,84,1.988095
222,86,2.581395
117,62,1.887097
185,81,2.283951
314,96,3.270833
442,108,4.092593
116,61,1.901639
202,75,2.693333
312,99,3.151515
257,91,2.824176
176,73,2.410959
274,88,3.113636
345,95,3.631579
466,116,4.017241
307,93,3.301075
286,91,3.142857
342,102,3.352941
342,102,3.352941
409,99,4.131313
301,96,3.135417
201,81,2.481481
52,33,1.575758
487,101,4.821782
130,74,1.756757
182,79,2.303797
50,35,1.428571
168,70,2.400000
210,81,2.592593
234,85,2.752941
139,71,1.957746
71,45,1.577778
138,62,2.225806
226,89,2.539326
103,58,1.775862
3,3,1.000000
130,64,2.031250
313,98,3.193878
306,89,3.438202
113,60,1.883333
247,97,2.546392
33,23,1.434783
124,61,2.032787
91,47,1.936170
36,24,1.500000
211,82,2.573171
24,20,1.200000
186,71,2.619718
209,79,2.645570
415,107,3.878505
164,71,2.309859
229,87,2.632184
427,109,3.917431
53,31,1.709677
173,74,2.337838
61,33,1.848485
225,83,2.710843
435,101,4.306931
67,33,2.030303
43,25,1.720000
154,73,2.109589
70,42,1.666667
332,101,3.287129
252,88,2.863636
174,73,2.383562
141,68,2.073529
11,8,1.375000
193,77,2.506494
728,122,5.967213
82,51,1.607843
80,48,1.666667
168,78,2.153846
100,48,2.083333
54,34,1.588235
133,68,1.955882
114,58,1.965517
96,49,1.959184
133,65,2.046154
204,93,2.193548
77,42,1.833333
170,78,2.179487
75,40,1.875000
124,56,2.214286
152,70,2.171429
452,101,4.475248
78,42,1.857143
54,31,1.741935
63,36,1.750000
24,19,1.263158
108,64,1.687500
99,59,1.677966
261,95,2.747368
105,61,1.721311
52,33,1.575758
115,59,1.949153
69,43,1.604651
144,69,2.086957
63,42,1.500000
97,46,2.108696
88,54,1.629630
240,97,2.474227
27,19,1.421053
23,15,1.533333
70,42,1.666667
144,72,2.000000
91,51,1.784314
53,37,1.432432
14,11,1.272727
165,68,2.426471
90,52,1.730769
28,25,1.120000
11,9,1.222222
133,74,1.797297
79,44,1.795455
81,46,1.760870
55,37,1.486486
105,54,1.944444
11,8,1.375000
143,70,2.042857
79,54,1.462963
112,58,1.931034
34,24,1.416667
62,39,1.589744
44,32,1.375000
94,52,1.807692
25,15,1.666667
21,14,1.500000
72,44,1.636364
28,22,1.272727
49,31,1.580645
39,26,1.500000
9,6,1.500000
64,39,1.641026
51,26,1.961538
30,21,1.428571
74,42,1.761905
61,40,1.525000
