sum_hyperedge_size,num_nodes,egonet overlapness
317,72,4.402778
143,49,2.918367
92,22,4.181818
219,52,4.211538
211,47,4.489362
246,66,3.727273
87,27,3.222222
185,72,2.569444
267,82,3.256098
175,40,4.375000
111,30,3.700000
123,55,2.236364
319,69,4.623188
107,29,3.689655
258,57,4.526316
137,47,2.914894
140,44,3.181818
227,73,3.109589
258,61,4.229508
144,46,3.130435
256,61,4.196721
181,58,3.120690
412,74,5.567568
93,31,3.000000
214,60,3.566667
90,30,3.000000
76,24,3.166667
163,59,2.762712
97,32,3.031250
155,46,3.369565
264,68,3.882353
219,60,3.650000
204,71,2.873239
123,35,3.514286
253,71,3.563380
146,62,2.354839
256,62,4.129032
250,69,3.623188
59,13,4.538462
99,36,2.750000
59,12,4.916667
52,22,2.363636
204,55,3.709091
198,73,2.712329
151,38,3.973684
408,81,5.037037
308,81,3.802469
364,91,4.000000
25,15,1.666667
125,35,3.571429
106,31,3.419355
116,37,3.135135
348,79,4.405063
141,36,3.916667
221,62,3.564516
256,72,3.555556
212,70,3.028571
342,72,4.750000
498,80,6.225000
200,71,2.816901
311,78,3.987179
194,45,4.311111
83,36,2.305556
240,61,3.934426
213,61,3.491803
109,34,3.205882
115,34,3.382353
144,47,3.063830
56,23,2.434783
281,75,3.746667
25,15,1.666667
174,65,2.676923
80,37,2.162162
82,28,2.928571
186,54,3.444444
158,65,2.430769
138,37,3.729730
459,79,5.810127
116,27,4.296296
148,36,4.111111
148,39,3.794872
174,59,2.949153
104,28,3.714286
218,61,3.573770
132,37,3.567568
107,48,2.229167
65,18,3.611111
273,78,3.500000
166,49,3.387755
135,42,3.214286
148,41,3.609756
35,18,1.944444
160,54,2.962963
52,25,2.080000
67,28,2.392857
216,69,3.130435
135,38,3.552632
111,33,3.363636
123,35,3.514286
79,20,3.950000
212,73,2.904110
102,36,2.833333
140,45,3.111111
176,53,3.320755
21,11,1.909091
75,26,2.884615
69,20,3.450000
336,84,4.000000
36,10,3.600000
95,28,3.392857
86,29,2.965517
181,62,2.919355
136,28,4.857143
91,61,1.491803
37,18,2.055556
27,13,2.076923
215,56,3.839286
48,19,2.526316
74,22,3.363636
87,27,3.222222
157,47,3.340426
124,24,5.166667
169,41,4.121951
36,22,1.636364
218,55,3.963636
112,33,3.393939
156,44,3.545455
190,74,2.567568
88,38,2.315789
37,21,1.761905
74,46,1.608696
59,19,3.105263
31,9,3.444444
58,23,2.521739
46,25,1.840000
65,21,3.095238
98,29,3.379310
41,23,1.782609
123,55,2.236364
73,26,2.807692
27,16,1.687500
77,47,1.638298
55,40,1.375000
