sum_hyperedge_size,num_nodes,egonet overlapness
199,63,3.158730
80,35,2.285714
199,64,3.109375
380,98,3.877551
356,86,4.139535
125,75,1.666667
291,82,3.548780
223,73,3.054795
182,52,3.500000
177,77,2.298701
86,54,1.592593
317,79,4.012658
172,77,2.233766
154,70,2.200000
156,49,3.183673
110,61,1.803279
228,67,3.402985
140,76,1.842105
199,57,3.491228
108,57,1.894737
128,60,2.133333
79,29,2.724138
144,51,2.823529
67,31,2.161290
64,35,1.828571
307,95,3.231579
259,77,3.363636
212,62,3.419355
70,34,2.058824
236,75,3.146667
316,88,3.590909
403,102,3.950980
109,40,2.725000
187,52,3.596154
295,78,3.782051
94,38,2.473684
115,52,2.211538
223,74,3.013514
334,103,3.242718
226,77,2.935065
156,48,3.250000
288,84,3.428571
80,38,2.105263
236,55,4.290909
309,90,3.433333
77,25,3.080000
152,58,2.620690
341,97,3.515464
102,53,1.924528
369,90,4.100000
180,70,2.571429
103,43,2.395349
152,61,2.491803
224,75,2.986667
185,65,2.846154
111,48,2.312500
107,55,1.945455
55,24,2.291667
103,42,2.452381
100,41,2.439024
95,50,1.900000
45,23,1.956522
248,68,3.647059
279,84,3.321429
50,29,1.724138
208,68,3.058824
153,66,2.318182
56,30,1.866667
111,39,2.846154
241,87,2.770115
156,63,2.476190
183,73,2.506849
140,64,2.187500
119,51,2.333333
310,86,3.604651
123,50,2.460000
322,81,3.975309
263,91,2.890110
133,48,2.770833
86,48,1.791667
233,70,3.328571
135,61,2.213115
163,61,2.672131
285,78,3.653846
132,55,2.400000
289,96,3.010417
144,64,2.250000
103,36,2.861111
224,86,2.604651
180,46,3.913043
218,89,2.449438
97,46,2.108696
247,83,2.975904
218,75,2.906667
152,72,2.111111
221,60,3.683333
266,69,3.855072
43,23,1.869565
102,38,2.684211
104,46,2.260870
177,61,2.901639
148,71,2.084507
32,20,1.600000
60,31,1.935484
118,38,3.105263
56,47,1.191489
110,39,2.820513
135,50,2.700000
92,36,2.555556
144,59,2.440678
83,56,1.482143
68,36,1.888889
101,40,2.525000
145,49,2.959184
363,100,3.630000
147,58,2.534483
229,76,3.013158
200,87,2.298851
39,15,2.600000
13,7,1.857143
109,67,1.626866
213,53,4.018868
159,57,2.789474
67,47,1.425532
75,36,2.083333
51,29,1.758621
117,51,2.294118
170,79,2.151899
96,58,1.655172
5,4,1.250000
39,8,4.875000
60,25,2.400000
113,54,2.092593
32,23,1.391304
34,25,1.360000
27,20,1.350000
9,7,1.285714
14,8,1.750000
33,15,2.200000
28,15,1.866667
11,10,1.100000
18,14,1.285714
31,22,1.409091
