num_hes,num_nodes,egonet density
449,280,1.603571
390,285,1.368421
1097,346,3.170520
807,299,2.698997
899,302,2.976821
3,5,0.600000
183,252,0.726190
26,108,0.240741
755,335,2.253731
208,234,0.888889
1240,314,3.949045
179,241,0.742739
1710,315,5.428571
691,295,2.342373
893,306,2.918301
222,258,0.860465
126,213,0.591549
343,287,1.195122
638,291,2.192440
1042,307,3.394137
407,267,1.524345
213,247,0.862348
648,310,2.090323
76,186,0.408602
310,262,1.183206
166,226,0.734513
1140,307,3.713355
498,282,1.765957
42,114,0.368421
664,322,2.062112
264,263,1.003802
787,294,2.676871
282,266,1.060150
1441,308,4.678571
454,275,1.650909
636,289,2.200692
57,147,0.387755
122,233,0.523605
607,290,2.093103
483,292,1.654110
377,272,1.386029
136,219,0.621005
209,251,0.832669
773,292,2.647260
283,282,1.003546
213,246,0.865854
369,296,1.246622
70,181,0.386740
222,238,0.932773
224,256,0.875000
305,263,1.159696
126,227,0.555066
144,217,0.663594
463,287,1.613240
39,153,0.254902
314,269,1.167286
742,290,2.558621
767,324,2.367284
149,208,0.716346
108,224,0.482143
66,183,0.360656
8,54,0.148148
62,193,0.321244
12,93,0.129032
33,86,0.383721
96,220,0.436364
25,105,0.238095
45,118,0.381356
126,245,0.514286
93,183,0.508197
53,171,0.309942
11,47,0.234043
360,291,1.237113
1073,306,3.506536
312,271,1.151292
292,259,1.127413
187,241,0.775934
414,279,1.483871
218,249,0.875502
756,301,2.511628
90,194,0.463918
614,290,2.117241
504,279,1.806452
483,287,1.682927
285,265,1.075472
30,141,0.212766
531,281,1.889680
656,297,2.208754
167,228,0.732456
534,285,1.873684
93,207,0.449275
295,266,1.109023
373,271,1.376384
438,279,1.569892
59,192,0.307292
1194,355,3.363380
653,294,2.221088
210,265,0.792453
284,264,1.075758
217,254,0.854331
87,201,0.432836
249,262,0.950382
241,246,0.979675
1174,358,3.279330
500,280,1.785714
142,246,0.577236
271,268,1.011194
34,128,0.265625
183,262,0.698473
147,245,0.600000
332,258,1.286822
374,274,1.364964
254,257,0.988327
352,276,1.275362
425,276,1.539855
68,180,0.377778
159,243,0.654321
690,314,2.197452
32,88,0.363636
67,154,0.435065
399,295,1.352542
750,297,2.525253
18,52,0.346154
38,122,0.311475
231,246,0.939024
241,249,0.967871
892,301,2.963455
567,309,1.834951
89,194,0.458763
94,198,0.474747
656,308,2.129870
221,244,0.905738
720,332,2.168675
57,168,0.339286
14,38,0.368421
73,177,0.412429
167,239,0.698745
322,270,1.192593
141,237,0.594937
26,106,0.245283
415,281,1.476868
331,261,1.268199
465,275,1.690909
189,244,0.774590
387,270,1.433333
11,40,0.275000
25,96,0.260417
6,18,0.333333
12,32,0.375000
24,85,0.282353
227,250,0.908000
427,279,1.530466
404,275,1.469091
239,244,0.979508
366,272,1.345588
525,291,1.804124
633,316,2.003165
195,248,0.786290
425,285,1.491228
451,280,1.610714
307,260,1.180769
11,29,0.379310
107,215,0.497674
286,255,1.121569
140,226,0.619469
42,170,0.247059
166,248,0.669355
108,192,0.562500
166,224,0.741071
579,286,2.024476
77,188,0.409574
10,21,0.476190
682,292,2.335616
674,312,2.160256
495,277,1.787004
39,116,0.336207
