num_hes,num_nodes,egonet density
78,88,0.886364
104,117,0.888889
613,124,4.943548
407,130,3.130769
637,213,2.990610
275,186,1.478495
261,149,1.751678
119,92,1.293478
67,56,1.196429
53,71,0.746479
87,76,1.144737
125,108,1.157407
217,217,1.000000
104,86,1.209302
125,141,0.886525
159,130,1.223077
132,84,1.571429
238,175,1.360000
122,153,0.797386
148,119,1.243697
339,264,1.284091
189,144,1.312500
24,16,1.500000
236,143,1.650350
104,87,1.195402
79,76,1.039474
100,86,1.162791
173,90,1.922222
108,92,1.173913
110,83,1.325301
177,89,1.988764
119,85,1.400000
372,236,1.576271
221,162,1.364198
315,103,3.058252
109,138,0.789855
195,97,2.010309
65,88,0.738636
235,146,1.609589
164,77,2.129870
198,122,1.622951
215,174,1.235632
125,105,1.190476
345,224,1.540179
19,26,0.730769
171,118,1.449153
317,178,1.780899
303,152,1.993421
232,110,2.109091
280,72,3.888889
244,63,3.873016
197,130,1.515385
81,70,1.157143
74,117,0.632479
174,80,2.175000
682,213,3.201878
180,88,2.045455
232,116,2.000000
218,66,3.303030
253,81,3.123457
221,131,1.687023
150,111,1.351351
917,231,3.969697
450,277,1.624549
263,195,1.348718
113,135,0.837037
87,55,1.581818
12,47,0.255319
142,87,1.632184
79,108,0.731481
209,48,4.354167
211,47,4.489362
16,16,1.000000
129,72,1.791667
316,148,2.135135
153,63,2.428571
133,66,2.015152
47,36,1.305556
76,93,0.817204
79,54,1.462963
468,240,1.950000
168,135,1.244444
433,188,2.303191
604,302,2.000000
503,163,3.085890
288,202,1.425743
441,262,1.683206
132,112,1.178571
173,137,1.262774
99,95,1.042105
91,41,2.219512
121,44,2.750000
75,97,0.773196
145,73,1.986301
166,196,0.846939
169,113,1.495575
211,186,1.134409
43,29,1.482759
88,34,2.588235
103,53,1.943396
74,34,2.176471
79,45,1.755556
66,63,1.047619
143,75,1.906667
179,118,1.516949
339,223,1.520179
591,271,2.180812
559,266,2.101504
61,52,1.173077
21,14,1.500000
68,68,1.000000
165,81,2.037037
39,33,1.181818
678,262,2.587786
399,192,2.078125
257,130,1.976923
449,259,1.733591
35,44,0.795455
48,81,0.592593
95,75,1.266667
35,48,0.729167
719,308,2.334416
71,76,0.934211
104,107,0.971963
65,41,1.585366
109,66,1.651515
50,56,0.892857
539,286,1.884615
103,113,0.911504
35,43,0.813953
634,262,2.419847
194,148,1.310811
180,143,1.258741
206,254,0.811024
145,69,2.101449
102,88,1.159091
203,115,1.765217
364,153,2.379085
79,53,1.490566
172,57,3.017544
177,54,3.277778
139,99,1.404040
268,189,1.417989
147,118,1.245763
240,151,1.589404
22,54,0.407407
36,67,0.537313
157,139,1.129496
99,57,1.736842
36,46,0.782609
86,91,0.945055
92,98,0.938776
207,144,1.437500
74,126,0.587302
123,103,1.194175
101,108,0.935185
134,103,1.300971
79,76,1.039474
127,69,1.840580
95,87,1.091954
124,107,1.158879
696,403,1.727047
300,148,2.027027
100,136,0.735294
119,63,1.888889
280,229,1.222707
319,215,1.483721
212,159,1.333333
177,120,1.475000
245,161,1.521739
476,223,2.134529
163,109,1.495413
210,164,1.280488
289,190,1.521053
32,33,0.969697
190,182,1.043956
151,97,1.556701
114,119,0.957983
59,87,0.678161
156,131,1.190840
397,169,2.349112
73,65,1.123077
180,94,1.914894
491,248,1.979839
18,27,0.666667
44,65,0.676923
143,120,1.191667
101,107,0.943925
51,108,0.472222
39,72,0.541667
153,72,2.125000
148,56,2.642857
95,37,2.567568
134,43,3.116279
163,68,2.397059
22,28,0.785714
111,95,1.168421
112,65,1.723077
129,104,1.240385
137,113,1.212389
65,47,1.382979
116,126,0.920635
135,108,1.250000
156,95,1.642105
47,65,0.723077
145,120,1.208333
93,96,0.968750
316,224,1.410714
197,193,1.020725
686,262,2.618321
226,193,1.170984
53,52,1.019231
76,68,1.117647
166,116,1.431034
232,169,1.372781
109,48,2.270833
226,52,4.346154
131,109,1.201835
