num_hes,num_nodes,egonet density
0,1,0.000000
186,440,0.422727
611,676,0.903846
363,580,0.625862
654,667,0.980510
267,508,0.525591
268,536,0.500000
126,376,0.335106
75,233,0.321888
59,222,0.265766
97,322,0.301242
131,356,0.367978
198,481,0.411642
116,317,0.365931
128,379,0.337731
157,420,0.373810
130,389,0.334190
246,505,0.487129
124,378,0.328042
136,434,0.313364
355,578,0.614187
190,484,0.392562
21,80,0.262500
229,479,0.478079
107,305,0.350820
75,244,0.307377
93,302,0.307947
179,453,0.395143
109,320,0.340625
133,327,0.406728
177,461,0.383948
135,370,0.364865
400,602,0.664452
232,491,0.472505
323,592,0.545608
110,357,0.308123
194,436,0.444954
61,267,0.228464
215,464,0.463362
146,378,0.386243
182,473,0.384778
210,436,0.481651
121,354,0.341808
345,580,0.594828
18,57,0.315789
159,390,0.407692
313,559,0.559928
291,548,0.531022
246,520,0.473077
292,521,0.560461
240,488,0.491803
179,411,0.435523
76,259,0.293436
90,316,0.284810
192,454,0.422907
748,688,1.087209
157,429,0.365967
233,474,0.491561
223,481,0.463617
265,525,0.504762
220,480,0.458333
164,382,0.429319
903,716,1.261173
454,615,0.738211
285,547,0.521024
116,353,0.328612
96,338,0.284024
13,95,0.136842
135,426,0.316901
70,257,0.272374
215,501,0.429142
225,509,0.442043
16,57,0.280702
149,404,0.368812
324,540,0.600000
131,370,0.354054
126,363,0.347107
59,221,0.266968
82,302,0.271523
67,283,0.236749
447,590,0.757627
173,385,0.449351
447,603,0.741294
590,647,0.911901
483,633,0.763033
301,524,0.574427
451,626,0.720447
147,374,0.393048
161,434,0.370968
87,276,0.315217
94,319,0.294671
108,360,0.300000
63,267,0.235955
150,364,0.412088
170,439,0.387244
175,436,0.401376
195,451,0.432373
36,188,0.191489
79,273,0.289377
95,314,0.302548
70,239,0.292887
75,299,0.250836
58,274,0.211679
146,389,0.375321
171,440,0.388636
316,552,0.572464
589,634,0.929022
558,654,0.853211
78,305,0.255738
15,95,0.157895
83,266,0.312030
161,423,0.380615
31,115,0.269565
