num_hes,num_nodes,egonet density
363,274,1.324818
92,170,0.541176
96,154,0.623377
94,171,0.549708
237,238,0.995798
247,286,0.863636
168,148,1.135135
285,161,1.770186
88,84,1.047619
61,88,0.693182
57,89,0.640449
120,101,1.188119
85,113,0.752212
439,280,1.567857
38,120,0.316667
210,240,0.875000
120,182,0.659341
61,113,0.539823
204,233,0.875536
23,67,0.343284
243,274,0.886861
433,278,1.557554
110,189,0.582011
236,228,1.035088
140,206,0.679612
135,193,0.699482
276,256,1.078125
170,239,0.711297
120,185,0.648649
179,224,0.799107
74,101,0.732673
141,124,1.137097
242,158,1.531646
184,242,0.760331
73,162,0.450617
386,278,1.388489
144,232,0.620690
46,95,0.484211
141,221,0.638009
68,176,0.386364
108,197,0.548223
61,70,0.871429
447,333,1.342342
138,110,1.254545
124,234,0.529915
421,323,1.303406
650,366,1.775956
127,134,0.947761
425,332,1.280120
397,334,1.188623
98,212,0.462264
688,362,1.900552
87,205,0.424390
439,321,1.367601
196,261,0.750958
268,238,1.126050
46,98,0.469388
25,81,0.308642
225,224,1.004464
81,161,0.503106
120,236,0.508475
26,83,0.313253
91,210,0.433333
248,290,0.855172
424,338,1.254438
18,101,0.178218
404,284,1.422535
115,209,0.550239
231,282,0.819149
194,265,0.732075
201,217,0.926267
3,20,0.150000
81,136,0.595588
95,183,0.519126
182,219,0.831050
83,162,0.512346
384,315,1.219048
167,131,1.274809
400,319,1.253918
115,110,1.045455
69,183,0.377049
208,143,1.454545
204,278,0.733813
211,235,0.897872
190,243,0.781893
98,126,0.777778
125,180,0.694444
233,237,0.983122
91,167,0.544910
27,130,0.207692
778,300,2.593333
144,222,0.648649
235,258,0.910853
60,155,0.387097
185,261,0.708812
242,248,0.975806
24,110,0.218182
604,293,2.061433
556,292,1.904110
429,273,1.571429
48,125,0.384000
237,266,0.890977
482,273,1.765568
201,246,0.817073
439,294,1.493197
274,244,1.122951
224,237,0.945148
357,277,1.288809
444,283,1.568905
571,292,1.955479
216,227,0.951542
169,203,0.832512
44,103,0.427184
108,217,0.497696
165,234,0.705128
131,224,0.584821
658,293,2.245734
152,239,0.635983
66,163,0.404908
328,265,1.237736
446,277,1.610108
154,229,0.672489
501,281,1.782918
371,322,1.152174
236,254,0.929134
8,56,0.142857
470,286,1.643357
70,171,0.409357
14,98,0.142857
319,272,1.172794
362,270,1.340741
53,106,0.500000
254,254,1.000000
90,208,0.432692
123,246,0.500000
245,240,1.020833
414,276,1.500000
184,245,0.751020
226,250,0.904000
294,296,0.993243
141,217,0.649770
157,227,0.691630
247,259,0.953668
26,111,0.234234
160,215,0.744186
225,235,0.957447
