num_hes,num_nodes,egonet density
322,265,1.215094
85,226,0.376106
110,132,0.833333
401,331,1.211480
684,365,1.873973
167,228,0.732456
215,242,0.888430
106,215,0.493023
262,273,0.959707
564,301,1.873754
62,146,0.424658
18,118,0.152542
156,214,0.728972
37,89,0.415730
47,137,0.343066
403,265,1.520755
116,198,0.585859
785,288,2.725694
171,226,0.756637
168,240,0.700000
462,275,1.680000
325,259,1.254826
225,246,0.914634
23,102,0.225490
608,283,2.148410
71,117,0.606838
104,124,0.838710
172,278,0.618705
660,281,2.348754
413,327,1.262997
455,349,1.303725
152,243,0.625514
218,239,0.912134
237,246,0.963415
248,310,0.800000
671,368,1.823370
165,215,0.767442
186,226,0.823009
291,250,1.164000
176,234,0.752137
191,228,0.837719
127,226,0.561947
94,192,0.489583
71,177,0.401130
48,129,0.372093
142,221,0.642534
369,278,1.327338
246,249,0.987952
228,261,0.873563
203,253,0.802372
44,120,0.366667
109,189,0.576720
404,266,1.518797
101,192,0.526042
151,214,0.705607
179,253,0.707510
254,265,0.958491
89,183,0.486339
6,29,0.206897
215,257,0.836576
103,186,0.553763
136,212,0.641509
98,137,0.715328
160,146,1.095890
207,311,0.665595
98,128,0.765625
185,150,1.233333
33,74,0.445946
171,226,0.756637
206,241,0.854772
399,273,1.461538
83,170,0.488235
218,235,0.927660
470,271,1.734317
587,283,2.074205
230,243,0.946502
107,190,0.563158
452,265,1.705660
117,223,0.524664
311,254,1.224409
179,228,0.785088
153,227,0.674009
242,247,0.979757
24,65,0.369231
52,108,0.481481
122,136,0.897059
132,152,0.868421
212,245,0.865306
135,214,0.630841
12,84,0.142857
99,209,0.473684
542,280,1.935714
142,225,0.631111
419,277,1.512635
31,131,0.236641
499,278,1.794964
175,225,0.777778
448,274,1.635036
125,210,0.595238
269,241,1.116183
416,336,1.238095
397,278,1.428058
223,246,0.906504
323,261,1.237548
681,365,1.865753
251,295,0.850847
259,163,1.588957
246,163,1.509202
75,109,0.688073
68,99,0.686869
86,183,0.469945
127,233,0.545064
98,198,0.494949
132,213,0.619718
56,158,0.354430
339,265,1.279245
438,282,1.553191
344,329,1.045593
244,252,0.968254
8,49,0.163265
449,279,1.609319
56,132,0.424242
15,76,0.197368
278,251,1.107570
444,340,1.305882
391,265,1.475472
103,130,0.792308
19,48,0.395833
155,242,0.640496
228,238,0.957983
174,226,0.769912
134,213,0.629108
6,49,0.122449
168,209,0.803828
48,125,0.384000
103,223,0.461883
562,304,1.848684
182,238,0.764706
234,254,0.921260
246,240,1.025000
185,229,0.807860
103,220,0.468182
235,247,0.951417
218,237,0.919831
150,270,0.555556
379,311,1.218650
280,315,0.888889
266,242,1.099174
382,288,1.326389
171,229,0.746725
214,241,0.887967
189,231,0.818182
71,170,0.417647
83,151,0.549669
245,229,1.069869
260,158,1.645570
284,314,0.904459
6,54,0.111111
123,188,0.654255
70,115,0.608696
36,80,0.450000
224,283,0.791519
162,149,1.087248
46,98,0.469388
147,258,0.569767
261,170,1.535294
14,62,0.225806
128,209,0.612440
114,239,0.476987
263,263,1.000000
294,268,1.097015
207,255,0.811765
231,258,0.895349
50,152,0.328947
165,229,0.720524
453,336,1.348214
122,224,0.544643
18,53,0.339623
323,261,1.237548
164,240,0.683333
94,153,0.614379
145,145,1.000000
49,113,0.433628
104,137,0.759124
176,169,1.041420
106,142,0.746479
133,131,1.015267
108,120,0.900000
47,144,0.326389
7,40,0.175000
93,121,0.768595
65,137,0.474453
84,118,0.711864
330,272,1.213235
94,191,0.492147
234,252,0.928571
202,296,0.682432
189,242,0.780992
64,118,0.542373
355,165,2.151515
190,283,0.671378
73,155,0.470968
141,214,0.658879
260,244,1.065574
135,231,0.584416
443,340,1.302941
415,342,1.213450
451,340,1.326471
254,250,1.016000
152,226,0.672566
91,195,0.466667
75,195,0.384615
358,314,1.140127
142,139,1.021583
76,191,0.397906
217,283,0.766784
21,70,0.300000
83,200,0.415000
140,236,0.593220
128,218,0.587156
35,115,0.304348
278,277,1.003610
33,107,0.308411
249,231,1.077922
94,141,0.666667
309,308,1.003247
199,289,0.688581
202,289,0.698962
103,120,0.858333
34,133,0.255639
55,121,0.454545
404,326,1.239264
9,42,0.214286
333,263,1.266160
46,148,0.310811
128,216,0.592593
49,149,0.328859
249,246,1.012195
125,210,0.595238
24,88,0.272727
240,251,0.956175
1,2,0.500000
158,228,0.692982
119,221,0.538462
137,212,0.646226
125,212,0.589623
70,145,0.482759
155,249,0.622490
112,195,0.574359
128,197,0.649746
80,178,0.449438
145,217,0.668203
146,221,0.660633
182,227,0.801762
232,264,0.878788
33,120,0.275000
57,153,0.372549
130,243,0.534979
81,164,0.493902
66,120,0.550000
8,50,0.160000
12,58,0.206897
39,100,0.390000
3,9,0.333333
113,225,0.502222
160,238,0.672269
110,214,0.514019
33,126,0.261905
335,325,1.030769
75,175,0.428571
55,108,0.509259
274,163,1.680982
58,94,0.617021
134,205,0.653659
263,255,1.031373
4,20,0.200000
32,97,0.329897
192,273,0.703297
458,326,1.404908
157,213,0.737089
143,234,0.611111
24,114,0.210526
173,228,0.758772
124,207,0.599034
59,177,0.333333
47,161,0.291925
62,171,0.362573
65,181,0.359116
146,217,0.672811
302,308,0.980519
89,186,0.478495
76,111,0.684685
102,131,0.778626
238,155,1.535484
224,269,0.832714
172,238,0.722689
130,222,0.585586
875,301,2.906977
92,190,0.484211
115,208,0.552885
129,208,0.620192
72,162,0.444444
312,263,1.186312
84,197,0.426396
60,152,0.394737
135,218,0.619266
189,239,0.790795
197,239,0.824268
193,240,0.804167
60,163,0.368098
106,172,0.616279
8,71,0.112676
120,195,0.615385
35,101,0.346535
112,195,0.574359
283,257,1.101167
163,226,0.721239
101,206,0.490291
83,180,0.461111
52,133,0.390977
2,6,0.333333
250,251,0.996016
185,283,0.653710
47,136,0.345588
71,123,0.577236
133,214,0.621495
140,212,0.660377
83,203,0.408867
59,135,0.437037
89,120,0.741667
146,217,0.672811
330,270,1.222222
58,109,0.532110
41,78,0.525641
99,124,0.798387
61,187,0.326203
119,177,0.672316
42,149,0.281879
191,244,0.782787
82,159,0.515723
72,187,0.385027
53,111,0.477477
5,24,0.208333
408,184,2.217391
197,284,0.693662
222,167,1.329341
21,53,0.396226
60,172,0.348837
297,256,1.160156
208,243,0.855967
239,254,0.940945
137,198,0.691919
89,170,0.523529
22,95,0.231579
64,102,0.627451
50,108,0.462963
89,114,0.780702
160,245,0.653061
24,126,0.190476
376,273,1.377289
61,110,0.554545
102,211,0.483412
188,226,0.831858
198,238,0.831933
96,220,0.436364
47,140,0.335714
251,301,0.833887
461,331,1.392749
49,91,0.538462
224,159,1.408805
77,161,0.478261
36,141,0.255319
22,115,0.191304
97,202,0.480198
81,195,0.415385
92,184,0.500000
199,262,0.759542
163,241,0.676349
134,207,0.647343
55,149,0.369128
131,215,0.609302
101,219,0.461187
141,217,0.649770
321,253,1.268775
31,89,0.348315
180,246,0.731707
141,208,0.677885
146,219,0.666667
53,130,0.407692
120,235,0.510638
50,143,0.349650
139,218,0.637615
21,108,0.194444
108,237,0.455696
52,135,0.385185
66,154,0.428571
28,106,0.264151
67,162,0.413580
75,179,0.418994
106,200,0.530000
22,65,0.338462
169,262,0.645038
133,224,0.593750
20,76,0.263158
28,118,0.237288
130,246,0.528455
118,204,0.578431
408,274,1.489051
54,148,0.364865
57,165,0.345455
6,37,0.162162
13,32,0.406250
32,134,0.238806
208,220,0.945455
22,71,0.309859
93,201,0.462687
74,188,0.393617
186,249,0.746988
181,270,0.670370
81,169,0.479290
178,228,0.780702
46,137,0.335766
70,175,0.400000
121,210,0.576190
91,199,0.457286
146,215,0.679070
117,217,0.539171
239,288,0.829861
251,250,1.004000
148,234,0.632479
101,231,0.437229
34,99,0.343434
84,125,0.672000
91,162,0.561728
9,65,0.138462
116,223,0.520179
23,90,0.255556
72,160,0.450000
56,177,0.316384
121,217,0.557604
143,206,0.694175
29,83,0.349398
27,92,0.293478
145,223,0.650224
149,239,0.623431
76,113,0.672566
167,143,1.167832
48,120,0.400000
55,141,0.390071
147,254,0.578740
54,173,0.312139
39,138,0.282609
58,166,0.349398
38,149,0.255034
110,202,0.544554
34,94,0.361702
137,233,0.587983
29,127,0.228346
112,190,0.589474
6,48,0.125000
36,119,0.302521
10,89,0.112360
75,150,0.500000
29,113,0.256637
266,326,0.815951
43,108,0.398148
206,284,0.725352
177,266,0.665414
30,113,0.265487
116,202,0.574257
41,102,0.401961
148,258,0.573643
70,171,0.409357
164,232,0.706897
54,149,0.362416
86,205,0.419512
85,173,0.491329
49,142,0.345070
39,106,0.367925
52,144,0.361111
23,94,0.244681
91,211,0.431280
94,186,0.505376
20,84,0.238095
81,136,0.595588
4,33,0.121212
65,107,0.607477
