sum_hyperedge_size,num_nodes,egonet overlapness
2977,280,10.632143
2880,285,10.105263
7231,346,20.898844
5421,299,18.130435
6203,302,20.539735
7,5,1.400000
1085,252,4.305556
178,108,1.648148
5433,335,16.217910
1425,234,6.089744
7974,314,25.394904
1331,241,5.522822
10912,315,34.641270
4753,295,16.111864
5872,306,19.189542
1614,258,6.255814
823,213,3.863850
2211,287,7.703833
4106,291,14.109966
7442,307,24.241042
2624,267,9.827715
1431,247,5.793522
4745,310,15.306452
532,186,2.860215
2091,262,7.980916
943,226,4.172566
7330,307,23.876221
3213,282,11.393617
235,114,2.061404
4424,322,13.739130
1891,263,7.190114
5100,294,17.346939
2073,266,7.793233
9413,308,30.561688
3100,275,11.272727
4370,289,15.121107
353,147,2.401361
886,233,3.802575
4111,290,14.175862
3089,292,10.578767
2706,272,9.948529
909,219,4.150685
1642,251,6.541833
5036,292,17.246575
1965,282,6.968085
1515,246,6.158537
2775,296,9.375000
502,181,2.773481
1575,238,6.617647
1577,256,6.160156
2104,263,8.000000
1029,227,4.533040
941,217,4.336406
3505,287,12.212544
332,153,2.169935
1994,269,7.412639
5123,290,17.665517
5380,324,16.604938
907,208,4.360577
809,224,3.611607
440,183,2.404372
70,54,1.296296
460,193,2.383420
124,93,1.333333
146,86,1.697674
637,220,2.895455
183,105,1.742857
231,118,1.957627
795,245,3.244898
479,183,2.617486
346,171,2.023392
61,47,1.297872
2486,291,8.542955
7566,306,24.725490
2131,271,7.863469
2021,259,7.803089
1266,241,5.253112
2778,279,9.956989
1520,249,6.104418
5205,301,17.292359
584,194,3.010309
4423,290,15.251724
3422,279,12.265233
3445,287,12.003484
1970,265,7.433962
268,141,1.900709
3518,281,12.519573
4644,297,15.636364
1111,228,4.872807
3675,285,12.894737
682,207,3.294686
1812,266,6.812030
2568,271,9.476015
3006,279,10.774194
503,192,2.619792
7866,355,22.157746
4546,294,15.462585
1507,265,5.686792
2089,264,7.912879
1522,254,5.992126
690,201,3.432836
1715,262,6.545802
1692,246,6.878049
7884,358,22.022346
3437,280,12.275000
1186,246,4.821138
1993,268,7.436567
242,128,1.890625
1369,262,5.225191
1046,245,4.269388
2110,258,8.178295
2490,274,9.087591
1761,257,6.852140
2556,276,9.260870
2962,276,10.731884
491,180,2.727778
1145,243,4.711934
4604,314,14.662420
154,88,1.750000
368,154,2.389610
2617,295,8.871186
5161,297,17.377104
76,52,1.461538
233,122,1.909836
1496,246,6.081301
1731,249,6.951807
6586,301,21.880399
3875,309,12.540453
579,194,2.984536
632,198,3.191919
4593,308,14.912338
1541,244,6.315574
5024,332,15.132530
369,168,2.196429
53,38,1.394737
443,177,2.502825
1215,239,5.083682
2407,270,8.914815
1061,237,4.476793
188,106,1.773585
2791,281,9.932384
2397,261,9.183908
3102,275,11.280000
1274,244,5.221311
2633,270,9.751852
58,40,1.450000
154,96,1.604167
23,18,1.277778
48,32,1.500000
124,85,1.458824
1549,250,6.196000
2888,279,10.351254
2718,275,9.883636
1483,244,6.077869
2591,272,9.525735
3602,291,12.378007
4333,316,13.712025
1444,248,5.822581
3023,285,10.607018
3026,280,10.807143
1995,260,7.673077
42,29,1.448276
776,215,3.609302
2015,255,7.901961
964,226,4.265487
354,170,2.082353
1074,248,4.330645
685,192,3.567708
1112,224,4.964286
4168,286,14.573427
555,188,2.952128
31,21,1.476190
4620,292,15.821918
4396,312,14.089744
3534,277,12.758123
220,116,1.896552
242,121,2.000000
79,56,1.410714
162,102,1.588235
988,217,4.552995
2095,259,8.088803
348,155,2.245161
448,174,2.574713
53,48,1.104167
660,223,2.959641
2228,263,8.471483
