sum_hyperedge_size,num_nodes,egonet overlapness
714,88,8.113636
671,117,5.735043
2840,124,22.903226
1921,130,14.776923
2980,213,13.990610
788,186,4.236559
869,149,5.832215
495,92,5.380435
302,56,5.392857
252,71,3.549296
202,76,2.657895
591,108,5.472222
584,217,2.691244
319,86,3.709302
746,141,5.290780
708,130,5.446154
658,84,7.833333
1739,175,9.937143
1075,153,7.026144
600,119,5.042017
2175,264,8.238636
901,144,6.256944
64,16,4.000000
1993,143,13.937063
1144,87,13.149425
1007,76,13.250000
717,86,8.337209
1624,90,18.044444
827,92,8.989130
1281,83,15.433735
1816,89,20.404494
1325,85,15.588235
3416,236,14.474576
1523,162,9.401235
2164,103,21.009709
910,138,6.594203
1891,97,19.494845
580,88,6.590909
2058,146,14.095890
1295,77,16.818182
1637,122,13.418033
1697,174,9.752874
469,105,4.466667
2457,224,10.968750
102,26,3.923077
957,118,8.110169
2129,178,11.960674
2498,152,16.434211
2187,110,19.881818
1882,72,26.138889
1734,63,27.523810
1617,130,12.438462
381,70,5.442857
539,117,4.606838
912,80,11.400000
3418,213,16.046948
1021,88,11.602273
1138,116,9.810345
1036,66,15.696970
1236,81,15.259259
2035,131,15.534351
1814,111,16.342342
4836,231,20.935065
1667,277,6.018051
756,195,3.876923
685,135,5.074074
719,55,13.072727
97,47,2.063830
595,87,6.839080
353,108,3.268519
1485,48,30.937500
1513,47,32.191489
55,16,3.437500
1050,72,14.583333
1794,148,12.121622
1412,63,22.412698
610,66,9.242424
173,36,4.805556
736,93,7.913978
279,54,5.166667
3339,240,13.912500
938,135,6.948148
2466,188,13.117021
2884,302,9.549669
3207,163,19.674847
1351,202,6.688119
1890,262,7.213740
1095,112,9.776786
855,137,6.240876
596,95,6.273684
657,41,16.024390
823,44,18.704545
311,97,3.206186
1290,73,17.671233
1209,196,6.168367
1475,113,13.053097
890,186,4.784946
134,29,4.620690
661,34,19.441176
657,53,12.396226
586,34,17.235294
624,45,13.866667
530,63,8.412698
1697,75,22.626667
1918,118,16.254237
1736,223,7.784753
3959,271,14.608856
2498,266,9.390977
505,52,9.711538
84,14,6.000000
457,68,6.720588
997,81,12.308642
350,33,10.606061
5120,262,19.541985
2894,192,15.072917
2138,130,16.446154
3137,259,12.111969
208,44,4.727273
234,81,2.888889
568,75,7.573333
508,48,10.583333
3897,308,12.652597
982,76,12.921053
1003,107,9.373832
450,41,10.975610
695,66,10.530303
242,56,4.321429
3901,286,13.639860
1522,113,13.469027
92,43,2.139535
4091,262,15.614504
832,148,5.621622
922,143,6.447552
1680,254,6.614173
751,69,10.884058
1355,88,15.397727
1941,115,16.878261
1719,153,11.235294
333,53,6.283019
887,57,15.561404
910,54,16.851852
479,99,4.838384
1277,189,6.756614
978,118,8.288136
1525,151,10.099338
163,54,3.018519
155,67,2.313433
1031,139,7.417266
1482,57,26.000000
183,46,3.978261
1247,91,13.703297
627,98,6.397959
1328,144,9.222222
686,126,5.444444
609,103,5.912621
317,108,2.935185
1270,103,12.330097
1166,76,15.342105
578,69,8.376812
588,87,6.758621
974,107,9.102804
2679,403,6.647643
2037,148,13.763514
