sum_hyperedge_size,num_nodes,egonet overlapness
0,1,0.000000
1198,440,2.722727
4136,676,6.118343
2634,580,4.541379
4815,667,7.218891
1674,508,3.295276
1921,536,3.583955
892,376,2.372340
437,233,1.875536
373,222,1.680180
653,322,2.027950
840,356,2.359551
1566,481,3.255717
743,317,2.343849
899,379,2.372032
1048,420,2.495238
886,389,2.277635
1600,505,3.168317
800,378,2.116402
1134,434,2.612903
2507,578,4.337370
1351,484,2.791322
115,80,1.437500
1571,479,3.279749
593,305,1.944262
457,244,1.872951
614,302,2.033113
1314,453,2.900662
704,320,2.200000
809,327,2.474006
1317,461,2.856833
868,370,2.345946
2963,602,4.921927
1454,491,2.961303
2430,592,4.104730
809,357,2.266106
1212,436,2.779817
477,267,1.786517
1374,464,2.961207
866,378,2.291005
1323,473,2.797040
1276,436,2.926606
836,354,2.361582
2485,580,4.284483
80,57,1.403509
978,390,2.507692
2085,559,3.729875
2075,548,3.786496
1717,520,3.301923
1815,521,3.483685
1550,488,3.176230
1179,411,2.868613
453,259,1.749035
617,316,1.952532
1293,454,2.848018
4941,688,7.181686
1106,429,2.578089
1548,474,3.265823
1521,481,3.162162
1764,525,3.360000
1578,480,3.287500
934,382,2.445026
6014,716,8.399441
3039,615,4.941463
2071,547,3.786106
801,353,2.269122
679,338,2.008876
120,95,1.263158
1051,426,2.467136
480,257,1.867704
1572,501,3.137725
1713,509,3.365422
74,57,1.298246
995,404,2.462871
1995,540,3.694444
853,370,2.305405
879,363,2.421488
363,221,1.642534
592,302,1.960265
523,283,1.848057
2868,590,4.861017
1016,385,2.638961
3005,603,4.983416
4151,647,6.415765
3339,633,5.274882
1902,524,3.629771
3257,626,5.202875
839,374,2.243316
1160,434,2.672811
528,276,1.913043
646,319,2.025078
797,360,2.213889
519,267,1.943820
894,364,2.456044
1211,439,2.758542
1107,436,2.538991
1302,451,2.886918
281,188,1.494681
500,273,1.831502
639,314,2.035032
417,239,1.744770
554,299,1.852843
498,274,1.817518
995,389,2.557841
1169,440,2.656818
2017,552,3.653986
4088,634,6.447950
4068,654,6.220183
593,305,1.944262
128,95,1.347368
538,266,2.022556
1068,423,2.524823
