sum_hyperedge_size,num_nodes,egonet overlapness
2271,274,8.288321
550,170,3.235294
607,154,3.941558
666,171,3.894737
1488,238,6.252101
1547,286,5.409091
904,148,6.108108
1503,161,9.335404
481,84,5.726190
357,88,4.056818
368,89,4.134831
614,101,6.079208
566,113,5.008850
2571,280,9.182143
305,120,2.541667
1278,240,5.325000
715,182,3.928571
430,113,3.805310
1301,233,5.583691
194,67,2.895522
1461,274,5.332117
2495,278,8.974820
813,189,4.301587
1512,228,6.631579
890,206,4.320388
974,193,5.046632
1875,256,7.324219
1203,239,5.033473
854,185,4.616216
1283,224,5.727679
534,101,5.287129
918,124,7.403226
1547,158,9.791139
1273,242,5.260331
532,162,3.283951
2687,278,9.665468
1061,232,4.573276
262,95,2.757895
1031,221,4.665158
487,176,2.767045
737,197,3.741117
315,70,4.500000
2988,333,8.972973
773,110,7.027273
956,234,4.085470
2735,323,8.467492
4334,366,11.841530
787,134,5.873134
2854,332,8.596386
2713,334,8.122754
732,212,3.452830
4576,362,12.640884
647,205,3.156098
2968,321,9.246106
1348,261,5.164751
1589,238,6.676471
311,98,3.173469
186,81,2.296296
1393,224,6.218750
637,161,3.956522
831,236,3.521186
193,83,2.325301
695,210,3.309524
1752,290,6.041379
3098,338,9.165680
152,101,1.504950
2802,284,9.866197
844,209,4.038278
1514,282,5.368794
1360,265,5.132075
1145,217,5.276498
24,20,1.200000
554,136,4.073529
734,183,4.010929
1058,219,4.831050
517,162,3.191358
2252,315,7.149206
970,131,7.404580
2579,319,8.084639
665,110,6.045455
524,183,2.863388
1212,143,8.475524
1358,278,4.884892
1371,235,5.834043
1131,243,4.654321
724,126,5.746032
789,180,4.383333
1392,237,5.873418
654,167,3.916168
268,130,2.061538
5157,300,17.190000
1070,222,4.819820
1856,258,7.193798
433,155,2.793548
1176,261,4.505747
1590,248,6.411290
187,110,1.700000
4004,293,13.665529
3931,292,13.462329
3037,273,11.124542
299,125,2.392000
1897,266,7.131579
3124,273,11.443223
1524,246,6.195122
3163,294,10.758503
1705,244,6.987705
1584,237,6.683544
2683,277,9.685921
3219,283,11.374558
3987,292,13.654110
1284,227,5.656388
1047,203,5.157635
329,103,3.194175
962,217,4.433180
1033,234,4.414530
1004,224,4.482143
4461,293,15.225256
1252,239,5.238494
556,163,3.411043
1981,265,7.475472
3020,277,10.902527
1153,229,5.034934
3554,281,12.647687
2407,322,7.475155
1733,254,6.822835
92,56,1.642857
3135,286,10.961538
532,171,3.111111
174,98,1.775510
2394,272,8.801471
2421,270,8.966667
510,106,4.811321
1793,254,7.059055
686,208,3.298077
1012,246,4.113821
1495,240,6.229167
2805,276,10.163043
1343,245,5.481633
1610,250,6.440000
2043,296,6.902027
997,217,4.594470
1203,227,5.299559
1842,259,7.111969
233,111,2.099099
1077,215,5.009302
1449,235,6.165957
1812,245,7.395918
1633,256,6.378906
1101,224,4.915179
423,90,4.700000
2372,314,7.554140
2856,334,8.550898
1047,256,4.089844
2718,340,7.994118
283,129,2.193798
557,155,3.593548
547,140,3.907143
349,118,2.957627
915,199,4.597990
656,156,4.205128
1023,206,4.966019
416,136,3.058824
1274,225,5.662222
619,105,5.895238
577,105,5.495238
1022,206,4.961165
1439,242,5.946281
104,66,1.575758
367,87,4.218391
822,191,4.303665
1395,245,5.693878
5080,291,17.457045
454,176,2.579545
846,193,4.383420
542,194,2.793814
2272,258,8.806202
2228,259,8.602317
673,191,3.523560
1137,225,5.053333
593,172,3.447674
282,113,2.495575
1928,260,7.415385
764,164,4.658537
812,205,3.960976
433,126,3.436508
277,106,2.613208
56,24,2.333333
1111,215,5.167442
609,114,5.342105
1289,151,8.536424
808,127,6.362205
480,112,4.285714
201,63,3.190476
577,102,5.656863
456,103,4.427184
677,177,3.824859
398,120,3.316667
783,172,4.552326
708,165,4.290909
871,174,5.005747
831,196,4.239796
1767,260,6.796154
1164,230,5.060870
1395,238,5.861345
576,176,3.272727
324,143,2.265734
1445,296,4.881757
2314,266,8.699248
190,99,1.919192
635,160,3.968750
2303,319,7.219436
957,196,4.882653
569,150,3.793333
898,216,4.157407
512,154,3.324675
1193,227,5.255507
1069,224,4.772321
710,196,3.622449
1033,205,5.039024
86,40,2.150000
1572,249,6.313253
2773,271,10.232472
1154,219,5.269406
1575,282,5.585106
224,65,3.446154
748,117,6.393162
1344,157,8.560510
1105,259,4.266409
132,58,2.275862
437,157,2.783439
308,106,2.905660
800,182,4.395604
390,105,3.714286
978,196,4.989796
789,182,4.335165
1548,288,5.375000
261,125,2.088000
1445,245,5.897959
1789,249,7.184739
544,142,3.830986
1440,278,5.179856
586,119,4.924370
1105,256,4.316406
653,184,3.548913
1413,275,5.138182
333,100,3.330000
736,208,3.538462
1192,250,4.768000
775,219,3.538813
1757,251,7.000000
1087,221,4.918552
1919,261,7.352490
776,214,3.626168
899,222,4.049550
437,142,3.077465
2773,283,9.798587
1899,261,7.275862
1656,273,6.065934
1041,146,7.130137
1927,300,6.423333
94,52,1.807692
2546,270,9.429630
917,198,4.631313
1145,210,5.452381
227,56,4.053571
1543,261,5.911877
518,164,3.158537
366,131,2.793893
638,182,3.505495
1087,206,5.276699
154,56,2.750000
772,187,4.128342
405,91,4.450549
693,124,5.588710
1349,237,5.691983
1073,223,4.811659
745,153,4.869281
208,103,2.019417
1184,235,5.038298
552,150,3.680000
1418,240,5.908333
883,137,6.445255
542,122,4.442623
1466,252,5.817460
1457,238,6.121849
1932,296,6.527027
679,159,4.270440
190,58,3.275862
707,166,4.259036
1273,241,5.282158
547,111,4.927928
259,96,2.697917
2230,261,8.544061
1769,259,6.830116
377,125,3.016000
1446,274,5.277372
1321,256,5.160156
572,162,3.530864
282,105,2.685714
227,102,2.225490
338,113,2.991150
582,169,3.443787
760,175,4.342857
220,97,2.268041
56,43,1.302326
354,128,2.765625
588,167,3.520958
1112,227,4.898678
1053,217,4.852535
384,127,3.023622
179,75,2.386667
1466,149,9.838926
941,191,4.926702
787,184,4.277174
682,170,4.011765
1108,233,4.755365
758,122,6.213115
1447,242,5.979339
1634,249,6.562249
1128,230,4.904348
53,30,1.766667
716,120,5.966667
411,75,5.480000
2050,261,7.854406
1035,255,4.058824
164,64,2.562500
1676,261,6.421456
215,101,2.128713
64,38,1.684211
2618,262,9.992366
492,172,2.860465
639,166,3.849398
495,153,3.235294
463,84,5.511905
393,95,4.136842
346,120,2.883333
2202,264,8.340909
599,186,3.220430
445,157,2.834395
752,212,3.547170
4065,354,11.483051
1189,230,5.169565
312,144,2.166667
374,88,4.250000
164,55,2.981818
1146,247,4.639676
1000,240,4.166667
658,117,5.623932
315,97,3.247423
558,171,3.263158
372,128,2.906250
813,214,3.799065
725,189,3.835979
689,203,3.394089
979,237,4.130802
903,195,4.630769
797,174,4.580460
557,166,3.355422
1194,234,5.102564
1447,248,5.834677
433,161,2.689441
198,51,3.882353
787,120,6.558333
1038,144,7.208333
556,177,3.141243
588,113,5.203540
394,109,3.614679
1463,294,4.976190
588,176,3.340909
1269,232,5.469828
906,215,4.213953
368,66,5.575758
1431,236,6.063559
855,214,3.995327
883,204,4.328431
244,144,1.694444
432,145,2.979310
701,191,3.670157
1289,221,5.832579
1603,252,6.361111
377,149,2.530201
861,197,4.370558
255,109,2.339450
639,186,3.435484
1835,258,7.112403
1007,215,4.683721
1050,237,4.430380
1126,228,4.938596
906,234,3.871795
346,121,2.859504
1213,233,5.206009
476,130,3.661538
581,144,4.034722
781,183,4.267760
663,200,3.315000
2021,250,8.084000
636,166,3.831325
522,132,3.954545
1172,234,5.008547
91,50,1.820000
315,118,2.669492
308,75,4.106667
176,82,2.146341
584,150,3.893333
921,210,4.385714
325,79,4.113924
1223,225,5.435556
132,49,2.693878
1360,241,5.643154
164,51,3.215686
652,112,5.821429
270,92,2.934783
817,197,4.147208
256,124,2.064516
654,200,3.270000
1712,250,6.848000
550,171,3.216374
552,169,3.266272
683,206,3.315534
315,106,2.971698
247,85,2.905882
40,25,1.600000
104,29,3.586207
594,151,3.933775
64,37,1.729730
450,138,3.260870
141,50,2.820000
795,187,4.251337
147,84,1.750000
1100,208,5.288462
202,68,2.970588
992,200,4.960000
1189,222,5.355856
352,82,4.292683
931,205,4.541463
345,84,4.107143
119,41,2.902439
577,106,5.443396
1378,286,4.818182
931,199,4.678392
374,76,4.921053
637,108,5.898148
