sum_hyperedge_size,num_nodes,egonet overlapness
2211,265,8.343396
728,226,3.221239
673,132,5.098485
2525,331,7.628399
4561,365,12.495890
1137,228,4.986842
1494,242,6.173554
753,215,3.502326
1923,273,7.043956
3538,301,11.754153
400,146,2.739726
213,118,1.805085
1193,214,5.574766
237,89,2.662921
329,137,2.401460
2529,265,9.543396
788,198,3.979798
4795,288,16.649306
1258,226,5.566372
1307,240,5.445833
3114,275,11.323636
2272,259,8.772201
1518,246,6.170732
160,102,1.568627
4050,283,14.310954
536,117,4.581197
694,124,5.596774
1272,278,4.575540
4287,281,15.256228
2487,327,7.605505
3027,349,8.673352
1020,243,4.197531
1584,239,6.627615
1544,246,6.276423
1829,310,5.900000
4272,368,11.608696
998,215,4.641860
1247,226,5.517699
1999,250,7.996000
1251,234,5.346154
1260,228,5.526316
953,226,4.216814
766,192,3.989583
567,177,3.203390
362,129,2.806202
1092,221,4.941176
2557,278,9.197842
1679,249,6.742972
1753,261,6.716475
1525,253,6.027668
315,120,2.625000
734,189,3.883598
2654,266,9.977444
771,192,4.015625
1022,214,4.775701
1544,253,6.102767
1707,265,6.441509
558,183,3.049180
39,29,1.344828
1384,257,5.385214
696,186,3.741935
960,212,4.528302
657,137,4.795620
952,146,6.520548
1515,311,4.871383
633,128,4.945312
1031,150,6.873333
176,74,2.378378
1107,226,4.898230
1505,241,6.244813
2984,273,10.930403
548,170,3.223529
1510,235,6.425532
3254,271,12.007380
3761,283,13.289753
1609,243,6.621399
651,190,3.426316
2984,265,11.260377
971,223,4.354260
2112,254,8.314961
1376,228,6.035088
1130,227,4.977974
1738,247,7.036437
144,65,2.215385
310,108,2.870370
702,136,5.161765
863,152,5.677632
1719,245,7.016327
1006,214,4.700935
117,84,1.392857
692,209,3.311005
3533,280,12.617857
1145,225,5.088889
2679,277,9.671480
253,131,1.931298
3173,278,11.413669
1028,225,4.568889
2915,274,10.638686
914,210,4.352381
1800,241,7.468880
2730,336,8.125000
2812,278,10.115108
1582,246,6.430894
2271,261,8.701149
3895,365,10.671233
1657,295,5.616949
1474,163,9.042945
1423,163,8.730061
471,109,4.321101
361,99,3.646465
605,183,3.306011
947,233,4.064378
736,198,3.717172
903,213,4.239437
342,158,2.164557
2159,265,8.147170
2869,282,10.173759
2188,329,6.650456
1718,252,6.817460
65,49,1.326531
3052,279,10.939068
350,132,2.651515
107,76,1.407895
1821,251,7.254980
2726,340,8.017647
2772,265,10.460377
666,130,5.123077
82,48,1.708333
1025,242,4.235537
1603,238,6.735294
1094,226,4.840708
976,213,4.582160
87,49,1.775510
1076,209,5.148325
286,125,2.288000
850,223,3.811659
3572,304,11.750000
1190,238,5.000000
1633,254,6.429134
1682,240,7.008333
1307,229,5.707424
860,220,3.909091
1651,247,6.684211
1594,237,6.725738
1063,270,3.937037
2449,311,7.874598
1954,315,6.203175
1871,242,7.731405
2667,288,9.260417
1215,229,5.305677
1422,241,5.900415
1372,231,5.939394
510,170,3.000000
511,151,3.384106
1485,229,6.484716
1462,158,9.253165
1925,314,6.130573
69,54,1.277778
897,188,4.771277
528,115,4.591304
194,80,2.425000
1577,283,5.572438
1112,149,7.463087
356,98,3.632653
1056,258,4.093023
1479,170,8.700000
93,62,1.500000
740,209,3.540670
953,239,3.987448
1806,263,6.866920
2182,268,8.141791
1477,255,5.792157
1807,258,7.003876
397,152,2.611842
1244,229,5.432314
2926,336,8.708333
871,224,3.888393
104,53,1.962264
2330,261,8.927203
1271,240,5.295833
737,153,4.816993
889,145,6.131034
306,113,2.707965
620,137,4.525547
1196,169,7.076923
720,142,5.070423
855,131,6.526718
677,120,5.641667
321,144,2.229167
46,40,1.150000
628,121,5.190083
538,137,3.927007
518,118,4.389831
2415,272,8.878676
741,191,3.879581
1652,252,6.555556
1448,296,4.891892
1300,242,5.371901
464,118,3.932203
1842,165,11.163636
1300,283,4.593640
434,155,2.800000
1000,214,4.672897
1756,244,7.196721
901,231,3.900433
2929,340,8.614706
2791,342,8.160819
3035,340,8.926471
1819,250,7.276000
1216,226,5.380531
645,195,3.307692
640,195,3.282051
2104,314,6.700637
773,139,5.561151
529,191,2.769634
1402,283,4.954064
115,70,1.642857
577,200,2.885000
987,236,4.182203
879,218,4.032110
255,115,2.217391
1797,277,6.487365
256,107,2.392523
1503,231,6.506494
612,141,4.340426
1922,308,6.240260
1396,289,4.830450
1377,289,4.764706
659,120,5.491667
246,133,1.849624
345,121,2.851240
2375,326,7.285276
60,42,1.428571
2261,263,8.596958
338,148,2.283784
853,216,3.949074
340,149,2.281879
1660,246,6.747967
783,210,3.728571
174,88,1.977273
1663,251,6.625498
2,2,1.000000
1022,228,4.482456
822,221,3.719457
1032,212,4.867925
1054,212,4.971698
481,145,3.317241
1079,249,4.333333
748,195,3.835897
876,197,4.446701
507,178,2.848315
1019,217,4.695853
1098,221,4.968326
1257,227,5.537445
1514,264,5.734848
254,120,2.116667
402,153,2.627451
985,243,4.053498
533,164,3.250000
513,120,4.275000
60,50,1.200000
87,58,1.500000
271,100,2.710000
11,9,1.222222
991,225,4.404444
1163,238,4.886555
891,214,4.163551
244,126,1.936508
2186,325,6.726154
526,175,3.005714
404,108,3.740741
1624,163,9.963190
350,94,3.723404
930,205,4.536585
1896,255,7.435294
23,20,1.150000
215,97,2.216495
1340,273,4.908425
2711,326,8.315951
988,213,4.638498
1087,234,4.645299
218,114,1.912281
1164,228,5.105263
960,207,4.637681
470,177,2.655367
418,161,2.596273
489,171,2.859649
535,181,2.955801
1081,217,4.981567
2023,308,6.568182
596,186,3.204301
485,111,4.369369
666,131,5.083969
1271,155,8.200000
1582,269,5.881041
1298,238,5.453782
1029,222,4.635135
5264,301,17.488372
633,190,3.331579
754,208,3.625000
867,208,4.168269
490,162,3.024691
2025,263,7.699620
630,197,3.197970
420,152,2.763158
992,218,4.550459
1407,239,5.887029
1405,239,5.878661
1382,240,5.758333
421,163,2.582822
621,172,3.610465
90,71,1.267606
834,195,4.276923
194,101,1.920792
720,195,3.692308
1913,257,7.443580
1084,226,4.796460
781,206,3.791262
568,180,3.155556
272,133,2.045113
7,6,1.166667
1548,251,6.167331
1250,283,4.416961
273,136,2.007353
563,123,4.577236
990,214,4.626168
948,212,4.471698
546,203,2.689655
458,135,3.392593
565,120,4.708333
984,217,4.534562
2353,270,8.714815
387,109,3.550459
257,78,3.294872
612,124,4.935484
478,187,2.556150
845,177,4.774011
381,149,2.557047
1391,244,5.700820
558,159,3.509434
459,187,2.454545
397,111,3.576577
28,24,1.166667
2285,184,12.418478
1353,284,4.764085
1314,167,7.868263
96,53,1.811321
442,172,2.569767
2020,256,7.890625
1533,243,6.308642
1737,254,6.838583
945,198,4.772727
615,170,3.617647
154,95,1.621053
450,102,4.411765
386,108,3.574074
571,114,5.008772
1140,245,4.653061
226,126,1.793651
2525,273,9.249084
399,110,3.627273
663,211,3.142180
1267,226,5.606195
1450,238,6.092437
708,220,3.218182
315,140,2.250000
1813,301,6.023256
2856,331,8.628399
327,91,3.593407
1294,159,8.138365
464,161,2.881988
333,141,2.361702
219,115,1.904348
706,202,3.495050
683,195,3.502564
663,184,3.603261
1332,262,5.083969
1102,241,4.572614
941,207,4.545894
473,149,3.174497
1013,215,4.711628
920,219,4.200913
1119,217,5.156682
2059,253,8.138340
171,89,1.921348
1297,246,5.272358
962,208,4.625000
1099,219,5.018265
292,130,2.246154
869,235,3.697872
323,143,2.258741
1014,218,4.651376
260,108,2.407407
803,237,3.388186
342,135,2.533333
397,154,2.577922
182,106,1.716981
468,162,2.888889
559,179,3.122905
795,200,3.975000
152,65,2.338462
1162,262,4.435115
942,224,4.205357
115,76,1.513158
212,118,1.796610
875,246,3.556911
911,204,4.465686
2747,274,10.025547
331,148,2.236486
445,165,2.696970
47,37,1.270270
49,32,1.531250
273,134,2.037313
1270,220,5.772727
123,71,1.732394
692,201,3.442786
634,188,3.372340
1379,249,5.538153
1272,270,4.711111
575,169,3.402367
1315,228,5.767544
367,137,2.678832
555,175,3.171429
826,210,3.933333
726,199,3.648241
954,215,4.437209
867,217,3.995392
1598,288,5.548611
1675,250,6.700000
876,234,3.743590
694,231,3.004329
260,99,2.626263
543,125,4.344000
542,162,3.345679
85,65,1.307692
997,223,4.470852
149,90,1.655556
515,160,3.218750
402,177,2.271186
856,217,3.944700
878,206,4.262136
195,83,2.349398
164,92,1.782609
1008,223,4.520179
939,239,3.928870
446,113,3.946903
956,143,6.685315
360,120,3.000000
340,141,2.411348
1084,254,4.267717
466,173,2.693642
293,138,2.123188
439,166,2.644578
308,149,2.067114
766,202,3.792079
200,94,2.127660
1057,233,4.536481
311,127,2.448819
753,190,3.963158
72,48,1.500000
268,119,2.252101
135,89,1.516854
506,150,3.373333
238,113,2.106195
2094,326,6.423313
336,108,3.111111
1464,284,5.154930
1160,266,4.360902
216,113,1.911504
695,202,3.440594
281,102,2.754902
1029,258,3.988372
534,171,3.122807
1027,232,4.426724
394,149,2.644295
731,205,3.565854
630,173,3.641618
327,142,2.302817
295,106,2.783019
377,144,2.618056
191,94,2.031915
782,211,3.706161
584,186,3.139785
131,84,1.559524
610,136,4.485294
46,33,1.393939
350,107,3.271028
908,249,3.646586
174,70,2.485714
226,75,3.013333
356,150,2.373333
220,126,1.746032
542,183,2.961749
351,149,2.355705
1666,243,6.855967
309,125,2.472000
124,83,1.493976
435,149,2.919463
569,113,5.035398
84,56,1.500000
378,115,3.286957
461,170,2.711765
53,40,1.325000
488,159,3.069182
342,128,2.671875
265,134,1.977612
473,171,2.766082
167,84,1.988095
178,106,1.679245
686,221,3.104072
1401,291,4.814433
1046,254,4.118110
362,136,2.661765
334,131,2.549618
237,107,2.214953
652,190,3.431579
521,186,2.801075
343,148,2.317568
711,203,3.502463
278,120,2.316667
765,195,3.923077
575,183,3.142077
332,110,3.018182
428,170,2.517647
753,231,3.259740
325,94,3.457447
766,149,5.140940
363,110,3.300000
422,180,2.344444
696,130,5.353846
260,127,2.047244
235,114,2.061404
290,112,2.589286
140,79,1.772152
900,151,5.960265
303,100,3.030000
725,224,3.236607
151,94,1.606383
189,89,2.123596
548,184,2.978261
263,105,2.504762
313,142,2.204225
