num_hes,num_nodes,egonet density
804,62,12.967742
130,43,3.023256
565,61,9.262295
6030,103,58.543689
84619,105,805.895238
29556,105,281.485714
6716,103,65.203883
2516,97,25.938144
7247,101,71.752475
207,56,3.696429
33,29,1.137931
115,52,2.211538
538,76,7.078947
35,27,1.296296
22317,104,214.586538
12652,105,120.495238
489,86,5.686047
2476,99,25.010101
469,69,6.797101
88,55,1.600000
24,30,0.800000
169,57,2.964912
51795,105,493.285714
5154,102,50.529412
19108,102,187.333333
7215,101,71.435644
8309,101,82.267327
98,54,1.814815
23,30,0.766667
28,30,0.933333
4119,167,24.664671
1462,94,15.553191
28122,105,267.828571
3793,102,37.186275
25421,105,242.104762
19762,104,190.019231
319,42,7.595238
366,42,8.714286
54,28,1.928571
108,47,2.297872
573,85,6.741176
561,83,6.759036
64,39,1.641026
469,73,6.424658
878,65,13.507692
425,56,7.589286
544,58,9.379310
20727,105,197.400000
3099,99,31.303030
17,22,0.772727
286,52,5.500000
398,58,6.862069
406,57,7.122807
556,59,9.423729
4,10,0.400000
686,76,9.026316
288,55,5.236364
46,31,1.483871
873,67,13.029851
481,59,8.152542
2854,98,29.122449
350,73,4.794521
116,55,2.109091
442,83,5.325301
245,45,5.444444
80,32,2.500000
186,61,3.049180
275,80,3.437500
81,49,1.653061
594,89,6.674157
248,50,4.960000
21,22,0.954545
14816,103,143.844660
3302,100,33.020000
1135,94,12.074468
1621,96,16.885417
18317,105,174.447619
3071,98,31.336735
3637,101,36.009901
14218,103,138.038835
2624,98,26.775510
385,78,4.935897
180,48,3.750000
143,44,3.250000
234,54,4.333333
108,45,2.400000
5159,99,52.111111
16,24,0.666667
390,76,5.131579
75,48,1.562500
87,52,1.673077
29,35,0.828571
49,40,1.225000
111,50,2.220000
373,82,4.548780
455,88,5.170455
33,35,0.942857
139,71,1.957746
42,41,1.024390
220,79,2.784810
252,80,3.150000
18,19,0.947368
106,41,2.585366
6516,101,64.514851
212,72,2.944444
48,44,1.090909
29,42,0.690476
89,44,2.022727
142,54,2.629630
184,46,4.000000
91,33,2.757576
3816,99,38.545455
328,69,4.753623
57,38,1.500000
64,50,1.280000
96,54,1.777778
88,50,1.760000
154,52,2.961538
4576,103,44.427184
2080,94,22.127660
3401,102,33.343137
24,32,0.750000
120,59,2.033898
438,88,4.977273
28,36,0.777778
35,35,1.000000
84,49,1.714286
248,59,4.203390
7,13,0.538462
160,49,3.265306
147,53,2.773585
40,43,0.930233
27,33,0.818182
27,29,0.931034
89,51,1.745098
190,59,3.220339
394,70,5.628571
12338,103,119.786408
5,9,0.555556
61,44,1.386364
133,58,2.293103
1388,92,15.086957
60,49,1.224490
193,70,2.757143
1982,95,20.863158
285,79,3.607595
69,58,1.189655
229,70,3.271429
7,16,0.437500
138,57,2.421053
60,40,1.500000
189,53,3.566038
542,74,7.324324
761,77,9.883117
101,43,2.348837
26,30,0.866667
277,61,4.540984
211,55,3.836364
708,72,9.833333
46,37,1.243243
31,32,0.968750
69,43,1.604651
55,46,1.195652
38,39,0.974359
55,25,2.200000
482,47,10.255319
635,47,13.510638
89,30,2.966667
5,12,0.416667
23,34,0.676471
362,77,4.701299
21,32,0.656250
74,56,1.321429
2,7,0.285714
135,48,2.812500
89,49,1.816327
113,59,1.915254
208,67,3.104478
56,43,1.302326
67,48,1.395833
15,26,0.576923
152,59,2.576271
52,49,1.061224
35,26,1.346154
117,42,2.785714
7,14,0.500000
208,78,2.666667
214,76,2.815789
190,77,2.467532
7,15,0.466667
5529,100,55.290000
413,78,5.294872
91,57,1.596491
1,3,0.333333
55,28,1.964286
213,36,5.916667
206,41,5.024390
300,70,4.285714
51,44,1.159091
25,29,0.862069
553,60,9.216667
31,22,1.409091
544,53,10.264151
41,31,1.322581
24,24,1.000000
341,59,5.779661
175,55,3.181818
181,68,2.661765
104,62,1.677419
15,24,0.625000
28,28,1.000000
