num_hes,num_nodes,egonet density
68,74,0.918919
713,301,2.368771
2169,423,5.127660
1527,573,2.664921
1986,657,3.022831
13437,861,15.606272
4429,578,7.662630
298,219,1.360731
3852,759,5.075099
775,331,2.341390
176,93,1.892473
756,255,2.964706
4570,543,8.416206
2614,611,4.278232
486,287,1.693380
572,223,2.565022
809,283,2.858657
12145,980,12.392857
5757,735,7.832653
333,161,2.068323
4433,579,7.656304
263,138,1.905797
1994,670,2.976119
275,167,1.646707
538,246,2.186992
880,288,3.055556
6744,798,8.451128
268,170,1.576471
2698,538,5.014870
618,221,2.796380
2957,450,6.571111
629,368,1.709239
4577,574,7.973868
6499,746,8.711796
569,237,2.400844
437,199,2.195980
431,246,1.752033
9053,814,11.121622
1068,380,2.810526
6581,1109,5.934175
1633,365,4.473973
3001,592,5.069257
3047,636,4.790881
102,87,1.172414
1200,370,3.243243
196,150,1.306667
369,231,1.597403
2432,448,5.428571
324,169,1.917160
1038,341,3.043988
404,191,2.115183
2276,538,4.230483
54,68,0.794118
8788,739,11.891746
13949,851,16.391304
1169,261,4.478927
370,232,1.594828
203,124,1.637097
545,230,2.369565
5253,595,8.828571
6648,724,9.182320
191,146,1.308219
301,161,1.869565
406,203,2.000000
7105,768,9.251302
243,122,1.991803
596,248,2.403226
338,182,1.857143
1422,544,2.613971
257,140,1.835714
7820,734,10.653951
107,121,0.884298
981,386,2.541451
195,149,1.308725
1304,408,3.196078
524,228,2.298246
1421,455,3.123077
520,213,2.441315
2669,433,6.163972
515,180,2.861111
4905,654,7.500000
75,56,1.339286
3746,652,5.745399
159,102,1.558824
1002,308,3.253247
917,257,3.568093
2022,430,4.702326
445,194,2.293814
3532,533,6.626642
3133,527,5.944972
51,51,1.000000
200,119,1.680672
5624,657,8.560122
971,317,3.063091
2144,607,3.532125
45,48,0.937500
347,172,2.017442
237,160,1.481250
1221,354,3.449153
4324,721,5.997226
915,251,3.645418
502,246,2.040650
542,224,2.419643
975,372,2.620968
1387,439,3.159453
236,150,1.573333
313,182,1.719780
44,55,0.800000
458,204,2.245098
1283,378,3.394180
3781,599,6.312187
27,31,0.870968
9,18,0.500000
393,234,1.679487
114,82,1.390244
191,121,1.578512
702,270,2.600000
384,213,1.802817
51,32,1.593750
59,50,1.180000
41,37,1.108108
448,287,1.560976
469,219,2.141553
2517,391,6.437340
685,247,2.773279
694,279,2.487455
2736,454,6.026432
917,287,3.195122
5441,666,8.169670
122,67,1.820896
47,46,1.021739
181,119,1.521008
1673,404,4.141089
69,76,0.907895
936,315,2.971429
4360,626,6.964856
16,13,1.230769
105,80,1.312500
2640,554,4.765343
686,276,2.485507
966,345,2.800000
455,201,2.263682
4055,653,6.209801
285,157,1.815287
8715,722,12.070637
1486,382,3.890052
173,156,1.108974
593,270,2.196296
33,35,0.942857
673,246,2.735772
147,102,1.441176
495,232,2.133621
714,256,2.789062
981,309,3.174757
748,245,3.053061
1664,437,3.807780
268,163,1.644172
159,99,1.606061
1631,469,3.477612
133,86,1.546512
1453,311,4.672026
89,63,1.412698
690,220,3.136364
850,281,3.024911
64,72,0.888889
4684,664,7.054217
824,274,3.007299
297,220,1.350000
193,127,1.519685
1399,390,3.587179
3541,489,7.241309
1728,433,3.990762
1007,433,2.325635
918,284,3.232394
1048,266,3.939850
684,254,2.692913
130,132,0.984848
620,261,2.375479
206,111,1.855856
1288,316,4.075949
143,108,1.324074
319,169,1.887574
103,93,1.107527
89,78,1.141026
151,85,1.776471
107,82,1.304878
337,192,1.755208
4123,634,6.503155
815,294,2.772109
83,68,1.220588
4947,595,8.314286
1898,472,4.021186
1340,414,3.236715
378,241,1.568465
1508,365,4.131507
350,197,1.776650
4901,738,6.640921
229,135,1.696296
374,286,1.307692
138,88,1.568182
1503,373,4.029491
673,314,2.143312
81,95,0.852632
155,100,1.550000
2150,365,5.890411
311,149,2.087248
1675,369,4.539295
467,221,2.113122
153,107,1.429907
