num_hes,num_nodes,egonet density
0,1,0.000000
783,560,1.398214
2162,878,2.462415
1518,776,1.956186
1987,842,2.359857
13556,1336,10.146707
4479,1078,4.154917
285,342,0.833333
3803,1042,3.649712
748,579,1.291883
185,273,0.677656
725,571,1.269702
4512,1114,4.050269
2528,924,2.735931
492,468,1.051282
601,555,1.082883
780,583,1.337907
11942,1316,9.074468
5596,1138,4.917399
328,358,0.916201
4519,1078,4.192022
261,323,0.808050
2007,867,2.314879
278,328,0.847561
552,506,1.090909
885,628,1.409236
6734,1189,5.663583
256,321,0.797508
2702,940,2.874468
612,526,1.163498
2856,980,2.914286
648,542,1.195572
4618,1052,4.389734
6531,1181,5.530059
560,510,1.098039
425,390,1.089744
388,389,0.997429
8808,1250,7.046400
1069,670,1.595522
6542,1179,5.548770
1676,802,2.089776
2973,949,3.132771
3152,993,3.174220
100,171,0.584795
1209,721,1.676838
218,304,0.717105
338,375,0.901333
2430,920,2.641304
284,340,0.835294
1034,684,1.511696
381,423,0.900709
2285,898,2.544543
59,119,0.495798
8642,1213,7.124485
13781,1343,10.261355
1158,668,1.733533
371,404,0.918317
203,288,0.704861
558,493,1.131846
5277,1132,4.661661
6730,1173,5.737425
202,271,0.745387
296,359,0.824513
393,404,0.972772
7046,1192,5.911074
260,315,0.825397
602,506,1.189723
335,367,0.912807
1471,774,1.900517
271,326,0.831288
7789,1212,6.426568
100,168,0.595238
962,646,1.489164
203,266,0.763158
1281,727,1.762036
521,482,1.080913
1465,764,1.917539
502,467,1.074946
2693,940,2.864894
512,472,1.084746
4932,1105,4.463348
84,154,0.545455
3707,1023,3.623656
147,220,0.668182
1018,665,1.530827
880,613,1.435563
2066,857,2.410735
460,448,1.026786
3544,1012,3.501976
3146,986,3.190669
53,115,0.460870
203,273,0.743590
5420,1142,4.746060
942,633,1.488152
2208,893,2.472564
62,122,0.508197
345,391,0.882353
259,326,0.794479
1209,691,1.749638
4322,1063,4.065851
951,625,1.521600
487,463,1.051836
522,491,1.063136
1005,618,1.626214
1387,741,1.871795
240,304,0.789474
311,357,0.871148
46,94,0.489362
461,465,0.991398
1281,713,1.796634
3749,1029,3.643343
29,74,0.391892
8,22,0.363636
400,413,0.968523
114,198,0.575758
190,267,0.711610
683,566,1.206714
412,436,0.944954
65,121,0.537190
46,97,0.474227
27,63,0.428571
455,435,1.045977
505,459,1.100218
2495,903,2.763012
714,566,1.261484
727,565,1.286726
2764,956,2.891213
943,624,1.511218
5443,1123,4.846839
131,218,0.600917
53,108,0.490741
169,252,0.670635
1652,773,2.137128
63,112,0.562500
915,620,1.475806
4319,1061,4.070688
14,29,0.482759
118,197,0.598985
2643,929,2.844995
724,558,1.297491
1026,668,1.535928
477,450,1.060000
4090,1061,3.854854
276,329,0.838906
8661,1263,6.857482
1527,755,2.022517
177,269,0.657993
578,506,1.142292
32,74,0.432432
660,569,1.159930
160,230,0.695652
519,494,1.050607
689,551,1.250454
979,647,1.513138
795,588,1.352041
1607,796,2.018844
266,333,0.798799
170,247,0.688259
1673,803,2.083437
146,224,0.651786
1418,762,1.860892
96,173,0.554913
738,563,1.310835
859,597,1.438861
53,119,0.445378
4681,1092,4.286630
849,600,1.415000
283,341,0.829912
196,291,0.673540
1455,754,1.929708
3458,1019,3.393523
1773,827,2.143894
996,645,1.544186
928,624,1.487179
1086,662,1.640483
655,523,1.252390
124,202,0.613861
611,522,1.170498
200,287,0.696864
1265,720,1.756944
157,241,0.651452
331,361,0.916898
93,176,0.528409
99,166,0.596386
158,239,0.661088
98,179,0.547486
322,374,0.860963
4078,1046,3.898662
855,622,1.374598
81,145,0.558621
4932,1099,4.487716
1925,851,2.262045
1359,737,1.843962
382,389,0.982005
1459,781,1.868118
360,396,0.909091
5024,1119,4.489723
232,296,0.783784
363,400,0.907500
134,221,0.606335
1487,783,1.899106
677,520,1.301923
75,133,0.563910
147,229,0.641921
2193,866,2.532333
307,365,0.841096
1663,794,2.094458
491,475,1.033684
171,239,0.715481
34,68,0.500000
109,188,0.579787
470,458,1.026201
1358,748,1.815508
1904,816,2.333333
74,139,0.532374
961,638,1.506270
803,599,1.340568
528,474,1.113924
141,218,0.646789
592,528,1.121212
7820,1233,6.342255
1567,784,1.998724
406,404,1.004950
253,325,0.778462
577,510,1.131373
1095,669,1.636771
154,239,0.644351
237,313,0.757188
3752,1026,3.656920
42,93,0.451613
1031,668,1.543413
964,653,1.476263
490,463,1.058315
1532,762,2.010499
1344,744,1.806452
567,481,1.178794
152,219,0.694064
62,107,0.579439
40,91,0.439560
324,371,0.873315
128,209,0.612440
161,237,0.679325
3100,967,3.205791
263,338,0.778107
1568,780,2.010256
112,178,0.629213
352,394,0.893401
167,247,0.676113
301,346,0.869942
1102,687,1.604076
30,62,0.483871
1118,680,1.644118
100,167,0.598802
75,153,0.490196
405,422,0.959716
763,561,1.360071
23,56,0.410714
71,139,0.510791
485,476,1.018908
74,130,0.569231
405,400,1.012500
4308,1081,3.985199
285,348,0.818966
709,589,1.203735
101,166,0.608434
442,438,1.009132
2319,880,2.635227
544,480,1.133333
537,477,1.125786
1769,810,2.183951
108,191,0.565445
1726,797,2.165621
315,371,0.849057
172,266,0.646617
339,393,0.862595
379,413,0.917676
90,157,0.573248
121,220,0.550000
150,220,0.681818
1582,814,1.943489
6,18,0.333333
93,156,0.596154
282,332,0.849398
1485,767,1.936115
459,453,1.013245
66,130,0.507692
630,525,1.200000
218,280,0.778571
61,116,0.525862
495,454,1.090308
1378,764,1.803665
92,154,0.597403
383,388,0.987113
50,105,0.476190
432,421,1.026128
170,244,0.696721
1178,690,1.707246
138,212,0.650943
193,256,0.753906
1246,723,1.723375
37,79,0.468354
1073,672,1.596726
208,254,0.818898
72,142,0.507042
181,276,0.655797
42,96,0.437500
886,631,1.404120
281,344,0.816860
187,282,0.663121
74,145,0.510345
895,617,1.450567
14,30,0.466667
737,566,1.302120
172,252,0.682540
466,442,1.054299
166,244,0.680328
52,107,0.485981
1055,654,1.613150
377,387,0.974160
352,390,0.902564
140,212,0.660377
122,177,0.689266
1343,717,1.873082
647,525,1.232381
191,280,0.682143
155,244,0.635246
168,255,0.658824
180,263,0.684411
23,54,0.425926
397,414,0.958937
313,355,0.881690
531,487,1.090349
1566,783,2.000000
347,382,0.908377
292,347,0.841499
323,355,0.909859
251,318,0.789308
717,548,1.308394
382,401,0.952618
299,367,0.814714
1349,717,1.881450
25,66,0.378788
1057,666,1.587087
86,173,0.497110
2805,958,2.927975
2124,844,2.516588
182,263,0.692015
248,319,0.777429
203,256,0.792969
24,57,0.421053
99,175,0.565714
220,292,0.753425
96,179,0.536313
459,446,1.029148
56,106,0.528302
436,457,0.954048
210,283,0.742049
148,237,0.624473
144,215,0.669767
965,655,1.473282
338,365,0.926027
563,481,1.170478
14,36,0.388889
243,303,0.801980
161,250,0.644000
338,350,0.965714
232,290,0.800000
384,427,0.899297
418,419,0.997613
1819,833,2.183673
45,92,0.489130
465,460,1.010870
59,116,0.508621
942,634,1.485804
97,179,0.541899
51,100,0.510000
135,222,0.608108
287,327,0.877676
196,262,0.748092
294,339,0.867257
116,200,0.580000
113,180,0.627778
82,162,0.506173
170,232,0.732759
698,549,1.271403
107,188,0.569149
41,96,0.427083
159,223,0.713004
362,383,0.945170
319,352,0.906250
122,211,0.578199
186,258,0.720930
227,296,0.766892
475,432,1.099537
81,150,0.540000
1071,656,1.632622
71,148,0.479730
79,163,0.484663
69,134,0.514925
341,383,0.890339
631,534,1.181648
749,557,1.344704
303,366,0.827869
553,519,1.065511
411,431,0.953596
2406,895,2.688268
32,67,0.477612
715,569,1.256591
7,19,0.368421
165,258,0.639535
236,294,0.802721
321,385,0.833766
348,372,0.935484
288,340,0.847059
616,518,1.189189
84,163,0.515337
104,185,0.562162
1059,660,1.604545
89,168,0.529762
38,89,0.426966
53,108,0.490741
82,166,0.493976
59,119,0.495798
82,153,0.535948
149,229,0.650655
374,392,0.954082
28,71,0.394366
806,585,1.377778
607,521,1.165067
1312,722,1.817175
236,301,0.784053
1549,770,2.011688
67,135,0.496296
119,198,0.601010
79,126,0.626984
117,184,0.635870
529,465,1.137634
737,575,1.281739
66,124,0.532258
25,63,0.396825
92,161,0.571429
14,33,0.424242
291,348,0.836207
774,571,1.355517
729,560,1.301786
10,29,0.344828
1443,743,1.942127
112,178,0.629213
374,389,0.961440
363,365,0.994521
627,546,1.148352
296,341,0.868035
24,49,0.489796
628,510,1.231373
97,172,0.563953
418,439,0.952164
85,152,0.559211
269,316,0.851266
191,255,0.749020
174,253,0.687747
500,481,1.039501
303,356,0.851124
57,116,0.491379
210,288,0.729167
263,337,0.780415
58,120,0.483333
330,376,0.877660
96,177,0.542373
417,404,1.032178
93,170,0.547059
121,219,0.552511
172,242,0.710744
