num_hes,num_nodes,egonet density
40,39,1.025641
2003,96,20.864583
518,77,6.727273
203,64,3.171875
508,82,6.195122
22122,105,210.685714
8332,103,80.893204
36174,104,347.826923
5169,101,51.178218
5182,53,97.773585
318,42,7.571429
1769,52,34.019231
15895,56,283.839286
10065,55,183.000000
7008,56,125.142857
2832,54,52.444444
15418,55,280.327273
1297,50,25.940000
11382,56,203.250000
19537,57,342.754386
11961,103,116.126214
5359,102,52.539216
613,83,7.385542
1731,101,17.138614
2372,98,24.204082
69,44,1.568182
2414,98,24.632653
12599,105,119.990476
9437,102,92.519608
8817,105,83.971429
1337,93,14.376344
253,77,3.285714
2137,106,20.160377
387,89,4.348315
2136,106,20.150943
11558,113,102.283186
2751,54,50.944444
134,33,4.060606
1623,49,33.122449
2682,86,31.186047
3363,87,38.655172
5466,87,62.827586
899,79,11.379747
877,75,11.693333
6392,104,61.461538
2978,99,30.080808
2228,102,21.843137
1571,106,14.820755
5466,114,47.947368
659,60,10.983333
1586,66,24.030303
6044,71,85.126761
7730,102,75.784314
1351,90,15.011111
6076,100,60.760000
120,64,1.875000
751,86,8.732558
123,33,3.727273
6054,55,110.072727
2964,95,31.200000
1929,94,20.521277
803,89,9.022472
8134,102,79.745098
1842,96,19.187500
10883,104,104.644231
1633,66,24.742424
423,52,8.134615
1251,64,19.546875
8,13,0.615385
1613,95,16.978947
3577,102,35.068627
483,68,7.102941
1137,80,14.212500
3830,112,34.196429
2876,109,26.385321
3260,86,37.906977
1158,82,14.121951
950,78,12.179487
644,68,9.470588
10447,90,116.077778
1875,98,19.132653
1416,94,15.063830
338,85,3.976471
1754,103,17.029126
3110,98,31.734694
1541,92,16.750000
2183,98,22.275510
766,78,9.820513
14331,91,157.483516
2485,84,29.583333
1231,91,13.527473
1630,98,16.632653
119,42,2.833333
20,23,0.869565
941,62,15.177419
3326,68,48.911765
382,74,5.162162
162,66,2.454545
2977,98,30.377551
326,68,4.794118
627,77,8.142857
860,86,10.000000
61,39,1.564103
102,50,2.040000
149,62,2.403226
688,84,8.190476
899,88,10.215909
72,51,1.411765
559,82,6.817073
725,95,7.631579
1641,54,30.388889
1366,98,13.938776
243,66,3.681818
1390,103,13.495146
1840,108,17.037037
2007,69,29.086957
13,24,0.541667
533,98,5.438776
95,58,1.637931
95,59,1.610169
804,100,8.040000
1057,101,10.465347
908,62,14.645161
471,60,7.850000
1170,61,19.180328
4041,69,58.565217
239,64,3.734375
4136,111,37.261261
917,99,9.262626
666,62,10.741935
2808,68,41.294118
291,52,5.596154
306,62,4.935484
869,88,9.875000
164,66,2.484848
2824,99,28.525253
3046,99,30.767677
1152,93,12.387097
1166,96,12.145833
375,81,4.629630
22,29,0.758621
102,61,1.672131
207,44,4.704545
288,49,5.877551
887,44,20.159091
532,81,6.567901
177,58,3.051724
1365,83,16.445783
1818,85,21.388235
1731,50,34.620000
1954,68,28.735294
76,41,1.853659
437,53,8.245283
2888,103,28.038835
1248,96,13.000000
716,83,8.626506
3707,85,43.611765
744,45,16.533333
288,40,7.200000
1062,80,13.275000
718,47,15.276596
422,59,7.152542
209,50,4.180000
338,53,6.377358
562,42,13.380952
579,48,12.062500
316,68,4.647059
275,71,3.873239
963,100,9.630000
79,49,1.612245
477,69,6.913043
1230,84,14.642857
51,45,1.133333
441,61,7.229508
687,62,11.080645
546,58,9.413793
284,73,3.890411
202,68,2.970588
2606,101,25.801980
359,53,6.773585
2319,99,23.424242
1381,82,16.841463
147,53,2.773585
487,83,5.867470
100,46,2.173913
197,65,3.030769
275,74,3.716216
1446,91,15.890110
27,31,0.870968
115,39,2.948718
439,81,5.419753
11,16,0.687500
140,31,4.516129
169,68,2.485294
223,74,3.013514
562,79,7.113924
949,48,19.770833
795,85,9.352941
1520,94,16.170213
578,86,6.720930
1574,95,16.568421
447,86,5.197674
682,87,7.839080
84,53,1.584906
1041,94,11.074468
1201,64,18.765625
630,58,10.862069
1022,97,10.536082
1341,97,13.824742
1118,102,10.960784
320,72,4.444444
238,76,3.131579
683,99,6.898990
728,97,7.505155
347,39,8.897436
579,45,12.866667
898,49,18.326531
83,50,1.660000
98,53,1.849057
248,60,4.133333
28,22,1.272727
151,55,2.745455
333,66,5.045455
138,55,2.509091
298,70,4.257143
16,21,0.761905
596,83,7.180723
111,37,3.000000
1002,103,9.728155
435,59,7.372881
2551,68,37.514706
1134,92,12.326087
54,29,1.862069
893,101,8.841584
682,46,14.826087
244,74,3.297297
517,47,11.000000
867,60,14.450000
297,59,5.033898
1099,79,13.911392
1234,109,11.321101
192,74,2.594595
854,104,8.211538
357,74,4.824324
282,69,4.086957
679,93,7.301075
1043,79,13.202532
350,89,3.932584
211,64,3.296875
97,43,2.255814
197,65,3.030769
32,42,0.761905
256,67,3.820896
1245,97,12.835052
228,70,3.257143
2226,97,22.948454
88,53,1.660377
272,70,3.885714
331,56,5.910714
60,37,1.621622
146,70,2.085714
860,100,8.600000
678,99,6.848485
1372,104,13.192308
316,73,4.328767
1065,100,10.650000
582,85,6.847059
37,42,0.880952
237,68,3.485294
299,82,3.646341
179,80,2.237500
440,91,4.835165
126,66,1.909091
533,95,5.610526
322,72,4.472222
559,61,9.163934
124,49,2.530612
160,56,2.857143
1132,99,11.434343
190,70,2.714286
407,79,5.151899
15,23,0.652174
67,37,1.810811
55,37,1.486486
1048,89,11.775281
226,68,3.323529
777,101,7.693069
126,59,2.135593
148,59,2.508475
109,31,3.516129
21,25,0.840000
31,33,0.939394
339,55,6.163636
76,53,1.433962
270,69,3.913043
327,73,4.479452
243,70,3.471429
469,81,5.790123
541,70,7.728571
1033,96,10.760417
359,76,4.723684
156,45,3.466667
212,46,4.608696
182,48,3.791667
126,70,1.800000
466,84,5.547619
55,45,1.222222
759,102,7.441176
385,43,8.953488
737,60,12.283333
150,62,2.419355
105,55,1.909091
62,50,1.240000
91,54,1.685185
70,52,1.346154
436,75,5.813333
194,46,4.217391
215,57,3.771930
30,21,1.428571
151,43,3.511628
655,62,10.564516
46,29,1.586207
556,92,6.043478
85,64,1.328125
404,72,5.611111
1007,92,10.945652
155,58,2.672414
483,86,5.616279
263,67,3.925373
101,51,1.980392
198,70,2.828571
61,44,1.386364
278,84,3.309524
406,92,4.413043
1610,95,16.947368
169,68,2.485294
148,76,1.947368
243,79,3.075949
240,78,3.076923
95,65,1.461538
610,60,10.166667
28,31,0.903226
668,99,6.747475
112,68,1.647059
481,89,5.404494
640,85,7.529412
144,63,2.285714
1126,104,10.826923
1551,52,29.826923
128,42,3.047619
87,64,1.359375
190,67,2.835821
134,63,2.126984
315,64,4.921875
102,63,1.619048
602,85,7.082353
838,48,17.458333
19,21,0.904762
268,42,6.380952
86,39,2.205128
70,29,2.413793
274,55,4.981818
10,13,0.769231
51,33,1.545455
265,64,4.140625
20,29,0.689655
715,72,9.930556
182,67,2.716418
321,79,4.063291
160,46,3.478261
9,17,0.529412
72,38,1.894737
283,67,4.223881
