num_hes,num_nodes,egonet density
43,39,1.102564
1818,93,19.548387
419,79,5.303797
9407,56,167.982143
15038,57,263.824561
54,31,1.741935
532,73,7.287671
358,66,5.424242
1436,84,17.095238
1768,93,19.010753
1390,90,15.444444
279,63,4.428571
739,84,8.797619
8329,102,81.656863
2569,98,26.214286
2182,98,22.265306
22339,104,214.798077
2368,187,12.663102
876,94,9.319149
73,53,1.377358
283,80,3.537500
214,69,3.101449
1794,178,10.078652
8195,113,72.522124
2993,111,26.963964
1517,106,14.311321
2655,97,27.371134
2660,96,27.708333
275,79,3.481013
2620,110,23.818182
207,89,2.325843
14335,58,247.155172
6569,54,121.648148
115,34,3.382353
10720,57,188.070175
10913,104,104.932692
12793,103,124.203883
6453,102,63.264706
36487,105,347.495238
9594,105,91.371429
11972,104,115.115385
6094,102,59.745098
633,46,13.760870
18617,57,326.614035
463,65,7.123077
1289,79,16.316456
3831,89,43.044944
5109,99,51.606061
2887,103,28.029126
1457,93,15.666667
1590,93,17.096774
47,47,1.000000
83,58,1.431034
223,71,3.140845
1186,89,13.325843
1156,92,12.565217
157,52,3.019231
5416,98,55.265306
77,40,1.925000
224,60,3.733333
113,32,3.531250
5730,57,100.526316
808,74,10.918919
7474,91,82.131868
10046,93,108.021505
1538,106,14.509434
320,84,3.809524
1364,92,14.826087
4797,56,85.660714
1786,96,18.604167
2763,99,27.909091
2217,96,23.093750
7716,104,74.192308
8922,103,86.621359
3612,101,35.762376
1915,81,23.641975
348,68,5.117647
867,82,10.573171
1306,87,15.011494
71,44,1.613636
505,139,3.633094
629,83,7.578313
565,91,6.208791
123,56,2.196429
13,21,0.619048
182,63,2.888889
1648,52,31.692308
1534,101,15.188119
703,99,7.101010
8476,104,81.500000
841,86,9.779070
2699,54,49.981481
173,70,2.471429
134,58,2.310345
327,62,5.274194
72,41,1.756098
2250,68,33.088235
3923,109,35.990826
2026,108,18.759259
1699,107,15.878505
1707,83,20.566265
675,75,9.000000
186,54,3.444444
656,88,7.454545
1053,96,10.968750
177,68,2.602941
152,62,2.451613
1176,99,11.878788
2293,97,23.639175
1592,96,16.583333
1944,96,20.250000
664,96,6.916667
644,97,6.639175
515,110,4.681818
508,94,5.404255
2256,86,26.232558
1552,50,31.040000
145,53,2.735849
352,65,5.415385
887,85,10.435294
2228,174,12.804598
1030,130,7.923077
952,100,9.520000
651,44,14.795455
1290,102,12.647059
204,78,2.615385
2426,70,34.657143
3530,71,49.718310
1763,66,26.712121
226,81,2.790123
68,55,1.236364
116,48,2.416667
96,58,1.655172
177,61,2.901639
789,78,10.115385
957,102,9.382353
3161,100,31.610000
719,91,7.901099
60,44,1.363636
247,69,3.579710
694,75,9.253333
144,55,2.618182
244,62,3.935484
247,74,3.337838
2506,103,24.330097
216,71,3.042254
2422,87,27.839080
79,51,1.549020
421,81,5.197531
787,48,16.395833
20,26,0.769231
192,64,3.000000
1244,89,13.977528
124,52,2.384615
574,83,6.915663
405,78,5.192308
63,44,1.431818
723,99,7.303030
1129,62,18.209677
515,56,9.196429
1860,65,28.615385
52,26,2.000000
180,70,2.571429
2670,51,52.352941
195,64,3.046875
790,93,8.494624
829,87,9.528736
326,51,6.392157
68,33,2.060606
347,78,4.448718
22,26,0.846154
212,69,3.072464
86,46,1.869565
83,51,1.627451
2574,88,29.250000
270,65,4.153846
313,66,4.742424
9,17,0.529412
1119,81,13.814815
86,38,2.263158
276,55,5.018182
5406,71,76.140845
2874,68,42.264706
1385,66,20.984848
1434,66,21.727273
375,89,4.213483
642,94,6.829787
1586,52,30.500000
1058,66,16.030303
490,61,8.032787
72,45,1.600000
1135,64,17.734375
610,60,10.166667
1747,65,26.876923
2217,97,22.855670
790,82,9.634146
305,52,5.865385
424,77,5.506494
973,79,12.316456
306,69,4.434783
442,73,6.054795
145,52,2.788462
955,92,10.380435
118,62,1.903226
118,63,1.873016
415,82,5.060976
263,68,3.867647
935,93,10.053763
470,76,6.184211
122,52,2.346154
692,77,8.987013
914,76,12.026316
840,86,9.767442
178,54,3.296296
245,66,3.712121
393,70,5.614286
77,44,1.750000
5,12,0.416667
939,74,12.689189
89,48,1.854167
1489,75,19.853333
99,48,2.062500
1220,67,18.208955
27,21,1.285714
52,29,1.793103
1117,62,18.016129
1704,68,25.058824
3162,98,32.265306
779,79,9.860759
1197,91,13.153846
116,43,2.697674
653,67,9.746269
113,46,2.456522
210,55,3.818182
733,86,8.523256
19,13,1.461538
867,62,13.983871
587,72,8.152778
1240,50,24.800000
360,73,4.931507
169,56,3.017857
805,50,16.100000
520,45,11.555556
807,94,8.585106
44,33,1.333333
201,65,3.092308
210,62,3.387097
332,66,5.030303
674,45,14.977778
1496,99,15.111111
1078,86,12.534884
811,63,12.873016
360,52,6.923077
929,137,6.781022
736,94,7.829787
327,53,6.169811
22,14,1.571429
189,56,3.375000
74,43,1.720930
129,55,2.345455
44,37,1.189189
504,45,11.200000
1584,52,30.461538
7,9,0.777778
352,54,6.518519
566,79,7.164557
168,37,4.540541
595,96,6.197917
651,82,7.939024
1141,85,13.423529
33,29,1.137931
111,46,2.413043
455,77,5.909091
1275,91,14.010989
711,83,8.566265
142,61,2.327869
636,56,11.357143
1537,48,32.020833
161,78,2.064103
5,9,0.555556
457,69,6.623188
298,72,4.138889
399,87,4.586207
88,59,1.491525
92,47,1.957447
154,62,2.483871
108,55,1.963636
30,35,0.857143
96,65,1.476923
283,79,3.582278
48,27,1.777778
15,16,0.937500
471,94,5.010638
1143,92,12.423913
77,41,1.878049
80,46,1.739130
68,46,1.478261
160,65,2.461538
181,57,3.175439
60,42,1.428571
120,37,3.243243
258,71,3.633803
606,85,7.129412
1077,87,12.379310
542,78,6.948718
638,100,6.380000
244,65,3.753846
140,44,3.181818
75,40,1.875000
763,65,11.738462
1004,64,15.687500
217,53,4.094340
78,46,1.695652
278,69,4.028986
188,50,3.760000
223,63,3.539683
543,95,5.715789
400,89,4.494382
1624,98,16.571429
724,77,9.402597
220,67,3.283582
135,66,2.045455
13,24,0.541667
138,51,2.705882
109,46,2.369565
179,48,3.729167
90,43,2.093023
1046,92,11.369565
181,48,3.770833
53,47,1.127660
176,73,2.410959
18,31,0.580645
93,53,1.754717
299,54,5.537037
575,59,9.745763
517,80,6.462500
156,57,2.736842
39,41,0.951220
1488,94,15.829787
64,52,1.230769
74,58,1.275862
10,22,0.454545
214,57,3.754386
59,38,1.552632
819,62,13.209677
440,61,7.213115
99,44,2.250000
455,54,8.425926
207,46,4.500000
21,21,1.000000
796,77,10.337662
88,37,2.378378
120,43,2.790698
450,53,8.490566
275,72,3.819444
76,49,1.551020
508,46,11.043478
46,46,1.000000
799,154,5.188312
128,44,2.909091
60,46,1.304348
282,70,4.028571
94,40,2.350000
27,25,1.080000
523,72,7.263889
606,84,7.214286
408,78,5.230769
237,77,3.077922
99,34,2.911765
146,72,2.027778
227,66,3.439394
278,54,5.148148
118,52,2.269231
71,49,1.448980
151,60,2.516667
249,80,3.112500
179,51,3.509804
832,49,16.979592
104,41,2.536585
23,24,0.958333
45,35,1.285714
268,58,4.620690
824,131,6.290076
676,87,7.770115
30,29,1.034483
27,32,0.843750
12,21,0.571429
195,70,2.785714
61,45,1.355556
90,51,1.764706
517,84,6.154762
65,50,1.300000
570,47,12.127660
137,54,2.537037
17,16,1.062500
505,93,5.430108
16,15,1.066667
338,59,5.728814
192,68,2.823529
245,73,3.356164
456,81,5.629630
152,39,3.897436
124,59,2.101695
51,44,1.159091
94,42,2.238095
19,20,0.950000
1107,103,10.747573
229,60,3.816667
40,33,1.212121
1141,86,13.267442
288,62,4.645161
92,42,2.190476
31,23,1.347826
1130,98,11.530612
58,32,1.812500
67,39,1.717949
397,90,4.411111
803,98,8.193878
197,77,2.558442
19,28,0.678571
179,61,2.934426
101,52,1.942308
461,43,10.720930
258,72,3.583333
143,56,2.553571
579,86,6.732558
39,38,1.026316
577,76,7.592105
27,24,1.125000
406,56,7.250000
38,40,0.950000
135,69,1.956522
250,52,4.807692
251,41,6.121951
123,62,1.983871
86,44,1.954545
560,65,8.615385
93,54,1.722222
100,59,1.694915
139,60,2.316667
94,50,1.880000
265,76,3.486842
201,77,2.610390
128,71,1.802817
13,14,0.928571
17,23,0.739130
51,42,1.214286
101,55,1.836364
119,52,2.288462
645,55,11.727273
371,78,4.756410
107,55,1.945455
251,72,3.486111
247,43,5.744186
688,88,7.818182
44,34,1.294118
448,86,5.209302
147,67,2.194030
33,34,0.970588
221,64,3.453125
266,63,4.222222
286,70,4.085714
158,46,3.434783
95,43,2.209302
314,72,4.361111
189,63,3.000000
12,19,0.631579
122,58,2.103448
45,45,1.000000
374,66,5.666667
155,46,3.369565
61,53,1.150943
145,55,2.636364
12,18,0.666667
281,75,3.746667
445,96,4.635417
261,50,5.220000
11,13,0.846154
58,38,1.526316
18,24,0.750000
61,52,1.173077
24,22,1.090909
16,17,0.941176
39,33,1.181818
103,56,1.839286
334,89,3.752809
171,48,3.562500
365,39,9.358974
12,16,0.750000
254,71,3.577465
7,15,0.466667
182,62,2.935484
347,83,4.180723
578,60,9.633333
84,39,2.153846
29,29,1.000000
49,31,1.580645
69,43,1.604651
241,72,3.347222
106,32,3.312500
311,73,4.260274
33,21,1.571429
363,57,6.368421
90,59,1.525424
239,69,3.463768
379,79,4.797468
307,72,4.263889
52,43,1.209302
151,42,3.595238
374,84,4.452381
