sum_hyperedge_size,num_nodes,egonet overlapness
2947,62,47.532258
484,43,11.255814
2145,61,35.163934
22644,103,219.844660
309964,105,2952.038095
110558,105,1052.933333
25290,103,245.533981
9465,97,97.577320
27301,101,270.306931
811,56,14.482143
132,29,4.551724
462,52,8.884615
2055,76,27.039474
140,27,5.185185
83754,104,805.326923
47492,105,452.304762
1838,86,21.372093
9300,99,93.939394
1784,69,25.855072
345,55,6.272727
87,30,2.900000
653,57,11.456140
192618,105,1834.457143
19450,102,190.686275
71488,102,700.862745
27286,101,270.158416
31307,101,309.970297
378,54,7.000000
97,30,3.233333
113,30,3.766667
15606,167,93.449102
5471,94,58.202128
105510,105,1004.857143
14295,102,140.147059
95172,105,906.400000
74193,104,713.394231
1248,42,29.714286
1410,42,33.571429
209,28,7.464286
433,47,9.212766
2193,85,25.800000
2135,83,25.722892
250,39,6.410256
1779,73,24.369863
3232,65,49.723077
1662,56,29.678571
2084,58,35.931034
77732,105,740.304762
11718,99,118.363636
65,22,2.954545
1109,52,21.326923
1537,58,26.500000
1578,57,27.684211
2127,59,36.050847
16,10,1.600000
2572,76,33.842105
1134,55,20.618182
184,31,5.935484
3251,67,48.522388
1868,59,31.661017
10710,98,109.285714
1360,73,18.630137
456,55,8.290909
1744,83,21.012048
967,45,21.488889
310,32,9.687500
714,61,11.704918
1083,80,13.537500
315,49,6.428571
2279,89,25.606742
951,50,19.020000
81,22,3.681818
55710,103,540.873786
12450,100,124.500000
4297,94,45.712766
6088,96,63.416667
68962,105,656.780952
11570,98,118.061224
13669,101,135.336634
53429,103,518.728155
9854,98,100.551020
1468,78,18.820513
709,48,14.770833
566,44,12.863636
939,54,17.388889
433,45,9.622222
19468,99,196.646465
67,24,2.791667
1526,76,20.078947
287,48,5.979167
337,52,6.480769
111,35,3.171429
192,40,4.800000
436,50,8.720000
1434,82,17.487805
1745,88,19.829545
125,35,3.571429
546,71,7.690141
164,41,4.000000
828,79,10.481013
991,80,12.387500
72,19,3.789474
397,41,9.682927
24495,101,242.524752
804,72,11.166667
186,44,4.227273
116,42,2.761905
337,44,7.659091
566,54,10.481481
695,46,15.108696
376,33,11.393939
14369,99,145.141414
1240,69,17.971014
218,38,5.736842
238,50,4.760000
369,54,6.833333
352,50,7.040000
604,52,11.615385
17383,103,168.766990
7828,94,83.276596
12845,102,125.931373
100,32,3.125000
483,59,8.186441
1694,88,19.250000
108,36,3.000000
137,35,3.914286
341,49,6.959184
973,59,16.491525
28,13,2.153846
626,49,12.775510
585,53,11.037736
155,43,3.604651
106,33,3.212121
102,29,3.517241
336,51,6.588235
728,59,12.338983
1529,70,21.842857
46364,103,450.135922
17,9,1.888889
228,44,5.181818
512,58,8.827586
5268,92,57.260870
235,49,4.795918
736,70,10.514286
7454,95,78.463158
1108,79,14.025316
272,58,4.689655
895,70,12.785714
28,16,1.750000
534,57,9.368421
249,40,6.225000
731,53,13.792453
2108,74,28.486486
2894,77,37.584416
403,43,9.372093
107,30,3.566667
1081,61,17.721311
841,55,15.290909
2677,72,37.180556
173,37,4.675676
124,32,3.875000
269,43,6.255814
210,46,4.565217
150,39,3.846154
206,25,8.240000
1858,47,39.531915
2425,47,51.595745
364,30,12.133333
20,12,1.666667
97,34,2.852941
1383,77,17.961039
77,32,2.406250
291,56,5.196429
8,7,1.142857
520,48,10.833333
345,49,7.040816
445,59,7.542373
850,67,12.686567
211,43,4.906977
257,48,5.354167
54,26,2.076923
578,59,9.796610
215,49,4.387755
135,26,5.192308
458,42,10.904762
24,14,1.714286
796,78,10.205128
833,76,10.960526
737,77,9.571429
30,15,2.000000
20819,100,208.190000
1542,78,19.769231
356,57,6.245614
3,3,1.000000
205,28,7.321429
828,36,23.000000
828,41,20.195122
1146,70,16.371429
