sum_hyperedge_size,num_nodes,egonet overlapness
242,74,3.270270
2456,301,8.159468
7607,423,17.983452
5626,573,9.818499
7085,657,10.783866
53738,861,62.413473
17244,578,29.833910
1078,219,4.922374
14476,759,19.072464
2906,331,8.779456
656,93,7.053763
2751,255,10.788235
17128,543,31.543278
9676,611,15.836334
1591,287,5.543554
1985,223,8.901345
2986,283,10.551237
47027,980,47.986735
21539,735,29.304762
1116,161,6.931677
16085,579,27.780656
846,138,6.130435
6944,670,10.364179
940,167,5.628743
1996,246,8.113821
3367,288,11.690972
26264,798,32.912281
957,170,5.629412
10286,538,19.118959
2109,221,9.542986
10756,450,23.902222
2211,368,6.008152
17548,574,30.571429
24184,746,32.418231
2017,237,8.510549
1498,199,7.527638
1510,246,6.138211
35656,814,43.803440
3749,380,9.865789
25098,1109,22.631199
6221,365,17.043836
11169,592,18.866554
11057,636,17.385220
309,87,3.551724
3999,370,10.808108
653,150,4.353333
1240,231,5.367965
9159,448,20.444196
1124,169,6.650888
3630,341,10.645161
1464,191,7.664921
8093,538,15.042751
192,68,2.823529
35001,739,47.362652
56440,851,66.321974
4145,261,15.881226
1348,232,5.810345
716,124,5.774194
1968,230,8.556522
21065,595,35.403361
25165,724,34.758287
691,146,4.732877
1090,161,6.770186
1357,203,6.684729
28572,768,37.203125
883,122,7.237705
2082,248,8.395161
1276,182,7.010989
5248,544,9.647059
981,140,7.007143
30542,734,41.610354
409,121,3.380165
3817,386,9.888601
629,149,4.221477
4698,408,11.514706
1830,228,8.026316
5176,455,11.375824
1853,213,8.699531
10666,433,24.632794
1889,180,10.494444
18922,654,28.932722
284,56,5.071429
13732,652,21.061350
536,102,5.254902
3963,308,12.866883
3349,257,13.031128
7349,430,17.090698
1563,194,8.056701
14255,533,26.744841
11424,527,21.677419
181,51,3.549020
726,119,6.100840
21163,657,32.211568
3700,317,11.671924
7215,607,11.886326
166,48,3.458333
1266,172,7.360465
853,160,5.331250
4462,354,12.604520
16057,721,22.270458
3290,251,13.107570
1715,246,6.971545
1781,224,7.950893
3446,372,9.263441
5074,439,11.558087
849,150,5.660000
1104,182,6.065934
137,55,2.490909
1592,204,7.803922
4764,378,12.603175
14141,599,23.607679
101,31,3.258065
39,18,2.166667
1521,234,6.500000
424,82,5.170732
673,121,5.561983
2744,270,10.162963
1409,213,6.615023
203,32,6.343750
228,50,4.560000
136,37,3.675676
1583,287,5.515679
1743,219,7.958904
10014,391,25.611253
2525,247,10.222672
2334,279,8.365591
10391,454,22.887665
3490,287,12.160279
20540,666,30.840841
408,67,6.089552
150,46,3.260870
612,119,5.142857
6419,404,15.888614
231,76,3.039474
3350,315,10.634921
16694,626,26.667732
49,13,3.769231
377,80,4.712500
9538,554,17.216606
2615,276,9.474638
3655,345,10.594203
1705,201,8.482587
15344,653,23.497703
1040,157,6.624204
33901,722,46.954294
5524,382,14.460733
633,156,4.057692
2080,270,7.703704
100,35,2.857143
2407,246,9.784553
503,102,4.931373
1762,232,7.594828
2433,256,9.503906
3516,309,11.378641
2783,245,11.359184
5974,437,13.670481
954,163,5.852761
543,99,5.484848
6026,469,12.848614
524,86,6.093023
5715,311,18.376206
344,63,5.460317
2389,220,10.859091
3156,281,11.231317
226,72,3.138889
17349,664,26.128012
2975,274,10.857664
1034,220,4.700000
679,127,5.346457
5151,390,13.207692
13622,489,27.856851
6345,433,14.653580
3506,433,8.096998
3500,284,12.323944
3836,266,14.421053
2413,254,9.500000
460,132,3.484848
2118,261,8.114943
730,111,6.576577
4745,316,15.015823
540,108,5.000000
1129,169,6.680473
382,93,4.107527
329,78,4.217949
542,85,6.376471
354,82,4.317073
