sum_hyperedge_size,num_nodes,egonet overlapness
0,1,0.000000
2914,560,5.203571
8104,878,9.230068
5689,776,7.331186
7487,842,8.891924
50879,1336,38.083084
16886,1078,15.664193
1081,342,3.160819
14266,1042,13.690979
2827,579,4.882556
702,273,2.571429
2730,571,4.781086
16984,1114,15.245961
9510,924,10.292208
1857,468,3.967949
2252,555,4.057658
2931,583,5.027444
44826,1316,34.062310
20960,1138,18.418278
1212,358,3.385475
16779,1078,15.564935
966,323,2.990712
7541,867,8.697809
1048,328,3.195122
2097,506,4.144269
3336,628,5.312102
25342,1189,21.313709
962,321,2.996885
10157,940,10.805319
2281,526,4.336502
10821,980,11.041837
2437,542,4.496310
17299,1052,16.443916
24535,1181,20.774767
2106,510,4.129412
1524,390,3.907692
1443,389,3.709512
33042,1250,26.433600
4006,670,5.979104
24651,1179,20.908397
6276,802,7.825436
11127,949,11.724974
11883,993,11.966767
368,171,2.152047
4544,721,6.302358
806,304,2.651316
1237,375,3.298667
9102,920,9.893478
1053,340,3.097059
3907,684,5.711988
1470,423,3.475177
8531,898,9.500000
222,119,1.865546
32360,1213,26.677659
51717,1343,38.508563
4356,668,6.520958
1411,404,3.492574
748,288,2.597222
2131,493,4.322515
19838,1132,17.524735
25243,1173,21.520034
780,271,2.878229
1127,359,3.139276
1457,404,3.606436
26368,1192,22.120805
977,315,3.101587
2292,506,4.529644
1256,367,3.422343
5530,774,7.144703
1002,326,3.073620
29233,1212,24.119637
374,168,2.226190
3626,646,5.613003
769,266,2.890977
4820,727,6.629986
1931,482,4.006224
5452,764,7.136126
1887,467,4.040685
10067,940,10.709574
1945,472,4.120763
18535,1105,16.773756
304,154,1.974026
13923,1023,13.609971
568,220,2.581818
3835,665,5.766917
3336,613,5.442088
7777,857,9.074679
1736,448,3.875000
13286,1012,13.128458
11778,986,11.945233
204,115,1.773913
758,273,2.776557
20376,1142,17.842382
3553,633,5.612954
8240,893,9.227324
235,122,1.926230
1294,391,3.309463
981,326,3.009202
4548,691,6.581766
16183,1063,15.223895
3594,625,5.750400
1841,463,3.976242
1978,491,4.028513
3756,618,6.077670
5245,741,7.078273
899,304,2.957237
1165,357,3.263305
167,94,1.776596
1752,465,3.767742
4857,713,6.812062
13955,1029,13.561710
110,74,1.486486
30,22,1.363636
1479,413,3.581114
430,198,2.171717
704,267,2.636704
2547,566,4.500000
1551,436,3.557339
241,121,1.991736
169,97,1.742268
97,63,1.539683
1692,435,3.889655
1866,459,4.065359
9359,903,10.364341
2710,566,4.787986
2761,565,4.886726
10425,956,10.904812
3504,624,5.615385
20418,1123,18.181656
493,218,2.261468
191,108,1.768519
648,252,2.571429
6188,773,8.005175
217,112,1.937500
3467,620,5.591935
16108,1061,15.181904
48,29,1.655172
445,197,2.258883
9991,929,10.754575
2753,558,4.933692
3842,668,5.751497
1787,450,3.971111
15267,1061,14.389255
1036,329,3.148936
32381,1263,25.638163
5673,755,7.513907
676,269,2.513011
2153,506,4.254941
124,74,1.675676
2499,569,4.391916
598,230,2.600000
1974,494,3.995951
2594,551,4.707804
3688,647,5.700155
3002,588,5.105442
6039,796,7.586683
993,333,2.981982
651,247,2.635628
6200,803,7.721046
552,224,2.464286
5352,762,7.023622
367,173,2.121387
2768,563,4.916519
3168,597,5.306533
212,119,1.781513
17545,1092,16.066850
3203,600,5.338333
1074,341,3.149560
736,291,2.529210
5482,754,7.270557
13056,1019,12.812561
6639,827,8.027811
3721,645,5.768992
3494,624,5.599359
4118,662,6.220544
2473,523,4.728489
475,202,2.351485
2287,522,4.381226
764,287,2.662021
4751,720,6.598611
577,241,2.394191
