sum_hyperedge_size,num_nodes,egonet overlapness
152,39,3.897436
7460,96,77.708333
1965,77,25.519481
764,64,11.937500
1876,82,22.878049
82472,105,785.447619
31287,103,303.757282
133064,104,1279.461538
19692,101,194.970297
19621,53,370.207547
1233,42,29.357143
6723,52,129.288462
59141,56,1056.089286
37971,55,690.381818
26536,56,473.857143
10828,54,200.518519
57486,55,1045.200000
4939,50,98.780000
42823,56,764.696429
72133,57,1265.491228
44845,103,435.388350
20338,102,199.392157
2307,83,27.795181
6465,101,64.009901
8885,98,90.663265
262,44,5.954545
9136,98,93.224490
47320,105,450.666667
35487,102,347.911765
33154,105,315.752381
5048,93,54.279570
957,77,12.428571
7994,106,75.415094
1480,89,16.629213
7966,106,75.150943
42421,113,375.407080
10526,54,194.925926
521,33,15.787879
6183,49,126.183673
10101,86,117.453488
12705,87,146.034483
20485,87,235.459770
3405,79,43.101266
3299,75,43.986667
24181,104,232.509615
11189,99,113.020202
8382,102,82.176471
5930,106,55.943396
20395,114,178.903509
2482,60,41.366667
6008,66,91.030303
21812,71,307.211268
29136,102,285.647059
5048,90,56.088889
22899,100,228.990000
451,64,7.046875
2814,86,32.720930
459,33,13.909091
23137,55,420.672727
10979,95,115.568421
7148,94,76.042553
3043,89,34.191011
30712,102,301.098039
6927,96,72.156250
41143,104,395.605769
6226,66,94.333333
1596,52,30.692308
4730,64,73.906250
31,13,2.384615
6162,95,64.863158
13516,102,132.509804
1815,68,26.691176
4273,80,53.412500
14240,112,127.142857
10706,109,98.220183
12325,86,143.313953
4447,82,54.231707
3548,78,45.487179
2461,68,36.191176
38675,90,429.722222
7048,98,71.918367
5371,94,57.138298
1238,85,14.564706
6576,103,63.844660
11805,98,120.459184
5811,92,63.163043
8289,98,84.581633
2915,78,37.371795
52119,91,572.736264
9420,84,112.142857
4620,91,50.769231
6101,98,62.255102
454,42,10.809524
81,23,3.521739
3628,62,58.516129
12435,68,182.867647
1449,74,19.581081
624,66,9.454545
10996,98,112.204082
1207,68,17.750000
2397,77,31.129870
3195,86,37.151163
234,39,6.000000
396,50,7.920000
578,62,9.322581
2568,84,30.571429
3373,88,38.329545
270,51,5.294118
2087,82,25.451220
2717,95,28.600000
6159,54,114.055556
5158,98,52.632653
905,66,13.712121
5247,103,50.941748
6947,108,64.324074
7673,69,111.202899
47,24,1.958333
1995,98,20.357143
379,58,6.534483
345,59,5.847458
3047,100,30.470000
3957,101,39.178218
3438,62,55.451613
1774,60,29.566667
4401,61,72.147541
14916,69,216.173913
911,64,14.234375
15499,111,139.630631
3509,99,35.444444
2533,62,40.854839
10501,68,154.426471
1120,52,21.538462
1158,62,18.677419
3287,88,37.352273
611,66,9.257576
10674,99,107.818182
11571,99,116.878788
4396,93,47.268817
4449,96,46.343750
1408,81,17.382716
81,29,2.793103
379,61,6.213115
797,44,18.113636
1110,49,22.653061
3384,44,76.909091
1985,81,24.506173
678,58,11.689655
5192,83,62.554217
6984,85,82.164706
6599,50,131.980000
7358,68,108.205882
302,41,7.365854
1646,53,31.056604
10620,103,103.106796
4663,96,48.572917
2701,83,32.542169
14004,85,164.752941
2837,45,63.044444
1083,40,27.075000
4058,80,50.725000
2745,47,58.404255
1603,59,27.169492
793,50,15.860000
1268,53,23.924528
2158,42,51.380952
2213,48,46.104167
1208,68,17.764706
1040,71,14.647887
3666,100,36.660000
303,49,6.183673
1810,69,26.231884
4722,84,56.214286
194,45,4.311111
1704,61,27.934426
2600,62,41.935484
2069,58,35.672414
1083,73,14.835616
780,68,11.470588
9938,101,98.396040
1378,53,26.000000
8795,99,88.838384
5233,82,63.817073
553,53,10.433962
1856,83,22.361446
370,46,8.043478
751,65,11.553846
1033,74,13.959459
5500,91,60.439560
97,31,3.129032
443,39,11.358974
1658,81,20.469136
