sum_hyperedge_size,num_nodes,egonet overlapness
168,39,4.307692
6807,93,73.193548
1606,79,20.329114
35461,56,633.232143
55941,57,981.421053
191,31,6.161290
2015,73,27.602740
1360,66,20.606061
5172,84,61.571429
6599,93,70.956989
5226,90,58.066667
1042,63,16.539683
2765,84,32.916667
31363,102,307.480392
9658,98,98.551020
8257,98,84.255102
83316,104,801.115385
8784,187,46.973262
3286,94,34.957447
278,53,5.245283
1077,80,13.462500
796,69,11.536232
6706,178,37.674157
30146,113,266.778761
11167,111,100.603604
5664,106,53.433962
9870,97,101.752577
9845,96,102.552083
1066,79,13.493671
9836,110,89.418182
782,89,8.786517
53479,58,922.051724
24818,54,459.592593
440,34,12.941176
40295,57,706.929825
40956,104,393.807692
47998,103,466.000000
24379,102,239.009804
134058,105,1276.742857
36108,105,343.885714
45038,104,433.057692
22935,102,224.852941
2391,46,51.978261
68644,57,1204.280702
1738,65,26.738462
4921,79,62.291139
14446,89,162.314607
19339,99,195.343434
11052,103,107.300971
5537,93,59.537634
6059,93,65.150538
186,47,3.957447
323,58,5.568966
836,71,11.774648
4496,89,50.516854
4345,92,47.228261
583,52,11.211538
20525,98,209.438776
304,40,7.600000
866,60,14.433333
460,32,14.375000
21660,57,380.000000
3045,74,41.148649
27686,91,304.241758
36675,93,394.354839
5772,106,54.452830
1206,84,14.357143
5131,92,55.771739
18210,56,325.178571
6767,96,70.489583
10403,99,105.080808
8414,96,87.645833
29185,104,280.625000
33569,103,325.912621
13764,101,136.277228
7227,81,89.222222
1314,68,19.323529
3248,82,39.609756
4945,87,56.839080
260,44,5.909091
1888,139,13.582734
2379,83,28.662651
2070,91,22.747253
465,56,8.303571
51,21,2.428571
688,63,10.920635
6278,52,120.730769
5777,101,57.198020
2692,99,27.191919
31876,104,306.500000
3168,86,36.837209
10331,54,191.314815
647,70,9.242857
503,58,8.672414
1220,62,19.677419
276,41,6.731707
8389,68,123.367647
14673,109,134.614679
7571,108,70.101852
6385,107,59.672897
6429,83,77.457831
2564,75,34.186667
726,54,13.444444
2459,88,27.943182
3971,96,41.364583
685,68,10.073529
576,62,9.290323
4435,99,44.797980
8696,97,89.649485
6033,96,62.843750
7332,96,76.375000
2499,96,26.031250
2446,97,25.216495
1945,110,17.681818
1941,94,20.648936
8500,86,98.837209
5940,50,118.800000
551,53,10.396226
1354,65,20.830769
3308,85,38.917647
8482,174,48.747126
3925,130,30.192308
3545,100,35.450000
2496,44,56.727273
4865,102,47.696078
786,78,10.076923
8973,70,128.185714
12959,71,182.521127
6587,66,99.803030
873,81,10.777778
258,55,4.690909
434,48,9.041667
366,58,6.310345
666,61,10.918033
3020,78,38.717949
3617,102,35.460784
11880,100,118.800000
2724,91,29.934066
228,44,5.181818
916,69,13.275362
2642,75,35.226667
543,55,9.872727
941,62,15.177419
892,74,12.054054
9330,103,90.582524
807,71,11.366197
9221,87,105.988506
315,51,6.176471
1599,81,19.740741
3006,48,62.625000
76,26,2.923077
729,64,11.390625
4691,89,52.707865
456,52,8.769231
2149,83,25.891566
1527,78,19.576923
238,44,5.409091
2702,99,27.292929
4234,62,68.290323
1964,56,35.071429
6692,65,102.953846
202,26,7.769231
663,70,9.471429
10147,51,198.960784
721,64,11.265625
2926,93,31.462366
3112,87,35.770115
1220,51,23.921569
261,33,7.909091
1329,78,17.038462
84,26,3.230769
799,69,11.579710
325,46,7.065217
326,51,6.392157
9712,88,110.363636
1028,65,15.815385
1192,66,18.060606
33,17,1.941176
4130,81,50.987654
326,38,8.578947
1049,55,19.072727
19423,71,273.563380
10839,68,159.397059
5320,66,80.606061
5468,66,82.848485
1435,89,16.123596
2429,94,25.840426
6053,52,116.403846
3942,66,59.727273
1849,61,30.311475
264,45,5.866667
4322,64,67.531250
2341,60,39.016667
6639,65,102.138462
8431,97,86.917526
3029,82,36.939024
1170,52,22.500000
1566,77,20.337662
3575,79,45.253165
1142,69,16.550725
1672,73,22.904110
558,52,10.730769
3660,92,39.782609
457,62,7.370968
431,63,6.841270
1590,82,19.390244
983,68,14.455882
3495,93,37.580645
1754,76,23.078947
470,52,9.038462
2625,77,34.090909
3465,76,45.592105
3221,86,37.453488
668,54,12.370370
945,66,14.318182
1496,70,21.371429
296,44,6.727273
18,12,1.500000
3581,74,48.391892
337,48,7.020833
5468,75,72.906667
397,48,8.270833
4483,67,66.910448
103,21,4.904762
191,29,6.586207
4149,62,66.919355
6107,68,89.808824
11921,98,121.642857
2945,79,37.278481
4544,91,49.934066
447,43,10.395349
2428,67,36.238806
435,46,9.456522
779,55,14.163636
2753,86,32.011628
68,13,5.230769
3265,62,52.661290
2248,72,31.222222
4724,50,94.480000
1379,73,18.890411
647,56,11.553571
3085,50,61.700000
1997,45,44.377778
2996,94,31.872340
162,33,4.909091
756,65,11.630769
825,62,13.306452
1244,66,18.848485
2538,45,56.400000
5671,99,57.282828
4044,86,47.023256
3057,63,48.523810
1404,52,27.000000
3541,137,25.846715
2769,94,29.457447
1236,53,23.320755
81,14,5.785714
726,56,12.964286
290,43,6.744186
479,55,8.709091
169,37,4.567568
1899,45,42.200000
6081,52,116.942308
29,9,3.222222
1341,54,24.833333
2191,79,27.734177
645,37,17.432432
2216,96,23.083333
2444,82,29.804878
4200,85,49.411765
122,29,4.206897
417,46,9.065217
1697,77,22.038961
4785,91,52.582418
2675,83,32.228916
542,61,8.885246
2385,56,42.589286
5904,48,123.000000
619,78,7.935897
18,9,2.000000
1714,69,24.840580
1130,72,15.694444
1475,87,16.954023
316,59,5.355932
364,47,7.744681
583,62,9.403226
414,55,7.527273
117,35,3.342857
363,65,5.584615
1064,79,13.468354
185,27,6.851852
61,16,3.812500
1809,94,19.244681
4325,92,47.010870
301,41,7.341463
304,46,6.608696
241,46,5.239130
608,65,9.353846
664,57,11.649123
229,42,5.452381
455,37,12.297297
963,71,13.563380
2290,85,26.941176
4047,87,46.517241
2077,78,26.628205
2410,100,24.100000
907,65,13.953846
549,44,12.477273
299,40,7.475000
2874,65,44.215385
3757,64,58.703125
802,53,15.132075
298,46,6.478261
1045,69,15.144928
726,50,14.520000
839,63,13.317460
2044,95,21.515789
1509,89,16.955056
6177,98,63.030612
2689,77,34.922078
832,67,12.417910
499,66,7.560606
54,24,2.250000
527,51,10.333333
414,46,9.000000
669,48,13.937500
366,43,8.511628
3938,92,42.804348
709,48,14.770833
194,47,4.127660
641,73,8.780822
72,31,2.322581
348,53,6.566038
1128,54,20.888889
2204,59,37.355932
1984,80,24.800000
602,57,10.561404
157,41,3.829268
5600,94,59.574468
241,52,4.634615
278,58,4.793103
41,22,1.863636
827,57,14.508772
227,38,5.973684
3095,62,49.919355
1657,61,27.163934
390,44,8.863636
1749,54,32.388889
803,46,17.456522
74,21,3.523810
3025,77,39.285714
331,37,8.945946
458,43,10.651163
1697,53,32.018868
1030,72,14.305556
288,49,5.877551
1961,46,42.630435
179,46,3.891304
3010,154,19.545455
500,44,11.363636
231,46,5.021739
1068,70,15.257143
359,40,8.975000
100,25,4.000000
2021,72,28.069444
2248,84,26.761905
1536,78,19.692308
909,77,11.805195
403,34,11.852941
568,72,7.888889
876,66,13.272727
1059,54,19.611111
438,52,8.423077
266,49,5.428571
581,60,9.683333
931,80,11.637500
701,51,13.745098
3170,49,64.693878
382,41,9.317073
83,24,3.458333
169,35,4.828571
1000,58,17.241379
3099,131,23.656489
2532,87,29.103448
113,29,3.896552
103,32,3.218750
46,21,2.190476
735,70,10.500000
226,45,5.022222
354,51,6.941176
1924,84,22.904762
250,50,5.000000
2165,47,46.063830
522,54,9.666667
58,16,3.625000
1894,93,20.365591
62,15,4.133333
1287,59,21.813559
747,68,10.985294
936,73,12.821918
1716,81,21.185185
574,39,14.717949
469,59,7.949153
198,44,4.500000
349,42,8.309524
68,20,3.400000
4205,103,40.825243
881,60,14.683333
152,33,4.606061
4202,86,48.860465
1082,62,17.451613
344,42,8.190476
114,23,4.956522
4240,98,43.265306
227,32,7.093750
256,39,6.564103
1476,90,16.400000
3034,98,30.959184
733,77,9.519481
74,28,2.642857
678,61,11.114754
385,52,7.403846
1761,43,40.953488
990,72,13.750000
534,56,9.535714
2194,86,25.511628
154,38,4.052632
2183,76,28.723684
95,24,3.958333
1517,56,27.089286
142,40,3.550000
509,69,7.376812
976,52,18.769231
966,41,23.560976
475,62,7.661290
324,44,7.363636
2110,65,32.461538
352,54,6.518519
369,59,6.254237
537,60,8.950000
352,50,7.040000
987,76,12.986842
747,77,9.701299
493,71,6.943662
46,14,3.285714
56,23,2.434783
199,42,4.738095
372,55,6.763636
440,52,8.461538
2453,55,44.600000
1404,78,18.000000
408,55,7.418182
947,72,13.152778
932,43,21.674419
2622,88,29.795455
169,34,4.970588
1666,86,19.372093
565,67,8.432836
124,34,3.647059
829,64,12.953125
1009,63,16.015873
1052,70,15.028571
616,46,13.391304
347,43,8.069767
1167,72,16.208333
699,63,11.095238
47,19,2.473684
469,58,8.086207
178,45,3.955556
1458,66,22.090909
600,46,13.043478
227,53,4.283019
555,55,10.090909
47,18,2.611111
1061,75,14.146667
1709,96,17.802083
1004,50,20.080000
43,13,3.307692
213,38,5.605263
72,24,3.000000
237,52,4.557692
84,22,3.818182
58,17,3.411765
141,33,4.272727
388,56,6.928571
1294,89,14.539326
630,48,13.125000
1384,39,35.487179
44,16,2.750000
959,71,13.507042
27,15,1.800000
683,62,11.016129
1315,83,15.843373
2222,60,37.033333
305,39,7.820513
109,29,3.758621
190,31,6.129032
261,43,6.069767
903,72,12.541667
402,32,12.562500
1194,73,16.356164
117,21,5.571429
1351,57,23.701754
336,59,5.694915
918,69,13.304348
1429,79,18.088608
1152,72,16.000000
199,43,4.627907
574,42,13.666667
1405,84,16.726190
338,48,7.041667
570,52,10.961538
65,26,2.500000
98,39,2.512821
378,58,6.517241
833,75,11.106667
147,35,4.200000
25,11,2.272727
374,48,7.791667
287,40,7.175000
698,56,12.464286
190,36,5.277778
127,26,4.884615
2069,58,35.672414
275,56,4.910714
94,34,2.764706
299,37,8.081081
80,24,3.333333
944,63,14.984127
191,24,7.958333
1296,42,30.857143
27,11,2.454545
2201,62,35.500000
697,54,12.907407
99,30,3.300000
1004,52,19.307692
189,29,6.517241
239,52,4.596154
1338,82,16.317073
2326,82,28.365854
993,60,16.550000
273,38,7.184211
1524,62,24.580645
216,32,6.750000
498,50,9.960000
194,41,4.731707
387,49,7.897959
81,31,2.612903
99,32,3.093750
884,51,17.333333
622,57,10.912281
1043,41,25.439024
1172,50,23.440000
1441,84,17.154762
86,33,2.606061
387,40,9.675000
478,45,10.622222
502,48,10.458333
47,12,3.916667
126,34,3.705882
1805,92,19.619565
1039,87,11.942529
747,66,11.318182
190,36,5.277778
417,47,8.872340
567,61,9.295082
790,71,11.126761
142,32,4.437500
400,53,7.547170
132,30,4.400000
29,12,2.416667
629,65,9.676923
290,41,7.073171
90,28,3.214286
251,38,6.605263
679,60,11.316667
236,44,5.363636
66,26,2.538462
393,59,6.661017
341,50,6.820000
262,45,5.822222
364,34,10.705882
389,51,7.627451
107,30,3.566667
561,46,12.195652
249,51,4.882353
1066,69,15.449275
36,19,1.894737
13,7,1.857143
279,44,6.340909
108,32,3.375000
510,61,8.360656
376,56,6.714286
584,62,9.419355
115,24,4.791667
928,97,9.567010
584,55,10.618182
337,43,7.837209
34,15,2.266667
176,29,6.068966
295,45,6.555556
113,29,3.896552
566,53,10.679245
104,23,4.521739
717,65,11.030769
148,26,5.692308
136,44,3.090909
480,61,7.868852
329,50,6.580000
1362,71,19.183099
1300,68,19.117647
232,39,5.948718
1207,70,17.242857
248,48,5.166667
114,35,3.257143
635,73,8.698630
138,27,5.111111
21,9,2.333333
453,66,6.863636
149,50,2.980000
114,35,3.257143
48,19,2.526316
78,20,3.900000
904,74,12.216216
177,39,4.538462
323,50,6.460000
1149,66,17.409091
905,69,13.115942
238,38,6.263158
1443,58,24.879310
143,34,4.205882
260,40,6.500000
198,29,6.827586
306,40,7.650000
632,56,11.285714
119,31,3.838710
129,35,3.685714
350,32,10.937500
707,61,11.590164
622,48,12.958333
451,42,10.738095
1626,77,21.116883
524,62,8.451613
88,31,2.838710
1224,64,19.125000
137,37,3.702703
77,17,4.529412
91,25,3.640000
675,58,11.637931
387,44,8.795455
57,16,3.562500
28,12,2.333333
86,24,3.583333
624,67,9.313433
164,40,4.100000
324,60,5.400000
355,59,6.016949
541,60,9.016667
58,26,2.230769
48,19,2.526316
202,37,5.459459
628,54,11.629630
125,24,5.208333
1260,74,17.027027
254,32,7.937500
303,48,6.312500
347,41,8.463415
426,65,6.553846
170,40,4.250000
54,26,2.076923
291,38,7.657895
440,52,8.461538
647,58,11.155172
665,62,10.725806
227,23,9.869565
1412,79,17.873418
51,25,2.040000
304,41,7.414634
211,38,5.552632
627,47,13.340426
64,19,3.368421
554,50,11.080000
109,27,4.037037
205,41,5.000000
122,27,4.518519
206,43,4.790698
275,56,4.910714
