num_hes,num_nodes,egonet density
50,6,8.333333
51,6,8.500000
51,6,8.500000
33,7,4.714286
49,6,8.166667
47,6,7.833333
45,6,7.500000
48,6,8.000000
41,5,8.200000
48,6,8.000000
51,6,8.500000
13,6,2.166667
56,6,9.333333
48,6,8.000000
57,6,9.500000
39,6,6.500000
57,6,9.500000
80,38,2.105263
160,55,2.909091
2544,125,20.352000
45,6,7.500000
39,6,6.500000
44,6,7.333333
49,6,8.166667
41,6,6.833333
29,6,4.833333
46,6,7.666667
40,6,6.666667
39,6,6.500000
24,6,4.000000
43,6,7.166667
45,6,7.500000
30,6,5.000000
53,6,8.833333
48,6,8.000000
54,6,9.000000
36,6,6.000000
29,6,4.833333
23,6,3.833333
39,6,6.500000
48,6,8.000000
114,50,2.280000
4570,137,33.357664
286,78,3.666667
51,6,8.500000
51,6,8.500000
51,6,8.500000
50,6,8.333333
33,6,5.500000
44,6,7.333333
36,6,6.000000
42,6,7.000000
49,6,8.166667
42,6,7.000000
42,6,7.000000
47,6,7.833333
20,6,3.333333
30,6,5.000000
38,6,6.333333
33,6,5.500000
37,6,6.166667
32,6,5.333333
44,5,8.800000
44,5,8.800000
31,5,6.200000
28,6,4.666667
44,6,7.333333
56,6,9.333333
57,6,9.500000
43,6,7.166667
41,6,6.833333
52,6,8.666667
53,6,8.833333
34,6,5.666667
32,6,5.333333
46,6,7.666667
33,6,5.500000
37,6,6.166667
23,6,3.833333
32,6,5.333333
39,6,6.500000
33,6,5.500000
39,6,6.500000
37,5,7.400000
42,6,7.000000
53,6,8.833333
39,6,6.500000
38,6,6.333333
35,6,5.833333
47,6,7.833333
51,6,8.500000
33,6,5.500000
35,6,5.833333
30,6,5.000000
49,6,8.166667
51,6,8.500000
50,6,8.333333
53,6,8.833333
44,6,7.333333
40,6,6.666667
38,6,6.333333
14,6,2.333333
41,6,6.833333
37,6,6.166667
68,6,11.333333
60,6,10.000000
18,5,3.600000
43,6,7.166667
50,6,8.333333
40,6,6.666667
38,6,6.333333
46,6,7.666667
46,6,7.666667
53,6,8.833333
44,6,7.333333
39,6,6.500000
59,6,9.833333
13,5,2.600000
37,6,6.166667
38,6,6.333333
39,6,6.500000
45,6,7.500000
48,6,8.000000
40,6,6.666667
59,6,9.833333
67,6,11.166667
69,6,11.500000
34,6,5.666667
47,6,7.833333
44,6,7.333333
27,6,4.500000
43,6,7.166667
49,6,8.166667
52,6,8.666667
26,6,4.333333
39,6,6.500000
46,6,7.666667
39,6,6.500000
39,6,6.500000
44,6,7.333333
43,6,7.166667
