num_hes,num_nodes,egonet density
324,244,1.327869
249,281,0.886121
3284,923,3.557963
242,180,1.344444
472,299,1.578595
1177,397,2.964736
78,89,0.876404
1258,529,2.378072
3006,1109,2.710550
2872,647,4.438949
3321,924,3.594156
546,319,1.711599
465,258,1.802326
488,244,2.000000
1220,624,1.955128
6523,1229,5.307567
2299,737,3.119403
6,8,0.750000
75,92,0.815217
278,187,1.486631
1319,614,2.148208
633,301,2.102990
65,66,0.984848
2382,754,3.159151
808,372,2.172043
60,56,1.071429
393,196,2.005102
1573,811,1.939581
1533,473,3.241015
150,151,0.993377
426,251,1.697211
858,413,2.077482
421,321,1.311526
446,230,1.939130
763,439,1.738041
229,145,1.579310
1218,454,2.682819
19,25,0.760000
651,334,1.949102
61,65,0.938462
100,136,0.735294
32,40,0.800000
162,137,1.182482
233,206,1.131068
4277,1087,3.934683
22,35,0.628571
407,239,1.702929
6,12,0.500000
961,625,1.537600
145,118,1.228814
317,226,1.402655
121,122,0.991803
945,531,1.779661
244,168,1.452381
57,77,0.740260
341,258,1.321705
7162,1577,4.541535
376,265,1.418868
17,35,0.485714
28,57,0.491228
533,340,1.567647
1012,722,1.401662
152,179,0.849162
181,138,1.311594
252,239,1.054393
1054,398,2.648241
2877,854,3.368852
178,162,1.098765
1598,595,2.685714
197,207,0.951691
20,21,0.952381
3139,713,4.402525
483,391,1.235294
68,64,1.062500
297,197,1.507614
1135,561,2.023173
408,332,1.228916
31,35,0.885714
1491,741,2.012146
163,99,1.646465
330,138,2.391304
301,301,1.000000
266,193,1.378238
463,245,1.889796
156,138,1.130435
17,35,0.485714
1159,423,2.739953
1220,501,2.435130
582,251,2.318725
7320,911,8.035126
1308,543,2.408840
14,30,0.466667
258,295,0.874576
69,104,0.663462
327,155,2.109677
331,234,1.414530
289,227,1.273128
23,32,0.718750
1618,905,1.787845
208,214,0.971963
101,127,0.795276
448,323,1.386997
219,144,1.520833
56,57,0.982456
44,57,0.771930
308,236,1.305085
11,20,0.550000
341,336,1.014881
380,241,1.576763
301,279,1.078853
1037,472,2.197034
462,256,1.804688
64,70,0.914286
190,156,1.217949
140,134,1.044776
136,112,1.214286
307,184,1.668478
160,147,1.088435
972,362,2.685083
6234,882,7.068027
565,384,1.471354
185,131,1.412214
7,11,0.636364
72,87,0.827586
5027,1083,4.641736
2856,814,3.508600
4,8,0.500000
1843,744,2.477151
389,327,1.189602
12,26,0.461538
288,222,1.297297
3994,558,7.157706
60,94,0.638298
3908,587,6.657581
484,303,1.597360
45,58,0.775862
69,77,0.896104
57,57,1.000000
889,325,2.735385
290,261,1.111111
272,280,0.971429
18,27,0.666667
107,143,0.748252
1555,462,3.365801
2370,945,2.507937
2312,698,3.312321
5104,676,7.550296
494,352,1.403409
4375,639,6.846635
2197,626,3.509585
11,22,0.500000
664,277,2.397112
1309,528,2.479167
7254,1082,6.704251
66,72,0.916667
18,25,0.720000
3076,999,3.079079
26,32,0.812500
6,14,0.428571
17,36,0.472222
108,182,0.593407
120,128,0.937500
996,482,2.066390
136,92,1.478261
69,73,0.945205
12,18,0.666667
322,218,1.477064
1529,648,2.359568
128,109,1.174312
127,143,0.888112
9,23,0.391304
2342,923,2.537378
72,65,1.107692
96,88,1.090909
204,162,1.259259
103,105,0.980952
5,8,0.625000
5,8,0.625000
89,98,0.908163
769,317,2.425868
2290,612,3.741830
1252,563,2.223801
55,81,0.679012
147,159,0.924528
20,32,0.625000
22,27,0.814815
