num_hes,num_nodes,egonet density
0,1,0.000000
556,576,0.965278
3298,1419,2.324172
242,334,0.724551
485,545,0.889908
1119,843,1.327402
79,161,0.490683
1217,906,1.343267
2988,1305,2.289655
2907,1347,2.158129
3301,1416,2.331215
562,597,0.941374
472,546,0.864469
470,532,0.883459
1150,884,1.300905
6556,1745,3.757020
2348,1212,1.937294
10,28,0.357143
64,123,0.520325
272,381,0.713911
1268,908,1.396476
660,627,1.052632
55,124,0.443548
2332,1186,1.966273
799,739,1.081191
58,128,0.453125
403,481,0.837838
1516,985,1.539086
1589,1016,1.563976
136,227,0.599119
455,529,0.860113
852,712,1.196629
455,499,0.911824
468,499,0.937876
748,659,1.135053
205,312,0.657051
1228,903,1.359911
16,44,0.363636
644,623,1.033708
53,117,0.452991
97,180,0.538889
24,66,0.363636
175,277,0.631769
216,305,0.708197
4219,1506,2.801461
30,70,0.428571
413,469,0.880597
7,22,0.318182
964,782,1.232737
123,235,0.523404
309,429,0.720280
113,207,0.545894
987,807,1.223048
262,345,0.759420
44,88,0.500000
339,411,0.824818
7284,1851,3.935170
329,417,0.788969
19,42,0.452381
33,81,0.407407
514,553,0.929476
996,793,1.255990
155,249,0.622490
158,254,0.622047
228,321,0.710280
1064,800,1.330000
2891,1319,2.191812
172,266,0.646617
1689,1051,1.607041
175,278,0.629496
20,50,0.400000
3171,1404,2.258547
463,522,0.886973
53,106,0.500000
290,367,0.790191
1125,868,1.296083
406,489,0.830266
36,89,0.404494
1428,933,1.530547
160,269,0.594796
334,402,0.830846
306,378,0.809524
274,362,0.756906
441,528,0.835227
158,246,0.642276
13,38,0.342105
1200,882,1.360544
1225,883,1.387316
534,552,0.967391
7236,1861,3.888232
1316,939,1.401491
12,30,0.400000
279,372,0.750000
72,145,0.496552
365,455,0.802198
327,405,0.807407
287,390,0.735897
23,54,0.425926
1694,1008,1.680556
233,330,0.706061
124,227,0.546256
448,522,0.858238
209,308,0.678571
64,138,0.463768
52,114,0.456140
292,388,0.752577
6,15,0.400000
337,451,0.747228
396,460,0.860870
317,405,0.782716
1012,809,1.250927
503,542,0.928044
67,131,0.511450
192,303,0.633663
130,221,0.588235
123,211,0.582938
294,404,0.727723
147,247,0.595142
936,779,1.201540
6202,1782,3.480359
571,579,0.986183
177,286,0.618881
6,16,0.375000
72,138,0.521739
5071,1642,3.088307
2807,1354,2.073117
4,14,0.285714
1846,1065,1.733333
391,451,0.866962
11,27,0.407407
290,388,0.747423
4027,1511,2.665122
73,140,0.521429
3926,1498,2.620828
477,525,0.908571
34,69,0.492754
68,127,0.535433
79,156,0.506410
939,770,1.219481
294,405,0.725926
287,381,0.753281
18,41,0.439024
116,213,0.544601
1550,1020,1.519608
2309,1171,1.971819
2396,1197,2.001671
4990,1605,3.109034
488,525,0.929524
4422,1553,2.847392
2221,1183,1.877430
7,19,0.368421
608,642,0.947040
1293,906,1.427152
7279,1834,3.968920
70,134,0.522388
13,37,0.351351
3050,1342,2.272727
28,65,0.430769
2,7,0.285714
19,45,0.422222
114,190,0.600000
109,199,0.547739
1000,791,1.264223
122,221,0.552036
80,150,0.533333
11,28,0.392857
337,434,0.776498
1631,1002,1.627745
133,222,0.599099
110,204,0.539216
7,15,0.466667
2425,1220,1.987705
78,153,0.509804
118,201,0.587065
197,299,0.658863
86,163,0.527607
4,12,0.333333
6,16,0.375000
101,182,0.554945
725,680,1.066176
2372,1220,1.944262
1217,851,1.430082
61,118,0.516949
131,224,0.584821
12,35,0.342857
26,62,0.419355
1577,983,1.604273
448,515,0.869903
2339,1210,1.933058
986,800,1.232500
85,168,0.505952
571,608,0.939145
1036,799,1.296621
180,271,0.664207
313,399,0.784461
918,778,1.179949
295,395,0.746835
1125,880,1.278409
1031,805,1.280745
1894,1079,1.755329
406,473,0.858351
778,691,1.125904
1219,852,1.430751
199,310,0.641935
41,100,0.410000
11,28,0.392857
169,269,0.628253
206,305,0.675410
17,39,0.435897
732,669,1.094170
35,71,0.492958
71,152,0.467105
668,627,1.065391
96,180,0.533333
196,323,0.606811
191,283,0.674912
817,713,1.145863
227,330,0.687879
41,96,0.427083
239,353,0.677054
15,37,0.405405
44,95,0.463158
1386,920,1.506522
1969,1103,1.785131
735,690,1.065217
272,357,0.761905
1742,1062,1.640301
123,238,0.516807
151,245,0.616327
190,293,0.648464
3625,1458,2.486283
27,64,0.421875
66,131,0.503817
619,597,1.036851
2858,1321,2.163512
389,458,0.849345
695,648,1.072531
1112,867,1.282584
68,142,0.478873
235,342,0.687135
879,758,1.159631
223,335,0.665672
82,167,0.491018
320,392,0.816327
750,702,1.068376
70,152,0.460526
46,97,0.474227
486,507,0.958580
102,182,0.560440
1446,946,1.528541
195,309,0.631068
1169,871,1.342135
58,112,0.517857
480,523,0.917782
524,575,0.911304
366,455,0.804396
461,535,0.861682
45,93,0.483871
308,419,0.735084
112,194,0.577320
1273,918,1.386710
1251,911,1.373216
56,119,0.470588
31,74,0.418919
4061,1527,2.659463
306,398,0.768844
390,457,0.853392
60,119,0.504202
15,37,0.405405
47,113,0.415929
394,481,0.819127
222,314,0.707006
5784,1724,3.354988
148,250,0.592000
132,224,0.589286
999,789,1.266160
60,133,0.451128
369,452,0.816372
72,142,0.507042
1048,843,1.243179
183,268,0.682836
43,89,0.483146
8,21,0.380952
601,596,1.008389
432,495,0.872727
211,326,0.647239
539,541,0.996303
1140,887,1.285231
401,498,0.805221
1904,1073,1.774464
1061,863,1.229432
862,749,1.150868
65,133,0.488722
3,8,0.375000
675,640,1.054688
4521,1556,2.905527
104,180,0.577778
1270,937,1.355390
656,656,1.000000
133,227,0.585903
155,248,0.625000
285,381,0.748031
142,245,0.579592
242,359,0.674095
182,284,0.640845
379,445,0.851685
82,173,0.473988
36,75,0.480000
85,165,0.515152
98,179,0.547486
357,437,0.816934
14,39,0.358974
487,544,0.895221
556,583,0.953688
86,174,0.494253
106,198,0.535354
24,57,0.421053
124,216,0.574074
32,78,0.410256
125,215,0.581395
1,2,0.500000
24,59,0.406780
530,560,0.946429
22,58,0.379310
62,131,0.473282
114,205,0.556098
124,223,0.556054
165,271,0.608856
59,132,0.446970
146,231,0.632035
84,171,0.491228
371,471,0.787686
102,186,0.548387
44,97,0.453608
120,213,0.563380
15,35,0.428571
