num_hes,num_nodes,egonet density
22323,142,157.204225
3228,130,24.830769
58013,143,405.685315
13624,143,95.272727
4251,135,31.488889
3630,133,27.293233
130,61,2.131148
1965,122,16.106557
11768,142,82.873239
4241,137,30.956204
372,83,4.481928
20110,143,140.629371
10704,140,76.457143
1455,161,9.037267
6002,193,31.098446
1074,152,7.065789
282,108,2.611111
42,41,1.024390
2959,133,22.248120
3586,139,25.798561
2,7,0.285714
1183,159,7.440252
475,138,3.442029
721,143,5.041958
46,35,1.314286
5686,138,41.202899
260,117,2.222222
13,18,0.722222
350,121,2.892562
76,63,1.206349
352,112,3.142857
4697,185,25.389189
4023,182,22.104396
10119,196,51.627551
637,102,6.245098
1100,114,9.649123
5861,139,42.165468
1241,114,10.885965
9547,141,67.709220
433,198,2.186869
212,150,1.413333
42,63,0.666667
1966,270,7.281481
126,121,1.041322
200,150,1.333333
4093,302,13.552980
5618,144,39.013889
310,86,3.604651
5473,138,39.659420
9171,142,64.584507
1124,108,10.407407
1573,123,12.788618
1381,117,11.803419
432,92,4.695652
489,84,5.821429
135,123,1.097561
116,105,1.104762
3118,290,10.751724
12413,200,62.065000
5947,195,30.497436
309,104,2.971154
1599,153,10.450980
333,171,1.947368
672,206,3.262136
2271,270,8.411111
2958,130,22.753846
379,87,4.356322
1144,110,10.400000
1257,123,10.219512
6235,143,43.601399
1894,131,14.458015
2207,126,17.515873
2123,130,16.330769
4169,184,22.657609
513,126,4.071429
253,95,2.663158
5332,186,28.666667
600,93,6.451613
243,84,2.892857
208,71,2.929577
472,94,5.021277
1283,135,9.503704
417,187,2.229947
827,235,3.519149
335,77,4.350649
517,93,5.559140
199,78,2.551282
2636,176,14.977273
1692,155,10.916129
162,68,2.382353
1621,120,13.508333
1895,164,11.554878
112,63,1.777778
689,212,3.250000
3146,287,10.961672
237,73,3.246575
340,78,4.358974
39,34,1.147059
43,32,1.343750
329,81,4.061728
205,144,1.423611
633,209,3.028708
880,114,7.719298
3033,130,23.330769
6,13,0.461538
33,40,0.825000
189,96,1.968750
8,13,0.615385
86,48,1.791667
497,94,5.287234
568,99,5.737374
1909,166,11.500000
3377,179,18.865922
583,123,4.739837
361,112,3.223214
182,78,2.333333
770,229,3.362445
102,106,0.962264
770,224,3.437500
371,177,2.096045
3383,182,18.587912
2549,177,14.401130
428,186,2.301075
331,171,1.935673
54,51,1.058824
531,152,3.493421
28,28,1.000000
620,156,3.974359
168,96,1.750000
1158,109,10.623853
209,86,2.430233
1371,124,11.056452
341,87,3.919540
399,77,5.181818
166,137,1.211679
154,119,1.294118
40,41,0.975610
56,54,1.037037
1802,160,11.262500
3456,182,18.989011
120,116,1.034483
361,184,1.961957
597,97,6.154639
295,79,3.734177
312,98,3.183673
10,19,0.526316
435,139,3.129496
1209,149,8.114094
673,214,3.144860
473,186,2.543011
163,127,1.283465
307,109,2.816514
1049,147,7.136054
975,150,6.500000
645,97,6.649485
155,85,1.823529
476,146,3.260274
770,163,4.723926
3057,134,22.813433
484,99,4.888889
118,108,1.092593
424,198,2.141414
335,183,1.830601
970,232,4.181034
5454,137,39.810219
536,204,2.627451
186,135,1.377778
407,185,2.200000
573,200,2.865000
4,8,0.500000
451,94,4.797872
1202,125,9.616000
493,93,5.301075
760,101,7.524752
4247,187,22.711230
28,38,0.736842
48,47,1.021277
15,27,0.555556
83,68,1.220588
98,62,1.580645
783,221,3.542986
1766,130,13.584615
1113,111,10.027027
3556,137,25.956204
827,111,7.450450
847,115,7.365217
3871,184,21.038043
4695,187,25.106952
1,2,0.500000
362,130,2.784615
22,33,0.666667
290,99,2.929293
34,42,0.809524
2624,179,14.659218
2134,172,12.406977
142,53,2.679245
470,123,3.821138
256,73,3.506849
612,98,6.244898
961,114,8.429825
64,45,1.422222
303,80,3.787500
35,35,1.000000
391,172,2.273256
255,161,1.583851
882,229,3.851528
29,37,0.783784
274,81,3.382716
238,154,1.545455
541,201,2.691542
1242,118,10.525424
241,85,2.835294
90,52,1.730769
215,160,1.343750
132,60,2.200000
53,44,1.204545
728,99,7.353535
304,83,3.662651
654,103,6.349515
281,168,1.672619
31,51,0.607843
247,97,2.546392
9,26,0.346154
65,61,1.065574
1921,163,11.785276
137,59,2.322034
623,135,4.614815
268,153,1.751634
1078,115,9.373913
9,17,0.529412
48,39,1.230769
42,43,0.976744
501,82,6.109756
662,137,4.832117
363,111,3.270270
620,215,2.883721
8,21,0.380952
132,59,2.237288
1022,235,4.348936
327,164,1.993902
359,79,4.544304
554,121,4.578512
36,57,0.631579
133,124,1.072581
191,78,2.448718
418,86,4.860465
1827,124,14.733871
79,95,0.831579
73,89,0.820225
181,128,1.414062
31,55,0.563636
721,103,7.000000
271,74,3.662162
735,112,6.562500
474,139,3.410072
266,117,2.273504
14,21,0.666667
245,80,3.062500
598,99,6.040404
434,91,4.769231
51,38,1.342105
146,57,2.561404
16,21,0.761905
148,64,2.312500
779,110,7.081818
12,18,0.666667
32,34,0.941176
51,70,0.728571
949,223,4.255605
351,80,4.387500
89,49,1.816327
494,94,5.255319
8,13,0.615385
120,55,2.181818
17,27,0.629630
211,147,1.435374
171,136,1.257353
28,30,0.933333
