num_hes,num_nodes,egonet density
3498,242,14.454545
2074,166,12.493976
799,126,6.341270
3990,148,26.959459
1143,129,8.860465
173,64,2.703125
14,18,0.777778
623,97,6.422680
29,36,0.805556
9690,299,32.408027
3115,177,17.598870
1487,155,9.593548
3095,181,17.099448
4278,184,23.250000
1109,120,9.241667
4702,141,33.347518
2981,141,21.141844
3306,134,24.671642
17562,141,124.553191
10560,141,74.893617
604,148,4.081081
68,64,1.062500
62,59,1.050847
90,70,1.285714
1675,195,8.589744
197,92,2.141304
1427,157,9.089172
3641,174,20.925287
1086,146,7.438356
4573,192,23.817708
199,94,2.117021
204,102,2.000000
170,103,1.650485
85,70,1.214286
45429,143,317.685315
38,33,1.151515
7240,139,52.086331
4434,132,33.590909
445,95,4.684211
1413,130,10.869231
1,4,0.250000
685,115,5.956522
2168,197,11.005076
77,55,1.400000
323,166,1.945783
89,64,1.390625
522,230,2.269565
2133,271,7.870849
53,76,0.697368
885,249,3.554217
146,130,1.123077
284,176,1.613636
257,154,1.668831
987,144,6.854167
909,141,6.446809
189,131,1.442748
175,124,1.411290
9248,139,66.532374
4690,132,35.530303
1001,109,9.183486
7705,274,28.120438
443,111,3.990991
2088,171,12.210526
3464,185,18.724324
1090,148,7.364865
484,90,5.377778
158,80,1.975000
101,66,1.530303
2711,170,15.947059
3313,128,25.882812
4207,135,31.162963
15722,142,110.718310
722,206,3.504854
136,121,1.123967
308,167,1.844311
2859,333,8.585586
181,129,1.403101
868,108,8.037037
171,62,2.758065
996,117,8.512821
19,31,0.612903
3107,177,17.553672
2359,126,18.722222
1058,116,9.120690
8351,137,60.956204
18,21,0.857143
2551,130,19.623077
563,208,2.706731
583,203,2.871921
3414,291,11.731959
405,184,2.201087
366,203,1.802956
1376,156,8.820513
1426,150,9.506667
69,56,1.232143
435,110,3.954545
490,83,5.903614
235,74,3.175676
1581,125,12.648000
60,40,1.500000
717,108,6.638889
14,22,0.636364
136,71,1.915493
411,119,3.453782
244,73,3.342466
425,79,5.379747
2816,129,21.829457
262,66,3.969697
377,178,2.117978
201,87,2.310345
75,62,1.209677
907,225,4.031111
100,42,2.380952
211,67,3.149254
272,80,3.400000
175,66,2.651515
1573,119,13.218487
3012,140,21.514286
217,87,2.494253
117,63,1.857143
1076,153,7.032680
21,30,0.700000
4396,135,32.562963
1833,131,13.992366
5313,142,37.415493
2517,135,18.644444
130,66,1.969697
768,249,3.084337
200,154,1.298701
900,231,3.896104
293,113,2.592920
370,115,3.217391
8,16,0.500000
318,76,4.184211
345,108,3.194444
247,102,2.421569
11,23,0.478261
33,41,0.804878
3,11,0.272727
759,236,3.216102
121,84,1.440476
42,33,1.272727
45,42,1.071429
686,112,6.125000
388,79,4.911392
320,94,3.404255
434,91,4.769231
695,107,6.495327
2777,171,16.239766
169,87,1.942529
175,82,2.134146
2655,230,11.543478
1522,158,9.632911
758,142,5.338028
316,78,4.051282
1471,125,11.768000
841,174,4.833333
3211,184,17.451087
900,111,8.108108
7479,142,52.669014
1458,120,12.150000
495,94,5.265957
939,103,9.116505
2480,139,17.841727
1131,121,9.347107
998,118,8.457627
306,80,3.825000
72,46,1.565217
131,63,2.079365
920,141,6.524823
392,113,3.469027
221,93,2.376344
101,73,1.383562
162,148,1.094595
551,98,5.622449
1580,266,5.939850
24,32,0.750000
197,129,1.527132
1910,289,6.608997
557,97,5.742268
253,80,3.162500
1453,135,10.762963
410,96,4.270833
213,74,2.878378
3,8,0.375000
1256,151,8.317881
1973,174,11.339080
1426,204,6.990196
145,80,1.812500
19,22,0.863636
39,33,1.181818
452,140,3.228571
2947,203,14.517241
1583,185,8.556757
299,79,3.784810
116,69,1.681159
165,67,2.462687
256,110,2.327273
655,246,2.662602
100,106,0.943396
230,94,2.446809
315,110,2.863636
877,249,3.522088
504,227,2.220264
811,164,4.945122
952,169,5.633136
123,56,2.196429
1754,156,11.243590
154,128,1.203125
200,147,1.360544
27,32,0.843750
1038,129,8.046512
139,60,2.316667
703,157,4.477707
164,130,1.261538
1758,263,6.684411
256,167,1.532934
2781,275,10.112727
627,206,3.043689
119,71,1.676056
149,89,1.674157
48,46,1.043478
870,105,8.285714
249,169,1.473373
482,90,5.355556
2150,193,11.139896
112,59,1.898305
113,72,1.569444
4730,191,24.764398
489,101,4.841584
73,85,0.858824
247,84,2.940476
24,26,0.923077
228,84,2.714286
1235,120,10.291667
428,121,3.537190
81,64,1.265625
676,131,5.160305
2307,171,13.491228
30,35,0.857143
684,240,2.850000
15,32,0.468750
488,118,4.135593
1384,185,7.481081
63,55,1.145455
32,35,0.914286
813,155,5.245161
182,81,2.246914
165,80,2.062500
208,92,2.260870
614,102,6.019608
568,85,6.682353
269,84,3.202381
454,216,2.101852
21,33,0.636364
54,56,0.964286
224,90,2.488889
230,99,2.323232
973,108,9.009259
561,98,5.724490
238,69,3.449275
291,103,2.825243
692,132,5.242424
42,43,0.976744
126,80,1.575000
1023,162,6.314815
1141,168,6.791667
200,90,2.222222
12,21,0.571429
100,74,1.351351
113,62,1.822581
812,101,8.039604
213,90,2.366667
101,69,1.463768
79,59,1.338983
61,53,1.150943
329,106,3.103774
16,33,0.484848
337,194,1.737113
146,128,1.140625
14,18,0.777778
44,29,1.517241
33,32,1.031250
96,56,1.714286
114,117,0.974359
101,104,0.971154
94,63,1.492063
79,50,1.580000
2268,124,18.290323
67,104,0.644231
249,75,3.320000
36,58,0.620690
1339,118,11.347458
92,87,1.057471
21,27,0.777778
7,17,0.411765
100,65,1.538462
595,213,2.793427
182,134,1.358209
87,100,0.870000
734,217,3.382488
67,87,0.770115
479,92,5.206522
970,117,8.290598
135,55,2.454545
36,27,1.333333
125,58,2.155172
138,56,2.464286
502,135,3.718519
82,72,1.138889
36,47,0.765957
64,52,1.230769
403,113,3.566372
236,80,2.950000
666,119,5.596639
59,46,1.282609
100,112,0.892857
433,121,3.578512
539,130,4.146154
18,32,0.562500
110,54,2.037037
18,21,0.857143
298,80,3.725000
403,80,5.037500
116,58,2.000000
18,20,0.900000
309,85,3.635294
295,74,3.986486
106,50,2.120000
15,22,0.681818
1857,128,14.507812
721,99,7.282828
32,60,0.533333
195,154,1.266234
183,100,1.830000
605,101,5.990099
463,225,2.057778
484,220,2.200000
149,137,1.087591
169,75,2.253333
608,116,5.241379
49,47,1.042553
219,92,2.380435
142,75,1.893333
49,51,0.960784
34,36,0.944444
110,86,1.279070
477,137,3.481752
85,61,1.393443
27,34,0.794118
276,75,3.680000
78,44,1.772727
201,72,2.791667
213,154,1.383117
633,127,4.984252
9,15,0.600000
12,21,0.571429
504,123,4.097561
19,27,0.703704
174,67,2.597015
256,148,1.729730
186,130,1.430769
338,188,1.797872
820,111,7.387387
269,78,3.448718
201,72,2.791667
260,92,2.826087
160,119,1.344538
84,70,1.200000
167,93,1.795699
8,17,0.470588
115,61,1.885246
117,59,1.983051
158,77,2.051948
95,69,1.376812
44,41,1.073171
93,79,1.177215
92,103,0.893204
276,157,1.757962
435,204,2.132353
22,34,0.647059
122,78,1.564103
168,84,2.000000
23,33,0.696970
65,54,1.203704
138,67,2.059701
174,84,2.071429
61,46,1.326087
137,72,1.902778
212,142,1.492958
153,125,1.224000
131,78,1.679487
2,6,0.333333
26,36,0.722222
228,92,2.478261
53,50,1.060000
108,67,1.611940
81,54,1.500000
55,42,1.309524
337,79,4.265823
59,54,1.092593
133,82,1.621951
313,81,3.864198
145,76,1.907895
214,85,2.517647
676,148,4.567568
135,78,1.730769
314,109,2.880734
258,90,2.866667
100,98,1.020408
189,141,1.340426
120,75,1.600000
78,62,1.258065
37,42,0.880952
649,103,6.300971
40,54,0.740741
53,64,0.828125
46,63,0.730159
61,42,1.452381
3,8,0.375000
107,78,1.371795
32,34,0.941176
450,108,4.166667
248,93,2.666667
26,39,0.666667
194,71,2.732394
152,63,2.412698
84,48,1.750000
115,74,1.554054
32,32,1.000000
147,93,1.580645
266,108,2.462963
285,107,2.663551
74,54,1.370370
108,114,0.947368
236,75,3.146667
79,95,0.831579
127,125,1.016000
48,78,0.615385
217,105,2.066667
646,108,5.981481
149,92,1.619565
281,116,2.422414
308,94,3.276596
153,80,1.912500
14,25,0.560000
190,68,2.794118
24,25,0.960000
182,146,1.246575
84,77,1.090909
209,73,2.863014
865,101,8.564356
373,81,4.604938
26,51,0.509804
35,48,0.729167
301,104,2.894231
43,50,0.860000
48,49,0.979592
102,66,1.545455
27,37,0.729730
88,42,2.095238
18,26,0.692308
71,63,1.126984
10,18,0.555556
85,58,1.465517
132,60,2.200000
106,110,0.963636
169,65,2.600000
81,56,1.446429
99,66,1.500000
333,117,2.846154
193,66,2.924242
102,54,1.888889
81,58,1.396552
304,164,1.853659
238,103,2.310680
68,56,1.214286
96,53,1.811321
80,58,1.379310
487,136,3.580882
6,19,0.315789
300,121,2.479339
371,88,4.215909
109,75,1.453333
62,57,1.087719
70,53,1.320755
7,20,0.350000
320,172,1.860465
293,81,3.617284
254,94,2.702128
75,54,1.388889
107,76,1.407895
885,100,8.850000
30,33,0.909091
174,88,1.977273
850,151,5.629139
503,118,4.262712
167,81,2.061728
82,52,1.576923
61,35,1.742857
31,35,0.885714
36,33,1.090909
56,54,1.037037
4,9,0.444444
63,48,1.312500
496,195,2.543590
116,103,1.126214
310,167,1.856287
106,54,1.962963
99,107,0.925234
163,84,1.940476
38,50,0.760000
25,41,0.609756
117,90,1.300000
359,131,2.740458
179,147,1.217687
61,70,0.871429
306,177,1.728814
137,71,1.929577
5,12,0.416667
344,104,3.307692
341,113,3.017699
265,77,3.441558
237,93,2.548387
161,82,1.963415
95,79,1.202532
99,76,1.302632
18,29,0.620690
215,154,1.396104
71,63,1.126984
2,6,0.333333
337,112,3.008929
23,41,0.560976
12,30,0.400000
224,87,2.574713
198,91,2.175824
60,67,0.895522
165,141,1.170213
24,26,0.923077
34,46,0.739130
107,47,2.276596
292,137,2.131387
942,161,5.850932
394,212,1.858491
13,22,0.590909
471,89,5.292135
90,53,1.698113
50,44,1.136364
54,43,1.255814
522,91,5.736264
51,41,1.243902
132,67,1.970149
17,24,0.708333
16,22,0.727273
4,9,0.444444
66,67,0.985075
109,68,1.602941
60,62,0.967742
520,131,3.969466
64,56,1.142857
88,62,1.419355
50,44,1.136364
92,63,1.460317
311,161,1.931677
116,111,1.045045
192,86,2.232558
199,90,2.211111
17,24,0.708333
109,70,1.557143
49,44,1.113636
109,60,1.816667
35,43,0.813953
72,69,1.043478
11,19,0.578947
9,19,0.473684
119,53,2.245283
51,42,1.214286
208,86,2.418605
199,141,1.411348
29,34,0.852941
221,96,2.302083
82,58,1.413793
13,22,0.590909
10,17,0.588235
48,37,1.297297
63,44,1.431818
32,31,1.032258
27,27,1.000000
11,16,0.687500
9,17,0.529412
17,31,0.548387
132,80,1.650000
52,47,1.106383
83,59,1.406780
125,56,2.232143
297,72,4.125000
62,38,1.631579
140,58,2.413793
36,38,0.947368
6,13,0.461538
36,44,0.818182
7,16,0.437500
10,21,0.476190
224,103,2.174757
11,16,0.687500
111,65,1.707692
239,161,1.484472
92,49,1.877551
234,78,3.000000
5,10,0.500000
43,46,0.934783
143,86,1.662791
194,91,2.131868
15,23,0.652174
365,85,4.294118
165,129,1.279070
33,64,0.515625
36,44,0.818182
62,56,1.107143
38,50,0.760000
11,20,0.550000
179,96,1.864583
410,188,2.180851
71,89,0.797753
40,61,0.655738
131,122,1.073770
220,103,2.135922
137,129,1.062016
134,94,1.425532
3,6,0.500000
107,56,1.910714
264,152,1.736842
113,72,1.569444
46,56,0.821429
50,29,1.724138
14,24,0.583333
113,73,1.547945
33,37,0.891892
32,39,0.820513
311,80,3.887500
290,167,1.736527
257,177,1.451977
48,36,1.333333
110,58,1.896552
99,106,0.933962
81,90,0.900000
212,95,2.231579
77,55,1.400000
84,96,0.875000
102,53,1.924528
38,61,0.622951
273,178,1.533708
71,42,1.690476
66,57,1.157895
1,5,0.200000
100,54,1.851852
87,39,2.230769
23,27,0.851852
72,50,1.440000
52,42,1.238095
22,41,0.536585
311,181,1.718232
204,141,1.446809
97,107,0.906542
138,79,1.746835
140,77,1.818182
284,183,1.551913
46,42,1.095238
172,78,2.205128
154,76,2.026316
61,53,1.150943
73,81,0.901235
27,29,0.931034
6,14,0.428571
34,31,1.096774
86,69,1.246377
54,58,0.931034
29,39,0.743590
24,36,0.666667
312,75,4.160000
98,93,1.053763
7,17,0.411765
148,98,1.510204
19,28,0.678571
15,19,0.789474
92,69,1.333333
107,102,1.049020
53,51,1.039216
35,45,0.777778
16,22,0.727273
48,48,1.000000
342,79,4.329114
204,73,2.794521
59,82,0.719512
67,70,0.957143
31,29,1.068966
55,51,1.078431
13,29,0.448276
123,75,1.640000
2,5,0.400000
42,41,1.024390
202,73,2.767123
404,90,4.488889
37,55,0.672727
7,12,0.583333
43,56,0.767857
56,45,1.244444
295,114,2.587719
61,81,0.753086
84,50,1.680000
19,28,0.678571
248,96,2.583333
27,28,0.964286
81,51,1.588235
10,16,0.625000
69,81,0.851852
16,18,0.888889
39,31,1.258065
22,40,0.550000
111,50,2.220000
270,101,2.673267
2,6,0.333333
146,73,2.000000
20,42,0.476190
15,33,0.454545
78,81,0.962963
84,77,1.090909
66,66,1.000000
65,54,1.203704
46,69,0.666667
37,42,0.880952
50,60,0.833333
20,32,0.625000
3,8,0.375000
219,108,2.027778
71,89,0.797753
1,2,0.500000
325,107,3.037383
22,28,0.785714
25,28,0.892857
169,82,2.060976
172,98,1.755102
38,41,0.926829
42,41,1.024390
106,74,1.432432
11,16,0.687500
113,57,1.982456
71,42,1.690476
56,41,1.365854
