sum_hyperedge_size,num_nodes,egonet overlapness
195,6,32.500000
197,6,32.833333
199,6,33.166667
133,7,19.000000
188,6,31.333333
182,6,30.333333
168,6,28.000000
174,6,29.000000
150,5,30.000000
172,6,28.666667
195,6,32.500000
44,6,7.333333
209,6,34.833333
185,6,30.833333
217,6,36.166667
149,6,24.833333
217,6,36.166667
290,38,7.631579
579,55,10.527273
9579,125,76.632000
175,6,29.166667
152,6,25.333333
171,6,28.500000
187,6,31.166667
160,6,26.666667
116,6,19.333333
172,6,28.666667
150,6,25.000000
150,6,25.000000
84,6,14.000000
167,6,27.833333
172,6,28.666667
115,6,19.166667
208,6,34.666667
194,6,32.333333
212,6,35.333333
133,6,22.166667
105,6,17.500000
78,6,13.000000
145,6,24.166667
180,6,30.000000
421,50,8.420000
17141,137,125.116788
1083,78,13.884615
195,6,32.500000
200,6,33.333333
200,6,33.333333
191,6,31.833333
125,6,20.833333
157,6,26.166667
135,6,22.500000
149,6,24.833333
183,6,30.500000
163,6,27.166667
161,6,26.833333
179,6,29.833333
70,6,11.666667
110,6,18.333333
145,6,24.166667
135,6,22.500000
150,6,25.000000
135,6,22.500000
177,5,35.400000
177,5,35.400000
131,5,26.200000
112,6,18.666667
173,6,28.833333
209,6,34.833333
213,6,35.500000
159,6,26.500000
154,6,25.666667
190,6,31.666667
194,6,32.333333
132,6,22.000000
123,6,20.500000
180,6,30.000000
111,6,18.500000
128,6,21.333333
84,6,14.000000
132,6,22.000000
159,6,26.500000
134,6,22.333333
145,6,24.166667
145,5,29.000000
161,6,26.833333
201,6,33.500000
147,6,24.500000
154,6,25.666667
137,6,22.833333
185,6,30.833333
197,6,32.833333
129,6,21.500000
135,6,22.500000
119,6,19.833333
186,6,31.000000
195,6,32.500000
199,6,33.166667
209,6,34.833333
173,6,28.833333
163,6,27.166667
147,6,24.500000
48,6,8.000000
165,6,27.500000
142,6,23.666667
249,6,41.500000
217,6,36.166667
64,5,12.800000
158,6,26.333333
184,6,30.666667
144,6,24.000000
152,6,25.333333
179,6,29.833333
179,6,29.833333
197,6,32.833333
174,6,29.000000
152,6,25.333333
231,6,38.500000
46,5,9.200000
153,6,25.500000
157,6,26.166667
147,6,24.500000
181,6,30.166667
185,6,30.833333
167,6,27.833333
231,6,38.500000
255,6,42.500000
259,6,43.166667
129,6,21.500000
172,6,28.666667
171,6,28.500000
99,6,16.500000
174,6,29.000000
190,6,31.666667
198,6,33.000000
100,6,16.666667
152,6,25.333333
169,6,28.166667
153,6,25.500000
145,6,24.166667
170,6,28.333333
162,6,27.000000
161,6,26.833333
73,6,12.166667
133,6,22.166667
202,6,33.666667
104,6,17.333333
184,6,30.666667
205,6,34.166667
205,6,34.166667
150,6,25.000000
165,6,27.500000
120,6,20.000000
62,6,10.333333
151,6,25.166667
153,6,25.500000
165,6,27.500000
161,6,26.833333
253,6,42.166667
222,6,37.000000
226,6,37.666667
248,6,41.333333
184,5,36.800000
186,5,37.200000
189,6,31.500000
117,6,19.500000
224,6,37.333333
176,6,29.333333
241,6,40.166667
135,6,22.500000
170,6,28.333333
179,6,29.833333
196,6,32.666667
196,6,32.666667
141,6,23.500000
170,6,28.333333
144,6,24.000000
174,6,29.000000
171,6,28.500000
36,3,12.000000
144,6,24.000000
140,6,23.333333
172,6,28.666667
211,6,35.166667
138,6,23.000000
160,6,26.666667
205,6,34.166667
167,6,27.833333
114,6,19.000000
188,6,31.333333
68,6,11.333333
173,6,28.833333
210,6,35.000000
175,6,29.166667
164,6,27.333333
171,6,28.500000
95,6,15.833333
143,6,23.833333
161,5,32.200000
161,5,32.200000
161,5,32.200000
101,5,20.200000
163,6,27.166667
169,6,28.166667
155,6,25.833333
181,6,30.166667
107,5,21.400000
173,6,28.833333
181,6,30.166667
130,28,4.642857
1941,88,22.056818
19276,140,137.685714
3873,101,38.346535
7183,121,59.363636
181,6,30.166667
170,6,28.333333
186,6,31.000000
95,6,15.833333
106,6,17.666667
186,6,31.000000
437,56,7.803571
78937,143,552.006993
319179,143,2232.020979
47,5,9.400000
152,6,25.333333
156,6,26.000000
124,5,24.800000
178,6,29.666667
128,5,25.600000
168,5,33.600000
164,5,32.800000
150,6,25.000000
100,6,16.666667
163,6,27.166667
168,6,28.000000
176,6,29.333333
133,6,22.166667
178,6,29.666667
54,5,10.800000
222,6,37.000000
223,6,37.166667
233,6,38.833333
230,6,38.333333
121,6,20.166667
187,6,31.166667
209,6,34.833333
200,6,33.333333
139,5,27.800000
185,6,30.833333
185,6,30.833333
185,6,30.833333
214,6,35.666667
142,6,23.666667
185,6,30.833333
174,6,29.000000
84,6,14.000000
208,6,34.666667
150,6,25.000000
180,6,30.000000
166,6,27.666667
135,6,22.500000
192,6,32.000000
190,6,31.666667
11139,127,87.708661
53387,143,373.335664
74,5,14.800000
160,6,26.666667
164,6,27.333333
76,5,15.200000
192,6,32.000000
196,6,32.666667
190,6,31.666667
151,6,25.166667
158,6,26.333333
98,5,19.600000
170,6,28.333333
165,6,27.500000
173,6,28.833333
48,6,8.000000
174,6,29.000000
199,6,33.166667
203,5,40.600000
194,7,27.714286
160,7,22.857143
217,5,43.400000
201,5,40.200000
369,44,8.386364
1781,91,19.571429
10102,129,78.310078
3058,104,29.403846
4570,113,40.442478
173,6,28.833333
176,6,29.333333
215,6,35.833333
215,6,35.833333
44,5,8.800000
176,6,29.333333
184,6,30.666667
151,5,30.200000
246,6,41.000000
216,6,36.000000
208,6,34.666667
190,6,31.666667
97,6,16.166667
163,6,27.166667
159,6,26.500000
148,6,24.666667
229,6,38.166667
147,6,24.500000
137,6,22.833333
220,6,36.666667
157,5,31.400000
167,5,33.400000
167,5,33.400000
125,6,20.833333
240,6,40.000000
238,6,39.666667
82,6,13.666667
156,6,26.000000
168,6,28.000000
179,6,29.833333
162,6,27.000000
121,6,20.166667
156,6,26.000000
185,6,30.833333
128,6,21.333333
183,6,30.500000
194,6,32.333333
195,6,32.500000
200,6,33.333333
146,6,24.333333
90,6,15.000000
158,6,26.333333
183,6,30.500000
140,6,23.333333
114,6,19.000000
186,6,31.000000
153,6,25.500000
158,6,26.333333
166,6,27.666667
155,6,25.833333
160,6,26.666667
105,6,17.500000
188,6,31.333333
194,6,32.333333
111,6,18.500000
106,6,17.666667
165,6,27.500000
119,6,19.833333
108,6,18.000000
121,6,20.166667
157,5,31.400000
171,6,28.500000
202,6,33.666667
189,6,31.500000
212,6,35.333333
193,6,32.166667
231,6,38.500000
223,6,37.166667
202,6,33.666667
201,6,33.500000
199,6,33.166667
195,6,32.500000
146,5,29.200000
168,5,33.600000
120,5,24.000000
152,7,21.714286
169,6,28.166667
158,6,26.333333
158,6,26.333333
163,6,27.166667
95,6,15.833333
200,6,33.333333
87,6,14.500000
103,6,17.166667
182,6,30.333333
193,6,32.166667
171,6,28.500000
97,5,19.400000
183,6,30.500000
147,6,24.500000
165,6,27.500000
149,6,24.833333
164,6,27.333333
146,6,24.333333
168,6,28.000000
178,6,29.666667
132,6,22.000000
170,6,28.333333
176,6,29.333333
176,6,29.333333
151,6,25.166667
151,6,25.166667
220,6,36.666667
195,6,32.500000
230,6,38.333333
219,6,36.500000
201,6,33.500000
195,6,32.500000
167,6,27.833333
134,6,22.333333
71,6,11.833333
71,6,11.833333
108,6,18.000000
165,6,27.500000
194,6,32.333333
177,6,29.500000
206,6,34.333333
154,6,25.666667
3913,112,34.937500
2033,91,22.340659
7356,125,58.848000
125,6,20.833333
103,6,17.166667
174,6,29.000000
193,6,32.166667
198,6,33.000000
150,5,30.000000
