sum_hyperedge_size,num_nodes,egonet overlapness
1139,244,4.668033
889,281,3.163701
12613,923,13.665222
781,180,4.338889
1670,299,5.585284
4574,397,11.521411
281,89,3.157303
4417,529,8.349716
10532,1109,9.496844
10972,647,16.958269
12599,924,13.635281
1962,319,6.150470
1725,258,6.686047
1799,244,7.372951
4357,624,6.982372
25482,1229,20.733930
8627,737,11.705563
16,8,2.000000
216,92,2.347826
1025,187,5.481283
4913,614,8.001629
2346,301,7.794020
235,66,3.560606
8971,754,11.897878
2939,372,7.900538
218,56,3.892857
1585,196,8.086735
5439,811,6.706535
5825,473,12.315011
536,151,3.549669
1554,251,6.191235
3100,413,7.506053
1622,321,5.052960
1691,230,7.352174
2699,439,6.148064
844,145,5.820690
4606,454,10.145374
63,25,2.520000
2429,334,7.272455
197,65,3.030769
324,136,2.382353
106,40,2.650000
562,137,4.102190
803,206,3.898058
15881,1087,14.609936
71,35,2.028571
1402,239,5.866109
17,12,1.416667
3440,625,5.504000
485,118,4.110169
1161,226,5.137168
403,122,3.303279
3374,531,6.354049
776,168,4.619048
195,77,2.532468
1238,258,4.798450
26208,1577,16.618897
1239,265,4.675472
60,35,1.714286
103,57,1.807018
1863,340,5.479412
3619,722,5.012465
528,179,2.949721
648,138,4.695652
863,239,3.610879
3961,398,9.952261
10835,854,12.687354
680,162,4.197531
6057,595,10.179832
708,207,3.420290
68,21,3.238095
12086,713,16.950912
1636,391,4.184143
246,64,3.843750
1027,197,5.213198
3948,561,7.037433
1474,332,4.439759
92,35,2.628571
5196,741,7.012146
656,99,6.626263
1342,138,9.724638
1060,301,3.521595
938,193,4.860104
1762,245,7.191837
558,138,4.043478
58,35,1.657143
4240,423,10.023641
4495,501,8.972056
2285,251,9.103586
29312,911,32.175631
4741,543,8.731123
49,30,1.633333
948,295,3.213559
232,104,2.230769
1295,155,8.354839
1209,234,5.166667
993,227,4.374449
77,32,2.406250
5294,905,5.849724
719,214,3.359813
339,127,2.669291
1496,323,4.631579
802,144,5.569444
198,57,3.473684
149,57,2.614035
1143,236,4.843220
40,20,2.000000
1212,336,3.607143
1344,241,5.576763
1040,279,3.727599
3923,472,8.311441
1598,256,6.242188
214,70,3.057143
653,156,4.185897
533,134,3.977612
455,112,4.062500
1141,184,6.201087
583,147,3.965986
3469,362,9.582873
26053,882,29.538549
1994,384,5.192708
658,131,5.022901
23,11,2.090909
233,87,2.678161
19344,1083,17.861496
10791,814,13.256757
14,8,1.750000
6568,744,8.827957
1410,327,4.311927
47,26,1.807692
1034,222,4.657658
16302,558,29.215054
200,94,2.127660
15997,587,27.252129
1731,303,5.712871
174,58,3.000000
233,77,3.025974
217,57,3.807018
3463,325,10.655385
956,261,3.662835
937,280,3.346429
59,27,2.185185
363,143,2.538462
5977,462,12.937229
8844,945,9.358730
8787,698,12.588825
21039,676,31.122781
1775,352,5.042614
17953,639,28.095462
8689,626,13.880192
37,22,1.681818
2518,277,9.090253
5126,528,9.708333
29019,1082,26.819778
220,72,3.055556
60,25,2.400000
11640,999,11.651652
81,32,2.531250
21,14,1.500000
61,36,1.694444
385,182,2.115385
369,128,2.882812
3646,482,7.564315
497,92,5.402174
234,73,3.205479
39,18,2.166667
1178,218,5.403670
5540,648,8.549383
456,109,4.183486
428,143,2.993007
32,23,1.391304
8992,923,9.742145
230,65,3.538462
366,88,4.159091
766,162,4.728395
411,105,3.914286
14,8,1.750000
17,8,2.125000
302,98,3.081633
2827,317,8.917981
8728,612,14.261438
4548,563,8.078153
198,81,2.444444
