sum_hyperedge_size,num_nodes,egonet overlapness
0,1,0.000000
2090,576,3.628472
12289,1419,8.660324
893,334,2.673653
1818,545,3.335780
4110,843,4.875445
286,161,1.776398
4498,906,4.964680
11141,1305,8.537165
10869,1347,8.069042
12258,1416,8.656780
2137,597,3.579564
1786,546,3.271062
1774,532,3.334586
4273,884,4.833710
24305,1745,13.928367
8743,1212,7.213696
38,28,1.357143
223,123,1.813008
1024,381,2.687664
4733,908,5.212555
2471,627,3.940989
206,124,1.661290
8693,1186,7.329680
2948,739,3.989175
219,128,1.710938
1487,481,3.091476
5596,985,5.681218
5891,1016,5.798228
498,227,2.193833
1703,529,3.219282
3159,712,4.436798
1694,499,3.394790
1743,499,3.492986
2759,659,4.186646
749,312,2.400641
4554,903,5.043189
63,44,1.431818
2373,623,3.808989
194,117,1.658120
363,180,2.016667
98,66,1.484848
650,277,2.346570
793,305,2.600000
15630,1506,10.378486
113,70,1.614286
1519,469,3.238806
29,22,1.318182
3552,782,4.542199
474,235,2.017021
1171,429,2.729604
438,207,2.115942
3678,807,4.557621
974,345,2.823188
161,88,1.829545
1278,411,3.109489
27060,1851,14.619125
1217,417,2.918465
68,42,1.619048
129,81,1.592593
1903,553,3.441230
3641,793,4.591425
571,249,2.293173
588,254,2.314961
833,321,2.595016
3961,800,4.951250
10689,1319,8.103867
627,266,2.357143
6289,1051,5.983825
631,278,2.269784
78,50,1.560000
11769,1404,8.382479
1734,522,3.321839
193,106,1.820755
1077,367,2.934605
4136,868,4.764977
1537,489,3.143149
139,89,1.561798
5331,933,5.713826
592,269,2.200743
1225,402,3.047264
1121,378,2.965608
1027,362,2.837017
1644,528,3.113636
581,246,2.361789
55,38,1.447368
4436,882,5.029478
4546,883,5.148358
1973,552,3.574275
26907,1861,14.458356
4885,939,5.202343
42,30,1.400000
1030,372,2.768817
257,145,1.772414
1347,455,2.960440
1232,405,3.041975
1039,390,2.664103
88,54,1.629630
6237,1008,6.187500
856,330,2.593939
464,227,2.044053
1704,522,3.264368
755,308,2.451299
233,138,1.688406
189,114,1.657895
1095,388,2.822165
22,15,1.466667
1252,451,2.776053
1462,460,3.178261
1194,405,2.948148
3730,809,4.610630
1861,542,3.433579
242,131,1.847328
726,303,2.396040
486,221,2.199095
451,211,2.137441
1065,404,2.636139
550,247,2.226721
3510,779,4.505777
22967,1782,12.888328
2138,579,3.692573
646,286,2.258741
21,16,1.312500
255,138,1.847826
18766,1642,11.428745
10479,1354,7.739291
17,14,1.214286
6816,1065,6.400000
1447,451,3.208426
42,27,1.555556
1063,388,2.739691
15022,1511,9.941760
275,140,1.964286
14689,1498,9.805741
1780,525,3.390476
119,69,1.724638
247,127,1.944882
294,156,1.884615
3469,770,4.505195
1084,405,2.676543
1083,381,2.842520
64,41,1.560976
442,213,2.075117
5786,1020,5.672549
8578,1171,7.325363
8929,1197,7.459482
18552,1605,11.558879
1818,525,3.462857
16466,1553,10.602704
8337,1183,7.047337
25,19,1.315789
2309,642,3.596573
4788,906,5.284768
26963,1834,14.701745
256,134,1.910448
52,37,1.405405
11378,1342,8.478390
97,65,1.492308
8,7,1.142857
71,45,1.577778
416,190,2.189474
400,199,2.010050
3701,791,4.678887
441,221,1.995475
287,150,1.913333
41,28,1.464286
1250,434,2.880184
5943,1002,5.931138
503,222,2.265766
424,204,2.078431
21,15,1.400000
9012,1220,7.386885
289,153,1.888889
440,201,2.189055
738,299,2.468227
321,163,1.969325
15,12,1.250000
21,16,1.312500
379,182,2.082418
2684,680,3.947059
8871,1220,7.271311
4476,851,5.259694
218,118,1.847458
496,224,2.214286
48,35,1.371429
94,62,1.516129
5779,983,5.878942
1698,515,3.297087
8730,1210,7.214876
3672,800,4.590000
303,168,1.803571
2136,608,3.513158
3853,799,4.822278
652,271,2.405904
1164,399,2.917293
3397,778,4.366324
1113,395,2.817722
4163,880,4.730682
3839,805,4.768944
6956,1079,6.446710
1518,473,3.209302
2883,691,4.172214
4513,852,5.296948
750,310,2.419355
159,100,1.590000
39,28,1.392857
639,269,2.375465
739,305,2.422951
59,39,1.512821
2719,669,4.064275
126,71,1.774648
271,152,1.782895
2482,627,3.958533
376,180,2.088889
746,323,2.309598
704,283,2.487633
3028,713,4.246844
844,330,2.557576
153,96,1.593750
900,353,2.549575
52,37,1.405405
166,95,1.747368
5152,920,5.600000
7272,1103,6.592928
2785,690,4.036232
1015,357,2.843137
6544,1062,6.161959
470,238,1.974790
548,245,2.236735
721,293,2.460751
13522,1458,9.274348
98,64,1.531250
240,131,1.832061
2264,597,3.792295
10617,1321,8.037093
1426,458,3.113537
2593,648,4.001543
4155,867,4.792388
267,142,1.880282
872,342,2.549708
3290,758,4.340369
821,335,2.450746
308,167,1.844311
1193,392,3.043367
2804,702,3.994302
264,152,1.736842
175,97,1.804124
1810,507,3.570020
377,182,2.071429
5413,946,5.721987
730,309,2.362460
4307,871,4.944891
211,112,1.883929
1778,523,3.399618
1903,575,3.309565
1347,455,2.960440
1715,535,3.205607
159,93,1.709677
1163,419,2.775656
423,194,2.180412
4728,918,5.150327
4696,911,5.154775
209,119,1.756303
122,74,1.648649
15009,1527,9.829077
1106,398,2.778894
1459,457,3.192560
219,119,1.840336
55,37,1.486486
189,113,1.672566
1477,481,3.070686
833,314,2.652866
21415,1724,12.421694
562,250,2.248000
503,224,2.245536
3729,789,4.726236
229,133,1.721805
1362,452,3.013274
254,142,1.788732
3891,843,4.615658
672,268,2.507463
160,89,1.797753
29,21,1.380952
2252,596,3.778523
1623,495,3.278788
791,326,2.426380
1994,541,3.685767
4273,887,4.817362
1507,498,3.026104
7080,1073,6.598322
3979,863,4.610660
3202,749,4.275033
245,133,1.842105
10,8,1.250000
2519,640,3.935938
16680,1556,10.719794
363,180,2.016667
4714,937,5.030950
2494,656,3.801829
488,227,2.149780
560,248,2.258065
1050,381,2.755906
544,245,2.220408
907,359,2.526462
673,284,2.369718
1397,445,3.139326
312,173,1.803468
131,75,1.746667
324,165,1.963636
364,179,2.033520
1347,437,3.082380
55,39,1.410256
1808,544,3.323529
2061,583,3.535163
319,174,1.833333
409,198,2.065657
91,57,1.596491
454,216,2.101852
123,78,1.576923
465,215,2.162791
2,2,1.000000
88,59,1.491525
1969,560,3.516071
83,58,1.431034
227,131,1.732824
422,205,2.058537
465,223,2.085202
613,271,2.261993
214,132,1.621212
515,231,2.229437
323,171,1.888889
1374,471,2.917197
366,186,1.967742
168,97,1.731959
458,213,2.150235
52,35,1.485714
439,198,2.217172
34,26,1.307692
860,335,2.567164
2399,619,3.875606
178,108,1.648148
1393,466,2.989270
510,242,2.107438
1655,518,3.194981
3405,766,4.445170
1375,462,2.976190
236,126,1.873016
4452,878,5.070615
4839,909,5.323432
236,127,1.858268
9180,1229,7.469487
2644,647,4.086553
583,249,2.341365
7450,1147,6.495205
345,170,2.029412
307,161,1.906832
892,353,2.526912
2891,710,4.071831
9706,1254,7.740032
98,65,1.507692
2736,679,4.029455
2422,637,3.802198
4944,900,5.493333
59,40,1.475000
1810,521,3.474088
474,242,1.958678
1026,369,2.780488
120,78,1.538462
168,96,1.750000
663,295,2.247458
1396,458,3.048035
557,240,2.320833
115,71,1.619718
