sum_hyperedge_size,num_nodes,egonet overlapness
83212,142,586.000000
12201,130,93.853846
205388,143,1436.279720
50994,143,356.601399
16085,135,119.148148
13807,133,103.812030
506,61,8.295082
7411,122,60.745902
44336,142,312.225352
16069,137,117.291971
1410,83,16.987952
75048,143,524.811189
40188,140,287.057143
5417,161,33.645963
22178,193,114.911917
4029,152,26.506579
1053,108,9.750000
155,41,3.780488
10946,133,82.300752
13312,139,95.769784
9,7,1.285714
4203,159,26.433962
1779,138,12.891304
2615,143,18.286713
168,35,4.800000
21597,138,156.500000
971,117,8.299145
46,18,2.555556
1299,121,10.735537
277,63,4.396825
1322,112,11.803571
17294,185,93.481081
15029,182,82.576923
37171,196,189.647959
2405,102,23.578431
4146,114,36.368421
22109,139,159.057554
4691,114,41.149123
35948,141,254.950355
1642,198,8.292929
789,150,5.260000
156,63,2.476190
7285,270,26.981481
472,121,3.900826
733,150,4.886667
15121,302,50.069536
20719,144,143.881944
1182,86,13.744186
20651,138,149.644928
34523,142,243.119718
4260,108,39.444444
5941,123,48.300813
5196,117,44.410256
1621,92,17.619565
1862,84,22.166667
520,123,4.227642
441,105,4.200000
11588,290,39.958621
45470,200,227.350000
21982,195,112.728205
1144,104,11.000000
6000,153,39.215686
1235,171,7.222222
2515,206,12.208738
8483,270,31.418519
11108,130,85.446154
1450,87,16.666667
4341,110,39.463636
4693,123,38.154472
22839,143,159.713287
7112,131,54.290076
8192,126,65.015873
7987,130,61.438462
15422,184,83.815217
1943,126,15.420635
946,95,9.957895
19792,186,106.408602
2271,93,24.419355
932,84,11.095238
762,71,10.732394
1799,94,19.138298
4598,135,34.059259
1590,187,8.502674
3095,235,13.170213
1289,77,16.740260
1929,93,20.741935
721,78,9.243590
9873,176,56.096591
6293,155,40.600000
631,68,9.279412
6195,120,51.625000
7054,164,43.012195
430,63,6.825397
2538,212,11.971698
11676,287,40.682927
879,73,12.041096
1259,78,16.141026
143,34,4.205882
174,32,5.437500
1213,81,14.975309
740,144,5.138889
2348,209,11.234450
3335,114,29.254386
11471,130,88.238462
20,13,1.538462
131,40,3.275000
680,96,7.083333
32,13,2.461538
338,48,7.041667
1837,94,19.542553
2191,99,22.131313
7161,166,43.138554
12602,179,70.402235
2198,123,17.869919
1346,112,12.017857
687,78,8.807692
2835,229,12.379913
391,106,3.688679
2909,224,12.986607
1362,177,7.694915
12601,182,69.236264
9497,177,53.655367
1596,186,8.580645
1216,171,7.111111
208,51,4.078431
1985,152,13.059211
109,28,3.892857
2276,156,14.589744
628,96,6.541667
4381,109,40.192661
801,86,9.313953
5121,124,41.298387
1254,87,14.413793
1499,77,19.467532
619,137,4.518248
557,119,4.680672
153,41,3.731707
204,54,3.777778
6679,160,41.743750
12844,182,70.571429
465,116,4.008621
1354,184,7.358696
2236,97,23.051546
1122,79,14.202532
1154,98,11.775510
38,19,2.000000
1600,139,11.510791
4519,149,30.328859
2534,214,11.841121
1785,186,9.596774
605,127,4.763780
1154,109,10.587156
3916,147,26.639456
3613,150,24.086667
2427,97,25.020619
573,85,6.741176
1735,146,11.883562
2808,163,17.226994
11412,134,85.164179
1824,99,18.424242
446,108,4.129630
1579,198,7.974747
1214,183,6.633880
3632,232,15.655172
20617,137,150.489051
2017,204,9.887255
698,135,5.170370
1538,185,8.313514
2121,200,10.605000
14,8,1.750000
1722,94,18.319149
4570,125,36.560000
1885,93,20.268817
2874,101,28.455446
15852,187,84.770053
106,38,2.789474
191,47,4.063830
63,27,2.333333
318,68,4.676471
364,62,5.870968
2924,221,13.230769
6648,130,51.138462
4245,111,38.243243
13140,137,95.912409
3107,111,27.990991
3181,115,27.660870
14405,184,78.288043
17470,187,93.422460
2,2,1.000000
1326,130,10.200000
83,33,2.515152
1079,99,10.898990
126,42,3.000000
9807,179,54.787709
8004,172,46.534884
525,53,9.905660
1716,123,13.951220
973,73,13.328767
2328,98,23.755102
3675,114,32.236842
237,45,5.266667
1126,80,14.075000
126,35,3.600000
1493,172,8.680233
939,161,5.832298
3255,229,14.213974
107,37,2.891892
1029,81,12.703704
866,154,5.623377
2083,201,10.363184
4767,118,40.398305
899,85,10.576471
344,52,6.615385
831,160,5.193750
481,60,8.016667
190,44,4.318182
2782,99,28.101010
1161,83,13.987952
2490,103,24.174757
1044,168,6.214286
111,51,2.176471
919,97,9.474227
35,26,1.346154
238,61,3.901639
7138,163,43.791411
511,59,8.661017
2365,135,17.518519
986,153,6.444444
4033,115,35.069565
32,17,1.882353
201,39,5.153846
142,43,3.302326
1879,82,22.914634
2460,137,17.956204
1340,111,12.072072
2321,215,10.795349
32,21,1.523810
496,59,8.406780
3857,235,16.412766
1201,164,7.323171
1399,79,17.708861
2063,121,17.049587
134,57,2.350877
524,124,4.225806
686,78,8.794872
1564,86,18.186047
6913,124,55.750000
299,95,3.147368
283,89,3.179775
637,128,4.976562
122,55,2.218182
2723,103,26.436893
1008,74,13.621622
2767,112,24.705357
1717,139,12.352518
1016,117,8.683761
49,21,2.333333
932,80,11.650000
2262,99,22.848485
1634,91,17.956044
189,38,4.973684
554,57,9.719298
65,21,3.095238
555,64,8.671875
2942,110,26.745455
42,18,2.333333
117,34,3.441176
184,70,2.628571
3544,223,15.892377
1337,80,16.712500
333,49,6.795918
1865,94,19.840426
30,13,2.307692
466,55,8.472727
67,27,2.481481
790,147,5.374150
615,136,4.522059
112,30,3.733333
4766,113,42.176991
1048,95,11.031579
260,56,4.642857
96,35,2.742857
68,26,2.615385
992,70,14.171429
448,122,3.672131
369,65,5.676923
752,73,10.301370
115,37,3.108108
83,25,3.320000
516,65,7.938462
1477,113,13.070796
313,100,3.130000
1864,190,9.810526
248,83,2.987952
766,153,5.006536
1125,169,6.656805
520,124,4.193548
879,109,8.064220
22,13,1.692308
349,105,3.323810
26,18,1.444444
478,71,6.732394
64,34,1.882353
232,40,5.800000
551,65,8.476923
60,20,3.000000
1018,88,11.568182
262,48,5.458333
581,61,9.524590
1263,176,7.176136
859,159,5.402516
900,76,11.842105
700,75,9.333333
1028,92,11.173913
2899,104,27.875000
215,43,5.000000
704,72,9.777778
147,43,3.418605
898,99,9.070707
482,76,6.342105
422,73,5.780822
170,51,3.333333
1995,123,16.219512
1080,88,12.272727
262,91,2.879121
338,103,3.281553
2163,101,21.415842
239,39,6.128205
1419,82,17.304878
232,35,6.628571
38,20,1.900000
75,22,3.409091
75,28,2.678571
87,30,2.900000
1675,88,19.034091
312,100,3.120000
1568,108,14.518519
620,78,7.948718
402,59,6.813559
213,67,3.179104
115,55,2.090909
21,11,1.909091
98,24,4.083333
35,17,2.058824
282,70,4.028571
304,59,5.152542
426,60,7.100000
1448,100,14.480000
616,66,9.333333
2053,90,22.811111
170,49,3.469388
630,144,4.375000
159,68,2.338235
225,81,2.777778
411,114,3.605263
59,38,1.552632
401,112,3.580357
547,82,6.670732
29,15,1.933333
434,115,3.773913
285,96,2.968750
834,71,11.746479
3019,133,22.699248
246,59,4.169492
36,14,2.571429
110,48,2.291667
1231,179,6.877095
864,147,5.877551
134,55,2.436364
108,36,3.000000
259,61,4.245902
317,60,5.283333
20,9,2.222222
49,21,2.333333
341,65,5.246154
153,31,4.935484
96,28,3.428571
71,29,2.448276
699,149,4.691275
658,140,4.700000
775,73,10.616438
8,7,1.142857
316,65,4.861538
907,100,9.070000
168,53,3.169811
1416,82,17.268293
284,57,4.982456
827,163,5.073620
1481,186,7.962366
341,106,3.216981
539,129,4.178295
571,127,4.496063
1360,94,14.468085
1867,97,19.247423
614,82,7.487805
1202,169,7.112426
1143,170,6.723529
777,107,7.261682
889,89,9.988764
86,42,2.047619
119,54,2.203704
228,81,2.814815
486,126,3.857143
1271,87,14.609195
177,69,2.565217
554,70,7.914286
535,65,8.230769
242,49,4.938776
1194,100,11.940000
173,38,4.552632
489,117,4.179487
541,58,9.327586
544,66,8.242424
1257,106,11.858491
581,61,9.524590
17,10,1.700000
272,57,4.771930
181,41,4.414634
303,94,3.223404
218,74,2.945946
47,14,3.357143
171,53,3.226415
122,39,3.128205
48,19,2.526316
642,131,4.900763
633,132,4.795455
210,77,2.727273
407,110,3.700000
853,153,5.575163
1004,156,6.435897
46,17,2.705882
2411,154,15.655844
1028,76,13.526316
1361,94,14.478723
145,65,2.230769
789,89,8.865169
395,67,5.895522
1014,97,10.453608
401,54,7.425926
137,59,2.322034
747,143,5.223776
88,36,2.444444
1165,104,11.201923
211,42,5.023810
210,50,4.200000
620,62,10.000000
3186,147,21.673469
171,49,3.489796
463,52,8.903846
176,40,4.400000
882,94,9.382979
834,87,9.586207
100,37,2.702703
107,39,2.743590
268,41,6.536585
74,38,1.947368
805,82,9.817073
59,31,1.903226
529,57,9.280702
692,86,8.046512
113,50,2.260000
420,122,3.442623
25,19,1.315789
1346,183,7.355191
183,77,2.376623
510,54,9.444444
411,57,7.210526
162,45,3.600000
108,37,2.918919
1033,103,10.029126
206,52,3.961538
862,152,5.671053
235,90,2.611111
83,25,3.320000
85,35,2.428571
12,10,1.200000
745,90,8.277778
52,31,1.677419
141,34,4.147059
66,29,2.275862
337,58,5.810345
199,53,3.754717
58,26,2.230769
29,17,1.705882
7,5,1.400000
65,26,2.500000
160,33,4.848485
208,41,5.073171
233,58,4.017241
352,54,6.518519
98,39,2.512821
613,62,9.887097
128,44,2.909091
2164,205,10.556098
462,72,6.416667
214,84,2.547619
567,68,8.338235
482,76,6.342105
106,33,3.212121
67,26,2.576923
90,28,3.214286
28,19,1.473684
400,103,3.883495
734,89,8.247191
44,26,1.692308
57,22,2.590909
241,81,2.975309
197,51,3.862745
218,51,4.274510
54,24,2.250000
105,34,3.088235
26,17,1.529412
60,29,2.068966
82,33,2.484848
88,36,2.444444
115,42,2.738095
212,44,4.818182
1126,81,13.901235
349,49,7.122449
304,48,6.333333
40,17,2.352941
1142,107,10.672897
566,118,4.796610
262,95,2.757895
126,60,2.100000
71,36,1.972222
166,34,4.882353
206,72,2.861111
308,97,3.175258
251,93,2.698925
379,62,6.112903
59,25,2.360000
40,23,1.739130
323,66,4.893939
1422,117,12.153846
568,62,9.161290
571,129,4.426357
166,43,3.860465
97,33,2.939394
472,67,7.044776
556,62,8.967742
529,58,9.120690
309,74,4.175676
50,20,2.500000
1444,183,7.890710
244,53,4.603774
201,49,4.102041
120,39,3.076923
386,51,7.568627
60,24,2.500000
187,78,2.397436
644,84,7.666667
720,70,10.285714
352,48,7.333333
75,40,1.875000
1076,96,11.208333
1843,119,15.487395
83,34,2.441176
82,40,2.050000
920,166,5.542169
35,15,2.333333
320,46,6.956522
333,85,3.917647
593,63,9.412698
174,67,2.597015
119,34,3.500000
559,83,6.734940
176,66,2.666667
449,68,6.602941
692,135,5.125926
428,51,8.392157
861,84,10.250000
102,27,3.777778
465,116,4.008621
270,83,3.253012
411,112,3.669643
352,53,6.641509
239,54,4.425926
215,44,4.886364
1437,107,13.429907
441,73,6.041096
489,71,6.887324
234,58,4.034483
226,80,2.825000
123,36,3.416667
353,64,5.515625
184,42,4.380952
201,57,3.526316
71,38,1.868421
156,43,3.627907
173,38,4.552632
434,119,3.647059
155,38,4.078947
25,18,1.388889
724,65,11.138462
826,88,9.386364
361,52,6.942308
48,18,2.666667
57,27,2.111111
210,85,2.470588
1890,91,20.769231
227,56,4.053571
689,63,10.936508
446,126,3.539683
871,77,11.311688
61,25,2.440000
207,49,4.224490
23,14,1.642857
340,100,3.400000
309,43,7.186047
109,39,2.794872
1017,73,13.931507
22,13,1.692308
318,50,6.360000
809,85,9.517647
55,29,1.896552
82,39,2.102564
181,45,4.022222
359,48,7.479167
163,41,3.975610
109,50,2.180000
51,21,2.428571
492,51,9.647059
690,154,4.480519
125,46,2.717391
320,50,6.400000
852,150,5.680000
440,61,7.213115
474,55,8.618182
368,111,3.315315
1058,116,9.120690
49,21,2.333333
208,52,4.000000
126,38,3.315789
987,81,12.185185
228,52,4.384615
79,38,2.078947
265,84,3.154762
77,28,2.750000
310,76,4.078947
110,33,3.333333
114,45,2.533333
18,11,1.636364
385,53,7.264151
1131,165,6.854545
321,63,5.095238
16,9,1.777778
146,32,4.562500
201,50,4.020000
389,113,3.442478
34,24,1.416667
222,47,4.723404
61,21,2.904762
437,50,8.740000
135,33,4.090909
40,23,1.739130
98,34,2.882353
10,7,1.428571
165,44,3.750000
118,33,3.575758
82,23,3.565217
49,20,2.450000
41,25,1.640000
15,11,1.363636
93,31,3.000000
19,13,1.461538
49,26,1.884615
346,65,5.323077
1033,124,8.330645
183,43,4.255814
153,47,3.255319
