sum_hyperedge_size,num_nodes,egonet overlapness
12965,242,53.574380
7726,166,46.542169
2963,126,23.515873
14201,148,95.952703
4281,129,33.186047
646,64,10.093750
56,18,3.111111
2275,97,23.453608
110,36,3.055556
35655,299,119.247492
11554,177,65.276836
5534,155,35.703226
11495,181,63.508287
15865,184,86.222826
4145,120,34.541667
17387,141,123.312057
11053,141,78.390071
12482,134,93.149254
65422,141,463.985816
39432,141,279.659574
2253,148,15.222973
265,64,4.140625
239,59,4.050847
329,70,4.700000
6215,195,31.871795
714,92,7.760870
5315,157,33.853503
13058,174,75.045977
4044,146,27.698630
16933,192,88.192708
722,94,7.680851
753,102,7.382353
633,103,6.145631
331,70,4.728571
160787,143,1124.384615
136,33,4.121212
27334,139,196.647482
16700,132,126.515152
1715,95,18.052632
5182,130,39.861538
4,4,1.000000
2578,115,22.417391
7994,197,40.578680
273,55,4.963636
1225,166,7.379518
340,64,5.312500
1947,230,8.465217
7896,271,29.136531
195,76,2.565789
3301,249,13.257028
543,130,4.176923
1054,176,5.988636
965,154,6.266234
3545,144,24.618056
3304,141,23.432624
717,131,5.473282
636,124,5.129032
34685,139,249.532374
17736,132,134.363636
3801,109,34.871560
28370,274,103.540146
1674,111,15.081081
7770,171,45.438596
12772,185,69.037838
4045,148,27.331081
1863,90,20.700000
597,80,7.462500
377,66,5.712121
10098,170,59.400000
12510,128,97.734375
15875,135,117.592593
58677,142,413.218310
2678,206,13.000000
517,121,4.272727
1137,167,6.808383
10532,333,31.627628
680,129,5.271318
3297,108,30.527778
648,62,10.451613
3722,117,31.811966
73,31,2.354839
11599,177,65.531073
8973,126,71.214286
3994,116,34.431034
31282,137,228.335766
69,21,3.285714
9558,130,73.523077
2087,208,10.033654
2203,203,10.852217
12567,291,43.185567
1511,184,8.211957
1357,203,6.684729
5076,156,32.538462
5320,150,35.466667
252,56,4.500000
1645,110,14.954545
1828,83,22.024096
884,74,11.945946
5932,125,47.456000
232,40,5.800000
2646,108,24.500000
53,22,2.409091
511,71,7.197183
1556,119,13.075630
930,73,12.739726
1580,79,20.000000
10664,129,82.666667
1001,66,15.166667
1373,178,7.713483
746,87,8.574713
293,62,4.725806
3319,225,14.751111
369,42,8.785714
821,67,12.253731
1035,80,12.937500
641,66,9.712121
5883,119,49.436975
11302,140,80.728571
799,87,9.183908
427,63,6.777778
3885,153,25.392157
73,30,2.433333
16564,135,122.696296
6861,131,52.374046
19496,142,137.295775
9424,135,69.807407
495,66,7.500000
2879,249,11.562249
748,154,4.857143
3394,231,14.692641
1094,113,9.681416
1400,115,12.173913
32,16,2.000000
1202,76,15.815789
1285,108,11.898148
921,102,9.029412
43,23,1.869565
119,41,2.902439
13,11,1.181818
2805,236,11.885593
457,84,5.440476
148,33,4.484848
169,42,4.023810
2546,112,22.732143
1469,79,18.594937
1220,94,12.978723
1624,91,17.846154
2653,107,24.794393
10333,171,60.426901
652,87,7.494253
664,82,8.097561
9940,230,43.217391
5664,158,35.848101
2848,142,20.056338
1183,78,15.166667
5488,125,43.904000
3100,174,17.816092
12057,184,65.527174
3390,111,30.540541
28197,142,198.570423
5548,120,46.233333
1880,94,20.000000
3591,103,34.864078
9281,139,66.769784
4194,121,34.661157
3727,118,31.584746
1153,80,14.412500
285,46,6.195652
477,63,7.571429
3439,141,24.390071
1449,113,12.823009
814,93,8.752688
367,73,5.027397
617,148,4.168919
2095,98,21.377551
5796,266,21.789474
90,32,2.812500
728,129,5.643411
6979,289,24.148789
2087,97,21.515464
935,80,11.687500
5370,135,39.777778
1501,96,15.635417
778,74,10.513514
13,8,1.625000
4706,151,31.165563
7430,174,42.701149
5403,204,26.485294
529,80,6.612500
72,22,3.272727
140,33,4.242424
1725,140,12.321429
10700,203,52.709360
5891,185,31.843243
1117,79,14.139241
447,69,6.478261
624,67,9.313433
946,110,8.600000
2462,246,10.008130
366,106,3.452830
847,94,9.010638
1165,110,10.590909
3298,249,13.244980
1873,227,8.251101
3031,164,18.481707
3549,169,21.000000
454,56,8.107143
6508,156,41.717949
571,128,4.460938
719,147,4.891156
104,32,3.250000
3790,129,29.379845
509,60,8.483333
2633,157,16.770701
618,130,4.753846
6544,263,24.882129
966,167,5.784431
10306,275,37.476364
2342,206,11.368932
447,71,6.295775
563,89,6.325843
167,46,3.630435
3309,105,31.514286
926,169,5.479290
1842,90,20.466667
7891,193,40.886010
414,59,7.016949
423,72,5.875000
17411,191,91.157068
1825,101,18.069307
263,85,3.094118
921,84,10.964286
87,26,3.346154
835,84,9.940476
4676,120,38.966667
1598,121,13.206612
308,64,4.812500
2516,131,19.206107
8469,171,49.526316
120,35,3.428571
2587,240,10.779167
53,32,1.656250
1825,118,15.466102
5225,185,28.243243
244,55,4.436364
126,35,3.600000
3066,155,19.780645
666,81,8.222222
610,80,7.625000
778,92,8.456522
2292,102,22.470588
2100,85,24.705882
1011,84,12.035714
1699,216,7.865741
82,33,2.484848
213,56,3.803571
825,90,9.166667
862,99,8.707071
3666,108,33.944444
2131,98,21.744898
896,69,12.985507
1061,103,10.300971
2560,132,19.393939
157,43,3.651163
480,80,6.000000
3828,162,23.629630
4245,168,25.267857
752,90,8.355556
42,21,2.000000
370,74,5.000000
420,62,6.774194
3119,101,30.881188
805,90,8.944444
386,69,5.594203
288,59,4.881356
224,53,4.226415
1227,106,11.575472
59,33,1.787879
1265,194,6.520619
537,128,4.195312
52,18,2.888889
167,29,5.758621
115,32,3.593750
339,56,6.053571
438,117,3.743590
381,104,3.663462
352,63,5.587302
312,50,6.240000
8591,124,69.282258
257,104,2.471154
899,75,11.986667
140,58,2.413793
5025,118,42.584746
340,87,3.908046
75,27,2.777778
28,17,1.647059
367,65,5.646154
2186,213,10.262911
685,134,5.111940
327,100,3.270000
2751,217,12.677419
264,87,3.034483
1809,92,19.663043
3588,117,30.666667
509,55,9.254545
132,27,4.888889
490,58,8.448276
541,56,9.660714
