num_hes,num_nodes,egonet density
27,42,0.642857
312,339,0.920354
45,72,0.625000
1,2,0.500000
1,2,0.500000
5165,3598,1.435520
122,149,0.818792
1,2,0.500000
1,2,0.500000
126,159,0.792453
666,691,0.963821
41,61,0.672131
1413,1262,1.119651
2,3,0.666667
1,2,0.500000
7,13,0.538462
13,18,0.722222
10,13,0.769231
4,5,0.800000
6,12,0.500000
11,19,0.578947
2,3,0.666667
2,3,0.666667
1,2,0.500000
1,2,0.500000
243,262,0.927481
14,16,0.875000
12,28,0.428571
1,7,0.142857
1,7,0.142857
10,15,0.666667
3,9,0.333333
2,8,0.250000
78,85,0.917647
1,2,0.500000
10,16,0.625000
55,71,0.774648
12,16,0.750000
110,109,1.009174
1,2,0.500000
29,37,0.783784
1,2,0.500000
6,10,0.600000
41,50,0.820000
5222,3715,1.405653
8,10,0.800000
113,142,0.795775
531,529,1.003781
1,2,0.500000
6,11,0.545455
6,7,0.857143
919,954,0.963312
37,44,0.840909
6,11,0.545455
8,13,0.615385
96,111,0.864865
1,3,0.333333
1,3,0.333333
400,431,0.928074
58,77,0.753247
25,33,0.757576
56,83,0.674699
41,57,0.719298
3355,2619,1.281023
308,340,0.905882
1551,1469,1.055820
1,2,0.500000
1,2,0.500000
1,2,0.500000
1,2,0.500000
61,73,0.835616
92,127,0.724409
2089,1762,1.185585
3,4,0.750000
3,4,0.750000
2,3,0.666667
14,19,0.736842
42,61,0.688525
3,5,0.600000
148,182,0.813187
22,28,0.785714
58,72,0.805556
1,3,0.333333
7,10,0.700000
18,25,0.720000
220,279,0.788530
26,40,0.650000
8,10,0.800000
6,10,0.600000
61,76,0.802632
1,2,0.500000
9,11,0.818182
11,17,0.647059
32,40,0.800000
9,12,0.750000
2,4,0.500000
1526,1403,1.087669
5,9,0.555556
12,20,0.600000
1,2,0.500000
1,2,0.500000
57,77,0.740260
2,4,0.500000
26,33,0.787879
488,522,0.934866
2,4,0.500000
1,3,0.333333
1,3,0.333333
586,614,0.954397
156,189,0.825397
3662,2808,1.304131
32,37,0.864865
350,386,0.906736
1537,1368,1.123538
346,402,0.860697
287,326,0.880368
2,5,0.400000
85,103,0.825243
9,12,0.750000
3,5,0.600000
2,4,0.500000
1,3,0.333333
10,18,0.555556
132,145,0.910345
14,20,0.700000
10,14,0.714286
226,256,0.882812
9,18,0.500000
34,48,0.708333
14,21,0.666667
13,23,0.565217
7692,4835,1.590900
22,29,0.758621
1,2,0.500000
1,2,0.500000
1,2,0.500000
1,2,0.500000
4,8,0.500000
3,8,0.375000
45,54,0.833333
1,2,0.500000
1673,1568,1.066964
38,56,0.678571
63,73,0.863014
1,2,0.500000
13,18,0.722222
56,71,0.788732
402,461,0.872017
232,256,0.906250
248,289,0.858131
9,17,0.529412
7,11,0.636364
20,30,0.666667
1,2,0.500000
1,2,0.500000
1,3,0.333333
1,3,0.333333
1,3,0.333333
5,7,0.714286
3,5,0.600000
3,4,0.750000
1,2,0.500000
2,5,0.400000
1,4,0.250000
1,4,0.250000
26,30,0.866667
4,7,0.571429
8,11,0.727273
8,15,0.533333
8,10,0.800000
6113,4233,1.444129
1,2,0.500000
11,19,0.578947
2,4,0.500000
1,2,0.500000
4,6,0.666667
36,47,0.765957
193,217,0.889401
9,10,0.900000
2,3,0.666667
157,195,0.805128
61,77,0.792208
261,311,0.839228
6,8,0.750000
1775,1533,1.157860
10,15,0.666667
189,226,0.836283
1,2,0.500000
4,7,0.571429
892,861,1.036005
22,26,0.846154
69,83,0.831325
9,13,0.692308
25,39,0.641026
9,15,0.600000
7,10,0.700000
5,8,0.625000
35,50,0.700000
96,132,0.727273
1,2,0.500000
157,180,0.872222
2014,1709,1.178467
5,8,0.625000
89,116,0.767241
12,19,0.631579
13,16,0.812500
9,13,0.692308
10,13,0.769231
54,73,0.739726
2802,2255,1.242572
12,17,0.705882
1,2,0.500000
1,2,0.500000
94,120,0.783333
161,188,0.856383
7,12,0.583333
61,80,0.762500
6,7,0.857143
22,33,0.666667
31,49,0.632653
29,41,0.707317
1,2,0.500000
1,2,0.500000
8,22,0.363636
17,24,0.708333
41,50,0.820000
932,915,1.018579
7,12,0.583333
15,22,0.681818
75,96,0.781250
444,467,0.950749
19,26,0.730769
8,14,0.571429
4,6,0.666667
8,12,0.666667
75,84,0.892857
1,2,0.500000
72,92,0.782609
138,177,0.779661
31,45,0.688889
73,91,0.802198
9,18,0.500000
1,2,0.500000
59,75,0.786667
9,13,0.692308
111,146,0.760274
1,2,0.500000
52,66,0.787879
3,4,0.750000
43,55,0.781818
1,3,0.333333
2,4,0.500000
84,109,0.770642
101,123,0.821138
10,16,0.625000
1,2,0.500000
1,2,0.500000
2,3,0.666667
1,2,0.500000
31,37,0.837838
2,3,0.666667
1,2,0.500000
16,29,0.551724
6,13,0.461538
5,10,0.500000
9,15,0.600000
2,4,0.500000
1,3,0.333333
7,14,0.500000
1,2,0.500000
104,106,0.981132
191,180,1.061111
5,8,0.625000
47,68,0.691176
41,60,0.683333
371,406,0.913793
18,28,0.642857
24,33,0.727273
3,6,0.500000
52,68,0.764706
3,6,0.500000
14,20,0.700000
53,73,0.726027
57,81,0.703704
4,7,0.571429
141,154,0.915584
100,141,0.709220
2,3,0.666667
1,2,0.500000
14,25,0.560000
12,17,0.705882
60,84,0.714286
6,8,0.750000
8,9,0.888889
1,2,0.500000
3,4,0.750000
1,2,0.500000
1,2,0.500000
1,2,0.500000
2,4,0.500000
2,4,0.500000
51,70,0.728571
153,175,0.874286
911,859,1.060536
17,22,0.772727
476,503,0.946322
9,14,0.642857
1,2,0.500000
64,72,0.888889
179,207,0.864734
1148,1116,1.028674
40,44,0.909091
1,2,0.500000
1,2,0.500000
1,2,0.500000
2,4,0.500000
4,7,0.571429
8,11,0.727273
8,12,0.666667
6,10,0.600000
28,31,0.903226
7,10,0.700000
94,122,0.770492
4,5,0.800000
1,2,0.500000
15,22,0.681818
7,10,0.700000
14,17,0.823529
2,3,0.666667
392,415,0.944578
45,59,0.762712
12,18,0.666667
1,3,0.333333
1,3,0.333333
12,20,0.600000
65,90,0.722222
66,84,0.785714
10,16,0.625000
7,9,0.777778
1,2,0.500000
71,95,0.747368
790,812,0.972906
770,813,0.947109
10,14,0.714286
24,37,0.648649
22,31,0.709677
24,30,0.800000
5,8,0.625000
2,3,0.666667
3,4,0.750000
1,2,0.500000
1,2,0.500000
1,2,0.500000
3,7,0.428571
6,8,0.750000
1,2,0.500000
1,3,0.333333
1,3,0.333333
29,42,0.690476
228,257,0.887160
8,13,0.615385
47,66,0.712121
2,3,0.666667
96,110,0.872727
2,4,0.500000
2,3,0.666667
5,6,0.833333
50,61,0.819672
7,11,0.636364
1,4,0.250000
11,16,0.687500
45,60,0.750000
1,2,0.500000
3,5,0.600000
23,34,0.676471
16,22,0.727273
7,15,0.466667
573,574,0.998258
12,23,0.521739
51,74,0.689189
352,396,0.888889
7,12,0.583333
25,35,0.714286
24,37,0.648649
29,43,0.674419
1,2,0.500000
1,2,0.500000
6,7,0.857143
2370,2067,1.146589
22,32,0.687500
145,179,0.810056
198,223,0.887892
8,15,0.533333
27,35,0.771429
16,20,0.800000
1,2,0.500000
8,14,0.571429
1,2,0.500000
1,2,0.500000
34,36,0.944444
42,54,0.777778
2,3,0.666667
1,2,0.500000
1,2,0.500000
21,24,0.875000
24,33,0.727273
1,3,0.333333
24,46,0.521739
11,15,0.733333
541,580,0.932759
251,293,0.856655
1,2,0.500000
7,10,0.700000
8,11,0.727273
4,10,0.400000
1,6,0.166667
1,6,0.166667
1,6,0.166667
1,6,0.166667
1,6,0.166667
1,2,0.500000
1,2,0.500000
91,112,0.812500
1,2,0.500000
659,667,0.988006
1,2,0.500000
1,3,0.333333
2,4,0.500000
9,12,0.750000
178,212,0.839623
8,16,0.500000
1,2,0.500000
2,3,0.666667
4,10,0.400000
1,4,0.250000
15,24,0.625000
1,4,0.250000
1,2,0.500000
1,2,0.500000
5,8,0.625000
8,9,0.888889
6,8,0.750000
12,19,0.631579
110,142,0.774648
6,8,0.750000
19,27,0.703704
10,15,0.666667
1,2,0.500000
13,18,0.722222
13,19,0.684211
31,55,0.563636
22,30,0.733333
6,7,0.857143
2,4,0.500000
1,2,0.500000
1,2,0.500000
10,15,0.666667
45,63,0.714286
1,2,0.500000
8,10,0.800000
9,18,0.500000
15,22,0.681818
4,6,0.666667
3,4,0.750000
1,2,0.500000
1,2,0.500000
26,45,0.577778
32,46,0.695652
8,11,0.727273
9,12,0.750000
352,381,0.923885
1,2,0.500000
125,146,0.856164
4,5,0.800000
61,88,0.693182
9,15,0.600000
7,16,0.437500
81,103,0.786408
45,55,0.818182
6,8,0.750000
7,10,0.700000
983,913,1.076670
9,14,0.642857
4,10,0.400000
90,114,0.789474
14,21,0.666667
7,11,0.636364
53,64,0.828125
