num_hes,num_nodes,egonet density
2,5,0.400000
144,175,0.822857
69,125,0.552000
6,11,0.545455
13,26,0.500000
130,179,0.726257
2,6,0.333333
5,11,0.454545
1,5,0.200000
12,22,0.545455
29,42,0.690476
29,50,0.580000
1,3,0.333333
13,25,0.520000
1,3,0.333333
9,13,0.692308
7,15,0.466667
3,5,0.600000
1,3,0.333333
4,8,0.500000
3,6,0.500000
9,15,0.600000
1,4,0.250000
16,30,0.533333
9,23,0.391304
43,79,0.544304
4,9,0.444444
162,254,0.637795
6,8,0.750000
1,3,0.333333
8,15,0.533333
4,8,0.500000
14,26,0.538462
2,5,0.400000
12,22,0.545455
5,17,0.294118
20,30,0.666667
64,84,0.761905
1,3,0.333333
2,3,0.666667
486,659,0.737481
1,4,0.250000
1,3,0.333333
77,140,0.550000
5,9,0.555556
1,4,0.250000
2,5,0.400000
3,5,0.600000
2,5,0.400000
4,10,0.400000
1,3,0.333333
23,34,0.676471
1,4,0.250000
42,84,0.500000
3,8,0.375000
3,6,0.500000
10,24,0.416667
2,5,0.400000
3,4,0.750000
3,5,0.600000
26,48,0.541667
4,6,0.666667
29,52,0.557692
4,10,0.400000
1,2,0.500000
9,13,0.692308
2,3,0.666667
17,30,0.566667
1,3,0.333333
8,14,0.571429
3,7,0.428571
3,5,0.600000
152,187,0.812834
4,9,0.444444
3,6,0.500000
27,45,0.600000
3,7,0.428571
2,5,0.400000
4,5,0.800000
5,9,0.555556
3,5,0.600000
1,3,0.333333
243,388,0.626289
34,47,0.723404
3,7,0.428571
8,14,0.571429
8,17,0.470588
1,3,0.333333
5,10,0.500000
48,74,0.648649
4,14,0.285714
1,3,0.333333
5,11,0.454545
6,10,0.600000
3,5,0.600000
1,4,0.250000
57,95,0.600000
6,13,0.461538
13,30,0.433333
1,4,0.250000
1,4,0.250000
1,2,0.500000
7,15,0.466667
108,215,0.502326
4,7,0.571429
1708,2145,0.796270
2,5,0.400000
24,45,0.533333
11,27,0.407407
1,4,0.250000
2,3,0.666667
17,23,0.739130
1,4,0.250000
1,4,0.250000
6,23,0.260870
1,9,0.111111
3,12,0.250000
11,32,0.343750
2,11,0.181818
2,12,0.166667
2,11,0.181818
4,15,0.266667
1,2,0.500000
53,82,0.646341
1,3,0.333333
2,4,0.500000
2,4,0.500000
18,37,0.486486
3,6,0.500000
67,86,0.779070
4,6,0.666667
11,20,0.550000
4,9,0.444444
1,4,0.250000
28,49,0.571429
15,29,0.517241
54,78,0.692308
3,8,0.375000
2,4,0.500000
29,39,0.743590
1,4,0.250000
140,222,0.630631
1,2,0.500000
1,2,0.500000
3,7,0.428571
1,2,0.500000
5,11,0.454545
1,2,0.500000
1,3,0.333333
25,37,0.675676
4,13,0.307692
3,11,0.272727
8,14,0.571429
10,20,0.500000
10,19,0.526316
31,46,0.673913
2,4,0.500000
2,4,0.500000
1,2,0.500000
2,5,0.400000
123,180,0.683333
7,13,0.538462
1,2,0.500000
1,4,0.250000
3,10,0.300000
1,4,0.250000
1,4,0.250000
5,11,0.454545
16,32,0.500000
5,9,0.555556
30,63,0.476190
9,19,0.473684
107,155,0.690323
1,4,0.250000
2,5,0.400000
1,3,0.333333
17,39,0.435897
4,8,0.500000
1,4,0.250000
1,3,0.333333
1,3,0.333333
22,38,0.578947
2,3,0.666667
16,31,0.516129
1,4,0.250000
2,5,0.400000
2,3,0.666667
2,4,0.500000
3,7,0.428571
1,2,0.500000
1,3,0.333333
1,2,0.500000
3,6,0.500000
1,3,0.333333
3,9,0.333333
1,3,0.333333
6,11,0.545455
1,3,0.333333
8,14,0.571429
72,112,0.642857
1,4,0.250000
1,4,0.250000
2,5,0.400000
1,3,0.333333
1,3,0.333333
241,393,0.613232
5,11,0.454545
7,19,0.368421
3,9,0.333333
37,69,0.536232
1,2,0.500000
4,5,0.800000
14,27,0.518519
10,24,0.416667
2,3,0.666667
1,3,0.333333
2,4,0.500000
128,187,0.684492
35,59,0.593220
53,94,0.563830
6,9,0.666667
31,47,0.659574
3,5,0.600000
1,3,0.333333
5,9,0.555556
1,2,0.500000
1,2,0.500000
1,3,0.333333
1,3,0.333333
2,3,0.666667
1,3,0.333333
2,4,0.500000
5,11,0.454545
3,7,0.428571
76,140,0.542857
13,24,0.541667
3,5,0.600000
1,4,0.250000
1,4,0.250000
2,3,0.666667
2,5,0.400000
1,4,0.250000
1,3,0.333333
33,53,0.622642
1,6,0.166667
1,2,0.500000
1,3,0.333333
2,5,0.400000
15,27,0.555556
7,14,0.500000
3,8,0.375000
1,2,0.500000
1,3,0.333333
1,3,0.333333
3,8,0.375000
4,6,0.666667
1,2,0.500000
4,8,0.500000
2,5,0.400000
2,3,0.666667
13,23,0.565217
2,4,0.500000
2,3,0.666667
1,3,0.333333
118,221,0.533937
157,235,0.668085
3,9,0.333333
1,2,0.500000
2,4,0.500000
1,3,0.333333
1,3,0.333333
6,16,0.375000
7,12,0.583333
2,8,0.250000
34,49,0.693878
2,7,0.285714
2,7,0.285714
10,22,0.454545
2,3,0.666667
7,18,0.388889
1,4,0.250000
2,6,0.333333
4,12,0.333333
9,20,0.450000
1,3,0.333333
1,3,0.333333
14,22,0.636364
4,8,0.500000
1,4,0.250000
1,4,0.250000
8,19,0.421053
2,5,0.400000
2,4,0.500000
8,16,0.500000
2,8,0.250000
12,32,0.375000
2,6,0.333333
1,2,0.500000
9,11,0.818182
10,15,0.666667
1,2,0.500000
5,10,0.500000
8,15,0.533333
1,3,0.333333
10,17,0.588235
1,2,0.500000
1,3,0.333333
2,4,0.500000
1,3,0.333333
1,3,0.333333
5,7,0.714286
19,48,0.395833
3,5,0.600000
3,6,0.500000
1,4,0.250000
1,4,0.250000
1,3,0.333333
1,2,0.500000
1,2,0.500000
2,4,0.500000
9,13,0.692308
1,2,0.500000
1,3,0.333333
6,7,0.857143
2,3,0.666667
3,5,0.600000
7,13,0.538462
4,8,0.500000
4,7,0.571429
3,7,0.428571
1,3,0.333333
1,3,0.333333
1,6,0.166667
21,52,0.403846
5,12,0.416667
3,9,0.333333
2,6,0.333333
6,18,0.333333
2,11,0.181818
1,5,0.200000
4,14,0.285714
12,22,0.545455
5,7,0.714286
44,86,0.511628
17,35,0.485714
10,21,0.476190
5,8,0.625000
1,2,0.500000
20,30,0.666667
1,2,0.500000
161,228,0.706140
1,2,0.500000
4,7,0.571429
1,2,0.500000
1,3,0.333333
1,3,0.333333
21,30,0.700000
1,4,0.250000
1,3,0.333333
5,8,0.625000
12,21,0.571429
2,4,0.500000
1,3,0.333333
1,3,0.333333
