num_hes,num_nodes,egonet density
0,1,0.000000
131,187,0.700535
74,133,0.556391
9,13,0.692308
10,11,0.909091
154,193,0.797927
3,7,0.428571
6,10,0.600000
1,2,0.500000
8,12,0.666667
28,43,0.651163
21,33,0.636364
1,3,0.333333
19,29,0.655172
1,2,0.500000
7,10,0.700000
8,12,0.666667
4,9,0.444444
1,3,0.333333
5,11,0.454545
5,8,0.625000
11,20,0.550000
2,3,0.666667
13,18,0.722222
9,12,0.750000
52,72,0.722222
3,5,0.600000
157,232,0.676724
5,7,0.714286
1,2,0.500000
10,15,0.666667
3,6,0.500000
18,29,0.620690
1,3,0.333333
12,14,0.857143
2,5,0.400000
21,36,0.583333
66,89,0.741573
0,1,0.000000
2,5,0.400000
513,668,0.767964
2,6,0.333333
0,1,0.000000
86,119,0.722689
4,5,0.800000
0,1,0.000000
3,5,0.600000
3,6,0.500000
2,6,0.333333
3,6,0.500000
0,1,0.000000
22,40,0.550000
1,2,0.500000
33,47,0.702128
3,4,0.750000
1,2,0.500000
7,14,0.500000
1,2,0.500000
1,2,0.500000
7,10,0.700000
22,30,0.733333
1,2,0.500000
33,65,0.507692
3,5,0.600000
1,2,0.500000
8,14,0.571429
2,4,0.500000
24,36,0.666667
2,4,0.500000
10,18,0.555556
5,7,0.714286
1,3,0.333333
148,198,0.747475
6,11,0.545455
4,7,0.571429
32,49,0.653061
4,8,0.500000
2,4,0.500000
4,6,0.666667
10,15,0.666667
0,1,0.000000
1,3,0.333333
256,358,0.715084
33,44,0.750000
2,5,0.400000
9,14,0.642857
10,15,0.666667
2,5,0.400000
6,10,0.600000
59,79,0.746835
6,12,0.500000
2,7,0.285714
4,5,0.800000
7,10,0.700000
2,5,0.400000
2,6,0.333333
45,68,0.661765
3,6,0.500000
18,27,0.666667
0,1,0.000000
0,1,0.000000
1,2,0.500000
5,9,0.555556
87,121,0.719008
1,2,0.500000
1609,1836,0.876362
1,2,0.500000
21,34,0.617647
10,16,0.625000
0,1,0.000000
2,4,0.500000
19,25,0.760000
0,1,0.000000
1,2,0.500000
8,11,0.727273
0,1,0.000000
0,1,0.000000
16,24,0.666667
1,4,0.250000
3,9,0.333333
5,9,0.555556
0,1,0.000000
1,2,0.500000
39,61,0.639344
1,4,0.250000
0,1,0.000000
3,8,0.375000
15,25,0.600000
2,9,0.222222
55,78,0.705128
3,6,0.500000
19,27,0.703704
4,6,0.666667
0,1,0.000000
32,45,0.711111
16,28,0.571429
49,79,0.620253
6,10,0.600000
3,7,0.428571
26,35,0.742857
1,2,0.500000
131,211,0.620853
0,1,0.000000
1,2,0.500000
3,5,0.600000
0,1,0.000000
3,5,0.600000
1,2,0.500000
1,2,0.500000
30,53,0.566038
4,10,0.400000
4,6,0.666667
9,16,0.562500
11,18,0.611111
6,10,0.600000
34,51,0.666667
3,5,0.600000
2,4,0.500000
5,8,0.625000
3,6,0.500000
107,163,0.656442
10,15,0.666667
0,1,0.000000
1,3,0.333333
1,3,0.333333
1,2,0.500000
0,1,0.000000
4,6,0.666667
13,17,0.764706
3,7,0.428571
40,61,0.655738
6,11,0.545455
99,142,0.697183
0,1,0.000000
2,3,0.666667
2,4,0.500000
19,27,0.703704
5,8,0.625000
1,4,0.250000
0,1,0.000000
2,4,0.500000
39,60,0.650000
2,5,0.400000
21,37,0.567568
0,1,0.000000
2,3,0.666667
2,5,0.400000
1,2,0.500000
5,9,0.555556
1,4,0.250000
1,2,0.500000
1,2,0.500000
2,4,0.500000
0,1,0.000000
1,2,0.500000
0,1,0.000000
13,23,0.565217
0,1,0.000000
13,18,0.722222
70,92,0.760870
0,1,0.000000
0,1,0.000000
1,3,0.333333
1,2,0.500000
1,5,0.200000
241,338,0.713018
4,11,0.363636
7,9,0.777778
7,14,0.500000
33,63,0.523810
3,8,0.375000
4,11,0.363636
11,18,0.611111
10,18,0.555556
0,1,0.000000
0,1,0.000000
0,1,0.000000
139,181,0.767956
32,45,0.711111
61,94,0.648936
7,12,0.583333
31,50,0.620000
4,5,0.800000
1,2,0.500000
3,5,0.600000
1,6,0.166667
0,1,0.000000
0,1,0.000000
0,1,0.000000
1,2,0.500000
0,1,0.000000
2,3,0.666667
4,9,0.444444
1,2,0.500000
66,99,0.666667
10,16,0.625000
2,5,0.400000
1,2,0.500000
1,2,0.500000
2,3,0.666667
3,5,0.600000
2,3,0.666667
0,1,0.000000
38,56,0.678571
1,2,0.500000
1,2,0.500000
0,1,0.000000
0,1,0.000000
13,21,0.619048
5,7,0.714286
5,8,0.625000
0,1,0.000000
3,5,0.600000
0,1,0.000000
2,4,0.500000
4,6,0.666667
2,3,0.666667
0,1,0.000000
3,4,0.750000
0,1,0.000000
10,16,0.625000
2,3,0.666667
1,2,0.500000
4,5,0.800000
106,155,0.683871
147,204,0.720588
3,4,0.750000
1,3,0.333333
3,6,0.500000
1,2,0.500000
1,2,0.500000
4,8,0.500000
11,18,0.611111
1,2,0.500000
38,62,0.612903
3,7,0.428571
2,8,0.250000
10,17,0.588235
0,1,0.000000
5,8,0.625000
1,4,0.250000
0,1,0.000000
4,6,0.666667
16,21,0.761905
1,3,0.333333
2,4,0.500000
20,33,0.606061
0,1,0.000000
1,3,0.333333
1,2,0.500000
5,9,0.555556
2,3,0.666667
1,2,0.500000
8,13,0.615385
2,4,0.500000
17,26,0.653846
2,3,0.666667
0,1,0.000000
13,20,0.650000
8,16,0.500000
0,1,0.000000
7,14,0.500000
8,9,0.888889
0,1,0.000000
6,9,0.666667
1,2,0.500000
0,1,0.000000
2,4,0.500000
4,7,0.571429
0,1,0.000000
1,4,0.250000
