num_hes,num_nodes,egonet density
127,168,0.755952
100,126,0.793651
32,52,0.615385
75,102,0.735294
12,16,0.750000
438,477,0.918239
81,102,0.794118
6,9,0.666667
9,17,0.529412
8,11,0.727273
10,19,0.526316
6030,4073,1.480481
4,7,0.571429
1970,1730,1.138728
8711,5294,1.645448
17,23,0.739130
2414,2014,1.198610
30,42,0.714286
323,355,0.909859
8,10,0.800000
48,68,0.705882
6,8,0.750000
40,43,0.930233
12,17,0.705882
140,180,0.777778
6,9,0.666667
1069,1023,1.044966
49,69,0.710145
71,109,0.651376
38,59,0.644068
10,18,0.555556
433,435,0.995402
169,205,0.824390
44,59,0.745763
1567,1411,1.110560
696,715,0.973427
4,10,0.400000
6,9,0.666667
65,77,0.844156
112,144,0.777778
8,12,0.666667
9,15,0.600000
26,39,0.666667
742,721,1.029126
89,108,0.824074
36,49,0.734694
11,17,0.647059
3855,2937,1.312564
19,30,0.633333
47,55,0.854545
1119,1064,1.051692
5,11,0.454545
10,18,0.555556
8,16,0.500000
56,73,0.767123
113,134,0.843284
36,52,0.692308
639,639,1.000000
346,377,0.917772
387,396,0.977273
4238,3112,1.361825
14,16,0.875000
147,183,0.803279
257,279,0.921147
32,41,0.780488
21,35,0.600000
18,30,0.600000
15,21,0.714286
461,506,0.911067
22,31,0.709677
7029,4519,1.555433
8,12,0.666667
44,55,0.800000
9,13,0.692308
78,94,0.829787
17,23,0.739130
739,744,0.993280
302,363,0.831956
265,312,0.849359
7,12,0.583333
2798,2272,1.231514
1121,1029,1.089407
132,170,0.776471
1107,1036,1.068533
16,20,0.800000
15,18,0.833333
8,11,0.727273
11,22,0.500000
8,13,0.615385
34,44,0.772727
13,18,0.722222
10,16,0.625000
14,19,0.736842
188,226,0.831858
178,230,0.773913
60,94,0.638298
14,24,0.583333
188,197,0.954315
1061,1000,1.061000
25,35,0.714286
28,39,0.717949
9,11,0.818182
6,9,0.666667
186,226,0.823009
4,7,0.571429
2401,2020,1.188614
9,9,1.000000
94,115,0.817391
9,13,0.692308
14,28,0.500000
1565,1378,1.135704
139,167,0.832335
628,655,0.958779
24,31,0.774194
13,20,0.650000
67,90,0.744444
5,11,0.454545
26,39,0.666667
9,13,0.692308
11,17,0.647059
5820,3990,1.458647
23,33,0.696970
6,8,0.750000
28,35,0.800000
2014,1713,1.175715
33,45,0.733333
11,16,0.687500
324,354,0.915254
15,25,0.600000
157,169,0.928994
1776,1533,1.158513
213,260,0.819231
7,12,0.583333
31,45,0.688889
40,54,0.740741
509,541,0.940850
13,17,0.764706
9,15,0.600000
9,14,0.642857
13,21,0.619048
8,17,0.470588
293,336,0.872024
18,27,0.666667
22,35,0.628571
42,54,0.777778
8,12,0.666667
7,9,0.777778
42,51,0.823529
20,24,0.833333
74,101,0.732673
53,75,0.706667
110,150,0.733333
8,10,0.800000
16,21,0.761905
175,194,0.902062
820,811,1.011097
9,17,0.529412
43,61,0.704918
5,8,0.625000
504,511,0.986301
179,213,0.840376
10,15,0.666667
525,543,0.966851
1025,958,1.069937
5,7,0.714286
106,133,0.796992
1280,1165,1.098712
39,56,0.696429
11,16,0.687500
11,15,0.733333
8,12,0.666667
226,253,0.893281
394,439,0.897494
9,16,0.562500
16,23,0.695652
458,513,0.892788
43,65,0.661538
212,253,0.837945
8,11,0.727273
70,79,0.886076
11,19,0.578947
225,246,0.914634
906,907,0.998897
11,20,0.550000
3156,2454,1.286064
31,42,0.738095
7,10,0.700000
7,9,0.777778
14,23,0.608696
245,287,0.853659
8,11,0.727273
15,26,0.576923
8,13,0.615385
729,746,0.977212
34,48,0.708333
30,37,0.810811
25,36,0.694444
16,22,0.727273
11,18,0.611111
1773,1576,1.125000
11,13,0.846154
37,51,0.725490
41,60,0.683333
25,35,0.714286
76,99,0.767677
107,127,0.842520
21,30,0.700000
31,40,0.775000
47,66,0.712121
211,246,0.857724
54,71,0.760563
7,14,0.500000
587,595,0.986555
19,30,0.633333
100,122,0.819672
5,10,0.500000
11,19,0.578947
6,11,0.545455
1435,1303,1.101305
179,233,0.768240
6,8,0.750000
43,60,0.716667
8,10,0.800000
9,15,0.600000
13,16,0.812500
12,18,0.666667
767,759,1.010540
4,8,0.500000
9,13,0.692308
242,282,0.858156
7,9,0.777778
14,26,0.538462
11,17,0.647059
465,529,0.879017
10,14,0.714286
411,449,0.915367
20,30,0.666667
9,15,0.600000
111,144,0.770833
10,20,0.500000
10,15,0.666667
28,33,0.848485
117,146,0.801370
10,17,0.588235
16,21,0.761905
9,13,0.692308
49,65,0.753846
2,3,0.666667
17,20,0.850000
9,15,0.600000
6,9,0.666667
60,90,0.666667
15,26,0.576923
461,481,0.958420
6,10,0.600000
21,35,0.600000
8,14,0.571429
258,311,0.829582
20,27,0.740741
5,11,0.454545
8,12,0.666667
10,17,0.588235
12,21,0.571429
34,49,0.693878
11,19,0.578947
7,13,0.538462
9,11,0.818182
16,22,0.727273
9,12,0.750000
10,15,0.666667
5,10,0.500000
10,17,0.588235
209,229,0.912664
20,29,0.689655
9,17,0.529412
115,149,0.771812
10,15,0.666667
40,55,0.727273
29,39,0.743590
8,14,0.571429
5,7,0.714286
11,24,0.458333
14,22,0.636364
14,21,0.666667
115,130,0.884615
19,22,0.863636
22,34,0.647059
8,13,0.615385
108,142,0.760563
6,8,0.750000
7,8,0.875000
457,487,0.938398
44,64,0.687500
118,155,0.761290
8,11,0.727273
9,12,0.750000
13,21,0.619048
20,28,0.714286
9,22,0.409091
571,585,0.976068
112,138,0.811594
19,32,0.593750
41,53,0.773585
646,653,0.989280
41,67,0.611940
122,164,0.743902
12,17,0.705882
10,19,0.526316
67,100,0.670000
7,8,0.875000
8,11,0.727273
6,16,0.375000
20,33,0.606061
12,18,0.666667
19,24,0.791667
11,18,0.611111
6,10,0.600000
7,11,0.636364
20,25,0.800000
33,42,0.785714
7,11,0.636364
26,40,0.650000
11,20,0.550000
112,131,0.854962
26,34,0.764706
553,601,0.920133
12,17,0.705882
103,129,0.798450
275,316,0.870253
14,21,0.666667
366,391,0.936061
15,18,0.833333
9,12,0.750000
12,21,0.571429
5,8,0.625000
226,243,0.930041
9,19,0.473684
339,402,0.843284
15,20,0.750000
22,29,0.758621
5,9,0.555556
7,11,0.636364
16,25,0.640000
8,13,0.615385
10,17,0.588235
171,207,0.826087
17,22,0.772727
7,8,0.875000
18,28,0.642857
36,46,0.782609
10,19,0.526316
11,20,0.550000
8,10,0.800000
41,50,0.820000
10,15,0.666667
43,48,0.895833
12,17,0.705882
11,15,0.733333
12,16,0.750000
12,21,0.571429
11,22,0.500000
14,23,0.608696
10,13,0.769231
10,13,0.769231
7,8,0.875000
5,6,0.833333
12,17,0.705882
107,141,0.758865
6,8,0.750000
23,45,0.511111
51,68,0.750000
13,18,0.722222
45,56,0.803571
11,17,0.647059
9,16,0.562500
7,11,0.636364
13,23,0.565217
7,10,0.700000
13,17,0.764706
209,231,0.904762
50,80,0.625000
11,13,0.846154
14,21,0.666667
8,11,0.727273
11,19,0.578947
208,229,0.908297
16,25,0.640000
58,72,0.805556
22,35,0.628571
9,15,0.600000
102,135,0.755556
8,11,0.727273
6,10,0.600000
5,6,0.833333
17,21,0.809524
10,16,0.625000
409,449,0.910913
163,192,0.848958
11,15,0.733333
5,9,0.555556
27,37,0.729730
238,280,0.850000
12,18,0.666667
28,50,0.560000
11,13,0.846154
15,20,0.750000
315,347,0.907781
11,16,0.687500
18,29,0.620690
3,5,0.600000
77,113,0.681416
9,14,0.642857
12,21,0.571429
195,223,0.874439
29,38,0.763158
16,24,0.666667
13,19,0.684211
7,11,0.636364
12,14,0.857143
12,20,0.600000
24,33,0.727273
19,25,0.760000
87,115,0.756522
162,185,0.875676
12,15,0.800000
301,328,0.917683
10,13,0.769231
20,25,0.800000
33,44,0.750000
28,34,0.823529
44,51,0.862745
8,13,0.615385
9,12,0.750000
320,347,0.922190
13,19,0.684211
10,13,0.769231
107,133,0.804511
15,15,1.000000
39,56,0.696429
46,57,0.807018
11,14,0.785714
13,21,0.619048
8,13,0.615385
8,11,0.727273
12,18,0.666667
29,41,0.707317
13,16,0.812500
55,74,0.743243
14,20,0.700000
12,21,0.571429
224,245,0.914286
33,48,0.687500
5,7,0.714286
8,15,0.533333
7,12,0.583333
16,19,0.842105
13,25,0.520000
52,68,0.764706
7,13,0.538462
8,10,0.800000
58,84,0.690476
6,7,0.857143
14,19,0.736842
183,235,0.778723
13,19,0.684211
83,120,0.691667
69,99,0.696970
32,42,0.761905
32,44,0.727273
51,64,0.796875
12,20,0.600000
8,14,0.571429
191,219,0.872146
152,167,0.910180
13,19,0.684211
10,16,0.625000
14,24,0.583333
16,27,0.592593
7,9,0.777778
14,20,0.700000
13,18,0.722222
25,36,0.694444
5,7,0.714286
7,15,0.466667
15,19,0.789474
90,101,0.891089
11,18,0.611111
17,25,0.680000
11,19,0.578947
7,10,0.700000
10,15,0.666667
26,35,0.742857
8,12,0.666667
8,10,0.800000
30,35,0.857143
26,30,0.866667
8,11,0.727273
30,43,0.697674
249,314,0.792994
9,11,0.818182
7,9,0.777778
5,7,0.714286
52,80,0.650000
9,15,0.600000
60,85,0.705882
87,106,0.820755
117,153,0.764706
10,13,0.769231
25,33,0.757576
9,9,1.000000
9,16,0.562500
7,11,0.636364
4,5,0.800000
73,90,0.811111
9,13,0.692308
40,59,0.677966
14,23,0.608696
24,37,0.648649
10,14,0.714286
86,117,0.735043
142,175,0.811429
28,37,0.756757
3,4,0.750000
11,17,0.647059
9,12,0.750000
7,13,0.538462
9,17,0.529412
19,29,0.655172
12,16,0.750000
16,24,0.666667
13,24,0.541667
15,20,0.750000
